asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:17:27.567,Client,final_uav_1,None,None,6508,-1544.66,7.85,13716.18,63.89,0.0,63.89,0.0,None
2023/06/26 00:17:27.603,Client,final_uav_1,nan,nan,6509,-1718.98,4.53,33.36,64.05,0.0,64.05,0.0,nan
2023/06/26 00:17:27.635,Client,final_uav_1,nan,nan,6510,-1752.93,4.1,28.59,64.59,0.0,64.59,0.0,nan
2023/06/26 00:17:27.676,Client,final_uav_1,nan,nan,6511,-1763.9,3.65,38.52,64.15,0.0,64.15,0.0,nan
2023/06/26 00:17:27.771,Client,final_uav_1,nan,nan,6512,-1717.32,4.84,93.65,64.02,0.0,64.02,0.52,nan
2023/06/26 00:17:27.801,Client,final_uav_1,nan,nan,6513,-1739.4,3.8,27.89,64.81,0.0,64.81,1.01,nan
2023/06/26 00:17:27.890,Client,final_uav_1,nan,nan,6514,-1733.43,3.43,85.62,64.23,0.0,64.23,0.0,nan
2023/06/26 00:17:27.930,Client,final_uav_1,nan,nan,6515,-1727.32,3.38,38.96,64.24,0.0,64.24,1.0,nan
2023/06/26 00:17:27.992,Client,final_uav_1,nan,nan,6516,-1723.75,3.7,59.32,52.98,0.0,52.98,0.0,nan
2023/06/26 00:17:28.062,Client,final_uav_1,nan,nan,6517,-1731.33,3.13,67.43,62.82,0.0,62.82,0.0,nan
2023/06/26 00:17:28.110,Client,final_uav_1,nan,nan,6518,-1746.88,3.65,46.51,63.98,0.0,63.98,0.0,nan
2023/06/26 00:17:28.164,Client,final_uav_1,nan,nan,6519,-1761.0,4.3,51.63,64.63,0.0,64.63,0.0,nan
2023/06/26 00:17:28.235,Client,final_uav_1,nan,nan,6520,-1741.51,4.13,68.86,64.9,0.0,64.9,0.0,nan
2023/06/26 00:17:28.297,Client,final_uav_1,nan,nan,6521,-1728.5,3.48,59.83,64.27,0.0,64.27,0.0,nan
2023/06/26 00:17:28.368,Client,final_uav_1,nan,nan,6522,-1715.38,1.9,71.33,64.19,0.0,64.19,0.0,nan
2023/06/26 00:17:28.418,Client,final_uav_1,nan,nan,6523,-1738.34,3.65,48.04,64.09,0.0,64.09,0.0,nan
2023/06/26 00:17:28.464,Client,final_uav_1,nan,nan,6524,-1767.31,3.41,43.78,63.76,0.0,63.76,1.0,nan
2023/06/26 00:17:28.510,Client,final_uav_1,nan,nan,6525,-1772.32,3.78,43.34,63.85,0.0,63.85,0.0,nan
2023/06/26 00:17:28.547,Client,final_uav_1,nan,nan,6526,-1786.48,4.13,33.58,63.61,0.0,63.61,0.52,nan
2023/06/26 00:17:28.580,Client,final_uav_1,nan,nan,6527,-1790.02,3.42,30.73,64.28,0.0,64.28,0.0,nan
2023/06/26 00:17:28.681,Client,final_uav_1,nan,nan,6528,-1729.14,3.76,99.32,64.28,0.0,64.28,0.98,nan
2023/06/26 00:17:28.745,Client,final_uav_1,nan,nan,6529,-1693.05,3.81,61.05,64.15,0.0,64.15,0.0,nan
2023/06/26 00:17:28.800,Client,final_uav_1,nan,nan,6530,-1737.8,5.22,51.9,64.03,0.0,64.03,0.0,nan
2023/06/26 00:17:28.842,Client,final_uav_1,nan,nan,6531,-1780.65,4.0,39.62,64.3,0.0,64.3,0.0,nan
2023/06/26 00:17:28.875,Client,final_uav_1,nan,nan,6532,-1778.55,-2.63,31.39,64.45,0.0,64.45,0.0,nan
2023/06/26 00:17:28.929,Client,final_uav_1,nan,nan,6533,-1773.03,3.82,50.98,53.09,0.0,53.09,0.0,nan
2023/06/26 00:17:28.959,Client,final_uav_1,nan,nan,6534,-1780.16,2.93,27.48,57.72,0.0,57.72,0.98,nan
2023/06/26 00:17:28.999,Client,final_uav_1,nan,nan,6535,-1788.47,4.04,36.06,62.64,0.0,62.64,0.0,nan
2023/06/26 00:17:29.032,Client,final_uav_1,nan,nan,6536,-1792.95,4.4,30.77,63.17,0.0,63.17,0.52,nan
2023/06/26 00:17:29.063,Client,final_uav_1,nan,nan,6537,-1793.62,2.99,29.03,63.84,0.0,63.84,0.0,nan
2023/06/26 00:17:29.126,Client,final_uav_1,nan,nan,6538,-1762.36,3.55,60.56,63.57,0.0,63.57,0.0,nan
2023/06/26 00:17:29.191,Client,final_uav_1,nan,nan,6539,-1733.92,3.78,63.17,63.56,0.0,63.56,0.0,nan
2023/06/26 00:17:29.254,Client,final_uav_1,nan,nan,6540,-1745.51,3.21,59.51,62.99,0.0,62.99,0.0,nan
2023/06/26 00:17:29.314,Client,final_uav_1,nan,nan,6541,-1740.91,3.85,57.61,63.4,0.0,63.4,1.02,nan
2023/06/26 00:17:29.388,Client,final_uav_1,nan,nan,6542,-1737.82,3.58,70.68,62.88,0.0,62.88,0.0,nan
2023/06/26 00:17:29.449,Client,final_uav_1,nan,nan,6543,-1733.37,4.04,58.51,63.05,0.0,63.05,0.0,nan
2023/06/26 00:17:29.495,Client,final_uav_1,nan,nan,6544,-1759.53,4.07,43.01,62.69,0.0,62.69,0.0,nan
2023/06/26 00:17:29.566,Client,final_uav_1,nan,nan,6545,-1748.77,3.62,68.54,62.08,0.0,62.08,0.0,nan
2023/06/26 00:17:29.612,Client,final_uav_1,nan,nan,6546,-1748.17,2.64,44.04,62.46,0.0,62.46,0.0,nan
2023/06/26 00:17:29.669,Client,final_uav_1,nan,nan,6547,-1764.28,3.72,55.08,61.9,0.0,61.9,0.0,nan
2023/06/26 00:17:29.731,Client,final_uav_1,nan,nan,6548,-1759.91,4.02,58.29,62.13,0.0,62.13,0.0,nan
2023/06/26 00:17:29.775,Client,final_uav_1,nan,nan,6549,-1763.17,3.73,42.7,62.06,0.0,62.06,0.0,nan
2023/06/26 00:17:29.810,Client,final_uav_1,nan,nan,6550,-1784.73,3.21,31.25,61.91,0.0,61.91,1.0,nan
2023/06/26 00:17:29.872,Client,final_uav_1,nan,nan,6551,-1774.43,5.04,58.81,61.47,0.0,61.47,0.0,nan
2023/06/26 00:17:29.908,Client,final_uav_1,nan,nan,6552,-1767.01,3.46,31.9,51.52,0.0,51.52,1.02,nan
2023/06/26 00:17:29.956,Client,final_uav_1,nan,nan,6553,-1781.41,3.07,45.61,55.73,0.0,55.73,0.0,nan
2023/06/26 00:17:30.017,Client,final_uav_1,nan,nan,6554,-1760.75,7.44,59.38,59.24,0.0,59.24,1.0,nan
2023/06/26 00:17:30.073,Client,final_uav_1,nan,nan,6555,-1763.07,3.14,52.71,60.25,0.0,60.25,0.0,nan
2023/06/26 00:17:30.125,Client,final_uav_1,nan,nan,6556,-1753.44,3.27,50.14,61.87,0.0,61.87,0.0,nan
2023/06/26 00:17:30.168,Client,final_uav_1,nan,nan,6557,-1758.34,3.38,41.09,62.09,0.0,62.09,0.98,nan
2023/06/26 00:17:30.218,Client,final_uav_1,nan,nan,6558,-1774.33,3.84,47.46,61.9,0.0,61.9,0.0,nan
2023/06/26 00:17:30.320,Client,final_uav_1,nan,nan,6559,-1723.01,3.16,98.32,62.23,0.0,62.23,0.0,nan
2023/06/26 00:17:30.364,Client,final_uav_1,nan,nan,6560,-1777.43,3.74,41.58,61.93,0.0,61.93,0.0,nan
2023/06/26 00:17:30.408,Client,final_uav_1,nan,nan,6561,-1797.89,-8.72,42.54,62.17,0.0,62.17,0.0,nan
2023/06/26 00:17:30.466,Client,final_uav_1,nan,nan,6562,-1765.98,3.2,55.92,62.03,0.0,62.03,0.0,nan
2023/06/26 00:17:30.517,Client,final_uav_1,nan,nan,6563,-1776.04,3.96,48.77,62.16,0.0,62.16,0.0,nan
2023/06/26 00:17:30.561,Client,final_uav_1,nan,nan,6564,-1773.58,3.3,40.33,62.6,0.0,62.6,0.0,nan
2023/06/26 00:17:30.641,Client,final_uav_1,nan,nan,6565,-1746.42,3.97,78.69,62.66,0.0,62.66,0.0,nan
2023/06/26 00:17:30.685,Client,final_uav_1,nan,nan,6566,-1740.05,3.32,41.35,62.36,0.0,62.36,0.0,nan
2023/06/26 00:17:30.767,Client,final_uav_1,nan,nan,6567,-1748.58,3.7,79.37,62.48,0.0,62.48,0.0,nan
2023/06/26 00:17:30.834,Client,final_uav_1,nan,nan,6568,-1717.41,4.44,63.75,62.3,0.0,62.3,1.0,nan
2023/06/26 00:17:30.863,Client,final_uav_1,nan,nan,6569,-1772.91,3.44,27.0,62.09,0.0,62.09,1.0,nan
2023/06/26 00:17:30.911,Client,final_uav_1,nan,nan,6570,-1776.76,4.29,44.84,51.0,0.0,51.0,0.0,nan
2023/06/26 00:17:30.998,Client,final_uav_1,nan,nan,6571,-1721.22,3.57,85.28,55.16,0.0,55.16,1.0,nan
2023/06/26 00:17:31.048,Client,final_uav_1,nan,nan,6572,-1744.25,3.31,46.75,59.17,0.0,59.17,1.0,nan
