asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 17:17:27.564,LocalInferencer1,input,final_uav_1,1,6545,-1798.42,-1797.32,46724.11,16.45,243.61,63.88,6.56,6508
2023/06/25 17:17:27.603,LocalInferencer1,input,final_uav_1,5,6549,-1763.55,-1819.99,56.49,16.69,38.28,64.03,3.83,6509
2023/06/25 17:17:27.634,LocalInferencer1,input,final_uav_1,6,6550,-1787.57,-1834.49,47.8,16.74,29.49,64.58,2.79,6510
2023/06/25 17:17:27.675,LocalInferencer1,input,final_uav_1,7,6551,-1794.17,-1834.28,51.14,16.68,24.31,64.13,2.81,6511
2023/06/25 17:17:27.771,LocalInferencer1,input,final_uav_1,8,6552,-1772.53,-1817.32,70.53,16.73,48.93,64.0,3.84,6512
2023/06/25 17:17:27.801,LocalInferencer1,input,final_uav_1,9,6553,-1772.37,-1833.12,47.77,16.84,28.07,64.8,2.73,6513
2023/06/25 17:17:27.889,LocalInferencer1,input,final_uav_1,10,6554,-1765.09,-1793.17,93.23,16.77,27.01,64.21,3.16,6514
2023/06/25 17:17:27.930,LocalInferencer1,input,final_uav_1,11,6555,-1759.84,-1813.08,39.82,16.7,27.23,64.23,2.96,6515
2023/06/25 17:17:27.992,LocalInferencer1,input,final_uav_1,12,6556,-1753.73,-1823.19,64.91,13.26,24.99,52.96,2.57,6516
2023/06/25 17:17:28.061,LocalInferencer1,input,final_uav_1,13,6557,-1761.99,-1820.47,67.63,16.19,26.11,62.81,2.87,6517
2023/06/25 17:17:28.110,LocalInferencer1,input,final_uav_1,14,6558,-1776.97,-1836.38,49.97,16.62,24.81,63.96,3.0,6518
2023/06/25 17:17:28.163,LocalInferencer1,input,final_uav_1,15,6559,-1791.47,-1835.12,53.16,16.77,25.12,64.61,2.93,6519
2023/06/25 17:17:28.234,LocalInferencer1,input,final_uav_1,16,6560,-1772.32,-1817.63,70.37,16.8,25.74,64.89,2.79,6520
2023/06/25 17:17:28.296,LocalInferencer1,input,final_uav_1,17,6561,-1761.45,-1820.41,59.1,16.66,27.81,64.25,2.69,6521
2023/06/25 17:17:28.371,LocalInferencer1,input,final_uav_1,18,6562,-1743.02,-1806.69,78.59,16.69,24.31,64.18,2.98,6522
2023/06/25 17:17:28.418,LocalInferencer1,input,final_uav_1,19,6563,-1768.91,-1835.85,45.67,16.69,25.86,64.08,2.73,6523
2023/06/25 17:17:28.464,LocalInferencer1,input,final_uav_1,20,6564,-1797.93,-1841.12,45.67,16.61,25.85,63.75,2.88,6524
2023/06/25 17:17:28.510,LocalInferencer1,input,final_uav_1,21,6565,-1802.09,-1840.91,46.86,16.57,24.73,63.84,2.66,6525
2023/06/25 17:17:28.548,LocalInferencer1,input,final_uav_1,22,6566,-1818.24,-1850.56,34.28,16.61,26.06,63.59,4.72,6526
2023/06/25 17:17:28.579,LocalInferencer1,input,final_uav_1,23,6567,-1824.23,-1856.74,30.93,16.76,29.05,64.27,2.77,6527
2023/06/25 17:17:28.681,LocalInferencer1,input,final_uav_1,24,6568,-1757.23,-1780.25,107.13,16.76,23.12,64.27,2.8,6528
2023/06/25 17:17:28.745,LocalInferencer1,input,final_uav_1,25,6569,-1721.6,-1820.69,63.59,16.68,23.47,64.13,2.93,6529
2023/06/25 17:17:28.800,LocalInferencer1,input,final_uav_1,26,6570,-1769.51,-1847.43,51.08,16.67,24.45,64.02,5.12,6530
2023/06/25 17:17:28.842,LocalInferencer1,input,final_uav_1,27,6571,-1809.54,-1839.82,45.56,16.74,23.62,64.29,2.86,6531
2023/06/25 17:17:28.881,LocalInferencer1,input,final_uav_1,28,6572,-1802.33,-1848.34,38.16,16.77,24.47,64.44,2.84,6532
2023/06/25 17:17:28.928,LocalInferencer1,input,final_uav_1,29,6573,-1801.4,-1839.48,47.84,13.19,23.33,53.07,2.55,6533
2023/06/25 17:17:28.959,LocalInferencer1,input,final_uav_1,30,6574,-1808.59,-1854.43,30.82,14.7,23.7,57.7,2.56,6534
2023/06/25 17:17:28.998,LocalInferencer1,input,final_uav_1,31,6575,-1818.38,-1849.32,36.94,16.12,24.52,62.63,2.95,6535
2023/06/25 17:17:29.031,LocalInferencer1,input,final_uav_1,32,6576,-1824.06,-1854.62,32.73,16.39,25.02,63.15,3.52,6536
