asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 17:22:20.583,LocalInferencer1,input,final_uav_1,1,7824,-1779.95,-1779.11,109992.71,16.65,263.82,64.07,7.91,7780
2023/06/25 17:22:20.642,LocalInferencer1,input,final_uav_1,6,7829,-1793.15,-1811.57,69.91,16.91,58.21,64.8,5.51,7781
2023/06/25 17:22:20.675,LocalInferencer1,input,final_uav_1,7,7830,-1755.24,-1820.11,46.35,16.89,30.86,64.76,4.67,7782
2023/06/25 17:22:20.706,LocalInferencer1,input,final_uav_1,8,7831,-1794.74,-1830.59,57.12,16.84,28.31,64.51,3.07,7783
2023/06/25 17:22:20.748,LocalInferencer1,input,final_uav_1,9,7832,-1794.6,-1845.03,42.36,16.93,27.71,64.71,3.06,7784
2023/06/25 17:22:20.793,LocalInferencer1,input,final_uav_1,10,7833,-1814.34,-1841.35,43.63,16.93,28.38,64.71,3.0,7785
2023/06/25 17:22:20.841,LocalInferencer1,input,final_uav_1,11,7834,-1796.5,-1838.39,49.93,16.86,26.27,64.62,2.96,7786
2023/06/25 17:22:20.894,LocalInferencer1,input,final_uav_1,12,7835,-1793.36,-1834.25,50.95,16.86,28.07,64.48,3.32,7787
2023/06/25 17:22:20.970,LocalInferencer1,input,final_uav_1,13,7836,-1764.49,-1810.28,76.82,14.77,27.85,57.68,3.08,7788
2023/06/25 17:22:21.020,LocalInferencer1,input,final_uav_1,14,7837,-1767.31,-1812.54,51.58,15.91,25.8,61.55,2.94,7789
2023/06/25 17:22:21.080,LocalInferencer1,input,final_uav_1,15,7838,-1760.55,-1825.53,60.01,16.27,25.49,62.6,3.1,7790
2023/06/25 17:22:21.159,LocalInferencer1,input,final_uav_1,16,7839,-1752.28,-1806.76,79.57,16.73,24.98,64.08,3.37,7791
2023/06/25 17:22:21.218,LocalInferencer1,input,final_uav_1,17,7840,-1761.0,-1827.92,58.6,16.88,25.69,64.66,2.92,7792
