asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/19 21:33:01.437,UAVFrameProducer,None,input,1,-1,-1,0.0,1.59,921.74,0.0,921.76,510.65,0
2023/06/19 21:33:01.728,UAVFrameProducer,None,input,2,-1,-1,15.41,34.56,921.74,0.0,921.76,766.04,1
2023/06/19 21:33:02.018,UAVFrameProducer,None,input,3,-1,-1,11.0,18.22,921.74,0.0,921.76,1027.98,2
2023/06/19 21:33:02.347,UAVFrameProducer,None,input,4,-1,-1,0.0,4.0,921.74,0.0,921.76,901.05,3
2023/06/19 21:33:02.671,UAVFrameProducer,None,input,5,-1,-1,0.0,4.22,921.74,0.0,921.76,931.97,4
2023/06/19 21:33:02.972,UAVFrameProducer,None,input,6,-1,-1,0.0,4.0,921.74,0.0,921.76,936.08,5
2023/06/19 21:33:03.283,UAVFrameProducer,None,input,7,-1,-1,0.0,3.0,921.74,0.0,921.76,917.41,6
2023/06/19 21:33:03.616,UAVFrameProducer,None,input,8,-1,-1,0.0,5.0,921.74,0.0,921.76,931.58,7
2023/06/19 21:33:03.930,UAVFrameProducer,None,input,9,-1,-1,0.0,2.94,921.74,1.09,921.76,947.84,8
2023/06/19 21:33:04.272,UAVFrameProducer,None,input,10,-1,-1,0.0,8.0,921.74,0.0,921.76,969.01,9
2023/06/19 21:33:04.581,UAVFrameProducer,None,input,11,-1,-1,0.0,4.0,921.74,0.0,921.76,942.0,10
2023/06/19 21:33:04.898,UAVFrameProducer,None,input,12,-1,-1,0.0,3.91,921.74,0.0,921.76,954.02,11
2023/06/19 21:33:05.190,UAVFrameProducer,None,input,13,-1,-1,0.0,2.99,921.74,0.0,921.76,901.34,12
2023/06/19 21:33:05.505,UAVFrameProducer,None,input,14,-1,-1,0.0,4.08,921.74,0.0,921.76,902.39,13
2023/06/19 21:33:05.822,UAVFrameProducer,None,input,15,-1,-1,0.0,7.0,921.74,0.0,921.76,902.85,14
2023/06/19 21:33:06.143,UAVFrameProducer,None,input,16,-1,-1,1.0,7.0,921.74,0.0,921.76,918.76,15
