asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 11:23:30.447,Client,final_uav_1,None,None,4091,-908.43,4.9,11.0,83.42,0.0,83.42,1.0,None
2023/06/25 11:23:30.599,Client,final_uav_2,nan,nan,563,6076.78,3.65,147.72,82.36,0.0,82.36,0.51,nan
2023/06/25 11:23:30.659,Client,final_uav_1,nan,nan,4092,-837.4,12.7,56.45,84.19,0.0,84.19,0.52,nan
2023/06/25 11:23:30.711,Client,final_uav_2,nan,nan,564,6023.34,5.93,49.64,82.47,0.0,82.47,0.0,nan
2023/06/25 11:23:30.746,Client,final_uav_1,nan,nan,4093,-921.88,4.45,31.0,83.95,0.0,83.95,0.52,nan
2023/06/25 11:23:30.794,Client,final_uav_1,nan,nan,4094,-1074.87,6.11,44.52,84.23,0.0,84.23,0.52,nan
2023/06/25 11:23:30.825,Client,final_uav_2,nan,nan,565,5949.81,4.63,28.33,78.8,0.0,78.8,0.0,nan
2023/06/25 11:23:31.092,Client,final_uav_2,nan,nan,566,6113.88,19.04,259.41,80.74,0.0,80.74,1.0,nan
2023/06/25 11:23:31.144,Client,final_uav_1,nan,nan,4095,-808.81,7.04,48.01,84.49,0.0,84.49,0.0,nan
2023/06/25 11:23:31.188,Client,final_uav_1,nan,nan,4096,-839.93,7.26,38.01,77.54,0.0,77.54,1.0,nan
2023/06/25 11:23:31.496,Client,final_uav_2,nan,nan,567,6419.02,274.7,304.64,82.0,0.0,82.0,0.53,nan
2023/06/25 11:23:31.503,Client,final_uav_1,nan,nan,4097,-772.61,241.45,2.09,83.16,0.0,83.16,1.06,nan
2023/06/25 11:23:31.510,Client,final_uav_1,nan,nan,4098,-883.92,11.38,2.99,83.63,0.0,83.63,0.53,nan
2023/06/25 11:23:31.545,Client,final_uav_2,nan,nan,568,5781.97,4.5,32.0,82.22,0.0,82.22,0.0,nan
2023/06/25 11:23:31.640,Client,final_uav_2,nan,nan,569,5860.69,3.86,91.83,71.25,0.0,71.25,0.58,nan
2023/06/25 11:23:31.693,Client,final_uav_2,nan,nan,570,5882.63,7.04,48.92,75.82,0.0,75.82,0.03,nan
2023/06/25 11:23:31.732,Client,final_uav_1,nan,nan,4099,-993.69,6.28,34.47,84.11,0.0,84.11,0.53,nan
2023/06/25 11:23:31.767,Client,final_uav_2,nan,nan,571,5940.77,5.24,32.34,78.81,0.0,78.81,0.0,nan
2023/06/25 11:23:31.801,Client,final_uav_1,nan,nan,4100,-972.05,3.25,31.0,83.85,0.0,83.85,0.0,nan
2023/06/25 11:23:31.899,Client,final_uav_2,nan,nan,572,5944.63,6.68,94.44,81.58,0.0,81.58,0.0,nan
2023/06/25 11:23:31.952,Client,final_uav_1,nan,nan,4101,-962.83,17.82,50.13,75.19,0.0,75.19,0.0,nan
2023/06/25 11:23:31.972,Client,final_uav_2,nan,nan,573,5944.96,3.82,16.0,82.34,0.0,82.34,0.0,nan
2023/06/25 11:23:32.049,Client,final_uav_2,nan,nan,574,5876.24,5.14,73.32,82.16,0.0,82.16,0.0,nan
2023/06/25 11:23:32.085,Client,final_uav_1,nan,nan,4102,-917.12,4.74,33.61,78.8,0.0,78.8,0.0,nan
2023/06/25 11:23:32.161,Client,final_uav_2,nan,nan,575,5924.79,4.96,72.66,82.51,0.0,82.51,0.52,nan
2023/06/25 11:23:32.204,Client,final_uav_2,nan,nan,576,5882.93,6.58,41.02,82.89,0.0,82.89,0.0,nan
2023/06/25 11:23:32.245,Client,final_uav_1,nan,nan,4103,-902.62,7.34,36.71,82.78,0.0,82.78,0.52,nan
2023/06/25 11:23:32.283,Client,final_uav_1,nan,nan,4104,-1017.68,5.53,35.05,83.77,0.0,83.77,0.0,nan
2023/06/25 11:23:32.342,Client,final_uav_2,nan,nan,577,5871.65,18.35,51.5,82.5,0.0,82.5,0.62,nan
