asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 17:21:58.698,MyClient,final_uav_1,None,None,738,854.25,13.99,137126.18,136.23,0.0,136.23,1.0,None
2023/05/29 17:21:58.751,MyClient,final_uav_1,nan,nan,739,888.45,7.36,46.27,136.41,0.0,136.41,1.0,nan
2023/05/29 17:21:58.976,MyClient,final_uav_1,nan,nan,740,1098.8,4.63,221.29,136.37,0.0,136.37,1.0,nan
2023/05/29 17:21:59.530,MyClient,final_uav_1,nan,nan,741,1078.03,6.4,549.66,139.5,0.0,139.5,0.52,nan
2023/05/29 17:21:59.978,MyClient,final_uav_1,nan,nan,742,993.18,8.57,444.46,138.12,0.0,138.12,1.04,nan
2023/05/29 17:22:00.380,MyClient,final_uav_1,nan,nan,743,939.78,5.82,398.57,138.51,0.0,138.51,0.54,nan
2023/05/29 17:22:00.897,MyClient,final_uav_1,nan,nan,744,986.54,5.67,513.75,137.85,0.0,137.85,1.0,nan
2023/05/29 17:22:01.181,MyClient,final_uav_1,nan,nan,745,827.02,7.92,280.25,141.14,0.0,141.14,0.0,nan
2023/05/29 17:22:01.478,MyClient,final_uav_1,nan,nan,746,717.9,4.67,292.09,141.2,0.0,141.2,1.0,nan
2023/05/29 17:22:01.823,MyClient,final_uav_1,nan,nan,747,518.72,7.55,340.34,137.83,0.0,137.83,0.0,nan
2023/05/29 17:22:02.166,MyClient,final_uav_1,nan,nan,748,587.71,5.42,337.81,146.4,0.0,146.4,0.53,nan
2023/05/29 17:22:02.493,MyClient,final_uav_1,nan,nan,749,636.03,11.55,323.4,149.67,0.0,149.67,1.0,nan
2023/05/29 17:22:03.009,MyClient,final_uav_1,nan,nan,750,720.46,3.96,512.85,142.67,0.0,142.67,0.53,nan
2023/05/29 17:22:03.406,MyClient,final_uav_1,nan,nan,751,862.54,4.32,393.74,143.92,0.0,143.92,0.52,nan
2023/05/29 17:22:03.756,MyClient,final_uav_1,nan,nan,752,814.83,10.93,345.89,134.13,0.0,134.13,0.52,nan
2023/05/29 17:22:04.248,MyClient,final_uav_1,nan,nan,753,853.95,5.47,488.35,139.78,0.0,139.78,0.53,nan
2023/05/29 17:22:04.609,MyClient,final_uav_1,nan,nan,754,827.88,4.28,356.64,134.77,0.0,134.77,1.0,nan
2023/05/29 17:22:04.973,MyClient,final_uav_1,nan,nan,755,846.12,8.13,361.86,133.61,0.0,133.61,0.0,nan
2023/05/29 17:22:05.403,MyClient,final_uav_1,nan,nan,756,789.6,4.19,426.05,130.78,0.0,130.78,0.64,nan
2023/05/29 17:22:07.071,MyClient,final_uav_1,nan,nan,757,2058.84,10.24,1664.34,125.16,0.0,125.16,1.0,nan
2023/05/29 17:22:15.269,MyClient,final_uav_1,nan,nan,758,9886.65,8.66,8196.42,128.36,0.0,128.36,0.0,nan
2023/05/29 17:22:17.960,MyClient,final_uav_1,nan,nan,759,12178.56,10.91,2687.26,130.22,0.0,130.22,1.0,nan
2023/05/29 17:22:23.740,MyClient,final_uav_1,nan,nan,760,15735.42,8.19,5775.28,119.01,0.0,119.01,1.0,nan
2023/05/29 17:22:26.806,MyClient,final_uav_1,nan,nan,761,11157.17,8.62,3063.43,150.38,0.0,150.38,1.0,nan
2023/05/29 17:22:30.567,MyClient,final_uav_1,nan,nan,762,12170.6,10.06,3755.44,109.09,0.0,109.09,1.99,nan
2023/05/29 17:22:34.577,MyClient,final_uav_1,nan,nan,763,10442.88,8.49,4006.48,134.57,0.0,134.57,1.0,nan
2023/05/29 17:22:38.699,MyClient,final_uav_1,nan,nan,764,10094.42,9.89,4118.4,153.58,0.0,153.58,1.0,nan
2023/05/29 17:22:41.426,MyClient,final_uav_1,nan,nan,765,10432.72,10.97,2722.08,153.58,0.0,153.58,2.0,nan
2023/05/29 17:22:44.092,MyClient,final_uav_1,nan,nan,766,9115.02,13.01,2659.4,153.58,0.0,153.58,1.58,nan
2023/05/29 17:22:44.173,MyClient,final_uav_2,nan,nan,1783,23687.39,5.27,78.02,121.3,0.0,121.3,1.0,nan
