asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 13:31:27.441,LocalForwarder2,result,result,1,644,199.28,-936.41,78922.36,0.32,0.01,0.32,6.08,7842
2023/05/29 13:31:27.932,LocalForwarder2,result,result,3,645,663.15,-826.74,491.16,0.32,0.01,0.32,3.36,7843
2023/05/29 13:31:28.314,LocalForwarder2,result,result,4,646,1022.89,-930.28,377.14,0.32,0.01,0.32,4.35,7845
2023/05/29 13:31:29.182,LocalForwarder2,result,result,7,647,1362.94,-916.97,859.79,0.32,0.02,0.32,8.65,7849
2023/05/29 13:31:29.680,LocalForwarder2,result,result,8,648,1748.43,-949.49,500.21,0.32,0.01,0.32,3.42,7851
2023/05/29 13:31:29.984,LocalForwarder2,result,result,9,649,1675.67,-936.39,299.13,0.32,0.01,0.32,5.55,7852
2023/05/29 13:31:30.284,LocalForwarder2,result,result,13,650,1266.45,-946.98,300.06,0.32,0.01,0.32,3.09,7854
2023/05/29 13:31:30.720,LocalForwarder2,result,result,14,651,1686.86,-925.97,434.93,0.32,0.01,0.32,2.6,7856
2023/05/29 13:31:30.979,LocalForwarder2,result,result,16,652,1580.18,-949.4,255.55,0.32,0.01,0.32,2.83,7858
2023/05/29 13:31:31.748,LocalForwarder2,result,result,19,653,1470.99,-941.34,766.84,0.32,0.01,0.32,3.34,7861
2023/05/29 13:31:32.079,LocalForwarder2,result,result,22,654,941.86,-943.53,326.22,0.32,0.01,0.32,3.98,7862
2023/05/29 13:31:32.862,LocalForwarder2,result,result,1,655,1117.57,-608.43,783.97,0.38,0.01,0.38,2.76,7867
2023/05/29 13:31:33.131,LocalForwarder2,result,result,3,656,1330.65,-949.32,267.12,0.32,0.01,0.32,2.66,7868
2023/05/29 13:31:33.553,LocalForwarder2,result,result,24,657,1883.56,-911.36,409.64,0.38,0.02,0.38,7.37,7871
2023/05/29 13:31:33.973,LocalForwarder2,result,result,4,658,2147.1,-845.84,423.07,0.32,0.01,0.32,3.28,7872
2023/05/29 13:31:34.495,LocalForwarder2,result,result,7,659,1645.5,-912.08,519.55,0.32,0.01,0.32,3.54,7874
2023/05/29 13:31:35.295,LocalForwarder2,result,result,8,660,2431.09,-927.55,799.45,0.32,0.01,0.32,2.83,7876
2023/05/29 13:31:35.693,LocalForwarder2,result,result,25,661,4021.14,-942.33,394.93,0.32,0.01,0.32,2.98,7879
2023/05/29 13:31:36.077,LocalForwarder2,result,result,9,662,2913.78,-893.36,379.52,0.32,0.08,0.32,4.24,7880
2023/05/29 13:31:36.444,LocalForwarder2,result,result,28,663,3664.61,-903.36,362.37,0.32,0.01,0.32,5.85,7882
2023/05/29 13:31:36.758,LocalForwarder2,result,result,13,664,2882.8,-947.6,306.46,0.38,0.02,0.38,9.61,7885
2023/05/29 13:31:37.421,LocalForwarder2,result,result,29,665,4637.59,-943.53,666.89,0.32,0.01,0.32,2.59,7888
2023/05/29 13:31:37.694,LocalForwarder2,result,result,14,666,3809.13,-944.66,269.83,0.38,0.01,0.38,3.33,7889
2023/05/29 13:31:38.226,LocalForwarder2,result,result,30,667,4323.67,-843.0,527.91,0.38,0.01,0.38,4.82,7892
2023/05/29 13:31:38.994,LocalForwarder2,result,result,31,668,4191.77,-852.65,765.91,0.32,0.01,0.32,3.47,7895
2023/05/29 13:31:39.344,LocalForwarder2,result,result,16,669,4690.63,-944.89,339.41,0.32,0.01,0.32,8.51,7898
2023/05/29 13:31:39.650,LocalForwarder2,result,result,32,670,4405.79,-912.27,311.39,0.32,0.01,0.32,2.86,7899
2023/05/29 13:31:40.067,LocalForwarder2,result,result,19,671,4174.44,-894.3,415.76,0.38,0.01,0.38,2.94,7901
2023/05/29 13:31:40.400,LocalForwarder2,result,result,33,672,4750.62,-930.31,324.21,0.32,0.02,0.32,5.3,7902
2023/05/29 13:31:40.824,LocalForwarder2,result,result,35,673,4848.97,-925.02,422.1,0.32,0.01,0.32,6.62,7903
2023/05/29 13:31:41.317,LocalForwarder2,result,result,22,674,4055.72,-853.6,485.11,0.38,0.01,0.38,8.08,7907
2023/05/29 13:31:41.715,LocalForwarder2,result,result,24,675,3989.96,-938.99,394.21,0.38,0.04,0.38,9.6,7909
2023/05/29 13:31:42.066,LocalForwarder2,result,result,39,676,4371.02,-924.28,347.35,0.32,0.01,0.32,9.4,7912
2023/05/29 13:31:42.465,LocalForwarder2,result,result,25,677,4730.54,-941.57,399.63,0.38,0.01,0.38,5.03,7915
2023/05/29 13:31:42.860,LocalForwarder2,result,result,40,678,5143.28,-894.98,384.88,0.32,0.02,0.32,9.17,7916
2023/05/29 13:31:43.213,LocalForwarder2,result,result,28,679,4227.96,-921.34,343.15,0.38,0.03,0.38,12.53,7919
2023/05/29 13:31:43.468,LocalForwarder2,result,result,44,680,4020.19,-941.99,256.12,0.32,0.01,0.32,5.18,7922
2023/05/29 13:31:43.818,LocalForwarder2,result,result,29,681,4789.77,-945.9,338.72,0.38,0.02,0.38,9.17,7925
2023/05/29 13:31:44.217,LocalForwarder2,result,result,30,682,5158.64,-945.21,400.92,0.38,0.01,0.38,3.72,7927
2023/05/29 13:31:44.879,LocalForwarder2,result,result,46,683,4590.32,-893.08,657.14,0.32,0.01,0.32,6.71,7930
