asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 07:58:28.487,LocalInferencer1,input,final_uav_1,1,339,-57.34,-56.68,273188.62,921.74,31.87,109.02,5.39,338
2023/05/29 07:58:28.698,LocalInferencer1,input,final_uav_1,2,340,137.78,138.08,215.32,921.74,30.19,109.71,3.5,339
2023/05/29 07:58:28.930,LocalInferencer1,input,final_uav_1,3,341,355.63,34.8,231.58,921.74,28.43,110.5,4.22,340
2023/05/29 07:58:29.197,LocalInferencer1,input,final_uav_1,4,342,294.23,62.44,270.14,921.74,25.94,109.86,3.27,341
2023/05/29 07:58:29.419,LocalInferencer1,input,final_uav_1,5,343,268.34,32.94,217.47,921.74,26.88,110.58,6.25,342
2023/05/29 07:58:29.627,LocalInferencer1,input,final_uav_1,6,344,231.85,-11.3,206.9,921.74,26.55,111.0,4.79,343
2023/05/29 07:58:29.863,LocalInferencer1,input,final_uav_1,7,345,216.77,5.32,233.08,921.74,24.87,107.9,8.63,344
2023/05/29 07:58:30.088,LocalInferencer1,input,final_uav_1,8,346,227.3,33.07,227.87,921.74,26.08,110.04,4.42,345
2023/05/29 07:58:30.283,LocalInferencer1,input,final_uav_1,9,347,216.64,4.31,190.12,921.74,24.95,110.6,7.07,346
2023/05/29 07:58:30.536,LocalInferencer1,input,final_uav_1,10,348,255.58,23.74,256.49,921.74,25.58,111.1,3.42,347
2023/05/29 07:58:30.777,LocalInferencer1,input,final_uav_1,11,349,256.67,58.66,239.18,921.74,27.12,104.36,3.23,348
2023/05/29 07:58:31.568,LocalInferencer1,input,final_uav_1,12,350,831.31,579.38,782.73,921.74,27.16,109.36,10.32,349
2023/05/29 07:58:31.799,LocalInferencer1,input,final_uav_1,13,351,801.14,-14.28,222.69,921.74,36.72,113.92,4.75,350
2023/05/29 07:58:32.018,LocalInferencer1,input,final_uav_1,14,352,200.61,11.51,220.77,921.74,32.34,112.71,7.7,351
2023/05/29 07:58:32.260,LocalInferencer1,input,final_uav_1,15,353,256.02,42.33,249.33,921.74,28.32,113.64,3.76,352
2023/05/29 07:58:32.503,LocalInferencer1,input,final_uav_1,16,354,275.66,39.97,242.37,921.74,27.68,113.68,3.7,353
2023/05/29 07:58:32.736,LocalInferencer1,input,final_uav_1,17,355,264.54,35.32,233.01,921.74,28.26,113.89,3.3,354
2023/05/29 07:58:32.971,LocalInferencer1,input,final_uav_1,18,356,258.81,14.37,229.91,921.74,27.67,112.1,7.95,355
2023/05/29 07:58:33.271,LocalInferencer1,input,final_uav_1,19,357,307.71,95.75,302.57,921.74,28.15,113.32,3.83,356
2023/05/29 07:58:33.562,LocalInferencer1,input,final_uav_1,20,358,368.69,158.09,282.57,921.74,35.62,113.96,3.61,357
2023/05/29 07:58:33.798,LocalInferencer1,input,final_uav_1,21,359,384.58,60.91,234.84,921.74,34.88,113.96,4.22,358
2023/05/29 07:58:34.030,LocalInferencer1,input,final_uav_1,22,360,284.7,45.67,231.87,921.74,33.32,112.38,5.47,359
2023/05/29 07:58:34.305,LocalInferencer1,input,final_uav_1,23,361,316.32,58.33,278.06,921.74,27.93,113.58,7.61,360
2023/05/29 07:58:34.602,LocalInferencer1,input,final_uav_1,24,362,348.37,115.61,298.35,921.74,29.16,113.94,3.84,361
2023/05/29 07:58:34.856,LocalInferencer1,input,final_uav_1,25,363,362.28,121.48,250.92,921.74,31.02,114.28,4.41,362
2023/05/29 07:58:35.216,LocalInferencer1,input,final_uav_1,26,364,464.44,180.42,356.58,921.74,29.92,111.62,3.8,363
2023/05/29 07:58:35.538,LocalInferencer1,input,final_uav_1,27,365,491.32,237.35,321.08,921.74,31.38,113.43,7.62,364
2023/05/29 07:58:35.826,LocalInferencer1,input,final_uav_1,28,366,514.11,178.63,282.98,921.74,33.12,114.1,4.99,365
2023/05/29 07:58:36.093,LocalInferencer1,input,final_uav_1,29,367,436.85,94.98,262.66,921.74,34.21,111.21,4.77,366
2023/05/29 07:58:36.295,LocalInferencer1,input,final_uav_1,30,368,288.43,55.86,208.23,921.74,30.95,113.36,4.24,367
2023/05/29 07:58:36.508,LocalInferencer1,input,final_uav_1,31,369,264.1,6.17,215.95,921.74,28.16,113.88,4.48,368
2023/05/29 07:58:36.739,LocalInferencer1,input,final_uav_1,32,370,225.48,13.36,227.4,921.74,28.86,114.03,7.05,369
2023/05/29 07:58:36.999,LocalInferencer1,input,final_uav_1,33,371,263.52,63.91,259.89,921.74,31.04,110.48,3.77,370
2023/05/29 07:58:37.224,LocalInferencer1,input,final_uav_1,34,372,282.23,59.46,226.42,921.74,27.91,110.05,4.19,371
2023/05/29 07:58:37.630,LocalInferencer1,input,final_uav_1,35,373,453.62,181.13,404.01,921.74,27.12,110.76,4.75,372
2023/05/29 07:58:37.885,LocalInferencer1,input,final_uav_1,36,374,424.46,222.6,249.81,921.74,28.96,112.02,7.96,373
