asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 06:30:10.731,MergerProducer,None,None,None,-1,-1,4001.78,4001.78,0.06,0.02,0.06,0.04,None
2023/05/29 06:30:14.741,MergerProducer,None,nan,nan,-1,-1,4002.16,4002.16,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:18.754,MergerProducer,None,nan,nan,-1,-1,4002.19,4002.19,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:22.769,MergerProducer,None,nan,nan,-1,-1,4002.14,4002.14,0.06,0.06,0.06,0.04,nan
2023/05/29 06:30:26.775,MergerProducer,None,nan,nan,-1,-1,4001.58,4001.58,0.06,0.01,0.06,0.01,nan
2023/05/29 06:30:30.785,MergerProducer,None,nan,nan,-1,-1,4001.97,4001.97,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:34.793,MergerProducer,None,nan,nan,-1,-1,4000.65,4000.65,0.06,0.04,0.06,0.03,nan
2023/05/29 06:30:38.803,MergerProducer,None,nan,nan,-1,-1,4002.13,4002.13,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:42.813,MergerProducer,None,nan,nan,-1,-1,4002.19,4002.19,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:46.825,MergerProducer,None,nan,nan,-1,-1,4002.64,4002.64,0.06,0.02,0.06,0.05,nan
2023/05/29 06:30:50.835,MergerProducer,None,nan,nan,-1,-1,4001.66,4001.66,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:54.845,MergerProducer,None,nan,nan,-1,-1,4001.57,4001.57,0.06,0.02,0.06,0.03,nan
2023/05/29 06:30:58.858,MergerProducer,None,nan,nan,-1,-1,4003.13,4003.13,0.06,0.21,0.06,0.03,nan
2023/05/29 06:31:02.867,MergerProducer,None,nan,nan,-1,-1,4000.5,4000.5,0.06,0.02,0.06,0.03,nan
2023/05/29 06:31:06.877,MergerProducer,None,nan,nan,-1,-1,4002.45,4002.45,0.06,0.02,0.06,0.03,nan
2023/05/29 06:31:10.883,MergerProducer,None,nan,nan,-1,-1,4001.67,4001.67,0.06,0.01,0.06,0.01,nan
2023/05/29 06:31:14.893,MergerProducer,None,nan,nan,-1,-1,4003.23,4003.23,0.06,0.02,0.06,0.06,nan
2023/05/29 06:31:18.903,MergerProducer,None,nan,nan,-1,-1,4001.69,4001.69,0.06,0.02,0.06,0.03,nan
2023/05/29 06:31:22.913,MergerProducer,None,nan,nan,-1,-1,4001.91,4001.91,0.06,0.02,0.06,0.03,nan
2023/05/29 06:31:26.919,MergerProducer,None,nan,nan,-1,-1,4001.78,4001.78,0.23,0.07,0.06,0.02,nan
2023/05/29 06:31:30.924,MergerProducer,None,nan,nan,-1,-1,4001.27,4001.27,0.23,0.14,0.23,0.23,nan
2023/05/29 06:31:31.206,MergerProducer,nan,final_uav_1,1,nan,nan,nan,nan,nan,nan,nan,280.51,6356
2023/05/29 06:31:31.465,MergerProducer,nan,final_uav_1,2,nan,nan,nan,nan,nan,nan,nan,540.8,6357
2023/05/29 06:31:31.730,MergerProducer,nan,final_uav_1,3,nan,nan,nan,nan,nan,nan,nan,806.51,6358
2023/05/29 06:31:31.996,MergerProducer,nan,final_uav_1,4,nan,nan,nan,nan,nan,nan,nan,1072.22,6359
2023/05/29 06:31:32.264,MergerProducer,nan,final_uav_1,7,nan,nan,nan,nan,nan,nan,nan,1339.7,6360
2023/05/29 06:31:32.533,MergerProducer,nan,final_uav_1,8,nan,nan,nan,nan,nan,nan,nan,1609.3,6361
2023/05/29 06:31:32.796,MergerProducer,nan,final_uav_1,9,nan,nan,nan,nan,nan,nan,nan,1871.81,6362
2023/05/29 06:31:33.062,MergerProducer,nan,final_uav_1,11,nan,nan,nan,nan,nan,nan,nan,2137.38,6363
2023/05/29 06:31:33.330,MergerProducer,nan,final_uav_1,12,nan,nan,nan,nan,nan,nan,nan,2404.3,6364
2023/05/29 06:31:33.603,MergerProducer,nan,final_uav_1,13,nan,nan,nan,nan,nan,nan,nan,2676.1,6365
2023/05/29 06:31:33.864,MergerProducer,nan,final_uav_1,14,nan,nan,nan,nan,nan,nan,nan,2939.84,6366
2023/05/29 06:31:34.131,MergerProducer,nan,final_uav_1,15,nan,nan,nan,nan,nan,nan,nan,3206.91,6367
2023/05/29 06:31:34.395,MergerProducer,nan,final_uav_1,17,nan,nan,nan,nan,nan,nan,nan,3470.95,6368
2023/05/29 06:31:34.662,MergerProducer,nan,final_uav_1,18,nan,nan,nan,nan,nan,nan,nan,3737.64,6369
2023/05/29 06:31:34.927,MergerProducer,None,nan,nan,-1,-1,3999.11,3999.11,0.23,0.08,0.23,0.09,nan
2023/05/29 06:31:34.930,MergerProducer,nan,final_uav_1,20,nan,nan,nan,nan,nan,nan,nan,4006.34,6370
2023/05/29 06:31:35.945,MergerProducer,nan,final_uav_1,23,nan,nan,nan,nan,nan,nan,nan,1016.41,6371
2023/05/29 06:31:36.939,MergerProducer,nan,final_uav_1,24,nan,nan,nan,nan,nan,nan,nan,2012.09,6372
2023/05/29 06:31:37.943,MergerProducer,nan,final_uav_1,26,nan,nan,nan,nan,nan,nan,nan,3015.61,6373
2023/05/29 06:31:38.932,MergerProducer,None,nan,nan,-1,-1,4001.76,4001.76,0.23,0.12,0.23,0.36,nan
2023/05/29 06:31:38.936,MergerProducer,nan,final_uav_1,27,nan,nan,nan,nan,nan,nan,nan,4009.45,6374
2023/05/29 06:31:39.134,MergerProducer,nan,final_uav_2,1,nan,nan,nan,nan,nan,nan,nan,201.89,50
