time,battery_percentage
2023-06-25 14:09:45.918442,100
2023-06-25 14:09:46.919346,100
2023-06-25 14:09:47.919817,100
2023-06-25 14:09:48.921351,100
2023-06-25 14:09:49.955394,100
2023-06-25 14:09:50.966585,100
2023-06-25 14:09:51.968820,100
2023-06-25 14:09:52.969153,100
2023-06-25 14:09:53.969870,100
2023-06-25 14:09:54.972032,100
2023-06-25 14:09:55.973128,100
2023-06-25 14:09:56.979060,100
2023-06-25 14:09:57.989503,100
2023-06-25 14:09:58.990316,100
2023-06-25 14:09:59.993300,100
2023-06-25 14:10:00.994520,100
2023-06-25 14:10:01.996258,100
2023-06-25 14:10:02.996596,100
2023-06-25 14:10:03.996927,100
2023-06-25 14:10:04.999426,100
2023-06-25 14:10:06.003001,100
2023-06-25 14:10:07.003899,100
2023-06-25 14:10:08.004461,100
2023-06-25 14:10:09.008301,100
2023-06-25 14:10:10.008572,100
2023-06-25 14:10:11.009815,100
2023-06-25 14:10:12.010561,100
2023-06-25 14:10:13.014397,100
2023-06-25 14:10:14.014808,100
2023-06-25 14:10:15.015194,100
2023-06-25 14:10:16.016270,100
2023-06-25 14:10:17.020084,100
2023-06-25 14:10:18.025215,100
2023-06-25 14:10:19.029245,100
2023-06-25 14:10:20.029777,100
2023-06-25 14:10:21.030792,100
2023-06-25 14:10:22.034107,100
2023-06-25 14:10:23.038016,100
2023-06-25 14:10:24.040945,100
2023-06-25 14:10:25.042589,100
2023-06-25 14:10:26.043737,100
2023-06-25 14:10:27.044354,100
2023-06-25 14:10:28.046941,100
2023-06-25 14:10:29.047433,100
2023-06-25 14:10:30.047812,100
2023-06-25 14:10:31.048382,99
2023-06-25 14:10:32.049709,99
2023-06-25 14:10:33.052908,99
2023-06-25 14:10:34.053769,99
2023-06-25 14:10:35.054468,99
2023-06-25 14:10:36.055178,99
2023-06-25 14:10:37.060517,99
2023-06-25 14:10:38.063527,99
2023-06-25 14:10:39.064154,99
2023-06-25 14:10:40.064493,99
2023-06-25 14:10:41.065184,99
2023-06-25 14:10:42.068652,99
2023-06-25 14:10:43.069349,99
2023-06-25 14:10:44.069994,99
2023-06-25 14:10:45.072997,99
2023-06-25 14:10:46.073689,99
2023-06-25 14:10:47.074526,99
2023-06-25 14:10:48.078074,99
2023-06-25 14:10:49.078649,99
2023-06-25 14:10:50.078959,99
2023-06-25 14:10:51.080088,99
2023-06-25 14:10:52.080606,99
2023-06-25 14:10:53.082427,99
2023-06-25 14:10:54.086399,99
2023-06-25 14:10:55.086912,99
2023-06-25 14:10:56.089473,99
2023-06-25 14:10:57.090123,99
2023-06-25 14:10:58.093077,99
2023-06-25 14:10:59.094168,99
2023-06-25 14:11:00.098055,99
2023-06-25 14:11:01.099634,99
2023-06-25 14:11:02.100540,99
2023-06-25 14:11:03.100834,99
2023-06-25 14:11:04.102361,99
2023-06-25 14:11:05.105764,99
2023-06-25 14:11:06.106378,99
2023-06-25 14:11:07.106636,99
2023-06-25 14:11:08.107286,99
2023-06-25 14:11:09.107863,99
2023-06-25 14:11:10.109583,99
2023-06-25 14:11:11.110219,99
2023-06-25 14:11:12.111190,99
2023-06-25 14:11:13.112062,99
2023-06-25 14:11:14.112504,99
2023-06-25 14:11:15.112852,99
2023-06-25 14:11:16.113471,99
2023-06-25 14:11:17.114179,99
2023-06-25 14:11:18.114763,99
2023-06-25 14:11:19.115509,99
2023-06-25 14:11:20.116246,99
2023-06-25 14:11:21.116822,99
2023-06-25 14:11:22.117457,99
2023-06-25 14:11:23.124401,99
2023-06-25 14:11:24.124797,99
2023-06-25 14:11:25.125324,99
2023-06-25 14:11:26.125986,99
2023-06-25 14:11:27.126775,99
2023-06-25 14:11:28.127180,99
2023-06-25 14:11:29.127764,99
2023-06-25 14:11:30.128116,99
2023-06-25 14:11:31.129017,99
2023-06-25 14:11:32.129735,99
2023-06-25 14:11:33.130375,99
2023-06-25 14:11:34.130722,99
2023-06-25 14:11:35.131286,99
2023-06-25 14:11:36.131661,99
2023-06-25 14:11:37.132205,99
2023-06-25 14:11:38.132745,99
2023-06-25 14:11:39.133446,99
2023-06-25 14:11:40.133976,99
2023-06-25 14:11:41.134694,99
2023-06-25 14:11:42.135138,99
2023-06-25 14:11:43.135549,99
2023-06-25 14:11:44.135938,99
2023-06-25 14:11:45.136195,99
2023-06-25 14:11:46.136508,99
2023-06-25 14:11:47.136977,99
2023-06-25 14:11:48.137655,99
2023-06-25 14:11:49.138258,99
2023-06-25 14:11:50.138662,99
2023-06-25 14:11:51.139366,99
2023-06-25 14:11:52.139901,99
2023-06-25 14:11:53.140272,99
2023-06-25 14:11:54.140535,99
2023-06-25 14:11:55.141095,99
2023-06-25 14:11:56.141897,99
2023-06-25 14:11:57.142483,99
2023-06-25 14:11:58.143122,99
2023-06-25 14:11:59.143892,99
2023-06-25 14:12:00.144270,99
2023-06-25 14:12:01.145085,99
2023-06-25 14:12:02.145770,99
2023-06-25 14:12:03.146389,99
2023-06-25 14:12:04.146931,99
2023-06-25 14:12:05.147476,99
2023-06-25 14:12:06.148009,99
2023-06-25 14:12:07.148617,99
2023-06-25 14:12:08.149064,99
2023-06-25 14:12:09.149617,99
2023-06-25 14:12:10.150027,99
2023-06-25 14:12:11.150555,99
2023-06-25 14:12:12.150992,99
2023-06-25 14:12:13.151597,99
2023-06-25 14:12:14.152237,99
2023-06-25 14:12:15.153041,99
2023-06-25 14:12:16.153601,99
2023-06-25 14:12:17.154276,99
2023-06-25 14:12:18.155180,99
2023-06-25 14:12:19.155674,99
2023-06-25 14:12:20.155960,98
2023-06-25 14:12:21.156685,98
2023-06-25 14:12:22.157449,98
2023-06-25 14:12:23.158050,98
2023-06-25 14:12:24.158512,98
2023-06-25 14:12:25.159453,98
2023-06-25 14:12:26.160123,98
2023-06-25 14:12:27.160391,98
2023-06-25 14:12:28.161101,98
2023-06-25 14:12:29.161507,98
2023-06-25 14:12:30.162069,98
2023-06-25 14:12:31.162714,98
2023-06-25 14:12:32.163435,98
2023-06-25 14:12:33.163925,98
2023-06-25 14:12:34.164528,98
2023-06-25 14:12:35.165294,98
2023-06-25 14:12:36.165805,98
2023-06-25 14:12:37.166261,98
2023-06-25 14:12:38.166766,98
2023-06-25 14:12:39.167175,98
2023-06-25 14:12:40.167966,98
2023-06-25 14:12:41.168540,98
2023-06-25 14:12:42.169369,98
2023-06-25 14:12:43.169947,98
2023-06-25 14:12:44.170735,98
2023-06-25 14:12:45.171635,98
2023-06-25 14:12:46.172283,98
2023-06-25 14:12:47.172757,98
2023-06-25 14:12:48.173456,98
2023-06-25 14:12:49.174033,98
2023-06-25 14:12:50.174332,98
2023-06-25 14:12:51.175141,98
2023-06-25 14:12:52.175918,98
2023-06-25 14:12:53.176627,98
2023-06-25 14:12:54.177284,98
2023-06-25 14:12:55.178092,98
2023-06-25 14:12:56.178873,98
2023-06-25 14:12:57.179157,98
2023-06-25 14:12:58.179926,98
2023-06-25 14:12:59.180469,98
2023-06-25 14:13:00.181093,98
2023-06-25 14:13:01.182216,98
2023-06-25 14:13:02.182682,98
2023-06-25 14:13:03.183597,98
2023-06-25 14:13:04.184502,98
2023-06-25 14:13:05.185383,98
2023-06-25 14:13:06.185668,98
2023-06-25 14:13:07.185993,98
2023-06-25 14:13:08.186796,98
2023-06-25 14:13:09.187019,98
2023-06-25 14:13:10.187378,98
2023-06-25 14:13:11.188088,98
2023-06-25 14:13:12.188832,98
2023-06-25 14:13:13.189492,98
2023-06-25 14:13:14.190012,98
2023-06-25 14:13:15.190464,98
2023-06-25 14:13:16.191250,98
2023-06-25 14:13:17.191820,98
2023-06-25 14:13:18.192363,98
2023-06-25 14:13:19.193206,98
2023-06-25 14:13:20.193455,98
2023-06-25 14:13:21.193823,98
2023-06-25 14:13:22.194534,98
2023-06-25 14:13:23.195243,98
2023-06-25 14:13:24.196111,98
2023-06-25 14:13:25.196767,98
2023-06-25 14:13:26.197374,98
2023-06-25 14:13:27.197857,98
2023-06-25 14:13:28.198752,98
2023-06-25 14:13:29.199604,98
2023-06-25 14:13:30.200204,98
2023-06-25 14:13:31.200870,98
2023-06-25 14:13:32.201460,98
2023-06-25 14:13:33.202354,98
2023-06-25 14:13:34.202740,98
2023-06-25 14:13:35.203502,98
2023-06-25 14:13:36.204180,98
2023-06-25 14:13:37.204615,98
2023-06-25 14:13:38.205147,98
2023-06-25 14:13:39.205987,98
2023-06-25 14:13:40.206262,98
2023-06-25 14:13:41.207191,98
2023-06-25 14:13:42.207622,98
2023-06-25 14:13:43.208157,98
2023-06-25 14:13:44.209057,98
2023-06-25 14:13:45.209701,98
2023-06-25 14:13:46.210098,98
2023-06-25 14:13:47.210420,98
2023-06-25 14:13:48.210900,98
2023-06-25 14:13:49.211415,98
2023-06-25 14:13:50.211956,98
2023-06-25 14:13:51.212602,98
2023-06-25 14:13:52.213072,98
2023-06-25 14:13:53.213377,98
2023-06-25 14:13:54.213709,98
2023-06-25 14:13:55.214282,98
2023-06-25 14:13:56.215122,98
2023-06-25 14:13:57.215429,98
2023-06-25 14:13:58.216004,98
2023-06-25 14:13:59.217105,98
2023-06-25 14:14:00.217798,98
2023-06-25 14:14:01.218486,98
2023-06-25 14:14:02.219077,98
2023-06-25 14:14:03.219455,98
2023-06-25 14:14:04.219942,98
2023-06-25 14:14:05.220351,98
2023-06-25 14:14:06.220805,98
2023-06-25 14:14:07.221146,98
2023-06-25 14:14:08.221978,98
2023-06-25 14:14:09.222752,98
2023-06-25 14:14:10.223494,98
2023-06-25 14:14:11.224292,98
2023-06-25 14:14:12.224801,98
2023-06-25 14:14:13.225594,98
2023-06-25 14:14:14.226663,98
2023-06-25 14:14:15.227067,98
2023-06-25 14:14:16.227554,98
2023-06-25 14:14:17.228421,98
2023-06-25 14:14:18.228893,98
2023-06-25 14:14:19.229373,98
2023-06-25 14:14:20.229753,98
2023-06-25 14:14:21.230394,98
2023-06-25 14:14:22.230786,98
2023-06-25 14:14:23.231511,98
2023-06-25 14:14:24.232209,98
2023-06-25 14:14:25.232851,98
2023-06-25 14:14:26.233521,98
2023-06-25 14:14:27.234332,98
2023-06-25 14:14:28.235004,98
2023-06-25 14:14:29.235241,98
2023-06-25 14:14:30.235940,98
2023-06-25 14:14:31.236559,98
2023-06-25 14:14:32.236883,98
2023-06-25 14:14:33.237329,98
2023-06-25 14:14:34.237683,98
2023-06-25 14:14:35.238419,98
2023-06-25 14:14:36.238812,98
2023-06-25 14:14:37.239179,98
2023-06-25 14:14:38.239813,98
2023-06-25 14:14:39.240489,98
2023-06-25 14:14:40.241105,98
2023-06-25 14:14:41.241448,98
2023-06-25 14:14:42.241940,98
2023-06-25 14:14:43.242889,98
2023-06-25 14:14:44.243257,98
2023-06-25 14:14:45.243701,98
2023-06-25 14:14:46.244024,98
2023-06-25 14:14:47.244512,98
2023-06-25 14:14:48.245086,98
2023-06-25 14:14:49.245915,98
2023-06-25 14:14:50.246236,98
2023-06-25 14:14:51.247029,98
2023-06-25 14:14:52.247875,98
2023-06-25 14:14:53.248610,98
2023-06-25 14:14:54.249208,98
2023-06-25 14:14:55.250156,98
2023-06-25 14:14:56.250646,97
2023-06-25 14:14:57.258640,97
2023-06-25 14:14:58.259095,97
2023-06-25 14:14:59.259760,97
2023-06-25 14:15:00.260231,97
2023-06-25 14:15:01.260906,97
2023-06-25 14:15:02.261614,97
2023-06-25 14:15:03.262396,97
2023-06-25 14:15:04.263174,97
2023-06-25 14:15:05.263453,97
2023-06-25 14:15:06.264252,97
2023-06-25 14:15:07.264787,97
2023-06-25 14:15:08.265567,97
2023-06-25 14:15:09.265924,97
2023-06-25 14:15:10.266458,97
2023-06-25 14:15:11.267795,97
2023-06-25 14:15:12.268326,97
2023-06-25 14:15:13.269261,97
2023-06-25 14:15:14.269866,97
2023-06-25 14:15:15.270427,97
2023-06-25 14:15:16.271345,97
2023-06-25 14:15:17.271907,97
2023-06-25 14:15:18.272234,97
2023-06-25 14:15:19.272950,97
2023-06-25 14:15:20.273471,97
2023-06-25 14:15:21.274187,97
