asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 08:04:11.811,UAVFrameProducer,None,input,1,-1,-1,0.0,0.0,921.74,0.0,11.13,180.95,0
2023/06/26 08:04:11.854,UAVFrameProducer,None,input,2,-1,-1,54.49,63.2,921.74,0.0,11.05,159.02,0
2023/06/26 08:04:11.860,UAVFrameProducer,None,input,3,-1,-1,16.73,12.27,921.74,0.0,11.33,137.05,1
2023/06/26 08:04:11.924,UAVFrameProducer,None,input,5,-1,-1,0.0,7.17,921.74,0.0,11.4,90.46,1
2023/06/26 08:04:11.928,UAVFrameProducer,None,input,4,-1,-1,10.1,8.64,921.74,0.0,11.41,188.87,2
2023/06/26 08:04:11.997,UAVFrameProducer,None,input,6,-1,-1,6.05,10.05,921.74,0.0,11.4,151.41,2
2023/06/26 08:04:12.000,UAVFrameProducer,None,input,7,-1,-1,0.0,8.26,921.74,0.0,11.36,120.69,3
2023/06/26 08:04:12.051,UAVFrameProducer,None,input,8,-1,-1,19.4,12.35,921.74,0.0,11.36,143.97,4
2023/06/26 08:04:12.084,UAVFrameProducer,None,input,10,-1,-1,0.0,8.96,921.74,0.0,11.31,63.37,3
2023/06/26 08:04:12.114,UAVFrameProducer,None,input,9,-1,-1,0.0,8.82,921.74,0.0,11.36,167.08,5
2023/06/26 08:04:12.173,UAVFrameProducer,None,input,11,-1,-1,12.35,9.59,921.74,0.0,11.31,136.49,4
2023/06/26 08:04:12.223,UAVFrameProducer,None,input,13,-1,-1,0.0,15.93,921.74,0.0,11.37,110.75,6
2023/06/26 08:04:12.240,UAVFrameProducer,None,input,12,-1,-1,8.87,5.99,921.74,0.0,11.34,189.92,5
2023/06/26 08:04:12.275,UAVFrameProducer,None,input,14,-1,-1,23.01,16.25,921.74,0.0,11.42,124.66,7
2023/06/26 08:04:12.291,UAVFrameProducer,None,input,15,-1,-1,10.72,21.25,921.74,0.0,11.29,120.95,6
2023/06/26 08:04:12.324,UAVFrameProducer,None,input,16,-1,-1,27.06,10.75,921.74,0.0,11.34,103.87,8
2023/06/26 08:04:12.386,UAVFrameProducer,None,input,17,-1,-1,0.0,28.02,921.74,0.0,11.35,132.62,7
2023/06/26 08:04:12.424,UAVFrameProducer,None,input,19,-1,-1,0.0,2.0,921.74,0.0,11.42,94.05,9
2023/06/26 08:04:12.452,UAVFrameProducer,None,input,18,-1,-1,0.0,16.19,921.74,0.0,11.34,186.51,8
2023/06/26 08:04:12.499,UAVFrameProducer,None,input,20,-1,-1,11.51,28.98,921.74,0.0,11.42,140.23,9
2023/06/26 08:04:12.531,UAVFrameProducer,None,input,22,-1,-1,0.0,10.99,921.74,0.0,9.79,57.49,10
2023/06/26 08:04:12.629,UAVFrameProducer,None,input,21,-1,-1,0.0,13.39,921.74,0.0,11.29,216.63,10
2023/06/26 08:04:12.650,UAVFrameProducer,None,input,24,-1,-1,0.0,1.5,921.74,0.0,11.15,118.68,11
2023/06/26 08:04:12.689,UAVFrameProducer,None,input,23,-1,-1,10.68,13.41,921.74,0.0,10.71,193.07,11
2023/06/26 08:04:12.752,UAVFrameProducer,None,input,25,-1,-1,46.6,10.51,921.74,0.0,11.15,161.26,12
2023/06/26 08:04:12.784,UAVFrameProducer,None,input,26,-1,-1,15.53,24.22,921.74,0.0,11.39,160.11,12
2023/06/26 08:04:12.815,UAVFrameProducer,None,input,28,-1,-1,0.0,13.67,921.74,0.0,11.5,95.47,13
2023/06/26 08:04:12.832,UAVFrameProducer,None,input,27,-1,-1,22.76,28.54,921.74,0.0,11.37,180.21,13
2023/06/26 08:04:12.867,UAVFrameProducer,None,input,29,-1,-1,36.86,10.73,921.74,0.0,11.51,102.3,14
2023/06/26 08:04:12.910,UAVFrameProducer,None,input,30,-1,-1,10.26,23.41,921.74,0.0,11.39,126.07,15
2023/06/26 08:04:12.968,UAVFrameProducer,None,input,31,-1,-1,0.0,6.67,921.74,0.0,11.41,127.42,16
2023/06/26 08:04:13.017,UAVFrameProducer,None,input,32,-1,-1,0.0,4.92,921.74,0.0,11.36,122.6,17
2023/06/26 08:04:13.040,UAVFrameProducer,None,input,34,-1,-1,0.0,8.92,921.74,0.0,11.36,55.42,14
2023/06/26 08:04:13.092,UAVFrameProducer,None,input,33,-1,-1,0.0,3.08,921.74,10.28,11.34,150.91,18
2023/06/26 08:04:13.111,UAVFrameProducer,None,input,36,-1,-1,0.0,9.33,921.74,0.0,11.44,73.22,15
2023/06/26 08:04:13.122,UAVFrameProducer,None,input,35,-1,-1,5.32,7.34,921.74,0.0,11.36,128.03,19
2023/06/26 08:04:13.176,UAVFrameProducer,None,input,37,-1,-1,10.1,15.47,921.74,0.0,11.33,121.85,16
2023/06/26 08:04:13.192,UAVFrameProducer,None,input,39,-1,-1,0.0,7.87,921.74,0.0,11.34,65.47,20
2023/06/26 08:04:13.208,UAVFrameProducer,None,input,38,-1,-1,24.39,6.65,921.74,0.0,11.38,115.55,17
2023/06/26 08:04:13.231,UAVFrameProducer,None,input,40,-1,-1,14.19,7.84,921.74,0.0,11.29,80.19,21
2023/06/26 08:04:13.258,UAVFrameProducer,None,input,41,-1,-1,10.95,8.13,921.74,0.0,11.29,91.77,18
2023/06/26 08:04:13.326,UAVFrameProducer,None,input,42,-1,-1,23.46,19.43,921.74,0.0,11.24,132.9,19
2023/06/26 08:04:13.350,UAVFrameProducer,None,input,44,-1,-1,0.0,16.56,921.74,0.0,11.14,57.63,22
2023/06/26 08:04:13.401,UAVFrameProducer,None,input,43,-1,-1,0.0,1.6,921.74,3.32,11.26,157.79,20
2023/06/26 08:04:13.418,UAVFrameProducer,None,input,46,-1,-1,0.0,3.53,921.74,0.0,11.12,68.71,23
2023/06/26 08:04:13.464,UAVFrameProducer,None,input,45,-1,-1,13.27,19.3,921.74,0.0,11.14,149.37,21
2023/06/26 08:04:13.539,UAVFrameProducer,None,input,47,-1,-1,18.35,12.16,921.74,0.0,11.12,149.2,22
2023/06/26 08:04:13.609,UAVFrameProducer,None,input,48,-1,-1,0.0,8.26,921.74,0.0,10.99,191.18,23
2023/06/26 08:04:13.655,UAVFrameProducer,None,input,50,-1,-1,0.0,13.8,921.74,0.0,10.91,80.96,24
2023/06/26 08:04:13.675,UAVFrameProducer,None,input,49,-1,-1,0.0,11.47,921.74,0.0,10.34,193.13,24
2023/06/26 08:04:13.741,UAVFrameProducer,None,input,51,-1,-1,8.33,15.39,921.74,0.0,10.99,154.76,25
2023/06/26 08:04:13.758,UAVFrameProducer,None,input,53,-1,-1,0.0,2.15,921.74,0.0,10.78,66.49,25
2023/06/26 08:04:13.797,UAVFrameProducer,None,input,52,-1,-1,0.0,2.61,921.74,0.0,11.16,147.68,26
2023/06/26 08:04:13.851,UAVFrameProducer,None,input,54,-1,-1,20.71,10.16,921.74,0.0,10.77,122.31,27
2023/06/26 08:04:13.895,UAVFrameProducer,None,input,55,-1,-1,0.0,3.75,921.74,0.0,10.74,137.58,28
2023/06/26 08:04:13.918,UAVFrameProducer,None,input,57,-1,-1,0.0,11.55,921.74,0.0,10.66,46.35,26
2023/06/26 08:04:13.983,UAVFrameProducer,None,input,56,-1,-1,0.0,3.89,921.74,0.0,10.75,169.18,29
2023/06/26 08:04:13.997,UAVFrameProducer,None,input,59,-1,-1,0.0,2.0,921.74,0.0,10.63,77.27,27
2023/06/26 08:04:14.055,UAVFrameProducer,None,input,58,-1,-1,7.79,13.31,921.74,0.0,10.5,164.15,30
2023/06/26 08:04:14.091,UAVFrameProducer,None,input,60,-1,-1,24.5,8.57,921.74,0.0,10.63,130.98,28
2023/06/26 08:04:14.127,UAVFrameProducer,None,input,61,-1,-1,19.26,21.71,921.74,0.0,10.79,142.88,31
2023/06/26 08:04:14.181,UAVFrameProducer,None,input,62,-1,-1,0.0,5.52,921.74,0.0,10.93,177.86,32
2023/06/26 08:04:14.193,UAVFrameProducer,None,input,64,-1,-1,0.0,3.86,921.74,0.0,11.21,50.53,29
2023/06/26 08:04:14.220,UAVFrameProducer,None,input,63,-1,-1,0.0,14.73,921.74,0.0,11.08,133.62,33
2023/06/26 08:04:14.284,UAVFrameProducer,None,input,65,-1,-1,8.23,14.19,921.74,0.0,11.21,127.5,30
2023/06/26 08:04:14.327,UAVFrameProducer,None,input,67,-1,-1,0.0,8.12,921.74,0.0,11.11,63.46,34
2023/06/26 08:04:14.356,UAVFrameProducer,None,input,66,-1,-1,17.55,14.06,921.74,0.0,11.21,177.18,31
2023/06/26 08:04:14.392,UAVFrameProducer,None,input,68,-1,-1,13.35,24.71,921.74,0.0,11.04,112.54,35
2023/06/26 08:04:14.419,UAVFrameProducer,None,input,70,-1,-1,0.0,3.33,921.74,0.0,10.83,66.05,32
2023/06/26 08:04:14.465,UAVFrameProducer,None,input,69,-1,-1,26.36,9.12,921.74,0.0,10.76,141.09,36
2023/06/26 08:04:14.487,UAVFrameProducer,None,input,71,-1,-1,25.3,13.34,921.74,0.0,10.83,99.87,33
2023/06/26 08:04:14.526,UAVFrameProducer,None,input,72,-1,-1,12.11,17.35,921.74,0.0,10.89,116.59,37
2023/06/26 08:04:14.566,UAVFrameProducer,None,input,73,-1,-1,10.12,9.82,921.74,0.0,10.89,139.89,34
2023/06/26 08:04:14.597,UAVFrameProducer,None,input,74,-1,-1,17.39,16.41,921.74,0.0,9.43,136.8,38
