time,battery_percentage
2023-06-26 01:04:06.364076,100
2023-06-26 01:04:07.364811,100
2023-06-26 01:04:08.365453,100
2023-06-26 01:04:09.366590,100
2023-06-26 01:04:10.367440,100
2023-06-26 01:04:11.369049,100
2023-06-26 01:04:12.369402,100
2023-06-26 01:04:13.372627,100
2023-06-26 01:04:14.373780,100
2023-06-26 01:04:15.374618,100
2023-06-26 01:04:16.376223,100
2023-06-26 01:04:17.376999,100
2023-06-26 01:04:18.379425,100
2023-06-26 01:04:19.383928,100
2023-06-26 01:04:20.390490,100
2023-06-26 01:04:21.392497,100
2023-06-26 01:04:22.398213,100
2023-06-26 01:04:23.399121,100
2023-06-26 01:04:24.400389,100
2023-06-26 01:04:25.401107,100
2023-06-26 01:04:26.401580,100
2023-06-26 01:04:27.402107,100
2023-06-26 01:04:28.403471,100
2023-06-26 01:04:29.404504,100
2023-06-26 01:04:30.410949,100
2023-06-26 01:04:31.411962,100
2023-06-26 01:04:32.414095,100
2023-06-26 01:04:33.415522,100
2023-06-26 01:04:34.419629,100
2023-06-26 01:04:35.420945,100
2023-06-26 01:04:36.428928,100
2023-06-26 01:04:37.433095,100
2023-06-26 01:04:38.434429,100
2023-06-26 01:04:39.435593,100
2023-06-26 01:04:40.438691,100
2023-06-26 01:04:41.439325,100
2023-06-26 01:04:42.444163,100
2023-06-26 01:04:43.444459,100
2023-06-26 01:04:44.445867,100
2023-06-26 01:04:45.450637,100
2023-06-26 01:04:46.451948,100
2023-06-26 01:04:47.453109,100
2023-06-26 01:04:48.455891,100
2023-06-26 01:04:49.457572,100
2023-06-26 01:04:50.458325,100
2023-06-26 01:04:51.461480,100
2023-06-26 01:04:52.462658,100
2023-06-26 01:04:53.463324,100
2023-06-26 01:04:54.464239,100
2023-06-26 01:04:55.465341,100
2023-06-26 01:04:56.468256,100
2023-06-26 01:04:57.470519,100
2023-06-26 01:04:58.480095,100
2023-06-26 01:04:59.481256,100
2023-06-26 01:05:00.482945,100
2023-06-26 01:05:01.488738,100
2023-06-26 01:05:02.490297,100
2023-06-26 01:05:03.490546,100
2023-06-26 01:05:04.493066,100
2023-06-26 01:05:05.493865,100
2023-06-26 01:05:06.495695,100
2023-06-26 01:05:07.502672,100
2023-06-26 01:05:08.508148,100
2023-06-26 01:05:09.509090,100
2023-06-26 01:05:10.516103,100
2023-06-26 01:05:11.518686,100
2023-06-26 01:05:12.521499,100
2023-06-26 01:05:13.521846,100
2023-06-26 01:05:14.523316,100
2023-06-26 01:05:15.537983,100
2023-06-26 01:05:16.543736,100
2023-06-26 01:05:17.544236,100
2023-06-26 01:05:18.554603,100
2023-06-26 01:05:19.557962,100
2023-06-26 01:05:20.558612,100
2023-06-26 01:05:21.558958,100
2023-06-26 01:05:22.559504,100
2023-06-26 01:05:23.561137,100
2023-06-26 01:05:24.566376,100
2023-06-26 01:05:25.566966,100
2023-06-26 01:05:26.568725,100
2023-06-26 01:05:27.569417,100
2023-06-26 01:05:28.574378,100
2023-06-26 01:05:29.577930,100
2023-06-26 01:05:30.581403,100
2023-06-26 01:05:31.582836,100
2023-06-26 01:05:32.603959,100
2023-06-26 01:05:33.605004,100
2023-06-26 01:05:34.607110,100
2023-06-26 01:05:35.609318,100
2023-06-26 01:05:36.612675,100
2023-06-26 01:05:37.614869,100
2023-06-26 01:05:38.615596,100
2023-06-26 01:05:39.615776,100
2023-06-26 01:05:40.616010,100
2023-06-26 01:05:41.616886,100
2023-06-26 01:05:42.617453,100
2023-06-26 01:05:43.618962,100
2023-06-26 01:05:44.619485,100
2023-06-26 01:05:45.620001,100
2023-06-26 01:05:46.621586,100
2023-06-26 01:05:47.622501,100
2023-06-26 01:05:48.623103,100
2023-06-26 01:05:49.633015,100
2023-06-26 01:05:50.634212,100
2023-06-26 01:05:51.636168,100
2023-06-26 01:05:52.636962,100
2023-06-26 01:05:53.643987,100
2023-06-26 01:05:54.649434,100
2023-06-26 01:05:55.650689,100
2023-06-26 01:05:56.651791,100
2023-06-26 01:05:57.652461,100
2023-06-26 01:05:58.653553,100
2023-06-26 01:05:59.656646,100
2023-06-26 01:06:00.657318,100
2023-06-26 01:06:01.658192,100
2023-06-26 01:06:02.658711,100
2023-06-26 01:06:03.659177,100
2023-06-26 01:06:04.659431,100
2023-06-26 01:06:05.662071,100
2023-06-26 01:06:06.664822,100
2023-06-26 01:06:07.683497,100
2023-06-26 01:06:08.685379,100
2023-06-26 01:06:09.688680,100
2023-06-26 01:06:10.693216,100
2023-06-26 01:06:11.693498,100
2023-06-26 01:06:12.694500,100
2023-06-26 01:06:13.698369,100
2023-06-26 01:06:14.699389,100
2023-06-26 01:06:15.712444,100
2023-06-26 01:06:16.714861,100
2023-06-26 01:06:17.716113,100
2023-06-26 01:06:18.717246,100
2023-06-26 01:06:19.721622,100
2023-06-26 01:06:20.722427,100
2023-06-26 01:06:21.723023,100
2023-06-26 01:06:22.724522,100
2023-06-26 01:06:23.725973,100
2023-06-26 01:06:24.726941,100
2023-06-26 01:06:25.732392,100
2023-06-26 01:06:26.742932,100
2023-06-26 01:06:27.743494,100
2023-06-26 01:06:28.744379,100
2023-06-26 01:06:29.748345,100
2023-06-26 01:06:30.748738,100
2023-06-26 01:06:31.751647,100
2023-06-26 01:06:32.752386,100
2023-06-26 01:06:33.753961,100
2023-06-26 01:06:34.754454,100
2023-06-26 01:06:35.755434,100
2023-06-26 01:06:36.755851,100
2023-06-26 01:06:37.756663,100
2023-06-26 01:06:38.757801,100
2023-06-26 01:06:39.759159,100
2023-06-26 01:06:40.760867,100
2023-06-26 01:06:41.761794,100
2023-06-26 01:06:42.762186,100
2023-06-26 01:06:43.762505,100
2023-06-26 01:06:44.763207,100
2023-06-26 01:06:45.765316,100
2023-06-26 01:06:46.777902,100
2023-06-26 01:06:47.779317,100
2023-06-26 01:06:48.779424,100
2023-06-26 01:06:49.779923,100
2023-06-26 01:06:50.780874,100
2023-06-26 01:06:51.789839,100
2023-06-26 01:06:52.790500,100
2023-06-26 01:06:53.790801,100
2023-06-26 01:06:54.796526,100
2023-06-26 01:06:55.799551,100
2023-06-26 01:06:56.800703,100
2023-06-26 01:06:57.801151,100
