asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/19 09:05:09.000,LocalForwarder2,result,result,2,1178,18820.31,-810.62,128451.96,0.32,0.07,0.32,57.3,4142
2023/05/19 09:05:09.412,LocalForwarder2,result,result,5,1179,19094.91,-786.72,451.67,0.32,0.02,0.32,4.91,4144
2023/05/19 09:05:09.836,LocalForwarder2,result,result,6,1180,19482.69,-828.87,408.54,0.32,0.02,0.32,15.74,4146
2023/05/19 09:05:10.044,LocalForwarder2,result,result,10,1181,19436.42,-821.29,193.15,0.32,0.01,0.32,4.29,4148
2023/05/19 09:05:10.254,LocalForwarder2,result,result,11,1182,19613.91,-811.89,187.11,0.32,0.02,0.32,28.03,4149
2023/05/19 09:05:10.440,LocalForwarder2,result,result,12,1183,19769.29,-819.29,192.44,0.32,0.01,0.32,17.42,4151
2023/05/19 09:05:10.649,LocalForwarder2,result,result,15,1184,19809.82,-809.5,208.1,0.32,0.01,0.32,15.02,4152
2023/05/19 09:05:10.821,LocalForwarder2,result,result,17,1185,19916.41,-826.24,172.71,0.32,0.01,0.32,4.75,4154
2023/05/19 09:05:11.034,LocalForwarder2,result,result,18,1186,20105.12,-825.57,199.62,0.32,0.01,0.32,9.02,4156
2023/05/19 09:05:11.235,LocalForwarder2,result,result,20,1187,20217.06,-823.09,202.69,0.32,0.02,0.32,7.96,4157
2023/05/19 09:05:11.448,LocalForwarder2,result,result,23,1188,20299.65,-825.27,192.66,0.32,0.02,0.32,20.87,4159
2023/05/19 09:05:11.650,LocalForwarder2,result,result,26,1189,20412.23,-820.5,209.34,0.38,0.01,0.38,10.45,4161
2023/05/19 09:05:11.865,LocalForwarder2,result,result,34,1190,19768.44,-814.93,208.74,0.32,0.01,0.32,13.2,4163
2023/05/19 09:05:12.055,LocalForwarder2,result,result,36,1191,19655.19,-829.18,191.12,0.38,0.02,0.38,6.94,4164
2023/05/19 09:05:12.256,LocalForwarder2,result,result,38,1192,19749.14,-828.57,196.44,0.32,0.02,0.32,7.55,4166
2023/05/19 09:05:12.472,LocalForwarder2,result,result,41,1193,19811.41,-824.93,210.64,0.32,0.01,0.32,8.81,4169
2023/05/19 09:05:12.659,LocalForwarder2,result,result,43,1194,19920.35,-828.4,187.38,0.32,0.02,0.32,4.74,4171
2023/05/19 09:05:12.871,LocalForwarder2,result,result,47,1195,19942.37,-833.36,196.79,0.32,0.02,0.32,7.1,4173
2023/05/19 09:05:13.102,LocalForwarder2,result,result,48,1196,20120.65,-796.51,230.52,0.32,0.02,0.32,8.33,4174
2023/05/19 09:05:13.299,LocalForwarder2,result,result,51,1197,20197.78,-797.87,197.52,0.32,0.02,0.32,4.93,4177
2023/05/19 09:05:13.489,LocalForwarder2,result,result,52,1198,20295.95,-806.97,188.16,0.32,0.01,0.32,4.13,4178
2023/05/19 09:05:13.740,LocalForwarder2,result,result,55,1199,20428.75,-798.96,239.74,0.32,0.01,0.32,12.01,4180
2023/05/19 09:05:13.917,LocalForwarder2,result,result,58,1200,20465.91,-825.85,169.41,0.32,0.01,0.32,10.11,4182
2023/05/19 09:05:14.115,LocalForwarder2,result,result,61,1201,20507.69,-818.65,201.8,0.32,0.01,0.32,4.5,4183
