asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/18 16:13:41.010,MyForwarder,result,result,2,2041,1288.05,-702.46,170734.84,0.32,0.03,0.32,9.7,2
2023/05/18 16:13:41.183,MyForwarder,result,result,6,2042,798.47,-702.88,176.04,0.32,0.01,0.32,4.58,4
2023/05/18 16:13:41.357,MyForwarder,result,result,11,2043,692.31,-715.58,159.38,0.32,0.01,0.32,16.3,5
2023/05/18 16:13:41.530,MyForwarder,result,result,12,2044,846.77,-721.02,166.87,0.32,0.01,0.32,12.89,7
2023/05/18 16:13:41.747,MyForwarder,result,result,15,2045,917.0,-682.97,220.05,0.32,0.01,0.32,5.99,9
2023/05/18 16:13:41.869,MyForwarder,result,result,17,2046,938.41,-728.78,104.4,0.32,0.01,0.32,13.05,11
2023/05/18 16:13:42.071,MyForwarder,result,result,18,2047,1131.73,-705.51,205.2,0.32,0.02,0.32,10.98,13
2023/05/18 16:13:42.259,MyForwarder,result,result,20,2048,1230.54,-711.62,185.05,0.32,0.01,0.32,5.72,14
2023/05/18 16:13:42.451,MyForwarder,result,result,21,2049,1397.02,-726.32,181.41,0.32,0.01,0.32,8.95,16
2023/05/18 16:13:42.635,MyForwarder,result,result,26,2050,1269.75,-722.71,185.34,0.32,0.01,0.32,7.03,18
2023/05/18 16:13:42.836,MyForwarder,result,result,34,2051,1010.6,-712.28,197.32,0.32,0.01,0.32,6.03,20
2023/05/18 16:13:43.016,MyForwarder,result,result,36,2052,1101.88,-724.57,174.33,0.32,0.02,0.32,7.17,22
2023/05/18 16:13:43.209,MyForwarder,result,result,38,2053,1200.15,-701.07,182.62,0.32,0.02,0.32,13.17,24
2023/05/18 16:13:43.360,MyForwarder,result,result,41,2054,1245.64,-728.75,153.18,0.32,0.02,0.32,4.46,26
2023/05/18 16:13:43.563,MyForwarder,result,result,43,2055,1289.33,-717.15,193.23,0.38,0.01,0.38,13.07,28
2023/05/18 16:13:43.732,MyForwarder,result,result,47,2056,1296.59,-729.43,173.4,0.32,0.02,0.32,4.17,29
2023/05/18 16:13:43.934,MyForwarder,result,result,48,2057,1443.01,-722.7,190.3,0.38,0.01,0.38,7.06,31
2023/05/18 16:13:44.139,MyForwarder,result,result,51,2058,1459.19,-713.8,199.17,0.32,0.01,0.32,9.29,32
2023/05/18 16:13:44.324,MyForwarder,result,result,52,2059,1577.91,-722.19,187.28,0.32,0.01,0.32,6.38,34
2023/05/18 16:13:44.513,MyForwarder,result,result,55,2060,1634.8,-725.88,189.14,0.32,0.01,0.32,5.64,36
2023/05/18 16:13:44.729,MyForwarder,result,result,58,2061,1704.91,-710.98,202.58,0.38,0.02,0.38,14.94,37
2023/05/18 16:13:44.931,MyForwarder,result,result,61,2062,1835.39,-697.66,208.77,0.37,0.01,0.37,4.28,39
2023/05/18 16:13:45.110,MyForwarder,result,result,63,2063,1936.52,-692.2,165.38,0.37,0.05,0.37,12.02,41
2023/05/18 16:13:45.263,MyForwarder,result,result,68,2064,1905.24,-727.67,158.59,0.38,0.01,0.38,4.99,42
2023/05/18 16:13:45.455,MyForwarder,result,result,69,2065,2075.75,-721.78,186.37,0.32,0.01,0.32,4.94,44
2023/05/18 16:13:45.735,MyForwarder,result,result,72,2066,2263.16,-726.41,265.39,0.37,0.02,0.37,6.27,46
2023/05/18 16:13:45.917,MyForwarder,result,result,82,2067,1925.49,-723.38,178.07,0.32,0.01,0.32,6.67,48
2023/05/18 16:13:46.118,MyForwarder,result,result,83,2068,2111.63,-721.75,194.22,0.38,0.01,0.38,3.83,50
2023/05/18 16:13:46.306,MyForwarder,result,result,86,2069,2184.36,-724.78,182.61,0.32,0.01,0.32,5.83,53
2023/05/18 16:13:46.519,MyForwarder,result,result,89,2070,2255.84,-679.33,212.37,0.38,0.01,0.38,4.46,55
2023/05/18 16:13:46.697,MyForwarder,result,result,93,2071,2256.2,-700.6,175.14,0.38,0.01,0.38,4.56,56
2023/05/18 16:13:46.911,MyForwarder,result,result,95,2072,2374.15,-728.23,211.34,0.44,0.01,0.44,4.09,58
2023/05/18 16:13:47.114,MyForwarder,result,result,101,2073,2266.42,-682.69,195.21,0.38,0.01,0.38,7.86,60
2023/05/18 16:13:47.269,MyForwarder,result,result,103,2074,2332.92,-727.26,146.63,0.32,0.01,0.32,11.75,61
2023/05/18 16:13:47.474,MyForwarder,result,result,110,2075,2158.96,-720.04,201.93,0.37,0.03,0.37,11.91,64
2023/05/18 16:13:47.669,MyForwarder,result,result,113,2076,2292.25,-726.14,189.21,0.32,0.01,0.32,7.07,66
2023/05/18 16:13:47.863,MyForwarder,result,result,116,2077,2388.32,-716.99,194.29,0.32,0.01,0.32,8.22,68
2023/05/18 16:13:48.051,MyForwarder,result,result,118,2078,2459.11,-730.29,190.33,0.32,0.01,0.32,3.31,70
2023/05/18 16:13:48.266,MyForwarder,result,result,122,2079,2512.39,-700.35,207.47,0.32,0.02,0.32,5.6,72
2023/05/18 16:13:48.455,MyForwarder,result,result,124,2080,2619.2,-726.49,185.03,0.32,0.01,0.32,6.16,74
2023/05/18 16:13:48.660,MyForwarder,result,result,130,2081,2625.37,-721.1,195.93,0.32,0.01,0.32,9.37,76
2023/05/18 16:13:48.914,MyForwarder,result,result,131,2082,2871.39,-685.7,256.38,0.37,0.01,0.37,4.83,78
2023/05/18 16:13:49.060,MyForwarder,result,result,135,2083,2889.9,-729.02,142.33,0.37,0.01,0.37,5.86,80
2023/05/18 16:13:49.326,MyForwarder,result,result,137,2084,3061.92,-715.17,255.91,0.32,0.03,0.32,8.23,81
2023/05/18 16:13:49.475,MyForwarder,result,result,139,2085,3023.96,-720.47,142.68,0.32,0.02,0.32,7.55,83
2023/05/18 16:13:49.678,MyForwarder,result,result,140,2086,3132.99,-721.04,189.56,0.32,0.01,0.32,16.44,84
2023/05/18 16:13:49.885,MyForwarder,result,result,145,2087,3158.56,-699.71,199.67,0.37,0.01,0.37,19.18,86
2023/05/18 16:13:50.045,MyForwarder,result,result,146,2088,3308.74,-725.32,171.88,0.37,0.01,0.37,4.39,88
2023/05/18 16:13:50.237,MyForwarder,result,result,147,2089,3434.74,-721.57,185.67,0.32,0.01,0.32,7.33,90
2023/05/18 16:13:50.456,MyForwarder,result,result,148,2090,3597.09,-726.2,199.79,0.32,0.02,0.32,18.41,92
2023/05/18 16:13:50.643,MyForwarder,result,result,150,2091,3691.42,-726.45,183.88,0.32,0.02,0.32,17.83,93
2023/05/18 16:13:50.856,MyForwarder,result,result,152,2092,3831.27,-710.9,196.79,0.32,0.02,0.32,6.88,94
2023/05/18 16:13:51.170,MyForwarder,result,result,154,2093,4055.13,-583.1,304.09,0.32,0.01,0.32,23.45,96
2023/05/18 16:13:51.197,MyForwarder,result,result,156,2094,4039.74,-688.68,42.49,0.32,0.01,0.32,6.6,97
2023/05/18 16:13:51.456,MyForwarder,result,result,158,2095,4207.4,-677.85,225.12,0.32,0.02,0.32,27.4,99
2023/05/18 16:13:51.755,MyForwarder,result,result,161,2096,4444.29,-716.16,296.51,0.32,0.02,0.32,21.29,100
2023/05/18 16:13:51.931,MyForwarder,result,result,162,2097,4591.53,-723.01,155.15,0.32,0.02,0.32,18.62,102
2023/05/18 16:13:52.073,MyForwarder,result,result,165,2098,4663.42,-729.04,149.52,0.32,0.04,0.32,11.63,104
2023/05/18 16:13:52.369,MyForwarder,result,result,167,2099,4899.16,-614.4,281.93,0.38,0.01,0.38,17.44,106
2023/05/18 16:13:52.467,MyForwarder,result,result,171,2100,4865.48,-706.87,105.48,0.32,0.01,0.32,6.74,108
2023/05/18 16:13:52.630,MyForwarder,result,result,176,2101,4869.58,-725.9,151.58,0.32,0.01,0.32,11.36,109
2023/05/18 16:13:52.845,MyForwarder,result,result,181,2102,4897.29,-717.14,212.02,0.32,0.01,0.32,6.58,111
2023/05/18 16:13:53.032,MyForwarder,result,result,182,2103,5067.84,-723.0,176.97,0.32,0.02,0.32,15.71,113
2023/05/18 16:13:53.231,MyForwarder,result,result,186,2104,5069.02,-708.7,207.47,0.32,0.01,0.32,4.47,114
2023/05/18 16:13:53.381,MyForwarder,result,result,189,2105,5111.34,-715.7,130.51,0.32,0.01,0.32,11.39,116
2023/05/18 16:13:53.630,MyForwarder,result,result,190,2106,5317.16,-702.46,212.44,0.32,0.02,0.32,27.44,117
2023/05/18 16:13:53.768,MyForwarder,result,result,192,2107,5417.72,-716.06,141.42,0.32,0.02,0.32,10.45,118
2023/05/18 16:13:54.031,MyForwarder,result,result,195,2108,5569.54,-723.78,265.81,0.32,0.01,0.32,4.82,120
2023/05/18 16:13:54.254,MyForwarder,result,result,196,2109,5767.57,-706.26,214.4,0.32,0.01,0.32,10.53,121
2023/05/18 16:13:54.462,MyForwarder,result,result,198,2110,5931.97,-704.91,206.85,0.32,0.01,0.32,8.4,123
