asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/19 09:05:08.816,LocalForwarder,preprocessed,preprocessed,2,6995,286.23,20.66,114314.0,307.36,0.02,307.36,18399.81,3492
2023/05/19 09:05:09.408,LocalForwarder,preprocessed,preprocessed,5,6996,180.5,7.9,72.41,307.36,0.03,307.36,18914.24,3493
2023/05/19 09:05:09.639,LocalForwarder,preprocessed,preprocessed,6,6997,274.41,14.84,114.46,307.36,0.02,307.36,19027.08,3494
2023/05/19 09:05:09.786,LocalForwarder,preprocessed,preprocessed,10,6998,18258.88,18152.18,16.39,307.36,0.02,307.36,934.49,3495
2023/05/19 09:05:09.961,LocalForwarder,preprocessed,preprocessed,11,6999,18812.08,18663.26,0.48,307.36,0.03,307.36,529.28,3496
2023/05/19 09:05:10.149,LocalForwarder,preprocessed,preprocessed,12,7000,19004.68,18821.03,0.53,307.36,0.01,307.36,490.69,3497
2023/05/19 09:05:10.278,LocalForwarder,preprocessed,preprocessed,15,7001,18986.08,18907.76,5.15,307.36,10.96,307.36,455.68,3498
2023/05/19 09:05:10.514,LocalForwarder,preprocessed,preprocessed,17,7002,19085.53,19014.86,10.08,307.36,0.01,307.36,534.55,3499
2023/05/19 09:05:10.681,LocalForwarder,preprocessed,preprocessed,18,7003,19261.39,19110.76,0.5,307.36,0.02,307.36,509.83,3500
2023/05/19 09:05:10.899,LocalForwarder,preprocessed,preprocessed,20,7004,19295.21,19185.0,12.49,307.36,0.02,307.36,599.78,3501
2023/05/19 09:05:11.065,LocalForwarder,preprocessed,preprocessed,21,7005,19517.6,19310.54,5.85,307.36,0.01,307.36,525.84,3502
2023/05/19 09:05:11.197,LocalForwarder,preprocessed,preprocessed,23,7006,19586.98,19418.05,0.42,307.36,0.02,307.36,482.8,3503
2023/05/19 09:05:11.320,LocalForwarder,preprocessed,preprocessed,26,7007,19691.49,19496.75,0.48,307.36,0.01,307.36,401.59,3504
2023/05/19 09:05:11.439,LocalForwarder,preprocessed,preprocessed,27,7008,19821.76,19478.48,15.68,307.36,0.02,307.36,349.72,3505
2023/05/19 09:05:11.560,LocalForwarder,preprocessed,preprocessed,34,7009,19130.58,18911.23,0.48,307.36,0.01,307.36,345.43,3506
2023/05/19 09:05:11.718,LocalForwarder,preprocessed,preprocessed,36,7010,18949.13,18817.76,6.57,307.36,0.02,307.36,376.86,3507
2023/05/19 09:05:11.892,LocalForwarder,preprocessed,preprocessed,37,7011,18974.83,18844.1,0.46,307.36,0.02,307.36,440.34,3508
2023/05/19 09:05:12.026,LocalForwarder,preprocessed,preprocessed,38,7012,19072.77,18874.06,0.48,307.36,0.03,307.36,453.9,3509
2023/05/19 09:05:12.171,LocalForwarder,preprocessed,preprocessed,41,7013,19095.72,18978.41,18.55,307.36,0.02,307.36,423.07,3510
2023/05/19 09:05:12.288,LocalForwarder,preprocessed,preprocessed,42,7014,19219.08,19046.21,0.53,307.36,0.02,307.36,386.64,3511
2023/05/19 09:05:12.407,LocalForwarder,preprocessed,preprocessed,43,7015,19311.06,19135.3,0.98,307.36,0.05,307.36,362.15,3512
2023/05/19 09:05:12.528,LocalForwarder,preprocessed,preprocessed,45,7016,19373.08,19207.56,9.92,307.36,0.02,307.36,336.03,3513
2023/05/19 09:05:12.635,LocalForwarder,preprocessed,preprocessed,47,7017,19391.65,19268.91,1.77,307.36,0.02,307.36,330.61,3514
2023/05/19 09:05:12.744,LocalForwarder,preprocessed,preprocessed,48,7018,19447.46,19275.31,0.81,307.36,0.02,307.36,325.99,3515
2023/05/19 09:05:12.859,LocalForwarder,preprocessed,preprocessed,49,7019,19521.0,19354.52,8.39,307.36,0.02,307.36,315.49,3516
2023/05/19 09:05:13.025,LocalForwarder,preprocessed,preprocessed,51,7020,19557.3,19403.84,6.75,307.36,0.02,307.36,371.41,3517
2023/05/19 09:05:13.150,LocalForwarder,preprocessed,preprocessed,52,7021,19568.94,19455.07,0.78,307.36,0.01,307.36,391.66,3518
2023/05/19 09:05:13.266,LocalForwarder,preprocessed,preprocessed,54,7022,19623.05,19513.8,0.58,307.36,0.02,307.36,398.77,3519
2023/05/19 09:05:13.401,LocalForwarder,preprocessed,preprocessed,55,7023,19747.22,19632.51,12.14,307.36,0.02,307.36,354.34,3520
2023/05/19 09:05:13.519,LocalForwarder,preprocessed,preprocessed,56,7024,19813.56,19584.34,0.45,307.36,0.01,307.36,358.56,3521
2023/05/19 09:05:13.658,LocalForwarder,preprocessed,preprocessed,58,7025,19833.11,19582.32,0.46,307.36,0.03,307.36,377.11,3522
2023/05/19 09:05:13.801,LocalForwarder,preprocessed,preprocessed,61,7026,19816.12,19664.82,6.66,307.36,0.02,307.36,380.52,3523
2023/05/19 09:05:13.940,LocalForwarder,preprocessed,preprocessed,62,7027,19881.94,19711.05,0.47,307.36,0.02,307.36,408.0,3524
2023/05/19 09:05:14.095,LocalForwarder,preprocessed,preprocessed,63,7028,19949.75,19792.77,0.46,307.36,0.01,307.36,428.55,3525
2023/05/19 09:05:14.211,LocalForwarder,preprocessed,preprocessed,67,7029,19952.94,19869.65,4.76,307.36,0.21,307.36,390.63,3526
2023/05/19 09:05:14.327,LocalForwarder,preprocessed,preprocessed,68,7030,20073.4,19955.81,6.81,307.36,0.01,307.36,369.08,3527
2023/05/19 09:05:14.443,LocalForwarder,preprocessed,preprocessed,69,7031,20181.47,20013.36,0.55,307.36,0.02,307.36,333.35,3528
2023/05/19 09:05:14.575,LocalForwarder,preprocessed,preprocessed,72,7032,20197.39,20041.89,0.58,307.36,0.01,307.36,354.08,3529
2023/05/19 09:05:14.702,LocalForwarder,preprocessed,preprocessed,74,7033,20269.27,20128.92,13.42,307.36,0.02,307.36,348.79,3530
2023/05/19 09:05:14.823,LocalForwarder,preprocessed,preprocessed,76,7034,20280.67,20183.35,0.56,307.36,0.03,307.36,365.11,3531
2023/05/19 09:05:14.939,LocalForwarder,preprocessed,preprocessed,82,7035,20070.62,20020.53,0.6,307.36,0.02,307.36,346.45,3532
