asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/18 16:13:40.787,MyForwarder,preprocessed,preprocessed,2,0,905.75,38.31,170729.78,307.36,0.02,307.36,171.52,8062
2023/05/18 16:13:40.896,MyForwarder,preprocessed,preprocessed,6,1,247.46,37.13,6.81,307.36,0.02,307.36,268.21,8063
2023/05/18 16:13:41.013,MyForwarder,preprocessed,preprocessed,10,2,110.58,10.94,111.62,307.36,0.01,307.36,267.51,8064
2023/05/18 16:13:41.171,MyForwarder,preprocessed,preprocessed,11,3,155.57,30.7,6.33,307.36,0.02,307.36,366.95,8065
2023/05/18 16:13:41.340,MyForwarder,preprocessed,preprocessed,12,4,242.12,84.54,2.66,307.36,0.01,307.36,429.09,8066
2023/05/18 16:13:41.456,MyForwarder,preprocessed,preprocessed,15,5,202.5,87.63,6.12,307.36,0.02,307.36,427.57,8067
2023/05/18 16:13:41.578,MyForwarder,preprocessed,preprocessed,17,6,281.19,205.95,0.41,307.36,0.01,307.36,377.09,8068
2023/05/18 16:13:41.819,MyForwarder,preprocessed,preprocessed,18,7,444.81,281.55,14.65,307.36,0.02,307.36,445.77,8069
2023/05/18 16:13:41.949,MyForwarder,preprocessed,preprocessed,20,8,440.47,237.3,0.42,307.36,0.06,307.36,486.0,8070
2023/05/18 16:13:42.113,MyForwarder,preprocessed,preprocessed,21,9,562.35,238.79,11.03,307.36,0.01,307.36,508.94,8071
2023/05/18 16:13:42.232,MyForwarder,preprocessed,preprocessed,23,10,653.18,422.09,9.49,307.36,0.02,307.36,388.94,8072
2023/05/18 16:13:42.380,MyForwarder,preprocessed,preprocessed,26,11,599.67,437.24,0.65,307.36,0.02,307.36,421.85,8073
2023/05/18 16:13:42.491,MyForwarder,preprocessed,preprocessed,27,12,713.88,537.13,0.37,307.36,0.01,307.36,370.83,8074
2023/05/18 16:13:42.597,MyForwarder,preprocessed,preprocessed,34,13,430.63,320.73,4.6,307.36,0.01,307.36,347.53,8075
2023/05/18 16:13:42.709,MyForwarder,preprocessed,preprocessed,36,14,488.71,389.32,2.39,307.36,0.01,307.36,314.13,8076
2023/05/18 16:13:42.811,MyForwarder,preprocessed,preprocessed,37,15,562.71,386.42,0.5,307.36,0.05,307.36,303.34,8077
2023/05/18 16:13:42.923,MyForwarder,preprocessed,preprocessed,38,16,629.26,439.04,9.21,307.36,0.02,307.36,293.19,8078
2023/05/18 16:13:43.034,MyForwarder,preprocessed,preprocessed,41,17,608.85,417.4,1.34,307.36,0.01,307.36,317.37,8079
2023/05/18 16:13:43.167,MyForwarder,preprocessed,preprocessed,42,18,662.31,464.09,0.42,307.36,0.01,307.36,346.53,8080
2023/05/18 16:13:43.276,MyForwarder,preprocessed,preprocessed,43,19,678.45,492.97,9.07,307.36,0.01,307.36,337.01,8081
2023/05/18 16:13:43.384,MyForwarder,preprocessed,preprocessed,45,20,688.42,513.76,6.4,307.36,0.02,307.36,332.01,8082
2023/05/18 16:13:43.507,MyForwarder,preprocessed,preprocessed,47,21,742.72,546.7,0.41,307.36,0.01,307.36,333.22,8083
2023/05/18 16:13:43.628,MyForwarder,preprocessed,preprocessed,48,22,805.18,572.44,0.43,307.36,0.02,307.36,343.56,8084
