asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 01:04:10.341,LocalInferencer2,input,result,2,0,-1699.84,-1698.83,133721.5,11.05,323.87,42.09,15.65,0
2023/06/26 01:04:10.370,LocalInferencer2,input,result,11,4,-1709.37,-1708.94,64.34,11.31,37.15,43.46,5.07,1
2023/06/26 01:04:10.428,LocalInferencer2,input,result,12,5,-1683.98,-1734.72,74.2,11.34,55.03,43.68,4.7,2
2023/06/26 01:04:10.466,LocalInferencer2,input,result,15,6,-1739.36,-1738.45,85.96,11.29,29.09,43.2,3.67,3
2023/06/26 01:04:10.522,LocalInferencer2,input,result,17,7,-1763.3,-1770.88,54.18,11.35,29.42,43.35,4.06,4
2023/06/26 01:04:10.604,LocalInferencer2,input,result,18,8,-1688.71,-1751.8,88.33,11.34,25.68,43.9,3.42,5
2023/06/26 01:04:10.689,LocalInferencer2,input,result,20,9,-1722.43,-1766.52,63.13,11.42,45.09,43.92,3.79,7
2023/06/26 01:04:10.727,LocalInferencer2,input,result,21,10,-1717.27,-1773.08,57.31,11.29,27.02,43.44,3.65,8
2023/06/26 01:04:10.832,LocalInferencer2,input,result,23,11,-1691.22,-1725.93,105.14,10.71,27.43,41.04,3.37,10
2023/06/26 01:04:10.915,LocalInferencer2,input,result,26,12,-1748.44,-1748.02,76.74,11.39,32.59,43.84,4.08,12
2023/06/26 01:04:10.989,LocalInferencer2,input,result,27,13,-1694.94,-1752.2,79.75,11.37,27.86,43.62,3.1,13
2023/06/26 01:04:11.206,LocalInferencer2,input,result,34,14,-1814.63,-1813.64,213.35,11.36,27.54,43.79,5.21,16
2023/06/26 01:04:11.254,LocalInferencer2,input,result,36,15,-1813.92,-1813.35,53.29,11.44,25.62,43.59,3.56,17
2023/06/26 01:04:11.324,LocalInferencer2,input,result,37,16,-1762.48,-1761.73,66.52,11.33,27.63,43.48,3.94,19
2023/06/26 01:04:11.382,LocalInferencer2,input,result,38,17,-1744.95,-1775.01,58.67,11.38,26.43,43.75,4.42,20
2023/06/26 01:04:11.429,LocalInferencer2,input,result,41,18,-1767.83,-1767.25,47.89,11.29,25.89,43.49,3.95,22
2023/06/26 01:04:11.479,LocalInferencer2,input,result,42,19,-1744.67,-1783.93,51.82,11.24,25.34,43.17,3.14,23
2023/06/26 01:04:11.548,LocalInferencer2,input,result,43,20,-1731.53,-1768.24,62.56,11.26,26.35,43.37,8.17,24
2023/06/26 01:04:11.613,LocalInferencer2,input,result,45,21,-1733.9,-1761.7,68.91,11.14,26.6,43.03,3.86,25
2023/06/26 01:04:11.675,LocalInferencer2,input,result,47,22,-1740.05,-1764.48,64.48,11.12,25.13,42.69,3.55,26
2023/06/26 01:04:11.764,LocalInferencer2,input,result,48,23,-1686.6,-1743.95,85.39,10.99,25.52,41.63,4.54,30
2023/06/26 01:04:11.827,LocalInferencer2,input,result,49,24,-1686.32,-1765.68,65.17,10.34,25.65,39.34,3.48,31
2023/06/26 01:04:11.885,LocalInferencer2,input,result,51,25,-1731.57,-1771.66,58.56,10.99,25.2,42.09,3.49,32
2023/06/26 01:04:11.951,LocalInferencer2,input,result,52,26,-1727.97,-1763.91,65.92,11.16,24.9,42.89,3.46,34
2023/06/26 01:04:12.007,LocalInferencer2,input,result,54,27,-1748.16,-1773.43,56.53,10.77,25.64,41.57,3.09,36
2023/06/26 01:04:12.068,LocalInferencer2,input,result,55,28,-1723.3,-1774.46,56.86,10.74,25.54,41.11,5.06,37
2023/06/26 01:04:12.112,LocalInferencer2,input,result,56,29,-1734.49,-1783.69,46.57,10.75,26.16,41.33,3.3,39
2023/06/26 01:04:12.197,LocalInferencer2,input,result,58,30,-1720.92,-1745.42,84.04,10.5,25.42,40.25,3.96,40
2023/06/26 01:04:12.277,LocalInferencer2,input,result,61,31,-1738.11,-1752.11,80.9,10.79,25.33,41.24,3.37,42
2023/06/26 01:04:12.343,LocalInferencer2,input,result,62,32,-1696.21,-1769.99,60.32,10.93,27.12,41.73,5.64,43
2023/06/26 01:04:12.386,LocalInferencer2,input,result,63,33,-1732.26,-1782.24,46.13,11.08,26.16,42.24,4.16,45
2023/06/26 01:04:12.474,LocalInferencer2,input,result,67,34,-1821.58,-1821.29,89.32,11.11,25.53,42.69,3.86,46
2023/06/26 01:04:12.539,LocalInferencer2,input,result,68,35,-1771.81,-1771.13,66.1,11.04,24.94,42.04,3.69,48
2023/06/26 01:04:12.605,LocalInferencer2,input,result,69,36,-1752.38,-1773.64,64.39,10.76,25.14,41.37,4.33,50
2023/06/26 01:04:12.671,LocalInferencer2,input,result,72,37,-1771.56,-1771.03,64.96,10.89,26.74,42.14,3.42,51
2023/06/26 01:04:12.752,LocalInferencer2,input,result,74,38,-1746.76,-1746.34,75.73,9.43,27.31,36.71,7.97,53
2023/06/26 01:04:12.832,LocalInferencer2,input,result,76,39,-1727.98,-1744.88,84.18,10.41,26.18,40.64,4.26,55
2023/06/26 01:04:13.049,LocalInferencer2,input,result,82,40,-1810.49,-1809.4,218.68,11.25,26.39,42.99,3.16,58
2023/06/26 01:04:13.106,LocalInferencer2,input,result,83,41,-1770.33,-1781.19,56.64,11.34,26.17,43.55,3.55,59
2023/06/26 01:04:13.166,LocalInferencer2,input,result,85,42,-1757.79,-1771.48,59.99,11.15,25.15,43.0,5.02,60
2023/06/26 01:04:13.213,LocalInferencer2,input,result,86,43,-1732.35,-1781.56,48.83,11.15,25.12,43.0,3.2,62
2023/06/26 01:04:13.259,LocalInferencer2,input,result,89,44,-1777.96,-1787.74,42.27,11.2,26.56,42.7,4.38,63
2023/06/26 01:04:13.313,LocalInferencer2,input,result,91,45,-1747.42,-1782.81,57.26,11.17,25.8,42.77,3.23,65
2023/06/26 01:04:13.382,LocalInferencer2,input,result,93,46,-1738.03,-1763.65,67.96,11.14,25.31,42.27,3.46,66
2023/06/26 01:04:13.425,LocalInferencer2,input,result,94,47,-1736.5,-1785.27,44.13,11.24,25.07,43.45,3.14,68
2023/06/26 01:04:13.474,LocalInferencer2,input,result,95,48,-1750.86,-1783.37,46.88,11.26,24.74,43.41,4.54,69
2023/06/26 01:04:13.527,LocalInferencer2,input,result,98,49,-1776.66,-1776.32,50.96,11.29,26.27,43.81,4.7,71
2023/06/26 01:04:13.599,LocalInferencer2,input,result,101,50,-1791.17,-1790.66,73.47,11.24,25.76,43.48,4.13,72
2023/06/26 01:04:13.669,LocalInferencer2,input,result,103,51,-1791.7,-1790.92,69.58,11.32,25.95,43.92,4.14,74
2023/06/26 01:04:13.818,LocalInferencer2,input,result,106,52,-1779.51,-1780.37,148.5,11.25,26.81,43.2,3.42,76
2023/06/26 01:04:13.963,LocalInferencer2,input,result,110,53,-1793.8,-1793.26,141.97,11.52,26.69,44.56,6.87,78
2023/06/26 01:04:14.016,LocalInferencer2,input,result,111,54,-1772.52,-1773.1,53.1,11.46,27.26,44.42,4.84,80
2023/06/26 01:04:14.050,LocalInferencer2,input,result,113,55,-1781.17,-1795.03,39.16,11.29,25.61,43.53,3.71,81
2023/06/26 01:04:14.141,LocalInferencer2,input,result,116,56,-1788.18,-1787.9,89.82,11.41,25.71,43.53,3.88,83
2023/06/26 01:04:14.206,LocalInferencer2,input,result,118,57,-1800.34,-1799.9,61.78,11.3,25.26,43.38,6.56,84
2023/06/26 01:04:14.334,LocalInferencer2,input,result,121,58,-1825.7,-1826.27,130.71,11.34,26.18,43.95,3.43,87
2023/06/26 01:04:14.437,LocalInferencer2,input,result,122,59,-1755.91,-1755.49,103.56,11.34,25.82,43.95,3.52,88
2023/06/26 01:04:14.479,LocalInferencer2,input,result,124,60,-1788.96,-1788.72,39.72,11.3,26.68,43.67,4.41,90
