asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 12:56:45.083,LocalInferencer1,input,final_uav_1,1,0,243.39,246.09,182608.5,921.74,1570.43,137.37,52.79,0
2023/05/29 12:56:45.093,LocalInferencer1,input,final_uav_1,13,12,908.19,826.85,5.32,921.74,17.0,137.86,39.96,1
2023/05/29 12:56:45.439,LocalInferencer1,input,final_uav_1,14,13,1171.2,1065.92,736.8,921.74,30.94,138.29,14.2,2
2023/05/29 12:56:45.495,LocalInferencer1,input,final_uav_1,15,14,1140.71,150.36,77.45,921.74,16.33,125.39,8.27,3
2023/05/29 12:56:45.529,LocalInferencer1,input,final_uav_1,16,15,177.11,82.56,41.62,921.74,14.79,130.82,6.05,4
2023/05/29 12:56:45.622,LocalInferencer1,input,final_uav_1,17,16,155.27,104.66,83.21,921.74,20.91,135.66,9.24,5
2023/05/29 12:56:45.658,LocalInferencer1,input,final_uav_1,18,17,125.99,97.42,19.46,921.74,23.21,137.55,14.09,6
2023/05/29 12:56:45.698,LocalInferencer1,input,final_uav_1,19,18,131.19,61.62,40.37,921.74,28.67,137.73,11.15,7
2023/05/29 12:56:45.719,LocalInferencer1,input,final_uav_1,20,19,88.53,63.52,26.24,921.74,20.56,137.24,6.95,8
2023/05/29 12:56:45.781,LocalInferencer1,input,final_uav_1,21,20,122.47,94.45,76.07,921.74,12.68,137.05,8.78,9
2023/05/29 12:56:45.824,LocalInferencer1,input,final_uav_1,22,21,120.52,102.12,32.77,921.74,22.91,137.69,7.73,10
2023/05/29 12:56:45.896,LocalInferencer1,input,final_uav_1,23,22,163.98,87.62,66.72,921.74,23.79,137.5,9.15,11
2023/05/29 12:56:45.924,LocalInferencer1,input,final_uav_1,24,23,111.6,92.17,23.4,921.74,21.52,137.09,9.41,12
2023/05/29 12:56:45.962,LocalInferencer1,input,final_uav_1,25,24,133.27,69.98,51.42,921.74,13.82,137.37,7.1,13
2023/05/29 12:56:46.035,LocalInferencer1,input,final_uav_1,26,25,125.41,99.0,60.16,921.74,17.68,138.22,14.06,14
2023/05/29 12:56:46.072,LocalInferencer1,input,final_uav_1,27,26,122.74,78.62,29.79,921.74,20.53,137.82,16.04,15
2023/05/29 12:56:46.108,LocalInferencer1,input,final_uav_1,28,27,108.99,54.88,34.01,921.74,20.05,138.0,16.07,16
2023/05/29 12:56:46.141,LocalInferencer1,input,final_uav_1,29,28,84.32,55.21,33.55,921.74,19.97,137.5,13.72,17
2023/05/29 12:56:46.182,LocalInferencer1,input,final_uav_1,30,29,80.94,54.36,31.07,921.74,32.15,137.45,8.94,18
