asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/19 01:20:02.552,LocalInferencer2,input,result,1,79,190.06,191.73,273115.69,921.74,733.96,85.65,34.66,0
2023/05/19 01:20:02.870,LocalInferencer2,input,result,13,85,153.38,153.5,90.87,921.74,297.09,135.74,25.67,1
2023/05/19 01:20:03.278,LocalInferencer2,input,result,19,88,210.69,211.85,115.55,921.74,377.4,125.17,26.5,2
2023/05/19 01:20:03.627,LocalInferencer2,input,result,25,91,249.98,251.03,167.73,921.74,327.86,132.45,15.4,3
2023/05/19 01:20:03.971,LocalInferencer2,input,result,30,94,294.28,215.89,72.92,921.74,181.49,131.14,150.68,4
2023/05/19 01:20:04.300,LocalInferencer2,input,result,33,97,223.2,129.43,51.32,921.74,385.1,107.31,62.01,5
2023/05/19 01:20:04.894,LocalInferencer2,input,result,35,98,521.76,505.04,108.79,921.74,565.21,129.53,63.26,8
2023/05/19 01:20:05.139,LocalInferencer2,input,result,44,101,281.57,282.21,227.25,921.74,236.62,131.22,29.47,10
2023/05/19 01:20:05.519,LocalInferencer2,input,result,46,102,415.44,416.25,217.2,921.74,260.02,128.9,124.94,11
2023/05/19 01:20:06.042,LocalInferencer2,input,result,53,104,150.45,150.94,184.3,921.74,527.96,129.39,51.74,13
2023/05/19 01:20:06.505,LocalInferencer2,input,result,57,105,263.92,264.43,554.91,921.74,421.75,127.73,59.31,15
2023/05/19 01:20:06.940,LocalInferencer2,input,result,60,107,379.06,378.87,148.72,921.74,435.01,129.87,34.59,17
2023/05/19 01:20:07.285,LocalInferencer2,input,result,70,111,184.22,185.1,86.5,921.74,335.79,130.24,24.91,20
2023/05/19 01:20:07.632,LocalInferencer2,input,result,78,116,203.55,136.52,35.17,921.74,291.04,129.7,54.28,22
2023/05/19 01:20:07.925,LocalInferencer2,input,result,81,119,331.6,308.93,151.25,921.74,273.64,129.88,21.21,24
2023/05/19 01:20:08.223,LocalInferencer2,input,result,90,123,215.7,148.08,70.95,921.74,286.16,128.82,13.16,26
2023/05/19 01:20:08.464,LocalInferencer2,input,result,97,126,220.22,220.37,85.76,921.74,221.1,129.13,17.16,29
2023/05/19 01:20:08.688,LocalInferencer2,input,result,102,129,246.63,177.06,78.09,921.74,167.11,129.07,38.45,31
2023/05/19 01:20:09.050,LocalInferencer2,input,result,105,131,289.71,246.34,90.8,921.74,366.55,132.11,18.18,34
2023/05/19 01:20:09.315,LocalInferencer2,input,result,112,135,180.51,157.49,91.24,921.74,252.24,130.0,12.86,36
2023/05/19 01:20:09.508,LocalInferencer2,input,result,119,139,139.06,101.51,59.32,921.74,180.74,129.3,10.58,37
2023/05/19 01:20:09.670,LocalInferencer2,input,result,123,141,194.21,160.28,63.25,921.74,146.08,132.74,11.34,39
2023/05/19 01:20:09.888,LocalInferencer2,input,result,128,144,138.83,107.46,74.18,921.74,192.3,85.94,21.72,40
2023/05/19 01:20:10.193,LocalInferencer2,input,result,133,146,180.34,179.53,61.61,921.74,264.39,129.33,30.68,42
2023/05/19 01:20:10.887,LocalInferencer2,input,result,141,147,161.29,161.08,746.53,921.74,320.55,131.25,16.18,46
2023/05/19 01:20:11.116,LocalInferencer2,input,result,143,149,416.07,231.55,82.85,921.74,218.37,130.0,8.35,48
2023/05/19 01:20:11.444,LocalInferencer2,input,result,153,150,34.08,34.26,387.29,921.74,242.77,129.12,12.69,51
2023/05/19 01:20:11.668,LocalInferencer2,input,result,157,152,167.12,166.79,85.71,921.74,204.12,131.25,19.73,53
2023/05/19 01:20:11.912,LocalInferencer2,input,result,164,156,140.03,103.94,63.77,921.74,212.92,85.5,15.59,55
2023/05/19 01:20:12.511,LocalInferencer2,input,result,168,158,252.73,196.32,143.34,921.74,547.84,125.98,49.39,58
2023/05/19 01:20:12.968,LocalInferencer2,input,result,173,161,557.5,403.61,98.27,921.74,428.86,129.71,51.56,60
2023/05/19 01:20:13.292,LocalInferencer2,input,result,179,165,300.44,182.69,51.45,921.74,322.36,107.8,33.54,62
2023/05/19 01:20:13.735,LocalInferencer2,input,result,187,169,201.1,202.04,98.04,921.74,434.12,132.31,16.08,65
2023/05/19 01:20:14.018,LocalInferencer2,input,result,197,174,132.54,132.87,83.65,921.74,270.12,107.06,14.23,67
