asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/12 02:06:39.352,MyLocalInferencerOnlyLocal,input,final_uav_1,1,5915,393.28,397.01,86064.29,921.74,643.91,921.76,36.13,2158
2023/05/12 02:06:39.698,MyLocalInferencerOnlyLocal,input,final_uav_1,7,5921,257.78,146.31,92.33,921.74,348.88,921.76,29.7,2159
2023/05/12 02:06:39.898,MyLocalInferencerOnlyLocal,input,final_uav_1,11,5925,309.56,247.11,52.28,921.74,200.79,921.76,22.39,2160
2023/05/12 02:06:40.100,MyLocalInferencerOnlyLocal,input,final_uav_1,14,5928,192.91,151.74,104.03,921.74,203.87,921.76,15.82,2161
2023/05/12 02:06:40.296,MyLocalInferencerOnlyLocal,input,final_uav_1,18,5932,121.13,70.01,39.24,921.74,194.45,921.76,14.38,2162
2023/05/12 02:06:40.477,MyLocalInferencerOnlyLocal,input,final_uav_1,21,5935,152.93,96.42,38.21,921.74,178.14,921.76,12.35,2163
2023/05/12 02:06:40.667,MyLocalInferencerOnlyLocal,input,final_uav_1,24,5938,127.85,71.5,51.57,921.74,177.86,921.76,17.62,2164
2023/05/12 02:06:41.000,MyLocalInferencerOnlyLocal,input,final_uav_1,27,5941,126.66,85.3,51.07,921.74,291.55,921.76,54.71,2165
2023/05/12 02:06:41.299,MyLocalInferencerOnlyLocal,input,final_uav_1,30,5944,261.09,190.65,94.52,921.74,294.19,921.76,38.02,2166
2023/05/12 02:06:41.567,MyLocalInferencerOnlyLocal,input,final_uav_1,33,5947,294.94,209.78,75.57,921.74,287.51,921.76,11.38,2167
2023/05/12 02:06:41.804,MyLocalInferencerOnlyLocal,input,final_uav_1,37,5951,194.26,108.65,68.77,921.74,199.71,921.76,43.38,2168
2023/05/12 02:06:42.063,MyLocalInferencerOnlyLocal,input,final_uav_1,40,5954,186.2,105.21,71.95,921.74,266.46,921.76,28.74,2169
2023/05/12 02:06:42.511,MyLocalInferencerOnlyLocal,input,final_uav_1,43,5957,261.73,179.39,107.48,921.74,438.1,921.76,28.23,2170
2023/05/12 02:06:42.801,MyLocalInferencerOnlyLocal,input,final_uav_1,47,5961,237.9,176.88,90.83,921.74,297.3,921.76,11.72,2171
2023/05/12 02:06:43.030,MyLocalInferencerOnlyLocal,input,final_uav_1,50,5964,210.93,112.96,50.09,921.74,197.66,921.76,38.0,2172
2023/05/12 02:06:43.270,MyLocalInferencerOnlyLocal,input,final_uav_1,53,5967,156.98,99.12,39.11,921.74,242.45,921.76,30.69,2173
2023/05/12 02:06:43.449,MyLocalInferencerOnlyLocal,input,final_uav_1,56,5970,234.2,181.31,82.4,921.74,188.89,921.76,15.6,2174
