asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/12 13:19:03.814,MyLocalInferencerWithCloud,input,result,1,11608,344.12,347.08,139674.93,921.74,4726.44,921.76,76.22,140
2023/05/12 13:19:04.693,MyLocalInferencerWithCloud,input,result,44,11651,227.79,144.29,107.1,921.74,691.79,921.76,256.17,147
2023/05/12 13:19:05.090,MyLocalInferencerWithCloud,input,result,50,11657,435.01,248.54,104.69,921.74,577.72,921.76,64.39,160
2023/05/12 13:19:08.792,MyLocalInferencerWithCloud,input,result,51,11658,3717.9,3624.23,3523.57,921.74,772.37,921.76,92.77,223
2023/05/12 13:19:09.693,MyLocalInferencerWithCloud,input,result,56,11663,476.03,300.53,96.6,921.74,706.23,921.76,270.36,238
2023/05/12 13:19:10.210,MyLocalInferencerWithCloud,input,result,63,11670,374.49,214.86,103.94,921.74,674.32,921.76,93.15,246
2023/05/12 13:19:11.005,MyLocalInferencerWithCloud,input,result,67,11674,410.71,297.82,194.39,921.74,775.82,921.76,97.71,257
2023/05/12 13:19:11.992,MyLocalInferencerWithCloud,input,result,73,11680,359.96,300.48,101.63,921.74,872.03,921.76,127.3,268
2023/05/12 13:19:12.769,MyLocalInferencerWithCloud,input,result,81,11688,347.36,273.01,99.14,921.74,927.21,921.76,28.56,279
2023/05/12 13:19:13.796,MyLocalInferencerWithCloud,input,result,89,11696,323.14,265.5,135.07,921.74,887.45,921.76,159.96,293
2023/05/12 13:19:14.790,MyLocalInferencerWithCloud,input,result,95,11702,526.06,374.72,140.21,921.74,723.85,921.76,277.5,306
2023/05/12 13:19:15.693,MyLocalInferencerWithCloud,input,result,101,11708,515.69,356.5,184.12,921.74,1082.15,921.76,175.9,323
2023/05/12 13:19:16.406,MyLocalInferencerWithCloud,input,result,111,11718,353.08,231.03,97.18,921.74,638.08,921.76,152.92,339
2023/05/12 13:19:16.990,MyLocalInferencerWithCloud,input,result,119,11726,239.29,192.83,86.36,921.74,610.12,921.76,79.06,352
2023/05/12 13:19:17.789,MyLocalInferencerWithCloud,input,result,126,11733,181.79,144.29,93.61,921.74,676.75,921.76,114.53,366
2023/05/12 13:19:19.053,MyLocalInferencerWithCloud,input,result,132,11739,360.53,230.71,123.28,921.74,1293.66,921.76,24.09,390
2023/05/12 13:19:19.512,MyLocalInferencerWithCloud,input,result,139,11746,850.17,667.54,599.52,921.74,521.99,921.76,79.41,401
2023/05/12 13:19:20.238,MyLocalInferencerWithCloud,input,result,140,11747,1186.57,1037.57,185.1,921.74,694.24,921.76,104.71,413
2023/05/12 13:21:44.820,MyLocalInferencerWithCloud,input,result,1,11748,646.25,647.19,144871.86,921.74,731.14,921.76,27.35,4971
2023/05/12 13:21:45.789,MyLocalInferencerWithCloud,input,result,8,11755,286.67,197.75,56.71,921.74,889.51,921.76,93.94,4994
2023/05/12 13:21:46.518,MyLocalInferencerWithCloud,input,result,18,11765,392.7,276.61,88.73,921.74,710.15,921.76,95.37,5008
2023/05/12 13:21:47.492,MyLocalInferencerWithCloud,input,result,26,11773,254.82,163.25,78.05,921.74,913.31,921.76,135.04,5026
2023/05/12 13:21:48.309,MyLocalInferencerWithCloud,input,result,34,11781,301.57,215.57,28.02,921.74,859.49,921.76,83.29,5039
2023/05/12 13:21:49.216,MyLocalInferencerWithCloud,input,result,42,11789,480.75,327.45,103.81,921.74,955.31,921.76,17.45,5054
2023/05/12 13:21:49.823,MyLocalInferencerWithCloud,input,result,51,11798,209.05,166.29,78.08,921.74,581.62,921.76,33.63,5075
2023/05/12 13:21:50.793,MyLocalInferencerWithCloud,input,result,58,11805,282.87,226.46,64.1,921.74,915.27,921.76,81.16,5093
2023/05/12 13:21:51.386,MyLocalInferencerWithCloud,input,result,69,11816,311.75,240.41,83.15,921.74,589.72,921.76,16.0,5111
2023/05/12 13:21:51.994,MyLocalInferencerWithCloud,input,result,76,11823,212.88,125.13,63.81,921.74,614.18,921.76,54.51,5134
2023/05/12 13:21:52.606,MyLocalInferencerWithCloud,input,result,86,11833,163.89,109.79,5.83,921.74,598.86,921.76,62.92,5159
2023/05/12 13:21:53.114,MyLocalInferencerWithCloud,input,result,95,11842,241.98,163.38,89.43,921.74,542.71,921.76,17.51,5180
2023/05/12 13:21:53.687,MyLocalInferencerWithCloud,input,result,101,11848,361.94,321.27,42.26,921.74,516.35,921.76,16.4,5206
2023/05/12 13:21:54.315,MyLocalInferencerWithCloud,input,result,107,11854,142.08,86.04,7.54,921.74,602.59,921.76,25.89,5234
2023/05/12 13:21:54.907,MyLocalInferencerWithCloud,input,result,116,11863,252.86,170.19,8.35,921.74,531.01,921.76,81.18,5258
2023/05/12 13:21:55.488,MyLocalInferencerWithCloud,input,result,126,11873,233.03,162.39,6.99,921.74,522.93,921.76,20.6,5280
2023/05/12 13:21:56.396,MyLocalInferencerWithCloud,input,result,135,11882,214.21,138.34,50.01,921.74,892.91,921.76,77.65,5302
2023/05/12 13:21:56.999,MyLocalInferencerWithCloud,input,result,144,11891,241.55,180.0,126.95,921.74,595.44,921.76,76.77,5326
2023/05/12 13:21:57.513,MyLocalInferencerWithCloud,input,result,154,11901,159.57,111.39,86.43,921.74,563.44,921.76,23.3,5354
2023/05/12 13:21:58.101,MyLocalInferencerWithCloud,input,result,161,11908,255.16,181.25,10.71,921.74,533.62,921.76,69.77,5381
2023/05/12 13:21:58.815,MyLocalInferencerWithCloud,input,result,173,11920,141.41,76.36,14.35,921.74,566.82,921.76,211.12,5392
