asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 19:56:45.098,MyClient,final_uav_1,None,None,0,1888.25,63.69,133354.52,137.38,0.0,137.38,0.99,None
2023/05/29 19:56:45.113,MyClient,final_uav_1,nan,nan,1,986.08,57.67,7.01,137.88,0.0,137.88,1.02,nan
2023/05/29 19:56:45.446,MyClient,final_uav_1,nan,nan,2,1230.7,21.3,323.65,138.31,0.0,138.31,1.0,nan
2023/05/29 19:56:45.499,MyClient,final_uav_1,nan,nan,3,1173.83,12.29,43.99,125.4,0.0,125.4,0.99,nan
2023/05/29 19:56:45.532,MyClient,final_uav_1,nan,nan,4,205.03,10.32,28.51,130.84,0.0,130.84,0.0,nan
2023/05/29 19:56:45.623,MyClient,final_uav_1,nan,nan,5,189.62,10.91,87.59,135.68,0.0,135.68,0.0,nan
2023/05/29 19:56:45.654,MyClient,final_uav_1,nan,nan,6,163.29,10.58,24.62,137.57,0.0,137.57,0.52,nan
2023/05/29 19:56:45.699,MyClient,final_uav_1,nan,nan,7,176.17,12.5,40.3,137.74,0.0,137.74,1.0,nan
2023/05/29 19:56:45.721,MyClient,final_uav_1,nan,nan,8,120.58,8.49,18.0,137.25,0.0,137.25,1.0,nan
2023/05/29 19:56:45.782,MyClient,final_uav_1,nan,nan,9,148.59,9.5,57.02,137.07,0.0,137.07,1.0,nan
2023/05/29 19:56:45.824,MyClient,final_uav_1,nan,nan,10,154.99,8.49,39.0,137.71,0.0,137.71,0.0,nan
2023/05/29 19:56:45.897,MyClient,final_uav_1,nan,nan,11,201.28,10.78,68.28,137.52,0.0,137.52,2.0,nan
2023/05/29 19:56:45.926,MyClient,final_uav_1,nan,nan,12,148.28,10.77,23.0,137.1,0.0,137.1,1.0,nan
2023/05/29 19:56:45.964,MyClient,final_uav_1,nan,nan,13,159.28,8.77,32.0,137.39,0.0,137.39,1.0,nan
2023/05/29 19:56:46.031,MyClient,final_uav_1,nan,nan,14,156.28,9.77,62.0,138.24,0.0,138.24,0.0,nan
2023/05/29 19:56:46.065,MyClient,final_uav_1,nan,nan,15,155.99,8.77,28.54,137.84,0.0,137.84,0.59,nan
2023/05/29 19:56:46.103,MyClient,final_uav_1,nan,nan,16,144.02,10.79,33.25,138.01,0.0,138.01,1.0,nan
2023/05/29 19:56:46.136,MyClient,final_uav_1,nan,nan,17,116.01,9.78,28.0,137.52,0.0,137.52,0.0,nan
2023/05/29 19:56:46.183,MyClient,final_uav_1,nan,nan,18,127.6,10.91,41.12,137.47,0.0,137.47,0.0,nan
2023/05/29 19:56:46.217,MyClient,final_uav_1,nan,nan,19,129.59,11.42,27.51,137.41,0.0,137.41,1.0,nan
2023/05/29 19:56:46.258,MyClient,final_uav_1,nan,nan,20,138.63,22.42,37.0,137.41,0.0,137.41,0.0,nan
2023/05/29 19:56:46.298,MyClient,final_uav_1,nan,nan,21,146.28,9.42,35.01,137.8,0.0,137.8,1.0,nan
2023/05/29 19:56:46.334,MyClient,final_uav_1,nan,nan,22,149.52,9.42,32.0,138.21,0.0,138.21,0.0,nan
2023/05/29 19:56:46.408,MyClient,final_uav_1,nan,nan,23,199.0,9.42,70.01,138.21,0.0,138.21,1.0,nan
2023/05/29 19:56:46.448,MyClient,final_uav_1,nan,nan,24,164.0,7.42,36.0,112.77,0.0,112.77,0.0,nan
2023/05/29 19:56:46.592,MyClient,final_uav_1,nan,nan,25,273.08,45.5,138.43,125.85,0.0,125.85,0.52,nan
2023/05/29 19:56:46.668,MyClient,final_uav_1,nan,nan,26,264.21,21.63,70.33,135.55,0.04,135.55,0.53,nan
2023/05/29 19:56:46.692,MyClient,final_uav_1,nan,nan,27,257.23,8.65,18.07,136.47,0.0,136.47,1.0,nan
2023/05/29 19:56:46.755,MyClient,final_uav_1,nan,nan,28,195.71,10.16,59.5,137.94,0.0,137.94,0.0,nan
2023/05/29 19:56:46.791,MyClient,final_uav_1,nan,nan,29,166.04,9.15,32.0,138.07,0.0,138.07,0.0,nan
2023/05/29 19:56:46.868,MyClient,final_uav_1,nan,nan,30,199.39,12.15,73.0,137.48,0.0,137.48,0.0,nan
2023/05/29 19:56:46.916,MyClient,final_uav_1,nan,nan,31,173.0,12.15,43.0,137.66,0.0,137.66,1.0,nan
2023/05/29 19:56:46.963,MyClient,final_uav_1,nan,nan,32,190.05,14.2,42.04,137.85,0.0,137.85,0.0,nan
2023/05/29 19:56:46.998,MyClient,final_uav_1,nan,nan,33,151.04,11.2,31.0,138.06,0.0,138.06,0.0,nan
2023/05/29 19:56:47.057,MyClient,final_uav_1,nan,nan,34,173.05,8.2,55.0,138.06,0.0,138.06,0.0,nan
2023/05/29 19:56:47.157,MyClient,final_uav_1,nan,nan,35,230.32,16.47,93.22,138.45,0.0,138.45,0.51,nan
2023/05/29 19:56:47.201,MyClient,final_uav_1,nan,nan,36,238.33,11.53,39.21,138.33,0.0,138.33,0.0,nan
2023/05/29 19:56:47.234,MyClient,final_uav_1,nan,nan,37,180.34,9.54,27.0,137.89,0.0,137.89,0.0,nan
2023/05/29 19:56:47.304,MyClient,final_uav_1,nan,nan,38,179.15,8.53,66.0,137.96,0.0,137.96,0.0,nan
2023/05/29 19:56:47.372,MyClient,final_uav_1,nan,nan,39,199.0,8.53,63.0,138.09,0.0,138.09,1.0,nan
