asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 01:31:17.941,CloudInferencer,preprocessed,result,1,0,1327.29,1183.04,106692.56,307.33,316.41,0.32,18.4,0
2023/05/29 01:31:18.076,CloudInferencer,preprocessed,result,4,2,1598.04,1216.67,160.38,307.33,142.37,0.32,6.16,1
2023/05/29 01:31:18.234,CloudInferencer,preprocessed,result,7,3,1612.75,1252.88,217.77,307.33,133.16,0.32,5.76,2
2023/05/29 01:31:18.432,CloudInferencer,preprocessed,result,8,4,1751.43,1214.79,167.97,307.33,162.71,0.32,5.53,3
2023/05/29 01:31:18.574,CloudInferencer,preprocessed,result,9,5,1862.4,1212.1,183.48,307.33,121.03,0.32,4.62,4
2023/05/29 01:31:18.804,CloudInferencer,preprocessed,result,13,6,1902.18,1245.59,217.41,307.33,126.58,0.32,10.39,5
2023/05/29 01:31:18.941,CloudInferencer,preprocessed,result,14,7,2035.89,1203.25,142.22,307.33,126.88,0.32,4.66,6
2023/05/29 01:31:19.085,CloudInferencer,preprocessed,result,16,8,2114.78,1163.68,146.51,307.33,123.13,0.32,5.01,7
2023/05/29 01:31:19.363,CloudInferencer,preprocessed,result,19,9,2032.35,1291.93,260.14,307.33,129.79,0.32,14.26,8
2023/05/29 01:31:19.493,CloudInferencer,preprocessed,result,22,10,1972.8,1116.6,106.86,307.33,133.94,0.32,7.51,9
2023/05/29 01:31:19.633,CloudInferencer,preprocessed,result,24,11,2015.55,1146.39,109.95,307.33,133.63,0.32,9.05,10
2023/05/29 01:31:19.767,CloudInferencer,preprocessed,result,25,12,2124.73,1170.08,110.4,307.33,130.97,0.32,8.62,11
2023/05/29 01:31:19.899,CloudInferencer,preprocessed,result,28,13,1984.39,1198.98,104.15,307.33,131.34,0.32,5.61,12
2023/05/29 01:31:20.109,CloudInferencer,preprocessed,result,29,14,2189.88,1301.26,328.72,307.33,120.93,0.32,4.81,13
2023/05/29 01:31:20.438,CloudInferencer,preprocessed,result,30,15,2485.1,1523.62,318.45,307.33,126.58,0.32,8.45,14
2023/05/29 01:31:20.577,CloudInferencer,preprocessed,result,31,16,2539.42,1320.21,133.0,307.33,125.39,0.32,14.51,15
2023/05/29 01:31:20.710,CloudInferencer,preprocessed,result,32,17,2626.12,1132.64,100.16,307.33,134.42,0.32,9.13,16
2023/05/29 01:31:20.837,CloudInferencer,preprocessed,result,33,18,2732.49,1139.02,106.66,307.33,127.26,0.32,5.3,17
2023/05/29 01:31:21.162,CloudInferencer,preprocessed,result,35,19,2967.6,1355.36,373.83,307.33,134.08,0.32,7.27,18
2023/05/29 01:31:21.295,CloudInferencer,preprocessed,result,39,20,2935.88,1389.1,135.03,307.33,130.3,0.32,6.48,19
2023/05/29 01:31:21.451,CloudInferencer,preprocessed,result,40,21,3078.4,1164.06,154.94,307.33,131.31,0.32,7.9,20
2023/05/29 01:31:21.589,CloudInferencer,preprocessed,result,44,22,2987.75,1166.09,128.33,307.33,136.31,0.32,5.11,21
2023/05/29 01:31:21.790,CloudInferencer,preprocessed,result,46,23,3135.16,1197.73,194.17,307.33,138.68,0.32,14.02,22
2023/05/29 01:31:21.919,CloudInferencer,preprocessed,result,50,24,3098.08,1203.22,138.37,307.33,135.2,0.32,4.77,23
