asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 01:31:16.391,MergerStorage,input,None,None,4575,-1,114.47,None,921.74,6.4,93.67,0.05,None
2023/05/29 01:31:16.452,MergerStorage,input,None,None,4771,-1,157.01,None,921.74,7.48,94.11,0.05,None
2023/05/29 01:31:16.479,MergerStorage,input,None,None,4576,-1,156.8,None,921.74,12.01,94.36,0.04,None
2023/05/29 01:31:16.523,MergerStorage,input,None,None,4772,-1,99.0,None,921.74,7.01,94.0,0.03,None
2023/05/29 01:31:16.573,MergerStorage,input,None,None,4577,-1,156.62,None,921.74,7.74,94.47,0.16,None
2023/05/29 01:31:16.592,MergerStorage,input,None,None,4773,-1,110.11,None,921.74,6.85,94.53,0.03,None
2023/05/29 01:31:16.644,MergerStorage,input,None,None,4578,-1,129.33,None,921.74,7.05,93.91,0.06,None
2023/05/29 01:31:16.727,MergerStorage,input,None,None,4579,-1,138.14,None,921.74,7.5,94.15,0.05,None
2023/05/29 01:31:16.746,MergerStorage,input,None,None,4774,-1,71.07,None,921.74,6.39,92.95,0.03,None
2023/05/29 01:31:16.800,MergerStorage,input,None,None,4580,-1,129.76,None,921.74,6.57,89.28,0.04,None
2023/05/29 01:31:16.824,MergerStorage,input,None,None,4775,-1,139.44,None,921.74,7.21,92.95,0.06,None
2023/05/29 01:31:16.882,MergerStorage,input,None,None,4581,-1,101.07,None,921.74,14.68,93.87,0.12,None
2023/05/29 01:31:16.961,MergerStorage,input,None,None,4776,-1,159.29,None,921.74,28.54,92.95,0.07,None
2023/05/29 01:31:17.038,MergerStorage,input,None,None,4582,-1,201.48,None,921.74,29.22,93.94,0.12,None
2023/05/29 01:31:17.118,MergerStorage,input,None,None,4777,-1,248.02,None,921.74,18.73,93.74,0.07,None
2023/05/29 01:31:17.173,MergerStorage,input,None,None,4583,-1,262.36,None,921.74,17.89,93.78,0.13,None
2023/05/29 01:31:17.211,MergerStorage,result,None,None,4608,-1,82.33,None,0.13,0.02,0.13,24.84,None
2023/05/29 01:31:17.269,MergerStorage,input,None,None,4778,-1,221.93,None,921.74,18.73,93.75,0.07,None
2023/05/29 01:31:17.307,MergerStorage,result,None,None,4609,-1,73.71,None,0.13,0.03,0.13,21.6,None
2023/05/29 01:31:17.338,MergerStorage,input,None,None,4584,-1,141.62,None,921.74,6.52,93.52,0.06,None
2023/05/29 01:31:17.348,MergerStorage,result,None,None,4610,-1,87.14,None,125.33,0.03,125.33,0.08,None
2023/05/29 01:31:17.377,MergerStorage,input,None,None,4779,-1,193.94,None,921.74,8.53,93.75,0.07,None
2023/05/29 01:31:17.415,MergerStorage,result,None,None,4611,-1,27.28,None,0.13,0.02,0.13,18.38,None
2023/05/29 01:31:17.465,MergerStorage,result,None,None,4612,-1,80.47,None,124.86,0.03,124.86,0.29,None
2023/05/29 01:31:17.498,MergerStorage,input,None,None,4780,-1,199.06,None,921.74,10.63,93.61,0.36,None
2023/05/29 01:31:17.568,MergerStorage,input,None,None,4585,-1,168.32,None,921.74,13.4,94.37,0.06,None
2023/05/29 01:31:17.604,MergerStorage,result,None,None,4613,-1,94.03,None,124.86,0.07,124.86,0.1,None
2023/05/29 01:31:17.647,MergerStorage,input,None,None,4781,-1,268.95,None,921.74,8.48,93.62,0.05,None
2023/05/29 01:31:17.678,MergerStorage,result,None,None,4614,-1,85.83,None,0.13,0.03,0.13,18.95,None
2023/05/29 01:31:17.709,MergerStorage,result,None,None,4615,-1,54.76,None,124.67,0.04,124.67,0.86,None
2023/05/29 01:31:17.738,MergerStorage,input,None,None,4586,-1,247.83,None,921.74,14.54,94.43,0.07,None
2023/05/29 01:31:17.774,MergerStorage,result,None,None,4616,-1,34.74,None,0.13,0.04,0.13,17.66,None
2023/05/29 01:31:17.789,MergerStorage,input,None,None,4782,-1,321.86,None,921.74,8.3,94.37,0.05,None
2023/05/29 01:31:17.809,MergerStorage,input,None,None,4587,-1,200.96,None,921.74,7.33,94.45,0.04,None
2023/05/29 01:31:17.819,MergerStorage,result,None,None,4617,-1,8.79,None,124.69,0.01,124.69,0.04,None
2023/05/29 01:31:17.833,MergerStorage,input,None,None,4783,-1,130.95,None,921.74,5.41,77.25,0.14,None
2023/05/29 01:31:17.866,MergerStorage,input,None,None,4784,-1,86.2,None,921.74,6.84,93.69,0.08,None
2023/05/29 01:31:17.876,MergerStorage,result,None,None,4618,-1,20.12,None,125.68,0.02,125.68,0.06,None
2023/05/29 01:31:17.888,MergerStorage,input,None,None,4588,-1,104.29,None,921.74,6.84,94.16,0.06,None
2023/05/29 01:31:17.912,MergerStorage,input,None,None,4589,-1,93.94,None,921.74,6.8,94.13,0.05,None
2023/05/29 01:31:17.918,MergerStorage,result,None,None,4619,-1,12.96,None,102.85,0.01,102.85,0.06,None
2023/05/29 01:31:17.948,MergerStorage,result,None,None,4620,-1,6.91,None,0.13,0.02,0.13,12.87,None
2023/05/29 01:31:17.963,MergerStorage,input,None,None,4590,-1,69.76,None,921.74,5.49,93.6,0.03,None
2023/05/29 01:31:17.967,MergerStorage,result,None,None,4621,-1,16.36,None,124.78,0.01,124.78,0.04,None
2023/05/29 01:31:18.032,MergerStorage,input,None,None,4591,-1,93.21,None,921.74,6.27,94.16,0.05,None
2023/05/29 01:31:18.078,MergerStorage,input,None,None,4785,-1,26.55,None,921.74,9.13,94.08,0.05,None
2023/05/29 01:31:18.115,MergerStorage,input,None,None,4592,-1,137.66,None,921.74,8.37,93.7,0.06,None
2023/05/29 01:31:18.122,MergerStorage,result,None,None,4622,-1,17.18,None,125.3,0.01,125.3,0.04,None
2023/05/29 01:31:18.136,MergerStorage,input,None,None,4593,-1,93.62,None,921.74,5.43,93.93,0.04,None
2023/05/29 01:31:18.177,MergerStorage,input,None,None,4594,-1,50.08,None,921.74,6.54,94.08,0.09,None
2023/05/29 01:31:18.205,MergerStorage,input,None,None,4786,-1,69.68,None,921.74,8.25,93.86,0.03,None
2023/05/29 01:31:18.248,MergerStorage,result,None,None,4623,-1,5.03,None,0.13,0.01,0.13,12.03,None
2023/05/29 01:31:18.255,MergerStorage,result,None,None,4624,-1,19.65,None,125.0,0.01,125.0,0.07,None
2023/05/29 01:31:18.286,MergerStorage,input,None,None,4595,-1,52.06,None,921.74,7.0,93.97,0.06,None
2023/05/29 01:31:18.305,MergerStorage,result,None,None,4625,-1,29.7,None,0.13,0.02,0.13,12.07,None
2023/05/29 01:31:18.324,MergerStorage,input,None,None,4787,-1,178.06,None,921.74,6.71,93.86,0.06,None
2023/05/29 01:31:18.337,MergerStorage,input,None,None,4596,-1,96.75,None,921.74,6.79,93.97,0.04,None
2023/05/29 01:31:18.348,MergerStorage,result,None,None,4626,-1,21.4,None,125.0,0.02,125.0,0.09,None
2023/05/29 01:31:18.374,MergerStorage,input,None,None,4788,-1,149.1,None,921.74,8.04,93.83,0.05,None
2023/05/29 01:31:18.404,MergerStorage,result,None,None,4627,-1,4.38,None,124.96,0.03,124.96,0.07,None
2023/05/29 01:31:18.452,MergerStorage,input,None,None,4789,-1,142.94,None,921.74,7.88,94.47,0.07,None
2023/05/29 01:31:18.480,MergerStorage,input,None,None,4790,-1,87.55,None,921.74,7.01,93.83,0.06,None
2023/05/29 01:31:18.495,MergerStorage,result,None,None,4628,-1,9.06,None,125.81,0.01,125.81,0.1,None
2023/05/29 01:31:18.521,MergerStorage,result,None,None,4629,-1,6.66,None,0.13,0.02,0.13,15.15,None
2023/05/29 01:31:18.539,MergerStorage,input,None,None,4791,-1,77.31,None,921.74,7.67,94.11,0.07,None
2023/05/29 01:31:18.550,MergerStorage,result,None,None,4630,-1,19.99,None,124.96,0.01,124.96,0.09,None
2023/05/29 01:31:18.565,MergerStorage,input,None,None,4597,-1,98.18,None,921.74,6.17,94.36,0.05,None
2023/05/29 01:31:18.582,MergerStorage,input,None,None,4792,-1,75.58,None,921.74,8.55,94.36,0.05,None
2023/05/29 01:31:18.601,MergerStorage,input,None,None,4598,-1,93.51,None,921.74,6.1,61.28,0.05,None
2023/05/29 01:31:18.605,MergerStorage,result,None,None,4631,-1,21.76,None,125.33,0.01,125.33,0.04,None
2023/05/29 01:31:18.629,MergerStorage,result,None,None,4632,-1,5.11,None,125.67,0.01,125.67,0.05,None
2023/05/29 01:31:18.650,MergerStorage,result,None,None,4633,-1,5.82,None,0.13,0.01,0.13,12.54,None
2023/05/29 01:31:18.666,MergerStorage,input,None,None,4793,-1,111.33,None,921.74,6.76,77.08,0.07,None
2023/05/29 01:31:18.692,MergerStorage,input,None,None,4794,-1,92.4,None,921.74,6.24,85.89,0.04,None
2023/05/29 01:31:18.702,MergerStorage,result,None,None,4634,-1,9.56,None,102.64,0.02,102.64,0.06,None
2023/05/29 01:31:18.721,MergerStorage,input,None,None,4599,-1,29.96,None,921.74,8.12,92.97,0.06,None
2023/05/29 01:31:18.737,MergerStorage,input,None,None,4795,-1,60.1,None,921.74,5.87,89.61,0.06,None
2023/05/29 01:31:18.744,MergerStorage,result,None,None,4635,-1,8.76,None,114.38,0.01,114.38,0.16,None
2023/05/29 01:31:18.773,MergerStorage,input,None,None,4796,-1,48.58,None,921.74,6.81,92.97,0.1,None
2023/05/29 01:31:18.794,MergerStorage,result,None,None,4636,-1,15.68,None,0.13,0.02,0.13,13.6,None
2023/05/29 01:31:18.800,MergerStorage,result,None,None,4637,-1,20.88,None,119.34,0.01,119.34,0.05,None
2023/05/29 01:31:18.818,MergerStorage,input,None,None,4600,-1,37.49,None,921.74,9.87,93.46,0.06,None
2023/05/29 01:31:18.842,MergerStorage,input,None,None,4797,-1,70.98,None,921.74,8.05,93.0,0.06,None
2023/05/29 01:31:18.850,MergerStorage,result,None,None,4638,-1,12.46,None,123.81,0.02,123.81,0.25,None
2023/05/29 01:31:18.886,MergerStorage,result,None,None,4639,-1,4.8,None,123.86,0.02,123.86,0.09,None
2023/05/29 01:31:18.914,MergerStorage,input,None,None,4798,-1,103.21,None,921.74,6.46,93.7,0.07,None
2023/05/29 01:31:18.948,MergerStorage,result,None,None,4640,-1,4.85,None,124.8,0.01,124.8,0.06,None
2023/05/29 01:31:18.974,MergerStorage,input,None,None,4601,-1,26.98,None,921.74,7.53,93.62,0.03,None
2023/05/29 01:31:19.001,MergerStorage,input,None,None,4799,-1,139.62,None,921.74,6.44,93.7,0.05,None
2023/05/29 01:31:19.032,MergerStorage,input,None,None,4800,-1,90.74,None,921.74,7.89,93.71,0.03,None
2023/05/29 01:31:19.043,MergerStorage,result,None,None,4641,-1,6.65,None,124.8,0.01,124.8,0.12,None
2023/05/29 01:31:19.061,MergerStorage,input,None,None,4602,-1,25.12,None,921.74,7.67,93.69,0.03,None
2023/05/29 01:31:19.079,MergerStorage,result,None,None,4642,-1,3.77,None,124.81,0.01,124.81,0.06,None
2023/05/29 01:31:19.100,MergerStorage,result,None,None,4643,-1,4.91,None,0.13,0.02,0.13,12.97,None
2023/05/29 01:31:19.124,MergerStorage,input,None,None,4603,-1,60.2,None,921.74,11.42,94.14,0.2,None
2023/05/29 01:31:19.147,MergerStorage,result,None,None,4644,-1,25.74,None,0.13,0.02,0.13,13.79,None
2023/05/29 01:31:19.167,MergerStorage,input,None,None,4801,-1,136.75,None,921.74,6.83,93.62,0.06,None
2023/05/29 01:31:19.180,MergerStorage,result,None,None,4645,-1,3.56,None,124.69,0.02,124.69,0.1,None
2023/05/29 01:31:19.226,MergerStorage,input,None,None,4802,-1,150.0,None,921.74,8.12,94.14,0.09,None
2023/05/29 01:31:19.252,MergerStorage,input,None,None,4803,-1,84.73,None,921.74,5.36,94.05,0.05,None
2023/05/29 01:31:19.271,MergerStorage,result,None,None,4646,-1,11.85,None,125.38,0.02,125.38,0.1,None
2023/05/29 01:31:19.283,MergerStorage,input,None,None,4604,-1,39.29,None,921.74,6.7,93.46,0.06,None
2023/05/29 01:31:19.304,MergerStorage,input,None,None,4804,-1,64.25,None,921.74,5.89,93.78,0.07,None
2023/05/29 01:31:19.312,MergerStorage,result,None,None,4647,-1,7.23,None,125.25,0.02,125.25,0.11,None
2023/05/29 01:31:19.337,MergerStorage,input,None,None,4605,-1,77.85,None,921.74,6.93,93.46,0.06,None
2023/05/29 01:31:19.362,MergerStorage,input,None,None,4805,-1,37.76,None,921.74,8.22,93.81,0.04,None
2023/05/29 01:31:19.367,MergerStorage,result,None,None,4648,-1,22.59,None,124.89,0.01,124.89,0.06,None
2023/05/29 01:31:19.386,MergerStorage,result,None,None,4649,-1,5.81,None,0.13,0.01,0.13,11.48,None
2023/05/29 01:31:19.403,MergerStorage,input,None,None,4806,-1,64.13,None,921.74,5.55,93.81,0.05,None
2023/05/29 01:31:19.407,MergerStorage,result,None,None,4650,-1,12.9,None,124.94,0.01,124.94,0.08,None
2023/05/29 01:31:19.447,MergerStorage,input,None,None,4606,-1,129.42,None,921.74,10.19,93.46,0.06,None
2023/05/29 01:31:19.455,MergerStorage,result,None,None,4651,-1,6.9,None,124.94,0.02,124.94,0.22,None
2023/05/29 01:31:19.473,MergerStorage,input,None,None,4607,-1,71.86,None,921.74,6.91,93.95,0.04,None
2023/05/29 01:31:19.491,MergerStorage,input,None,None,4807,-1,97.92,None,921.74,7.19,94.15,0.06,None
2023/05/29 01:31:19.510,MergerStorage,input,None,None,4608,-1,53.24,None,921.74,5.92,93.95,0.04,None
2023/05/29 01:31:19.534,MergerStorage,input,None,None,4808,-1,66.87,None,921.74,7.32,94.1,0.05,None
2023/05/29 01:31:19.548,MergerStorage,result,None,None,4652,-1,12.27,None,125.39,0.01,125.39,0.08,None
2023/05/29 01:31:19.604,MergerStorage,result,None,None,4653,-1,17.21,None,0.13,0.02,0.13,19.37,None
2023/05/29 01:31:19.647,MergerStorage,input,None,None,4609,-1,133.47,None,921.74,16.73,94.1,0.08,None
2023/05/29 01:31:19.678,MergerStorage,input,None,None,4809,-1,150.94,None,921.74,11.18,60.98,0.08,None
2023/05/29 01:31:19.682,MergerStorage,result,None,None,4654,-1,101.42,None,125.32,0.02,125.32,0.11,None
2023/05/29 01:31:19.703,MergerStorage,input,None,None,4810,-1,140.1,None,921.74,7.58,85.72,0.08,None
2023/05/29 01:31:19.723,MergerStorage,input,None,None,4610,-1,177.93,None,921.74,5.96,76.47,0.08,None
2023/05/29 01:31:19.728,MergerStorage,result,None,None,4655,-1,39.0,None,81.17,0.02,81.17,0.11,None
2023/05/29 01:31:19.744,MergerStorage,result,None,None,4656,-1,27.62,None,0.13,0.01,0.13,9.71,None
2023/05/29 01:31:19.756,MergerStorage,input,None,None,4611,-1,124.2,None,921.74,5.76,85.72,0.05,None
2023/05/29 01:31:19.759,MergerStorage,result,None,None,4657,-1,22.03,None,114.15,0.01,114.15,0.06,None
2023/05/29 01:31:19.808,MergerStorage,input,None,None,4612,-1,82.75,None,921.74,5.59,89.64,0.04,None
