asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 13:31:26.464,LocalPreprocessor,input,preprocessed,1,7378,-781.99,-780.73,75853.05,921.74,2.68,307.36,7.62,7256
2023/05/29 13:31:26.803,LocalPreprocessor,input,preprocessed,3,7379,-467.81,-467.68,346.31,921.74,1.56,307.36,3.84,7257
2023/05/29 13:31:27.121,LocalPreprocessor,input,preprocessed,4,7380,-170.23,-448.38,315.24,921.74,1.76,307.36,3.83,7258
2023/05/29 13:31:27.422,LocalPreprocessor,input,preprocessed,7,7381,-392.27,-509.25,300.01,921.74,1.14,307.36,4.18,7259
2023/05/29 13:31:27.805,LocalPreprocessor,input,preprocessed,8,7382,-134.3,-499.22,377.5,921.74,1.37,307.36,9.06,7260
2023/05/29 13:31:28.172,LocalPreprocessor,input,preprocessed,9,7383,-136.14,-385.2,371.12,921.74,1.13,307.36,3.55,7261
2023/05/29 13:31:28.572,LocalPreprocessor,input,preprocessed,13,7384,-455.33,-454.66,387.4,921.74,3.24,307.36,7.32,7262
2023/05/29 13:31:28.995,LocalPreprocessor,input,preprocessed,14,7385,-41.31,-303.12,431.79,921.74,1.18,307.36,3.95,7263
2023/05/29 13:31:29.280,LocalPreprocessor,input,preprocessed,16,7386,-124.82,-402.44,278.6,921.74,1.37,307.36,8.0,7264
2023/05/29 13:31:29.752,LocalPreprocessor,input,preprocessed,19,7387,-527.22,-526.57,474.56,921.74,1.17,307.36,4.13,7265
2023/05/29 13:31:30.648,LocalPreprocessor,input,preprocessed,22,7388,-501.92,-501.28,880.0,921.74,2.31,307.36,13.23,7266
2023/05/29 13:31:31.161,LocalPreprocessor,input,preprocessed,1,7389,-586.37,-585.33,525.82,921.74,0.95,307.36,3.52,7267
2023/05/29 13:31:31.445,LocalPreprocessor,input,preprocessed,3,7390,-361.99,-360.91,277.14,921.74,1.71,307.36,5.41,7268
2023/05/29 13:31:31.634,LocalPreprocessor,input,preprocessed,24,7391,-33.65,-32.62,186.6,921.74,2.06,307.36,5.27,7269
2023/05/29 13:31:31.991,LocalPreprocessor,input,preprocessed,4,7392,159.07,-263.87,355.97,921.74,1.04,307.36,8.13,7270
2023/05/29 13:31:32.441,LocalPreprocessor,input,preprocessed,7,7393,-409.41,-409.04,453.87,921.74,0.98,307.36,3.43,7271
2023/05/29 13:31:32.772,LocalPreprocessor,input,preprocessed,8,7394,-102.13,-382.68,320.15,921.74,3.12,307.36,8.24,7272
2023/05/29 13:31:32.780,LocalPreprocessor,input,preprocessed,25,7395,1106.43,1025.98,13.36,921.74,1.28,307.36,3.33,7273
2023/05/29 13:31:33.416,LocalPreprocessor,input,preprocessed,9,7396,234.78,-95.37,618.41,921.74,1.53,307.36,18.18,7274
2023/05/29 13:31:33.694,LocalPreprocessor,input,preprocessed,28,7397,913.02,914.03,292.64,921.74,1.14,307.36,5.41,7275
2023/05/29 13:31:34.094,LocalPreprocessor,input,preprocessed,13,7398,222.68,223.21,401.27,921.74,1.1,307.36,3.87,7276
2023/05/29 13:31:34.117,LocalPreprocessor,input,preprocessed,29,7399,1325.0,219.99,14.99,921.74,1.82,307.36,6.77,7277
2023/05/29 13:31:34.324,LocalPreprocessor,input,preprocessed,14,7400,437.2,-268.58,210.28,921.74,1.49,307.36,3.92,7278
2023/05/29 13:31:34.545,LocalPreprocessor,input,preprocessed,30,7401,626.92,-273.71,202.4,921.74,3.13,307.36,12.6,7279
2023/05/29 13:31:34.801,LocalPreprocessor,input,preprocessed,31,7402,-8.43,-440.84,266.4,921.74,1.41,307.36,8.55,7280
2023/05/29 13:31:34.910,LocalPreprocessor,input,preprocessed,16,7403,261.13,-264.42,112.06,921.74,1.44,307.36,4.49,7281
2023/05/29 13:31:35.121,LocalPreprocessor,input,preprocessed,32,7404,-126.33,-525.36,208.44,921.74,1.37,307.36,3.87,7282
2023/05/29 13:31:35.757,LocalPreprocessor,input,preprocessed,19,7405,-138.79,-138.53,636.31,921.74,1.33,307.36,3.76,7283
2023/05/29 13:31:35.891,LocalPreprocessor,input,preprocessed,33,7406,227.28,-55.6,113.94,921.74,4.7,307.36,12.57,7284
2023/05/29 13:31:36.510,LocalPreprocessor,input,preprocessed,35,7407,517.12,193.23,613.62,921.74,2.64,307.36,17.85,7285
2023/05/29 13:31:36.601,LocalPreprocessor,input,preprocessed,22,7408,-658.92,-658.2,102.66,921.74,1.77,307.36,6.75,7286
2023/05/29 13:31:37.130,LocalPreprocessor,input,preprocessed,24,7409,-587.52,-586.53,534.82,921.74,1.24,307.36,3.82,7287
2023/05/29 13:31:37.259,LocalPreprocessor,input,preprocessed,39,7410,-434.05,-433.36,123.66,921.74,2.1,307.36,6.06,7288
2023/05/29 13:31:37.644,LocalPreprocessor,input,preprocessed,25,7411,-88.94,-88.3,386.81,921.74,1.53,307.36,3.31,7289
2023/05/29 13:31:37.914,LocalPreprocessor,input,preprocessed,40,7412,187.9,188.31,249.08,921.74,4.11,307.36,14.02,7290
2023/05/29 13:31:38.576,LocalPreprocessor,input,preprocessed,28,7413,-401.12,-400.62,675.49,921.74,1.15,307.36,5.44,7291
2023/05/29 13:31:38.995,LocalPreprocessor,input,preprocessed,44,7414,-452.16,-451.32,421.72,921.74,1.25,307.36,3.42,7292
2023/05/29 13:31:39.115,LocalPreprocessor,input,preprocessed,29,7415,90.46,90.72,114.8,921.74,1.06,307.36,6.92,7293
2023/05/29 13:31:39.366,LocalPreprocessor,input,preprocessed,30,7416,303.79,-285.12,249.51,921.74,1.74,307.36,5.69,7294
2023/05/29 13:31:39.881,LocalPreprocessor,input,preprocessed,46,7417,-421.95,-421.25,493.2,921.74,4.07,307.36,10.53,7295
2023/05/29 13:31:39.913,LocalPreprocessor,input,preprocessed,31,7418,244.93,-278.42,37.37,921.74,2.49,307.36,7.96,7296
2023/05/29 13:31:40.263,LocalPreprocessor,input,preprocessed,32,7419,52.83,-134.79,344.3,921.74,3.3,307.36,10.12,7297
2023/05/29 13:31:40.523,LocalPreprocessor,input,preprocessed,33,7420,100.94,-447.6,249.4,921.74,5.09,307.36,15.91,7298
2023/05/29 13:31:40.898,LocalPreprocessor,input,preprocessed,35,7421,-91.58,-447.84,392.59,921.74,1.27,307.36,4.15,7299
2023/05/29 13:31:41.255,LocalPreprocessor,input,preprocessed,39,7422,-744.5,-743.48,346.98,921.74,2.14,307.36,9.47,7300
2023/05/29 13:31:41.675,LocalPreprocessor,input,preprocessed,40,7423,-368.06,-367.75,403.44,921.74,5.36,307.36,16.7,7301
2023/05/29 13:31:41.905,LocalPreprocessor,input,preprocessed,50,7424,-174.5,-173.38,231.75,921.74,1.72,307.36,14.9,7302
2023/05/29 13:31:42.753,LocalPreprocessor,input,preprocessed,44,7425,-413.09,-412.67,864.24,921.74,1.2,307.36,5.37,7303
2023/05/29 13:31:42.863,LocalPreprocessor,input,preprocessed,53,7426,-573.41,-573.29,102.89,921.74,1.74,307.36,7.63,7304
2023/05/29 13:31:43.188,LocalPreprocessor,input,preprocessed,46,7427,-738.4,-737.75,302.86,921.74,3.4,307.36,22.59,7305
2023/05/29 13:31:44.162,LocalPreprocessor,input,preprocessed,50,7428,-609.33,-608.42,986.75,921.74,3.8,307.36,6.86,7306
2023/05/29 13:31:44.803,LocalPreprocessor,input,preprocessed,53,7429,-687.2,-686.94,645.82,921.74,1.0,307.36,8.65,7307
2023/05/29 13:31:45.467,LocalPreprocessor,input,preprocessed,57,7430,91.48,92.69,652.47,921.74,2.76,307.36,10.67,7308
2023/05/29 13:31:46.449,LocalPreprocessor,input,preprocessed,57,7431,-330.47,-329.44,992.34,921.74,0.99,307.36,5.81,7309
2023/05/29 13:31:46.626,LocalPreprocessor,input,preprocessed,59,7432,-238.46,-237.89,163.4,921.74,2.52,307.36,9.37,7310
2023/05/29 13:31:46.973,LocalPreprocessor,input,preprocessed,59,7433,-622.18,-621.17,339.76,921.74,2.94,307.36,12.33,7311
2023/05/29 13:31:47.111,LocalPreprocessor,input,preprocessed,60,7434,241.04,242.1,151.01,921.74,1.93,307.36,4.86,7312
2023/05/29 13:31:47.420,LocalPreprocessor,input,preprocessed,60,7435,-187.68,-186.63,290.3,921.74,3.38,307.36,13.69,7313
2023/05/29 13:31:48.222,LocalPreprocessor,input,preprocessed,64,7436,-653.96,-653.3,794.23,921.74,2.49,307.36,18.2,7314
2023/05/29 13:31:48.591,LocalPreprocessor,input,preprocessed,64,7437,-675.89,-682.12,375.84,921.74,2.78,307.36,11.0,7315
2023/05/29 13:31:48.671,LocalPreprocessor,input,preprocessed,65,7438,-232.43,-232.14,75.29,921.74,2.11,307.36,12.99,7316
2023/05/29 13:31:49.092,LocalPreprocessor,input,preprocessed,65,7439,-189.69,-188.95,432.8,921.74,1.86,307.36,4.04,7317
2023/05/29 13:31:49.343,LocalPreprocessor,input,preprocessed,66,7440,424.61,48.14,253.5,921.74,1.15,307.36,3.63,7318
2023/05/29 13:31:49.404,LocalPreprocessor,input,preprocessed,66,7441,103.17,-467.78,57.75,921.74,1.46,307.36,4.35,7319
2023/05/29 13:31:50.185,LocalPreprocessor,input,preprocessed,70,7442,-715.67,-714.78,776.4,921.74,1.32,307.36,6.39,7320
2023/05/29 13:31:50.402,LocalPreprocessor,input,preprocessed,70,7443,-595.94,-595.54,219.59,921.74,1.23,307.36,3.59,7321
2023/05/29 13:31:50.706,LocalPreprocessor,input,preprocessed,71,7444,-216.32,-215.7,290.11,921.74,2.95,307.36,8.39,7322
2023/05/29 13:31:50.795,LocalPreprocessor,input,preprocessed,71,7445,-218.1,-217.8,97.91,921.74,1.55,307.36,5.04,7323
2023/05/29 13:31:51.056,LocalPreprocessor,input,preprocessed,73,7446,-424.23,-423.44,257.1,921.74,2.09,307.36,5.11,7324
2023/05/29 13:31:51.401,LocalPreprocessor,input,preprocessed,73,7447,-782.06,-781.6,342.32,921.74,1.05,307.36,6.99,7325
2023/05/29 13:31:51.563,LocalPreprocessor,input,preprocessed,75,7448,-575.61,-574.8,162.87,921.74,1.77,307.36,4.22,7326
2023/05/29 13:31:52.133,LocalPreprocessor,input,preprocessed,75,7449,-734.49,-735.34,564.28,921.74,1.52,307.36,6.27,7327
2023/05/29 13:31:52.189,LocalPreprocessor,input,preprocessed,77,7450,-542.46,-541.56,43.02,921.74,3.34,307.36,11.29,7328
2023/05/29 13:31:52.493,LocalPreprocessor,input,preprocessed,78,7451,-256.42,-255.34,317.64,921.74,1.16,307.36,3.49,7329
2023/05/29 13:31:53.020,LocalPreprocessor,input,preprocessed,77,7452,-618.25,-617.91,514.92,921.74,2.4,307.36,10.46,7330
2023/05/29 13:31:53.061,LocalPreprocessor,input,preprocessed,79,7453,280.46,-253.26,50.35,921.74,1.5,307.36,3.7,7331
2023/05/29 13:31:53.383,LocalPreprocessor,input,preprocessed,80,7454,66.96,-167.7,318.01,921.74,2.2,307.36,3.53,7332
2023/05/29 13:31:53.496,LocalPreprocessor,input,preprocessed,78,7455,-152.75,-153.06,115.69,921.74,0.96,307.36,2.94,7333
2023/05/29 13:31:53.792,LocalPreprocessor,input,preprocessed,79,7456,121.39,-425.57,292.56,921.74,1.2,307.36,3.58,7334
2023/05/29 13:31:53.926,LocalPreprocessor,input,preprocessed,81,7457,341.04,-239.22,102.91,921.74,2.7,307.36,16.89,7335
2023/05/29 13:31:54.158,LocalPreprocessor,input,preprocessed,80,7458,-74.94,-486.34,244.77,921.74,3.71,307.36,9.46,7336
2023/05/29 13:31:54.354,LocalPreprocessor,input,preprocessed,84,7459,121.83,-97.4,179.08,921.74,3.72,307.36,17.82,7337
2023/05/29 13:31:54.706,LocalPreprocessor,input,preprocessed,81,7460,60.47,-240.16,374.51,921.74,1.74,307.36,3.98,7338
2023/05/29 13:31:55.103,LocalPreprocessor,input,preprocessed,84,7461,-763.51,-762.92,395.59,921.74,1.54,307.36,4.48,7339
2023/05/29 13:31:55.461,LocalPreprocessor,input,preprocessed,87,7462,-318.3,-317.48,357.34,921.74,1.96,307.36,3.45,7340
2023/05/29 13:31:55.924,LocalPreprocessor,input,preprocessed,88,7463,111.42,94.08,439.01,921.74,2.33,307.36,17.36,7341
2023/05/29 13:31:56.240,LocalPreprocessor,input,preprocessed,87,7464,-560.48,-560.26,335.32,921.74,0.98,307.36,3.51,7342
2023/05/29 13:31:56.328,LocalPreprocessor,input,preprocessed,90,7465,-428.82,-428.25,81.72,921.74,2.25,307.36,4.75,7343
2023/05/29 13:31:56.597,LocalPreprocessor,input,preprocessed,88,7466,-218.01,-217.6,265.48,921.74,1.63,307.36,7.64,7344
2023/05/29 13:31:56.962,LocalPreprocessor,input,preprocessed,90,7467,-886.87,-885.88,367.08,921.74,1.48,307.36,4.33,7345
2023/05/29 13:31:57.020,LocalPreprocessor,input,preprocessed,92,7468,-567.34,-566.35,57.34,921.74,1.42,307.36,4.94,7346
2023/05/29 13:31:57.637,LocalPreprocessor,input,preprocessed,92,7469,-830.84,-829.82,614.0,921.74,1.27,307.36,7.05,7347
2023/05/29 13:31:58.130,LocalPreprocessor,input,preprocessed,96,7470,-692.51,-691.73,492.06,921.74,1.14,307.36,5.8,7348
2023/05/29 13:31:58.600,LocalPreprocessor,input,preprocessed,97,7471,-243.18,-242.2,471.19,921.74,1.27,307.36,3.92,7349
2023/05/29 13:31:58.867,LocalPreprocessor,input,preprocessed,96,7472,-841.27,-840.77,260.21,921.74,1.42,307.36,8.94,7350
2023/05/29 13:31:59.145,LocalPreprocessor,input,preprocessed,97,7473,-586.78,-600.03,283.12,921.74,1.44,307.36,3.27,7351
2023/05/29 13:31:59.207,LocalPreprocessor,input,preprocessed,99,7474,-43.92,-43.82,60.45,921.74,1.46,307.36,4.19,7352
2023/05/29 13:31:59.569,LocalPreprocessor,input,preprocessed,100,7475,281.8,-203.8,353.73,921.74,1.82,307.36,6.72,7353
2023/05/29 13:31:59.726,LocalPreprocessor,input,preprocessed,99,7476,-829.32,-828.33,158.35,921.74,1.58,307.36,5.59,7354
2023/05/29 13:31:59.888,LocalPreprocessor,input,preprocessed,102,7477,-4.5,-365.07,165.64,921.74,1.19,307.36,2.74,7355
2023/05/29 13:32:00.385,LocalPreprocessor,input,preprocessed,104,7478,-613.04,-612.14,472.49,921.74,5.38,307.36,16.41,7356
2023/05/29 13:32:00.423,LocalPreprocessor,input,preprocessed,100,7479,-166.59,-166.73,46.27,921.74,2.58,307.36,9.59,7357
2023/05/29 13:32:00.846,LocalPreprocessor,input,preprocessed,105,7480,-190.58,-189.35,400.94,921.74,4.94,307.36,26.68,7358
2023/05/29 13:32:00.912,LocalPreprocessor,input,preprocessed,102,7481,-754.08,-753.91,95.05,921.74,1.54,307.36,3.37,7359
2023/05/29 13:32:01.078,LocalPreprocessor,input,preprocessed,107,7482,-510.4,-510.27,165.58,921.74,1.01,307.36,3.58,7360
2023/05/29 13:32:01.462,LocalPreprocessor,input,preprocessed,108,7483,-180.28,-461.83,375.95,921.74,1.32,307.36,6.77,7361
2023/05/29 13:32:01.689,LocalPreprocessor,input,preprocessed,104,7484,-803.7,-803.15,227.34,921.74,0.99,307.36,7.31,7362
2023/05/29 13:32:02.103,LocalPreprocessor,input,preprocessed,105,7485,-402.94,-402.74,417.13,921.74,1.16,307.36,4.0,7363
2023/05/29 13:32:02.382,LocalPreprocessor,input,preprocessed,109,7486,444.87,240.56,275.23,921.74,1.79,307.36,5.09,7364
2023/05/29 13:32:02.736,LocalPreprocessor,input,preprocessed,107,7487,-814.49,-814.25,355.73,921.74,1.5,307.36,3.34,7365
2023/05/29 13:32:03.083,LocalPreprocessor,input,preprocessed,108,7488,-485.31,-484.37,334.45,921.74,2.21,307.36,11.51,7366
2023/05/29 13:32:03.251,LocalPreprocessor,input,preprocessed,112,7489,-224.22,-223.97,175.68,921.74,1.25,307.36,4.16,7367
2023/05/29 13:32:03.535,LocalPreprocessor,input,preprocessed,109,7490,-66.44,-353.37,263.9,921.74,7.64,307.36,10.29,7368
2023/05/29 13:32:03.864,LocalPreprocessor,input,preprocessed,114,7491,-549.85,-549.16,328.22,921.74,3.79,307.36,11.98,7369
2023/05/29 13:32:04.164,LocalPreprocessor,input,preprocessed,112,7492,-794.7,-794.28,316.08,921.74,1.1,307.36,3.54,7370
2023/05/29 13:32:04.337,LocalPreprocessor,input,preprocessed,115,7493,-80.89,-80.69,168.0,921.74,1.29,307.36,7.14,7371
2023/05/29 13:32:04.793,LocalPreprocessor,input,preprocessed,117,7494,-130.65,-130.23,451.35,921.74,1.6,307.36,9.6,7372
2023/05/29 13:32:04.803,LocalPreprocessor,input,preprocessed,114,7495,-746.97,-746.06,10.15,921.74,1.64,307.36,4.02,7373
2023/05/29 13:32:05.185,LocalPreprocessor,input,preprocessed,115,7496,-393.05,-392.22,370.63,921.74,2.73,307.36,10.21,7374
2023/05/29 13:32:05.316,LocalPreprocessor,input,preprocessed,119,7497,67.39,-207.37,129.79,921.74,3.08,307.36,8.92,7375
2023/05/29 13:32:05.526,LocalPreprocessor,input,preprocessed,120,7498,-3.17,-426.81,221.51,921.74,1.2,307.36,3.32,7376
2023/05/29 13:32:05.863,LocalPreprocessor,input,preprocessed,123,7499,-393.1,-487.17,330.85,921.74,1.36,307.36,7.09,7377
2023/05/29 13:32:05.922,LocalPreprocessor,input,preprocessed,117,7500,-520.29,-519.51,50.96,921.74,3.23,307.36,6.98,7378
2023/05/29 13:32:06.277,LocalPreprocessor,input,preprocessed,126,7501,-753.34,-752.91,350.83,921.74,3.11,307.36,8.36,7379
2023/05/29 13:32:06.714,LocalPreprocessor,input,preprocessed,127,7502,-330.22,-329.73,445.62,921.74,1.38,307.36,3.73,7380
2023/05/29 13:32:06.747,LocalPreprocessor,input,preprocessed,119,7503,-672.05,-670.99,26.07,921.74,1.78,307.36,6.13,7381
2023/05/29 13:32:07.081,LocalPreprocessor,input,preprocessed,120,7504,-355.53,-355.0,334.0,921.74,0.97,307.36,7.81,7382
2023/05/29 13:32:07.148,LocalPreprocessor,input,preprocessed,128,7505,77.39,-220.93,68.18,921.74,1.21,307.36,4.8,7383
2023/05/29 13:32:07.380,LocalPreprocessor,input,preprocessed,132,7506,-837.85,-837.22,230.49,921.74,1.04,307.36,4.67,7384
2023/05/29 13:32:07.799,LocalPreprocessor,input,preprocessed,133,7507,-437.56,-437.22,410.0,921.74,2.78,307.36,4.73,7385
2023/05/29 13:32:08.333,LocalPreprocessor,input,preprocessed,123,7508,-597.94,-597.19,520.88,921.74,1.42,307.36,19.09,7386
