asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 19:56:43.428,UAVFrameProducer,None,input,1,-1,-1,0.0,1.06,921.74,0.0,921.76,221.28,0
2023/05/29 19:56:43.528,UAVFrameProducer,None,input,2,-1,-1,18.51,34.77,921.74,1.0,921.76,292.0,1
2023/05/29 19:56:43.638,UAVFrameProducer,None,input,3,-1,-1,14.0,12.99,921.74,0.0,921.76,374.9,2
2023/05/29 19:56:43.705,UAVFrameProducer,None,input,4,-1,-1,0.0,11.0,921.74,0.0,921.76,242.4,3
2023/05/29 19:56:43.758,UAVFrameProducer,None,input,5,-1,-1,0.0,10.0,921.74,0.0,921.76,183.54,4
2023/05/29 19:56:43.858,UAVFrameProducer,None,input,6,-1,-1,0.0,6.79,921.74,0.0,921.76,187.01,5
2023/05/29 19:56:43.929,UAVFrameProducer,None,input,7,-1,-1,0.0,7.0,921.74,0.0,921.76,194.52,6
2023/05/29 19:56:43.965,UAVFrameProducer,None,input,8,-1,-1,0.0,6.0,921.74,0.0,921.76,178.52,7
2023/05/29 19:56:44.056,UAVFrameProducer,None,input,9,-1,-1,0.0,4.0,921.74,0.0,921.76,177.42,8
2023/05/29 19:56:44.100,UAVFrameProducer,None,input,10,-1,-1,0.0,3.0,921.74,0.0,921.76,153.69,9
2023/05/29 19:56:44.177,UAVFrameProducer,None,input,11,-1,-1,0.0,4.0,921.74,0.0,921.76,193.44,10
2023/05/29 19:56:44.282,UAVFrameProducer,None,input,12,-1,-1,0.0,9.27,921.74,0.0,921.76,203.53,11
2023/05/29 19:56:44.338,UAVFrameProducer,None,input,13,-1,-1,0.0,8.01,921.74,0.0,921.76,213.88,12
2023/05/29 19:56:45.400,UAVFrameProducer,None,input,14,-1,-1,0.0,4.0,921.74,0.0,921.76,1187.71,13
2023/05/29 19:56:45.473,UAVFrameProducer,None,input,15,-1,-1,0.0,8.0,921.74,0.0,921.76,1147.83,14
2023/05/29 19:56:45.505,UAVFrameProducer,None,input,16,-1,-1,0.0,3.99,921.74,1.0,921.76,179.52,15
2023/05/29 19:56:45.581,UAVFrameProducer,None,input,17,-1,-1,0.0,5.0,921.74,0.0,921.76,148.63,16
2023/05/29 19:56:45.614,UAVFrameProducer,None,input,18,-1,-1,0.0,5.0,921.74,0.0,921.76,124.7,17
2023/05/29 19:56:45.649,UAVFrameProducer,None,input,19,-1,-1,0.0,3.0,921.74,0.0,921.76,126.89,18
2023/05/29 19:56:45.678,UAVFrameProducer,None,input,20,-1,-1,0.0,4.0,921.74,0.0,921.76,78.58,19
2023/05/29 19:56:45.760,UAVFrameProducer,None,input,21,-1,-1,0.0,3.02,921.74,0.0,921.76,126.58,20
2023/05/29 19:56:45.784,UAVFrameProducer,None,input,22,-1,-1,0.0,5.45,921.74,0.0,921.76,115.0,21
2023/05/29 19:56:45.854,UAVFrameProducer,None,input,23,-1,-1,0.0,4.0,921.74,0.0,921.76,160.0,22
2023/05/29 19:56:45.888,UAVFrameProducer,None,input,24,-1,-1,0.0,5.0,921.74,0.0,921.76,112.28,23
2023/05/29 19:56:45.933,UAVFrameProducer,None,input,25,-1,-1,0.0,4.0,921.74,0.0,921.76,129.28,24
2023/05/29 19:56:45.999,UAVFrameProducer,None,input,26,-1,-1,0.0,3.0,921.74,0.0,921.76,125.29,25
2023/05/29 19:56:46.036,UAVFrameProducer,None,input,27,-1,-1,0.0,3.01,921.74,0.0,921.76,129.0,26
2023/05/29 19:56:46.070,UAVFrameProducer,None,input,28,-1,-1,0.0,3.0,921.74,0.0,921.76,112.31,27
2023/05/29 19:56:46.102,UAVFrameProducer,None,input,29,-1,-1,0.0,5.0,921.74,0.0,921.76,84.01,28
2023/05/29 19:56:46.135,UAVFrameProducer,None,input,30,-1,-1,0.0,4.0,921.74,0.0,921.76,81.48,29
2023/05/29 19:56:46.167,UAVFrameProducer,None,input,31,-1,-1,0.0,3.75,921.74,0.0,921.76,80.38,30
