asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:04:11.692,UAVFrameProducer,None,input,1,-1,-1,0.0,2.99,921.74,0.0,921.76,295.0,0
2023/05/31 13:04:11.909,UAVFrameProducer,None,input,2,-1,-1,16.0,31.0,921.74,0.0,921.76,487.6,1
2023/05/31 13:04:12.165,UAVFrameProducer,None,input,3,-1,-1,11.0,17.0,921.74,0.0,921.76,720.75,2
2023/05/31 13:04:12.432,UAVFrameProducer,None,input,4,-1,-1,0.0,7.01,921.74,0.0,921.76,714.07,3
2023/05/31 13:04:12.636,UAVFrameProducer,None,input,5,-1,-1,0.0,9.0,921.74,0.0,921.76,694.09,4
2023/05/31 13:04:12.824,UAVFrameProducer,None,input,6,-1,-1,0.0,15.63,921.74,0.0,921.76,643.45,5
2023/05/31 13:04:13.045,UAVFrameProducer,None,input,7,-1,-1,0.0,0.0,921.74,0.0,921.76,597.61,7
2023/05/31 13:04:13.236,UAVFrameProducer,None,input,8,-1,-1,0.0,0.0,921.74,0.0,921.76,584.73,8
2023/05/31 13:04:13.438,UAVFrameProducer,None,input,9,-1,-1,0.0,0.0,921.74,0.0,921.76,597.85,9
2023/05/31 13:04:13.642,UAVFrameProducer,None,input,10,-1,-1,0.0,0.0,921.74,0.0,921.76,594.93,10
2023/05/31 13:04:13.846,UAVFrameProducer,None,input,11,-1,-1,0.0,0.0,921.74,0.0,921.76,596.92,11
2023/05/31 13:04:14.129,UAVFrameProducer,None,input,12,-1,-1,0.0,0.0,921.74,0.0,921.76,675.05,12
2023/05/31 13:04:14.380,UAVFrameProducer,None,input,13,-1,-1,0.0,16.06,921.74,0.0,921.76,722.53,13
2023/05/31 13:04:14.584,UAVFrameProducer,None,input,14,-1,-1,0.0,0.0,921.74,0.0,921.76,707.01,14
2023/05/31 13:04:14.867,UAVFrameProducer,None,input,15,-1,-1,0.0,0.0,921.74,0.0,921.76,721.32,16
2023/05/31 13:04:15.134,UAVFrameProducer,None,input,16,-1,-1,0.0,15.6,921.74,0.0,921.76,737.93,17
2023/05/31 13:04:16.139,UAVFrameProducer,None,input,17,-1,-1,0.0,15.5,921.74,0.0,921.76,1539.1,18
2023/05/31 13:04:17.333,UAVFrameProducer,None,input,18,-1,-1,0.0,0.0,921.74,0.0,921.76,2450.11,20
2023/05/31 13:04:17.882,UAVFrameProducer,None,input,19,-1,-1,0.0,0.0,921.74,0.0,921.76,2732.19,22
2023/05/31 13:04:18.165,UAVFrameProducer,None,input,20,-1,-1,0.0,0.0,921.74,0.0,921.76,2009.08,23
2023/05/31 13:04:18.448,UAVFrameProducer,None,input,21,-1,-1,0.0,0.0,921.74,0.0,921.76,1099.06,24
2023/05/31 13:04:18.673,UAVFrameProducer,None,input,22,-1,-1,0.0,0.0,921.74,0.0,921.76,770.46,25
2023/05/31 13:04:18.935,UAVFrameProducer,None,input,23,-1,-1,0.0,0.0,921.74,0.0,921.76,738.22,26
2023/05/31 13:04:19.220,UAVFrameProducer,None,input,24,-1,-1,0.0,0.0,921.74,0.0,921.76,750.53,28
2023/05/31 13:04:19.438,UAVFrameProducer,None,input,25,-1,-1,0.0,9.01,921.74,0.0,921.76,736.19,29
2023/05/31 13:04:19.680,UAVFrameProducer,None,input,26,-1,-1,0.0,15.62,921.74,0.0,921.76,737.5,30
2023/05/31 13:04:19.989,UAVFrameProducer,None,input,27,-1,-1,0.0,18.64,921.74,0.0,921.76,755.89,32
2023/05/31 13:04:20.209,UAVFrameProducer,None,input,28,-1,-1,0.0,0.98,921.74,0.0,921.76,733.35,33
2023/05/31 13:04:20.463,UAVFrameProducer,None,input,29,-1,-1,0.0,15.52,921.74,0.0,921.76,760.81,34
2023/05/31 13:04:20.736,UAVFrameProducer,None,input,30,-1,-1,0.0,5.52,921.74,0.0,921.76,716.45,36
2023/05/31 13:04:21.067,UAVFrameProducer,None,input,31,-1,-1,0.0,15.66,921.74,0.0,921.76,825.74,37
2023/05/31 13:04:21.560,UAVFrameProducer,None,input,32,-1,-1,0.0,1.08,921.74,0.0,921.76,1078.09,38
2023/05/31 13:04:22.596,UAVFrameProducer,None,input,33,-1,-1,0.0,15.62,921.74,0.0,921.76,1837.77,40
2023/05/31 13:04:22.996,UAVFrameProducer,None,input,34,-1,-1,0.0,0.0,921.74,0.0,921.76,1895.96,41
2023/05/31 13:04:23.373,UAVFrameProducer,None,input,35,-1,-1,0.0,0.0,921.74,0.0,921.76,1797.81,42
2023/05/31 13:04:23.624,UAVFrameProducer,None,input,36,-1,-1,0.0,0.0,921.74,0.0,921.76,1003.09,44
2023/05/31 13:04:23.871,UAVFrameProducer,None,input,37,-1,-1,0.0,15.66,921.74,0.0,921.76,859.08,45
2023/05/31 13:04:24.271,UAVFrameProducer,None,input,38,-1,-1,0.0,0.0,921.74,0.0,921.76,881.52,46
2023/05/31 13:04:24.568,UAVFrameProducer,None,input,39,-1,-1,0.0,0.0,921.74,0.0,921.76,917.0,48
2023/05/31 13:04:24.749,UAVFrameProducer,None,input,40,-1,-1,0.0,0.0,921.74,0.0,921.76,847.17,49
2023/05/31 13:04:24.999,UAVFrameProducer,None,input,41,-1,-1,0.0,9.41,921.74,0.0,921.76,706.96,50
2023/05/31 13:04:25.250,UAVFrameProducer,None,input,42,-1,-1,0.0,15.63,921.74,0.0,921.76,662.45,51
2023/05/31 13:04:25.506,UAVFrameProducer,None,input,43,-1,-1,0.0,0.0,921.74,0.0,921.76,741.85,53
2023/05/31 13:04:25.797,UAVFrameProducer,None,input,44,-1,-1,0.0,0.0,921.74,0.0,921.76,781.11,54
2023/05/31 13:04:26.037,UAVFrameProducer,None,input,45,-1,-1,0.0,15.64,921.74,0.0,921.76,771.81,55
2023/05/31 13:04:26.280,UAVFrameProducer,None,input,46,-1,-1,0.0,0.0,921.74,0.0,921.76,755.85,57
2023/05/31 13:04:26.539,UAVFrameProducer,None,input,47,-1,-1,0.0,2.0,921.74,0.0,921.76,736.95,58
2023/05/31 13:04:26.765,UAVFrameProducer,None,input,48,-1,-1,0.0,0.0,921.74,0.0,921.76,711.88,59
2023/05/31 13:04:27.023,UAVFrameProducer,None,input,49,-1,-1,0.0,0.0,921.74,0.0,921.76,713.77,61
2023/05/31 13:04:27.258,UAVFrameProducer,None,input,50,-1,-1,0.0,0.0,921.74,0.0,921.76,703.93,62
2023/05/31 13:04:27.489,UAVFrameProducer,None,input,51,-1,-1,0.0,0.0,921.74,0.0,921.76,682.64,63
2023/05/31 13:04:27.676,UAVFrameProducer,None,input,52,-1,-1,0.0,0.0,921.74,0.0,921.76,636.87,65
2023/05/31 13:04:27.939,UAVFrameProducer,None,input,53,-1,-1,0.0,0.0,921.74,0.0,921.76,652.96,66
2023/05/31 13:04:28.241,UAVFrameProducer,None,input,54,-1,-1,0.0,15.62,921.74,0.0,921.76,751.82,67
2023/05/31 13:04:28.463,UAVFrameProducer,None,input,55,-1,-1,0.0,0.0,921.74,0.0,921.76,761.7,68
2023/05/31 13:04:28.714,UAVFrameProducer,None,input,56,-1,-1,0.0,0.0,921.74,0.0,921.76,745.14,70
2023/05/31 13:04:29.034,UAVFrameProducer,None,input,57,-1,-1,0.0,9.51,921.74,0.0,921.76,783.68,71
2023/05/31 13:04:29.269,UAVFrameProducer,None,input,58,-1,-1,0.0,0.0,921.74,0.0,921.76,790.1,73
2023/05/31 13:04:29.516,UAVFrameProducer,None,input,59,-1,-1,0.0,15.62,921.74,0.0,921.76,787.88,74
2023/05/31 13:04:29.704,UAVFrameProducer,None,input,60,-1,-1,0.0,0.0,921.74,0.0,921.76,655.25,75
2023/05/31 13:04:29.924,UAVFrameProducer,None,input,61,-1,-1,0.0,0.0,921.74,0.0,921.76,623.58,76
2023/05/31 13:04:30.204,UAVFrameProducer,None,input,62,-1,-1,0.0,0.0,921.74,0.0,921.76,669.79,78
2023/05/31 13:04:30.425,UAVFrameProducer,None,input,63,-1,-1,0.0,0.0,921.74,0.0,921.76,705.17,79
2023/05/31 13:04:30.696,UAVFrameProducer,None,input,64,-1,-1,0.0,15.66,921.74,0.0,921.76,753.37,80
2023/05/31 13:04:30.907,UAVFrameProducer,None,input,65,-1,-1,0.0,6.0,921.74,0.0,921.76,685.59,82
2023/05/31 13:04:31.149,UAVFrameProducer,None,input,66,-1,-1,0.0,0.0,921.74,0.0,921.76,693.53,83
2023/05/31 13:04:31.361,UAVFrameProducer,None,input,67,-1,-1,0.0,2.99,921.74,0.0,921.76,651.37,84
2023/05/31 13:04:31.639,UAVFrameProducer,None,input,68,-1,-1,0.0,0.0,921.74,0.0,921.76,716.08,85
2023/05/31 13:04:31.950,UAVFrameProducer,None,input,69,-1,-1,0.0,0.0,921.74,0.0,921.76,785.24,87
