time,battery_percentage
2023-05-31 10:14:39.112724,18
2023-05-31 10:14:40.113793,18
2023-05-31 10:14:41.114786,18
2023-05-31 10:14:42.115886,18
2023-05-31 10:14:43.117600,18
2023-05-31 10:14:44.118643,18
2023-05-31 10:14:45.118987,18
2023-05-31 10:14:46.119972,19
2023-05-31 10:14:47.121968,19
2023-05-31 10:14:48.123094,19
2023-05-31 10:14:49.123338,19
2023-05-31 10:14:50.124896,19
2023-05-31 10:14:51.125899,19
2023-05-31 10:14:52.126899,19
2023-05-31 10:14:53.128088,19
2023-05-31 10:14:54.131628,19
2023-05-31 10:14:55.132628,19
2023-05-31 10:14:56.133232,19
2023-05-31 10:14:57.133882,19
2023-05-31 10:14:58.135886,19
2023-05-31 10:14:59.137418,19
2023-05-31 10:15:00.137967,19
2023-05-31 10:15:01.139514,19
2023-05-31 10:15:02.141134,19
2023-05-31 10:15:03.142334,19
2023-05-31 10:15:04.145498,19
2023-05-31 10:15:05.146032,19
2023-05-31 10:15:06.147613,19
2023-05-31 10:15:07.148613,19
2023-05-31 10:15:08.149418,20
2023-05-31 10:15:09.150047,20
2023-05-31 10:15:10.151044,20
2023-05-31 10:15:11.152616,20
2023-05-31 10:15:12.153155,20
2023-05-31 10:15:13.153893,20
2023-05-31 10:15:14.154625,20
2023-05-31 10:15:15.155741,20
2023-05-31 10:15:16.156747,20
2023-05-31 10:15:17.157813,20
2023-05-31 10:15:18.158913,20
2023-05-31 10:15:19.159953,20
2023-05-31 10:15:20.161170,20
2023-05-31 10:15:21.161945,20
2023-05-31 10:15:22.163527,20
2023-05-31 10:15:23.166097,20
2023-05-31 10:15:24.171066,20
2023-05-31 10:15:25.171592,20
2023-05-31 10:15:26.172688,20
2023-05-31 10:15:27.173286,20
2023-05-31 10:15:28.174204,20
2023-05-31 10:15:29.174935,20
2023-05-31 10:15:30.176011,21
2023-05-31 10:15:31.176625,21
2023-05-31 10:15:32.177715,21
2023-05-31 10:15:33.178845,21
2023-05-31 10:15:34.180428,21
2023-05-31 10:15:35.181594,21
2023-05-31 10:15:36.182139,21
2023-05-31 10:15:37.185274,21
2023-05-31 10:15:38.187338,21
2023-05-31 10:15:39.188502,21
2023-05-31 10:15:40.189662,21
2023-05-31 10:15:41.190752,21
2023-05-31 10:15:42.191765,21
2023-05-31 10:15:43.192733,21
2023-05-31 10:15:44.193508,21
2023-05-31 10:15:45.195446,21
2023-05-31 10:15:46.196986,21
2023-05-31 10:15:47.198065,21
2023-05-31 10:15:48.201065,21
2023-05-31 10:15:49.203066,21
2023-05-31 10:15:50.204609,21
2023-05-31 10:15:51.205152,22
2023-05-31 10:15:52.205699,22
2023-05-31 10:15:53.206950,22
2023-05-31 10:15:54.207651,22
2023-05-31 10:15:55.208727,22
2023-05-31 10:15:56.209787,22
2023-05-31 10:15:57.210860,22
2023-05-31 10:15:58.211868,22
2023-05-31 10:15:59.212939,22
2023-05-31 10:16:00.213467,22
2023-05-31 10:16:01.214658,22
2023-05-31 10:16:02.215233,22
2023-05-31 10:16:03.216314,22
2023-05-31 10:16:04.218423,22
2023-05-31 10:16:05.219152,22
2023-05-31 10:16:06.219787,22
2023-05-31 10:16:07.220779,22
2023-05-31 10:16:08.222043,22
2023-05-31 10:16:09.223049,22
2023-05-31 10:16:10.223613,22
2023-05-31 10:16:11.224121,22
2023-05-31 10:16:12.224670,22
2023-05-31 10:16:13.225660,23
2023-05-31 10:16:14.227191,23
2023-05-31 10:16:15.228285,23
2023-05-31 10:16:16.229368,23
2023-05-31 10:16:17.232398,23
2023-05-31 10:16:18.233640,23
2023-05-31 10:16:19.236541,23
2023-05-31 10:16:20.241616,23
2023-05-31 10:16:21.243149,23
2023-05-31 10:16:22.244234,23
2023-05-31 10:16:23.244777,23
2023-05-31 10:16:24.245771,23
2023-05-31 10:16:25.246773,23
2023-05-31 10:16:26.247770,23
2023-05-31 10:16:27.250767,23
2023-05-31 10:16:28.251770,23
2023-05-31 10:16:29.252326,23
2023-05-31 10:16:30.258448,23
2023-05-31 10:16:31.259713,23
