asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 07:28:35.500,Client,final_uav_2,None,None,1165,15308.52,7.1,37230.25,127.2,0.0,127.2,0.0,None
2023/05/31 07:28:46.491,Client,final_uav_2,nan,nan,1166,26263.28,9.86,10986.79,128.8,0.0,128.8,0.0,nan
2023/05/31 07:28:46.522,Client,final_uav_2,nan,nan,1167,26314.09,3.69,30.83,127.9,0.0,127.9,0.0,nan
2023/05/31 07:28:47.102,Client,final_uav_2,nan,nan,1168,21678.35,8.98,580.29,124.66,0.0,124.66,0.0,nan
2023/05/31 07:28:47.929,Client,final_uav_2,nan,nan,1169,27674.56,6.14,818.17,128.34,0.0,128.34,8.0,nan
2023/05/31 07:28:48.177,Client,final_uav_2,nan,nan,1170,22745.24,-1.13,240.72,126.43,0.0,126.43,7.97,nan
2023/05/31 07:28:48.609,Client,final_uav_2,nan,nan,1171,11143.07,-0.98,423.18,125.83,0.0,125.83,0.0,nan
2023/05/31 07:28:49.409,Client,final_uav_2,nan,nan,1172,9194.39,9.83,797.53,127.84,0.0,127.84,0.0,nan
2023/05/31 07:28:50.780,Client,final_uav_2,nan,nan,1173,10554.42,6.38,1370.55,127.78,0.0,127.78,0.0,nan
2023/05/31 07:28:50.914,Client,final_uav_2,nan,nan,1174,13437.15,5.52,134.14,127.16,0.0,127.16,0.0,nan
2023/05/31 07:28:51.340,Client,final_uav_2,nan,nan,1175,11098.32,4.93,424.79,127.78,0.0,127.78,0.0,nan
2023/05/31 07:28:51.946,Client,final_uav_2,nan,nan,1176,12541.01,6.48,601.04,124.65,0.0,124.65,0.0,nan
2023/05/31 07:28:52.806,Client,final_uav_2,nan,nan,1177,9378.65,11.2,856.98,125.21,0.0,125.21,0.53,nan
2023/05/31 07:28:53.081,Client,final_uav_2,nan,nan,1178,12187.68,-0.95,265.74,127.86,0.0,127.86,8.0,nan
2023/05/31 07:28:54.166,Client,final_uav_2,nan,nan,1179,9634.98,12.36,1083.74,128.32,0.0,128.32,1.03,nan
2023/05/31 07:28:55.154,Client,final_uav_2,nan,nan,1180,10624.04,9.43,987.51,128.32,0.0,128.32,0.0,nan
2023/05/31 07:28:55.265,Client,final_uav_2,nan,nan,1181,12565.75,4.9,95.43,128.46,0.0,128.46,0.0,nan
