asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:04:20.545,Client,final_uav_2,None,None,0,9144.53,14.27,230134.51,121.94,0.0,121.94,1.0,None
2023/05/31 13:04:20.588,Client,final_uav_2,nan,nan,0,9165.9,23.17,38.85,121.67,0.0,121.67,0.53,nan
2023/05/31 13:04:20.738,Client,final_uav_2,nan,nan,1,9292.14,4.88,147.51,82.78,0.0,82.78,0.0,nan
2023/05/31 13:04:20.980,Client,final_uav_2,nan,nan,2,9260.07,5.15,239.27,119.55,0.0,119.55,0.0,nan
2023/05/31 13:04:21.229,Client,final_uav_2,nan,nan,1,9286.27,5.61,246.92,119.37,0.0,119.37,0.52,nan
2023/05/31 13:04:21.386,Client,final_uav_2,nan,nan,2,9202.91,5.02,153.29,121.47,0.0,121.47,0.0,nan
2023/05/31 13:04:21.456,Client,final_uav_1,nan,nan,0,953.24,6.86,66.77,110.34,0.0,110.34,0.52,nan
2023/05/31 13:04:21.604,Client,final_uav_2,nan,nan,3,9155.66,5.32,144.78,113.74,0.0,113.74,0.0,nan
2023/05/31 13:04:21.814,Client,final_uav_2,nan,nan,4,9160.02,11.14,206.26,118.61,0.0,118.61,0.52,nan
2023/05/31 13:04:22.014,Client,final_uav_2,nan,nan,5,9172.18,4.92,197.11,118.64,0.0,118.64,1.0,nan
2023/05/31 13:04:22.232,Client,final_uav_2,nan,nan,3,9185.45,15.73,214.69,118.61,0.0,118.61,0.53,nan
2023/05/31 13:04:22.423,Client,final_uav_2,nan,nan,4,9172.26,6.11,187.74,119.04,0.0,119.04,0.0,nan
2023/05/31 13:04:22.629,Client,final_uav_2,nan,nan,5,9173.21,5.37,201.45,113.88,0.0,113.88,0.53,nan
2023/05/31 13:04:22.880,Client,final_uav_2,nan,nan,6,9236.33,6.07,248.04,117.79,0.0,117.79,1.0,nan
2023/05/31 13:04:23.148,Client,final_uav_2,nan,nan,7,9284.28,10.76,265.11,118.64,0.0,118.64,0.52,nan
2023/05/31 13:04:23.180,Client,final_uav_1,nan,nan,0,2648.03,6.55,28.22,110.66,0.0,110.66,0.52,nan
