time,battery_percentage
2023-05-31 00:28:24.937768,46
2023-05-31 00:28:25.938409,46
2023-05-31 00:28:26.938948,46
2023-05-31 00:28:27.939869,46
2023-05-31 00:28:28.940069,46
2023-05-31 00:28:29.940865,46
2023-05-31 00:28:30.941380,46
2023-05-31 00:28:31.942486,46
2023-05-31 00:28:32.944077,46
2023-05-31 00:28:33.944283,46
2023-05-31 00:28:34.944768,46
2023-05-31 00:28:35.945519,46
2023-05-31 00:28:36.946208,46
2023-05-31 00:28:37.946926,46
2023-05-31 00:28:38.947453,46
2023-05-31 00:28:39.947747,46
2023-05-31 00:28:40.947938,46
2023-05-31 00:28:41.948322,46
2023-05-31 00:28:42.948561,46
2023-05-31 00:28:43.948946,46
2023-05-31 00:28:44.949675,46
2023-05-31 00:28:45.950398,48
2023-05-31 00:28:46.951023,48
2023-05-31 00:28:47.951246,48
2023-05-31 00:28:48.952268,48
2023-05-31 00:28:49.952822,48
2023-05-31 00:28:50.953043,48
2023-05-31 00:28:51.954346,48
2023-05-31 00:28:52.955805,48
2023-05-31 00:28:53.956030,48
2023-05-31 00:28:54.956518,48
2023-05-31 00:28:55.957167,48
2023-05-31 00:28:56.958229,48
2023-05-31 00:28:57.958467,48
2023-05-31 00:28:58.959193,48
2023-05-31 00:28:59.959559,48
2023-05-31 00:29:00.960060,48
2023-05-31 00:29:01.960393,48
2023-05-31 00:29:02.961367,48
2023-05-31 00:29:03.962679,48
2023-05-31 00:29:04.963791,48
2023-05-31 00:29:05.964460,48
2023-05-31 00:29:06.965623,48
2023-05-31 00:29:07.965941,48
2023-05-31 00:29:08.966359,48
2023-05-31 00:29:09.967008,48
2023-05-31 00:29:10.967467,48
2023-05-31 00:29:11.968255,48
2023-05-31 00:29:12.969361,48
2023-05-31 00:29:13.970205,48
2023-05-31 00:29:14.970896,48
2023-05-31 00:29:15.971102,48
2023-05-31 00:29:16.971939,48
2023-05-31 00:29:17.972614,48
2023-05-31 00:29:18.973269,48
2023-05-31 00:29:19.973536,48
2023-05-31 00:29:20.974250,48
2023-05-31 00:29:21.974574,48
2023-05-31 00:29:22.975362,48
2023-05-31 00:29:23.976621,48
2023-05-31 00:29:24.977244,48
2023-05-31 00:29:25.978404,48
2023-05-31 00:29:26.978584,48
2023-05-31 00:29:27.979650,48
2023-05-31 00:29:28.980944,48
2023-05-31 00:29:29.983397,48
2023-05-31 00:29:30.984591,48
2023-05-31 00:29:31.986799,48
2023-05-31 00:29:32.988083,48
2023-05-31 00:29:33.988788,48
2023-05-31 00:29:34.989093,48
2023-05-31 00:29:35.989326,48
2023-05-31 00:29:36.994232,48
2023-05-31 00:29:37.995617,48
2023-05-31 00:29:38.996621,48
2023-05-31 00:29:39.997930,48
2023-05-31 00:29:40.998481,48
2023-05-31 00:29:41.999259,48
2023-05-31 00:29:42.999536,48
2023-05-31 00:29:44.000011,48
2023-05-31 00:29:45.000337,48
2023-05-31 00:29:46.001862,49
2023-05-31 00:29:47.003842,49
2023-05-31 00:29:48.007269,49
2023-05-31 00:29:49.008007,49
2023-05-31 00:29:50.010011,49
2023-05-31 00:29:51.011146,49
2023-05-31 00:29:52.011810,49
2023-05-31 00:29:53.012337,49
2023-05-31 00:29:54.013164,49
2023-05-31 00:29:55.013410,49
2023-05-31 00:29:56.014473,49
2023-05-31 00:29:57.016307,49
2023-05-31 00:29:58.017492,49
2023-05-31 00:29:59.018524,49
2023-05-31 00:30:00.018872,49
2023-05-31 00:30:01.019058,49
2023-05-31 00:30:02.019641,49
2023-05-31 00:30:03.020307,49
2023-05-31 00:30:04.020614,49
2023-05-31 00:30:05.023113,49
2023-05-31 00:30:06.023513,49
2023-05-31 00:30:07.024212,49
2023-05-31 00:30:08.024457,49
2023-05-31 00:30:09.024843,49
2023-05-31 00:30:10.025259,49
2023-05-31 00:30:11.031801,49
2023-05-31 00:30:12.033443,49
2023-05-31 00:30:13.034008,49
2023-05-31 00:30:14.035403,49
2023-05-31 00:30:15.036270,49
2023-05-31 00:30:16.037591,49
2023-05-31 00:30:17.038226,49
2023-05-31 00:30:18.038896,49
2023-05-31 00:30:19.039244,49
2023-05-31 00:30:20.040392,49
2023-05-31 00:30:21.040910,49
2023-05-31 00:30:22.041224,49
2023-05-31 00:30:23.042103,49
2023-05-31 00:30:24.042624,49
