asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 07:28:25.406,UAVFrameProducer,None,input,1,-1,-1,0.0,0.0,921.74,0.0,921.76,5219.38,0
2023/05/31 07:28:37.437,UAVFrameProducer,None,input,3,-1,-1,6.99,13.01,921.74,0.0,921.76,17192.98,1
2023/05/31 07:28:37.437,UAVFrameProducer,None,input,2,-1,-1,9.99,31.01,921.74,0.0,921.76,17228.59,1174
2023/05/31 07:28:38.552,UAVFrameProducer,None,input,5,-1,-1,0.0,0.0,921.74,0.0,921.76,13127.97,1175
2023/05/31 07:28:39.384,UAVFrameProducer,None,input,4,-1,-1,7.04,14.0,921.74,0.0,921.76,19138.24,2
2023/05/31 07:28:39.745,UAVFrameProducer,None,input,6,-1,-1,0.0,17.66,921.74,0.0,921.76,14321.34,1176
2023/05/31 07:28:40.194,UAVFrameProducer,None,input,7,-1,-1,0.0,15.62,921.74,0.0,921.76,2736.35,3
2023/05/31 07:28:40.854,UAVFrameProducer,None,input,10,-1,-1,0.0,0.0,921.74,0.0,921.76,638.64,1177
2023/05/31 07:28:42.232,UAVFrameProducer,None,input,11,-1,-1,10.52,5.51,921.74,0.0,921.76,2006.5,1178
2023/05/31 07:28:42.671,UAVFrameProducer,None,input,8,-1,-1,5.03,31.22,921.74,0.0,921.76,5194.39,4
2023/05/31 07:28:42.914,UAVFrameProducer,None,input,12,-1,-1,15.65,15.65,921.74,0.0,921.76,2671.92,1179
2023/05/31 07:28:43.409,UAVFrameProducer,None,input,9,-1,-1,0.0,0.0,921.74,0.0,921.76,4007.08,5
2023/05/31 07:28:44.264,UAVFrameProducer,None,input,15,-1,-1,0.0,4.0,921.74,0.0,921.76,838.78,1180
2023/05/31 07:28:44.514,UAVFrameProducer,None,input,13,-1,-1,0.0,15.64,921.74,0.0,921.76,3629.39,6
2023/05/31 07:28:45.619,UAVFrameProducer,None,input,17,-1,-1,0.0,0.0,921.74,0.0,921.76,1089.27,1181
2023/05/31 07:28:46.577,UAVFrameProducer,None,input,18,-1,-1,0.0,15.63,921.74,0.0,921.76,2046.78,1182
2023/05/31 07:28:46.702,UAVFrameProducer,None,input,14,-1,-1,0.0,0.0,921.74,0.0,921.76,3994.84,7
2023/05/31 07:28:48.854,UAVFrameProducer,None,input,20,-1,-1,0.0,15.62,921.74,0.0,921.76,2135.92,1183
2023/05/31 07:28:51.564,UAVFrameProducer,None,input,21,-1,-1,0.0,15.62,921.74,0.0,921.76,4843.55,1184
2023/05/31 07:28:51.997,UAVFrameProducer,None,input,16,-1,-1,4.0,13.0,921.74,0.0,921.76,8555.57,9
2023/05/31 07:28:54.210,UAVFrameProducer,None,input,23,-1,-1,0.0,9.53,921.74,0.0,921.76,2212.25,1185
2023/05/31 07:28:54.694,UAVFrameProducer,None,input,19,-1,-1,35.49,28.93,921.74,0.0,921.76,10124.19,10
2023/05/31 07:28:55.619,UAVFrameProducer,None,input,22,-1,-1,31.25,15.63,921.74,0.0,921.76,8870.09,11
2023/05/31 07:28:56.244,UAVFrameProducer,None,input,26,-1,-1,0.0,0.28,921.74,0.0,921.76,598.75,1186
2023/05/31 07:28:56.908,UAVFrameProducer,None,input,27,-1,-1,3.0,15.15,921.74,0.0,921.76,1267.52,1187
2023/05/31 07:28:57.190,UAVFrameProducer,None,input,24,-1,-1,15.66,15.66,921.74,0.0,921.76,5177.39,12
2023/05/31 07:28:57.963,UAVFrameProducer,None,input,25,-1,-1,0.0,4.0,921.74,0.0,921.76,3259.81,13
2023/05/31 07:28:58.977,UAVFrameProducer,None,input,28,-1,-1,16.0,18.0,921.74,0.0,921.76,3315.21,14
2023/05/31 07:29:00.160,UAVFrameProducer,None,input,29,-1,-1,0.0,0.0,921.74,0.0,921.76,2953.77,15
2023/05/31 07:29:00.628,UAVFrameProducer,None,input,30,-1,-1,0.0,0.0,921.74,0.0,921.76,2648.82,16
2023/05/31 07:29:01.194,UAVFrameProducer,None,input,31,-1,-1,0.0,0.0,921.74,0.0,921.76,2201.25,18
2023/05/31 07:29:02.120,UAVFrameProducer,None,input,34,-1,-1,0.0,0.0,921.74,0.0,921.76,910.21,1189
2023/05/31 07:29:02.469,UAVFrameProducer,None,input,32,-1,-1,0.0,0.0,921.74,0.0,921.76,2293.54,19
2023/05/31 07:29:03.597,UAVFrameProducer,None,input,36,-1,-1,0.0,15.64,921.74,15.62,921.76,1111.2,1190
2023/05/31 07:29:04.128,UAVFrameProducer,None,input,37,-1,-1,0.0,15.62,921.74,0.0,921.76,1643.93,1191
2023/05/31 07:29:04.597,UAVFrameProducer,None,input,38,-1,-1,15.63,15.63,921.74,0.0,921.76,2096.6,1192
2023/05/31 07:29:04.835,UAVFrameProducer,None,input,33,-1,-1,0.0,0.0,921.74,0.0,921.76,4196.62,20
2023/05/31 07:29:05.593,UAVFrameProducer,None,input,35,-1,-1,0.0,0.0,921.74,0.0,921.76,4351.95,21
2023/05/31 07:29:06.158,UAVFrameProducer,None,input,41,-1,-1,0.0,15.65,921.74,0.0,921.76,549.5,1194
2023/05/31 07:29:06.786,UAVFrameProducer,None,input,42,-1,-1,15.63,15.63,921.74,0.0,921.76,1177.55,1195
2023/05/31 07:29:07.458,UAVFrameProducer,None,input,43,-1,-1,15.62,15.62,921.74,0.0,921.76,1834.39,1196
2023/05/31 07:29:07.670,UAVFrameProducer,None,input,39,-1,-1,0.0,14.71,921.74,0.0,921.76,4048.69,23
2023/05/31 07:29:07.965,UAVFrameProducer,None,input,45,-1,-1,0.0,3.0,921.74,0.0,921.76,282.07,1197
2023/05/31 07:29:08.407,UAVFrameProducer,None,input,40,-1,-1,0.0,3.0,921.74,0.0,921.76,3556.41,24
2023/05/31 07:29:09.066,UAVFrameProducer,None,input,47,-1,-1,0.0,0.0,921.74,0.0,921.76,643.73,1198
2023/05/31 07:29:09.710,UAVFrameProducer,None,input,48,-1,-1,0.0,15.62,921.74,0.0,921.76,1284.32,1199
2023/05/31 07:29:10.612,UAVFrameProducer,None,input,49,-1,-1,31.25,15.63,921.74,0.0,921.76,2156.29,1200
2023/05/31 07:29:11.020,UAVFrameProducer,None,input,44,-1,-1,0.0,15.62,921.74,0.0,921.76,4846.63,25
2023/05/31 07:29:12.433,UAVFrameProducer,None,input,51,-1,-1,0.0,0.0,921.74,0.0,921.76,1395.48,1201
2023/05/31 07:29:13.002,UAVFrameProducer,None,input,52,-1,-1,0.0,15.62,921.74,0.0,921.76,1964.79,1202
