asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:04:12.652,Client,final_uav_2,None,None,0,1243.69,-7886.57,98720.92,121.94,0.0,121.94,0.0,None
2023/05/31 13:04:12.652,Client,final_uav_2,nan,nan,0,1231.38,-7911.89,0.0,121.67,0.0,121.67,0.0,nan
2023/05/31 13:04:13.236,Client,final_uav_2,nan,nan,1,1294.5,-7986.16,584.73,119.37,0.0,119.37,0.0,nan
2023/05/31 13:04:13.454,Client,final_uav_2,nan,nan,1,1993.86,-7293.4,201.76,82.78,0.0,82.78,15.56,nan
2023/05/31 13:04:13.454,Client,final_uav_2,nan,nan,2,1736.07,-7518.84,0.0,119.55,0.0,119.55,0.0,nan
2023/05/31 13:04:13.611,Client,final_uav_2,nan,nan,2,1429.94,-7768.94,156.9,121.47,0.0,121.47,0.0,nan
2023/05/31 13:04:13.658,Client,final_uav_2,nan,nan,3,1210.77,-7939.56,47.38,113.74,0.0,113.74,0.0,nan
2023/05/31 13:04:14.046,Client,final_uav_2,nan,nan,3,1000.77,-8168.96,387.61,118.61,0.0,118.61,0.0,nan
2023/05/31 13:04:14.584,Client,final_uav_2,nan,nan,4,1335.13,-7831.01,534.41,119.04,0.0,119.04,0.0,nan
2023/05/31 13:04:14.679,Client,final_uav_2,nan,nan,4,2027.48,-7121.41,94.61,118.61,0.0,118.61,0.0,nan
2023/05/31 13:04:14.695,Client,final_uav_2,nan,nan,5,1854.37,-7312.89,0.0,118.64,0.0,118.64,0.0,nan
2023/05/31 13:04:17.333,Client,final_uav_2,nan,nan,5,3879.25,-5288.59,2638.3,113.88,0.0,113.88,0.0,nan
2023/05/31 13:04:17.333,Client,final_uav_2,nan,nan,6,3690.67,-5539.59,0.0,117.79,0.0,117.79,0.0,nan
2023/05/31 13:04:18.071,Client,final_uav_2,nan,nan,6,3925.41,-5253.21,738.38,118.44,0.0,118.44,0.0,nan
2023/05/31 13:04:18.416,Client,final_uav_2,nan,nan,7,3816.21,-5521.19,329.37,103.81,0.0,103.81,0.0,nan
2023/05/31 13:04:18.448,Client,final_uav_2,nan,nan,7,4585.61,-4687.91,31.28,118.64,0.0,118.64,0.0,nan
2023/05/31 13:04:18.448,Client,final_uav_2,nan,nan,8,4051.61,-5250.91,0.0,117.99,0.0,117.99,0.0,nan
2023/05/31 13:04:18.662,Client,final_uav_2,nan,nan,9,3508.3,-7792.03,208.87,113.89,0.0,113.89,0.99,nan
2023/05/31 13:04:18.675,Client,final_uav_2,nan,nan,8,3784.66,-7067.04,2.0,115.57,0.0,115.57,2.02,nan
2023/05/31 13:04:18.681,Client,final_uav_2,nan,nan,9,2522.13,-8025.04,0.0,112.24,0.0,112.24,0.0,nan
2023/05/31 13:04:18.866,Client,final_uav_2,nan,nan,10,966.44,-8370.07,180.96,109.66,0.0,109.66,0.99,nan
2023/05/31 13:04:18.919,Client,final_uav_2,nan,nan,10,1570.76,-8097.21,51.91,110.53,0.0,110.53,0.0,nan
2023/05/31 13:04:19.189,Client,final_uav_2,nan,nan,11,1004.85,-8297.58,266.63,109.39,0.0,109.39,0.0,nan
2023/05/31 13:04:19.438,Client,final_uav_2,nan,nan,11,958.27,-8364.99,233.59,104.19,0.0,104.19,2.0,nan
2023/05/31 13:04:19.635,Client,final_uav_2,nan,nan,12,939.23,-8359.88,192.06,108.65,0.0,108.65,0.0,nan
2023/05/31 13:04:19.969,Client,final_uav_2,nan,nan,12,1033.87,-8266.72,318.55,108.91,0.0,108.91,0.0,nan
2023/05/31 13:04:20.209,Client,final_uav_2,nan,nan,13,976.06,-8347.65,240.06,109.05,0.0,109.05,0.0,nan
2023/05/31 13:04:20.443,Client,final_uav_2,nan,nan,13,967.31,-8349.69,233.96,95.43,0.0,95.43,0.0,nan
2023/05/31 13:04:20.720,Client,final_uav_2,nan,nan,14,1018.08,-8288.32,277.37,107.89,0.0,107.89,0.0,nan
2023/05/31 13:04:21.067,Client,final_uav_2,nan,nan,15,1063.16,-8242.62,346.7,108.34,0.0,108.34,0.0,nan
2023/05/31 13:04:21.371,Client,final_uav_2,nan,nan,16,1114.4,-8167.96,288.66,108.66,0.0,108.66,0.0,nan
2023/05/31 13:04:22.596,Client,final_uav_2,nan,nan,17,2114.05,-7297.82,1224.46,102.81,0.0,102.81,0.0,nan
2023/05/31 13:04:23.358,Client,final_uav_2,nan,nan,18,2599.66,-7592.93,761.89,108.93,0.0,108.93,0.0,nan
2023/05/31 13:04:23.373,Client,final_uav_2,nan,nan,14,2272.83,-8178.32,0.0,109.56,0.0,109.56,0.0,nan
2023/05/31 13:04:23.624,Client,final_uav_2,nan,nan,19,2039.71,-8311.41,241.9,108.19,0.0,108.19,0.0,nan
2023/05/31 13:04:23.871,Client,final_uav_2,nan,nan,15,1250.98,-8323.0,247.89,108.95,0.0,108.95,0.0,nan
2023/05/31 13:04:24.247,Client,final_uav_2,nan,nan,16,1234.74,-8199.34,375.66,108.67,0.0,108.67,0.0,nan
2023/05/31 13:04:24.552,Client,final_uav_2,nan,nan,17,1163.45,-8287.4,304.94,76.56,0.0,76.56,0.0,nan
2023/05/31 13:04:24.874,Client,final_uav_2,nan,nan,20,1223.66,-8263.11,322.29,107.52,0.0,107.52,0.0,nan
2023/05/31 13:04:25.235,Client,final_uav_2,nan,nan,21,1332.78,-8102.98,360.12,107.85,0.0,107.85,0.0,nan
2023/05/31 13:04:25.250,Client,final_uav_2,nan,nan,18,958.31,-8330.34,15.64,109.59,0.0,109.59,0.0,nan
2023/05/31 13:04:25.491,Client,final_uav_2,nan,nan,19,903.04,-8344.75,240.59,105.36,0.0,105.36,0.0,nan
2023/05/31 13:04:25.726,Client,final_uav_2,nan,nan,20,961.63,-8357.34,219.78,107.3,0.0,107.3,0.0,nan
