asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 09:47:09.216,Client,final_uav_2,None,None,0,8779.92,24.23,186792.38,97.05,0.0,97.05,0.53,None
2023/05/31 09:47:09.600,Client,final_uav_2,nan,nan,1,9142.75,5.53,380.55,96.22,0.0,96.22,0.53,nan
2023/05/31 09:47:09.897,Client,final_uav_2,nan,nan,2,9423.63,5.45,292.76,96.83,0.0,96.83,0.5,nan
2023/05/31 09:47:10.119,Client,final_uav_2,nan,nan,3,9315.68,5.5,219.45,96.23,0.0,96.23,0.52,nan
2023/05/31 09:47:10.393,Client,final_uav_2,nan,nan,4,8989.04,5.58,271.47,97.06,0.0,97.06,0.52,nan
2023/05/31 09:47:10.855,Client,final_uav_2,nan,nan,5,9163.2,13.91,458.12,96.42,0.0,96.42,0.52,nan
2023/05/31 09:47:11.163,Client,final_uav_2,nan,nan,6,9241.7,6.6,304.72,97.0,0.0,97.0,0.52,nan
2023/05/31 09:47:11.414,Client,final_uav_2,nan,nan,7,9209.66,5.61,247.86,98.06,0.0,98.06,0.52,nan
2023/05/31 09:47:11.723,Client,final_uav_2,nan,nan,8,9063.69,5.49,305.74,97.72,0.0,97.72,0.53,nan
2023/05/31 09:47:12.036,Client,final_uav_2,nan,nan,9,9031.87,5.56,310.94,60.03,0.0,60.03,0.52,nan
2023/05/31 09:47:12.367,Client,final_uav_2,nan,nan,10,9142.68,9.5,327.06,98.63,0.0,98.63,0.52,nan
2023/05/31 09:47:12.663,Client,final_uav_2,nan,nan,11,9125.32,5.95,293.85,97.51,0.01,97.51,0.0,nan
2023/05/31 09:47:12.979,Client,final_uav_2,nan,nan,12,9159.1,5.25,313.7,97.8,0.0,97.8,0.52,nan
2023/05/31 09:47:13.264,Client,final_uav_2,nan,nan,13,9096.87,5.18,280.3,97.69,0.0,97.69,0.0,nan
2023/05/31 09:47:13.570,Client,final_uav_2,nan,nan,14,9090.14,8.21,303.97,98.61,0.0,98.61,0.52,nan
2023/05/31 09:47:13.850,Client,final_uav_2,nan,nan,15,9056.48,4.93,277.54,97.18,0.0,97.18,0.54,nan
2023/05/31 09:47:14.189,Client,final_uav_2,nan,nan,16,9114.84,4.73,335.67,97.51,0.0,97.51,0.0,nan
2023/05/31 09:47:14.549,Client,final_uav_2,nan,nan,17,9176.94,6.94,358.11,95.17,0.0,95.17,0.51,nan
2023/05/31 09:47:14.587,Client,final_uav_1,nan,nan,0,959.58,6.63,33.56,102.28,0.0,102.28,0.56,nan
2023/05/31 09:47:14.974,Client,final_uav_2,nan,nan,18,9303.01,8.74,384.48,95.67,0.0,95.67,0.0,nan
2023/05/31 09:47:15.026,Client,final_uav_1,nan,nan,1,1385.6,5.46,49.63,103.13,0.0,103.13,1.0,nan
2023/05/31 09:47:15.366,Client,final_uav_2,nan,nan,19,9366.03,5.2,336.69,94.67,0.0,94.67,0.56,nan
2023/05/31 09:47:15.697,Client,final_uav_2,nan,nan,20,9319.59,4.93,328.55,95.78,0.0,95.78,0.51,nan
2023/05/31 09:47:16.187,Client,final_uav_2,nan,nan,21,9322.98,9.85,486.67,95.38,0.0,95.38,0.52,nan
2023/05/31 09:47:16.233,Client,final_uav_1,nan,nan,2,2578.67,9.03,41.53,102.89,0.0,102.89,1.0,nan
2023/05/31 09:47:16.492,Client,final_uav_2,nan,nan,22,9314.25,4.88,257.85,91.85,0.0,91.85,1.02,nan
2023/05/31 09:47:16.811,Client,final_uav_2,nan,nan,23,9303.29,5.79,316.35,95.45,0.0,95.45,0.0,nan
2023/05/31 09:47:17.139,Client,final_uav_2,nan,nan,24,9126.36,5.39,325.43,90.83,0.0,90.83,0.51,nan
2023/05/31 09:47:17.461,Client,final_uav_2,nan,nan,25,9115.26,9.22,318.71,91.15,0.0,91.15,0.52,nan
2023/05/31 09:47:17.749,Client,final_uav_1,nan,nan,3,2780.37,8.23,283.89,101.59,0.0,101.59,0.55,nan
2023/05/31 09:47:17.883,Client,final_uav_2,nan,nan,26,9270.55,6.05,131.1,90.54,0.0,90.54,0.53,nan
