asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 02:47:09.207,LocalInferencer1,input,final_uav_2,1,0,8501.09,8501.45,304662.33,921.74,251.85,97.03,17.54,0
2023/05/31 02:47:09.598,LocalInferencer1,input,final_uav_2,2,1,9109.8,9110.64,631.28,921.74,25.44,96.21,4.2,1
2023/05/31 02:47:09.896,LocalInferencer1,input,final_uav_2,3,2,9384.95,9071.83,290.12,921.74,31.23,96.82,4.13,2
2023/05/31 02:47:10.117,LocalInferencer1,input,final_uav_2,4,3,9284.51,8684.39,228.92,921.74,23.49,96.21,4.42,3
2023/05/31 02:47:10.392,LocalInferencer1,input,final_uav_2,5,4,8956.89,8669.53,272.23,921.74,24.42,97.05,4.33,4
2023/05/31 02:47:10.854,LocalInferencer1,input,final_uav_2,6,5,9123.31,8895.07,453.98,921.74,23.76,96.4,12.82,5
2023/05/31 02:47:11.161,LocalInferencer1,input,final_uav_2,7,6,9209.45,8927.41,314.58,921.74,24.04,96.98,5.0,6
2023/05/31 02:47:11.412,LocalInferencer1,input,final_uav_2,8,7,9179.99,8740.46,252.53,921.74,22.75,98.05,4.01,7
2023/05/31 02:47:11.721,LocalInferencer1,input,final_uav_2,9,8,9032.78,8687.63,307.03,921.74,23.47,97.7,4.13,8
2023/05/31 02:47:12.036,LocalInferencer1,input,final_uav_2,10,9,8978.04,8759.29,290.04,921.74,47.27,60.01,4.28,9
2023/05/31 02:47:12.366,LocalInferencer1,input,final_uav_2,11,10,9107.85,8794.74,348.76,921.74,23.53,98.61,8.4,10
2023/05/31 02:47:12.662,LocalInferencer1,input,final_uav_2,12,11,9094.72,8812.41,300.05,921.74,23.04,97.49,4.29,11
2023/05/31 02:47:12.978,LocalInferencer1,input,final_uav_2,13,12,9128.06,8783.27,315.18,921.74,23.7,97.78,4.29,12
2023/05/31 02:47:13.262,LocalInferencer1,input,final_uav_2,14,13,9066.81,8752.19,282.99,921.74,23.88,97.67,4.3,13
2023/05/31 02:47:13.570,LocalInferencer1,input,final_uav_2,15,14,9055.67,8757.81,303.06,921.74,23.7,98.59,7.7,14
2023/05/31 02:47:13.850,LocalInferencer1,input,final_uav_2,16,15,9026.5,8747.5,283.94,921.74,23.15,97.17,4.08,15
2023/05/31 02:47:14.188,LocalInferencer1,input,final_uav_2,17,16,9083.06,8785.01,335.77,921.74,24.49,97.49,4.2,16
2023/05/31 02:47:14.552,LocalInferencer1,input,final_uav_2,18,17,9141.98,8859.53,356.93,921.74,25.7,95.16,8.64,17
2023/05/31 02:47:14.585,LocalInferencer1,input,final_uav_1,1,18,923.46,924.06,34.01,921.74,28.04,102.27,4.56,0
2023/05/31 02:47:14.973,LocalInferencer1,input,final_uav_2,19,19,9267.95,8938.75,388.55,921.74,23.8,95.66,8.56,18
