time,battery_percentage
2023-05-30 07:27:49.560035,29
2023-05-30 07:27:50.561497,28
2023-05-30 07:27:51.562307,28
2023-05-30 07:27:52.562961,28
2023-05-30 07:27:53.563868,28
2023-05-30 07:27:54.564186,28
2023-05-30 07:27:55.565227,28
2023-05-30 07:27:56.565762,28
2023-05-30 07:27:57.566195,28
2023-05-30 07:27:58.566577,28
2023-05-30 07:27:59.567272,28
2023-05-30 07:28:00.568311,28
2023-05-30 07:28:01.568987,28
2023-05-30 07:28:02.569196,28
2023-05-30 07:28:03.570135,28
2023-05-30 07:28:04.570960,28
2023-05-30 07:28:05.571897,28
2023-05-30 07:28:06.572340,28
2023-05-30 07:28:07.572833,28
2023-05-30 07:28:08.573649,28
2023-05-30 07:28:09.574044,28
2023-05-30 07:28:10.574270,28
2023-05-30 07:28:11.581031,28
2023-05-30 07:28:12.581836,28
2023-05-30 07:28:13.583844,28
2023-05-30 07:28:14.584908,28
2023-05-30 07:28:15.615120,28
2023-05-30 07:28:16.618406,28
2023-05-30 07:28:17.628999,28
2023-05-30 07:28:18.629682,28
2023-05-30 07:28:19.633966,28
2023-05-30 07:28:20.634565,28
2023-05-30 07:28:21.635406,28
2023-05-30 07:28:22.635992,28
2023-05-30 07:28:23.636591,28
2023-05-30 07:28:24.637405,28
2023-05-30 07:28:25.637784,28
2023-05-30 07:28:26.638590,27
2023-05-30 07:28:27.639084,27
2023-05-30 07:28:28.639761,27
2023-05-30 07:28:29.640764,27
2023-05-30 07:28:30.641246,27
2023-05-30 07:28:31.642023,27
2023-05-30 07:28:32.645670,27
2023-05-30 07:28:33.645960,27
2023-05-30 07:28:34.646127,27
2023-05-30 07:28:35.647003,27
2023-05-30 07:28:36.647225,27
2023-05-30 07:28:37.647549,27
2023-05-30 07:28:38.649227,27
2023-05-30 07:28:39.650496,27
2023-05-30 07:28:40.651286,27
2023-05-30 07:28:41.651978,27
2023-05-30 07:28:42.652806,27
2023-05-30 07:28:43.653464,27
2023-05-30 07:28:44.653919,27
2023-05-30 07:28:45.655093,27
2023-05-30 07:28:46.659175,27
2023-05-30 07:28:47.660173,27
2023-05-30 07:28:48.660850,27
2023-05-30 07:28:49.662206,27
2023-05-30 07:28:50.667047,27
2023-05-30 07:28:51.667868,27
2023-05-30 07:28:52.668292,27
2023-05-30 07:28:53.669675,27
2023-05-30 07:28:54.670852,27
2023-05-30 07:28:55.672227,27
2023-05-30 07:28:56.673072,27
2023-05-30 07:28:57.673813,27
2023-05-30 07:28:58.674068,27
2023-05-30 07:28:59.675116,27
2023-05-30 07:29:00.678357,27
2023-05-30 07:29:01.680029,26
2023-05-30 07:29:02.680422,26
2023-05-30 07:29:03.681125,26
2023-05-30 07:29:04.681692,26
2023-05-30 07:29:05.714134,26
2023-05-30 07:29:06.714595,26
2023-05-30 07:29:07.715366,26
