asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 06:24:14.576,CloudInferencer,preprocessed,result,1,0,15387.49,849.03,3893061.24,307.33,624.11,0.38,17.99,0
2023/05/30 06:24:20.076,CloudInferencer,preprocessed,result,3,1,21390.49,470.63,6082.28,307.33,117.42,0.38,6.4,1
2023/05/30 06:24:20.722,CloudInferencer,preprocessed,result,4,2,22011.64,447.84,646.41,307.33,118.45,0.38,4.75,2
2023/05/30 06:24:21.403,CloudInferencer,preprocessed,result,7,3,8141.62,373.26,680.67,307.33,111.78,0.38,10.92,3
2023/05/30 06:24:24.131,CloudInferencer,preprocessed,result,8,4,4472.82,252.04,2725.55,307.33,113.03,0.38,10.77,4
2023/05/30 06:24:25.338,CloudInferencer,preprocessed,result,9,5,4990.93,489.12,1204.32,307.33,114.37,0.38,11.15,5
2023/05/30 06:24:26.421,CloudInferencer,preprocessed,result,13,6,4367.86,205.36,1077.63,307.33,123.38,0.32,5.6,6
2023/05/30 06:24:28.141,CloudInferencer,preprocessed,result,14,7,4147.6,511.96,1711.1,307.33,124.44,0.32,11.83,7
2023/05/30 06:24:29.226,CloudInferencer,preprocessed,result,16,8,4307.51,274.47,1095.79,307.33,119.69,0.32,5.28,8
2023/05/30 06:24:30.057,CloudInferencer,preprocessed,result,19,9,3545.09,218.91,834.77,307.33,109.08,0.32,11.14,9
2023/05/30 06:24:30.646,CloudInferencer,preprocessed,result,22,10,2952.93,270.84,593.99,307.33,110.11,0.38,5.18,10
2023/05/30 06:24:32.275,CloudInferencer,preprocessed,result,24,11,3238.72,211.27,1620.42,307.33,112.26,0.32,10.43,11
2023/05/30 06:24:33.067,CloudInferencer,preprocessed,result,25,12,3173.87,319.02,794.91,307.33,112.6,0.32,6.03,12
2023/05/30 06:24:33.540,CloudInferencer,preprocessed,result,28,13,3044.26,228.53,467.6,307.33,111.69,0.32,10.96,13
2023/05/30 06:24:34.559,CloudInferencer,preprocessed,result,29,14,2442.84,361.03,1011.02,307.33,124.22,0.32,5.48,14
2023/05/30 06:24:35.288,CloudInferencer,preprocessed,result,30,15,2446.88,233.36,701.1,307.33,145.82,0.32,10.82,15
2023/05/30 06:24:36.209,CloudInferencer,preprocessed,result,31,16,2864.2,289.47,957.81,307.33,112.71,0.32,5.61,16
2023/05/30 06:24:38.650,CloudInferencer,preprocessed,result,32,17,4329.03,193.48,2430.23,307.33,116.35,0.32,12.18,17
2023/05/30 06:24:41.297,CloudInferencer,preprocessed,result,33,18,6214.2,209.26,2634.22,307.33,126.73,0.32,11.98,18
2023/05/30 06:24:43.399,CloudInferencer,preprocessed,result,35,19,7396.35,213.32,2115.26,307.33,115.56,0.32,10.29,19
2023/05/30 06:24:51.708,CloudInferencer,preprocessed,result,39,20,12617.87,271.36,8306.41,307.33,120.69,0.38,6.74,20
2023/05/30 06:24:54.939,CloudInferencer,preprocessed,result,40,21,13737.08,440.53,3221.84,307.33,124.44,0.32,10.28,21
2023/05/30 06:24:58.752,CloudInferencer,preprocessed,result,44,22,13476.07,678.3,3806.51,307.33,127.81,0.38,11.53,22
2023/05/30 06:25:03.286,CloudInferencer,preprocessed,result,46,23,11773.67,248.44,4547.16,307.33,115.71,0.38,10.36,23
2023/05/30 06:25:07.561,CloudInferencer,preprocessed,result,50,24,11579.56,203.76,4274.54,307.33,115.61,0.38,10.41,24
2023/05/30 06:25:13.616,CloudInferencer,preprocessed,result,53,25,6406.11,228.53,6040.69,307.33,127.97,0.38,10.14,25
2023/05/30 06:25:18.359,CloudInferencer,preprocessed,result,57,26,4200.67,200.9,4738.63,307.33,130.01,0.38,11.37,26
2023/05/30 06:25:21.709,CloudInferencer,preprocessed,result,59,27,5731.24,197.43,3353.12,307.33,126.22,0.32,10.0,27
2023/05/30 06:25:24.296,CloudInferencer,preprocessed,result,60,28,8304.07,208.79,2591.02,307.33,120.2,0.32,11.24,28
2023/05/30 06:25:25.790,CloudInferencer,preprocessed,result,64,29,2547.02,210.16,1494.99,307.33,119.8,0.32,10.3,29
2023/05/30 06:25:28.072,CloudInferencer,preprocessed,result,65,30,4825.01,224.2,2285.17,307.33,116.82,0.32,10.0,30
2023/05/30 06:25:29.681,CloudInferencer,preprocessed,result,66,31,5470.72,191.01,1606.88,307.33,117.31,0.32,10.91,31
2023/05/30 06:25:30.806,CloudInferencer,preprocessed,result,70,32,3321.16,222.94,1131.12,307.33,115.33,0.32,5.19,32
2023/05/30 06:25:31.707,CloudInferencer,preprocessed,result,71,33,3532.53,282.18,895.31,307.33,115.85,0.32,10.01,33
2023/05/30 06:25:32.067,CloudInferencer,preprocessed,result,73,34,2323.94,290.14,358.11,307.33,121.9,0.32,4.82,34
2023/05/30 06:25:32.732,CloudInferencer,preprocessed,result,75,35,1987.51,229.04,661.85,307.33,124.14,0.32,4.78,35
2023/05/30 06:25:33.243,CloudInferencer,preprocessed,result,77,36,1714.97,200.13,515.2,307.33,114.16,0.32,9.76,36
2023/05/30 06:25:33.920,CloudInferencer,preprocessed,result,78,37,2005.92,206.41,678.32,307.33,116.46,0.32,5.15,37
2023/05/30 06:25:34.493,CloudInferencer,preprocessed,result,79,38,1893.93,230.55,570.28,307.33,113.12,0.32,10.56,38
2023/05/30 06:25:34.957,CloudInferencer,preprocessed,result,80,39,1866.13,279.59,451.36,307.33,129.26,0.32,5.2,39
2023/05/30 06:25:35.762,CloudInferencer,preprocessed,result,81,40,1980.07,240.3,803.64,307.33,123.66,0.32,10.73,40
2023/05/30 06:25:36.207,CloudInferencer,preprocessed,result,84,41,1801.9,225.3,453.2,307.33,120.05,0.32,5.52,41
2023/05/30 06:25:38.322,CloudInferencer,preprocessed,result,87,42,1882.7,1400.5,2095.4,307.33,131.95,0.32,11.25,42
2023/05/30 06:25:39.076,CloudInferencer,preprocessed,result,88,43,2646.29,1709.2,774.81,307.33,116.48,0.32,4.95,43
2023/05/30 06:25:39.779,CloudInferencer,preprocessed,result,90,44,2651.65,550.22,703.4,307.33,110.05,0.32,10.34,44
2023/05/30 06:25:40.353,CloudInferencer,preprocessed,result,92,45,754.31,378.69,582.67,307.33,107.05,0.32,4.49,45
2023/05/30 06:25:41.182,CloudInferencer,preprocessed,result,96,46,643.17,383.64,816.03,307.33,110.52,0.32,12.71,46
2023/05/30 06:25:41.665,CloudInferencer,preprocessed,result,97,47,1102.83,663.43,478.73,307.33,122.0,0.32,4.61,47
2023/05/30 06:25:42.172,CloudInferencer,preprocessed,result,99,48,1303.74,795.94,512.76,307.33,114.6,0.32,4.88,48
2023/05/30 06:25:42.789,CloudInferencer,preprocessed,result,100,49,1906.96,1003.08,617.17,307.33,108.44,0.32,10.05,49
2023/05/30 06:25:43.312,CloudInferencer,preprocessed,result,102,50,1875.95,1011.48,523.52,307.33,112.73,0.32,4.7,50
2023/05/30 06:25:43.832,CloudInferencer,preprocessed,result,104,51,2014.3,916.58,522.26,307.33,110.1,0.32,4.45,51
2023/05/30 06:25:44.345,CloudInferencer,preprocessed,result,105,52,2497.47,891.42,494.87,307.33,118.33,0.32,12.96,52
2023/05/30 06:25:44.848,CloudInferencer,preprocessed,result,107,53,2456.97,881.82,517.43,307.33,111.57,0.32,4.4,53
2023/05/30 06:25:45.318,CloudInferencer,preprocessed,result,108,54,2899.54,797.95,459.21,307.33,121.3,0.32,4.54,54
2023/05/30 06:25:45.853,CloudInferencer,preprocessed,result,109,55,3262.2,839.39,533.34,307.33,116.01,0.32,10.51,55
2023/05/30 06:25:46.327,CloudInferencer,preprocessed,result,112,56,2857.97,870.77,483.5,307.33,110.99,0.32,5.19,56
2023/05/30 06:25:46.770,CloudInferencer,preprocessed,result,114,57,2852.79,749.17,440.7,307.33,113.02,0.32,4.59,57
2023/05/30 06:25:47.127,CloudInferencer,preprocessed,result,115,58,3189.97,654.95,349.81,307.33,110.65,0.32,12.95,58
2023/05/30 06:25:47.448,CloudInferencer,preprocessed,result,117,59,3124.57,539.94,325.83,307.33,113.12,0.32,5.17,59
2023/05/30 06:25:47.847,CloudInferencer,preprocessed,result,119,60,3126.99,595.55,399.9,307.33,110.94,0.32,5.72,60
2023/05/30 06:25:48.254,CloudInferencer,preprocessed,result,120,61,3515.95,668.44,401.75,307.33,115.62,0.32,5.23,61
2023/05/30 06:25:48.569,CloudInferencer,preprocessed,result,123,62,3161.88,586.11,315.06,307.33,110.57,0.32,9.73,62
2023/05/30 06:25:48.972,CloudInferencer,preprocessed,result,126,63,2857.43,597.01,406.04,307.33,109.34,0.32,6.26,63
2023/05/30 06:25:49.354,CloudInferencer,preprocessed,result,127,64,3203.6,650.82,374.94,307.33,117.18,0.32,4.79,64
2023/05/30 06:25:49.724,CloudInferencer,preprocessed,result,128,65,3539.03,616.55,374.74,307.33,112.19,0.32,4.73,65
2023/05/30 06:25:50.220,CloudInferencer,preprocessed,result,132,66,3081.82,733.25,488.78,307.33,112.95,0.32,9.74,66
2023/05/30 06:25:50.555,CloudInferencer,preprocessed,result,133,67,3412.07,675.65,339.42,307.33,112.42,0.32,4.92,67
2023/05/30 06:25:50.926,CloudInferencer,preprocessed,result,141,68,1744.3,581.09,368.52,307.33,113.61,0.32,5.23,68
2023/05/30 06:25:51.263,CloudInferencer,preprocessed,result,142,69,2065.61,581.47,338.37,307.33,111.86,0.32,4.94,69
2023/05/30 06:25:51.625,CloudInferencer,preprocessed,result,143,70,2399.2,561.97,354.62,307.33,109.1,0.32,14.3,70
