asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 13:24:13.958,LocalForwarder,preprocessed,preprocessed,1,0,14540.55,13.26,386886.98,307.36,0.01,307.36,901.41,0
2023/05/30 13:24:20.087,LocalForwarder,preprocessed,preprocessed,3,1,20919.4,9.54,6420.14,307.36,0.02,307.36,607.7,1
2023/05/30 13:24:20.727,LocalForwarder,preprocessed,preprocessed,4,2,21564.32,7.49,666.43,307.36,0.01,307.36,576.31,2
2023/05/30 13:24:21.404,LocalForwarder,preprocessed,preprocessed,7,3,7768.3,7.92,753.09,307.36,0.01,307.36,498.28,3
2023/05/30 13:24:24.129,LocalForwarder,preprocessed,preprocessed,8,4,4221.11,13.31,2845.91,307.36,0.01,307.36,375.12,4
2023/05/30 13:24:25.341,LocalForwarder,preprocessed,preprocessed,9,5,4501.95,6.16,964.54,307.36,0.01,307.36,618.9,5
2023/05/30 13:24:26.424,LocalForwarder,preprocessed,preprocessed,13,6,4162.17,9.71,1358.78,307.36,0.02,307.36,339.16,6
2023/05/30 13:24:28.124,LocalForwarder,preprocessed,preprocessed,14,7,3635.39,8.69,1403.21,307.36,0.01,307.36,633.9,7
2023/05/30 13:24:29.239,LocalForwarder,preprocessed,preprocessed,16,8,4032.79,10.74,1331.45,307.36,0.02,307.36,414.61,8
2023/05/30 13:24:30.057,LocalForwarder,preprocessed,preprocessed,19,9,3326.28,8.08,888.93,307.36,0.01,307.36,340.8,9
2023/05/30 13:24:30.665,LocalForwarder,preprocessed,preprocessed,22,10,2682.29,9.2,541.06,307.36,0.01,307.36,406.11,10
2023/05/30 13:24:32.301,LocalForwarder,preprocessed,preprocessed,24,11,3026.83,8.39,1677.62,307.36,0.01,307.36,362.11,11
2023/05/30 13:24:33.068,LocalForwarder,preprocessed,preprocessed,25,12,2854.8,5.93,686.19,307.36,0.01,307.36,440.68,12
2023/05/30 13:24:33.537,LocalForwarder,preprocessed,preprocessed,28,13,2815.3,11.62,556.54,307.36,0.01,307.36,350.2,13
2023/05/30 13:24:34.544,LocalForwarder,preprocessed,preprocessed,29,14,2081.55,5.69,877.56,307.36,0.01,307.36,476.98,14
2023/05/30 13:24:35.258,LocalForwarder,preprocessed,preprocessed,30,15,2213.89,11.34,828.52,307.36,0.01,307.36,361.18,15
2023/05/30 13:24:36.221,LocalForwarder,preprocessed,preprocessed,31,16,2574.74,5.99,900.27,307.36,0.01,307.36,420.93,16
