asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 13:24:14.837,LocalForwarder2,result,result,1,0,16265.58,230.29,390871.59,0.38,0.09,0.38,52.79,1
2023/05/30 13:24:20.202,LocalForwarder2,result,result,3,1,21639.16,130.27,5413.96,0.38,0.01,0.38,2.88,4
2023/05/30 13:24:20.854,LocalForwarder2,result,result,4,2,22261.49,130.66,646.31,0.38,0.01,0.38,6.6,5
2023/05/30 13:24:21.552,LocalForwarder2,result,result,7,3,8410.91,156.53,698.93,0.38,0.01,0.38,3.77,6
2023/05/30 13:24:24.344,LocalForwarder2,result,result,8,4,4803.4,216.61,2786.06,0.38,0.01,0.38,6.4,10
2023/05/30 13:24:25.471,LocalForwarder2,result,result,9,5,5248.08,142.24,1129.81,0.38,0.01,0.38,2.76,11
2023/05/30 13:24:26.594,LocalForwarder2,result,result,13,6,4667.72,175.27,1119.78,0.32,0.01,0.32,3.35,13
2023/05/30 13:24:28.278,LocalForwarder2,result,result,14,7,4418.43,145.73,1681.29,0.32,0.01,0.32,3.69,16
2023/05/30 13:24:29.361,LocalForwarder2,result,result,16,8,4565.42,137.33,1081.8,0.32,0.01,0.32,3.35,19
2023/05/30 13:24:30.197,LocalForwarder2,result,result,19,9,3801.12,145.93,831.66,0.32,0.01,0.32,6.36,21
2023/05/30 13:24:30.833,LocalForwarder2,result,result,22,10,3252.18,188.12,635.72,0.38,0.01,0.38,3.23,22
2023/05/30 13:24:32.405,LocalForwarder2,result,result,24,11,3489.86,138.41,1570.6,0.32,0.01,0.32,3.17,25
2023/05/30 13:24:33.199,LocalForwarder2,result,result,25,12,3418.32,130.47,786.66,0.32,0.01,0.32,7.96,26
2023/05/30 13:24:33.673,LocalForwarder2,result,result,28,13,3298.1,141.4,475.23,0.32,0.01,0.32,3.18,27
2023/05/30 13:24:34.715,LocalForwarder2,result,result,29,14,2721.75,153.89,1035.74,0.32,0.01,0.32,7.82,28
2023/05/30 13:24:35.425,LocalForwarder2,result,result,30,15,2738.32,144.77,712.91,0.32,0.01,0.32,3.07,29
2023/05/30 13:24:36.340,LocalForwarder2,result,result,31,16,3108.44,130.66,909.95,0.32,0.01,0.32,6.51,30
2023/05/30 13:24:38.787,LocalForwarder2,result,result,32,17,4589.06,142.5,2444.91,0.32,0.01,0.32,6.35,32
2023/05/30 13:24:41.427,LocalForwarder2,result,result,33,18,6482.63,140.6,2642.28,0.32,0.01,0.32,3.04,36
2023/05/30 13:24:43.553,LocalForwarder2,result,result,35,19,7669.98,156.98,2118.32,0.32,0.02,0.32,6.61,37
2023/05/30 13:24:51.864,LocalForwarder2,result,result,39,20,12896.18,156.63,8309.51,0.38,0.03,0.38,6.42,41
2023/05/30 13:24:55.088,LocalForwarder2,result,result,40,21,14015.56,152.88,3221.03,0.32,0.03,0.32,6.8,43
2023/05/30 13:24:58.926,LocalForwarder2,result,result,44,22,13785.86,181.06,3836.86,0.38,0.01,0.38,6.5,46
