asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 06:24:11.775,LocalInferencer2,input,result,2,663,12541.42,12542.07,367330.58,921.74,676.24,117.95,6.6,0
2023/05/30 06:24:16.254,LocalInferencer2,input,result,5,664,2769.79,2770.23,4777.51,921.74,380.1,115.53,10.03,2
2023/05/30 06:24:19.125,LocalInferencer2,input,result,6,665,5928.58,5928.94,3191.02,921.74,63.13,115.53,8.7,3
2023/05/30 06:24:21.888,LocalInferencer2,input,result,10,666,882.27,881.63,2786.88,921.74,41.64,111.88,4.55,7
2023/05/30 06:24:22.602,LocalInferencer2,input,result,11,667,1570.81,1571.8,712.86,921.74,41.02,107.37,6.51,8
2023/05/30 06:24:23.694,LocalInferencer2,input,result,12,668,2630.78,1729.98,1087.57,921.74,45.08,112.78,4.18,9
2023/05/30 06:24:25.828,LocalInferencer2,input,result,15,669,1004.99,1005.9,2142.92,921.74,33.26,92.8,6.91,12
2023/05/30 06:24:26.767,LocalInferencer2,input,result,17,670,359.78,360.87,934.22,921.74,40.94,101.68,3.24,14
2023/05/30 06:24:27.316,LocalInferencer2,input,result,18,671,893.36,893.21,545.71,921.74,36.76,101.66,9.46,15
2023/05/30 06:24:28.427,LocalInferencer2,input,result,20,672,837.55,838.28,1109.48,921.74,42.57,103.67,3.09,17
2023/05/30 06:24:28.728,LocalInferencer2,input,result,21,673,1115.06,1115.42,296.64,921.74,43.45,103.67,6.92,18
2023/05/30 06:24:29.507,LocalInferencer2,input,result,23,674,583.4,583.55,792.08,921.74,33.53,62.45,3.5,20
2023/05/30 06:24:31.130,LocalInferencer2,input,result,26,675,770.19,769.58,1628.38,921.74,26.27,96.16,3.5,23
2023/05/30 06:24:31.612,LocalInferencer2,input,result,27,676,1218.91,1219.94,471.11,921.74,31.18,100.13,7.54,24
2023/05/30 06:24:37.506,LocalInferencer2,input,result,34,677,1603.08,1603.43,5898.75,921.74,31.25,64.47,3.34,31
2023/05/30 06:24:38.907,LocalInferencer2,input,result,36,678,495.17,494.32,1400.16,921.74,32.09,79.0,3.18,33
