asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 14:27:59.576,Client,final_uav_1,None,None,964,4764.78,11.27,232112.4,107.78,0.0,107.78,0.55,None
2023/05/30 14:27:59.789,Client,final_uav_1,nan,nan,965,4950.22,4.99,210.45,111.67,0.0,111.67,0.0,nan
2023/05/30 14:28:00.017,Client,final_uav_1,nan,nan,966,5151.81,5.68,223.04,114.31,0.0,114.31,0.93,nan
2023/05/30 14:28:00.237,Client,final_uav_1,nan,nan,967,5345.92,5.91,213.68,115.62,0.0,115.62,1.08,nan
2023/05/30 14:28:00.459,Client,final_uav_1,nan,nan,968,5077.85,5.03,216.43,116.8,0.0,116.8,1.04,nan
2023/05/30 14:28:00.683,Client,final_uav_1,nan,nan,969,5285.45,7.5,219.17,117.04,0.0,117.04,1.06,nan
2023/05/30 14:28:00.911,Client,final_uav_1,nan,nan,970,5300.17,13.68,220.94,116.74,0.0,116.74,1.1,nan
2023/05/30 14:28:01.126,Client,final_uav_1,nan,nan,971,5317.28,5.35,209.0,116.89,0.0,116.89,1.0,nan
2023/05/30 14:28:01.351,Client,final_uav_1,nan,nan,972,5285.36,10.69,220.38,117.1,0.0,117.1,1.0,nan
2023/05/30 14:28:01.569,Client,final_uav_1,nan,nan,973,5131.9,4.96,208.57,111.31,0.0,111.31,0.56,nan
2023/05/30 14:28:01.790,Client,final_uav_1,nan,nan,974,5339.6,5.14,217.08,113.32,0.0,113.32,0.52,nan
2023/05/30 14:28:02.014,Client,final_uav_1,nan,nan,975,5539.02,6.14,219.29,115.46,0.0,115.46,0.54,nan
2023/05/30 14:28:02.241,Client,final_uav_1,nan,nan,976,4264.09,11.1,222.7,123.3,0.0,123.3,0.55,nan
2023/05/30 14:28:02.457,Client,final_uav_1,nan,nan,977,4459.75,5.91,212.41,113.53,0.0,113.53,0.53,nan
2023/05/30 14:28:02.680,Client,final_uav_1,nan,nan,978,4632.18,5.38,219.3,114.16,0.0,114.16,0.68,nan
2023/05/30 14:28:02.903,Client,final_uav_1,nan,nan,979,4837.09,6.56,217.96,114.44,0.0,114.44,0.55,nan
2023/05/30 14:28:03.125,Client,final_uav_1,nan,nan,980,4719.69,5.57,217.75,115.65,0.0,115.65,1.06,nan
2023/05/30 14:28:03.346,Client,final_uav_1,nan,nan,981,4794.47,4.52,218.23,115.78,0.0,115.78,0.52,nan
2023/05/30 14:28:03.545,Client,final_uav_1,nan,nan,982,4841.47,8.72,195.55,116.1,0.0,116.1,0.66,nan
2023/05/30 14:28:03.739,Client,final_uav_1,nan,nan,983,4896.3,6.19,190.76,115.89,0.0,115.89,0.0,nan
2023/05/30 14:28:03.923,Client,final_uav_1,nan,nan,984,4756.94,4.84,181.11,116.03,0.0,116.03,0.53,nan
2023/05/30 14:28:04.112,Client,final_uav_1,nan,nan,985,4932.85,5.74,185.78,116.17,0.0,116.17,0.0,nan
2023/05/30 14:28:04.307,Client,final_uav_1,nan,nan,986,4826.78,6.7,190.91,116.58,0.0,116.58,0.56,nan
2023/05/30 14:28:04.494,Client,final_uav_1,nan,nan,987,5000.89,4.64,183.6,116.58,0.0,116.58,0.52,nan
2023/05/30 14:28:04.684,Client,final_uav_1,nan,nan,988,5034.41,3.74,187.02,116.65,0.0,116.65,0.52,nan
2023/05/30 14:28:04.884,Client,final_uav_1,nan,nan,989,5045.93,11.31,194.78,116.65,0.0,116.65,0.69,nan
