asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:43:09.837,Client,final_uav_1,None,None,0,19639.36,4313.56,130648.98,118.88,0.0,118.88,2.2,None
2023/05/31 13:43:13.392,Client,final_uav_1,nan,nan,1,10995.17,1877.42,3546.87,91.73,0.0,91.73,1.0,nan
2023/05/31 13:43:14.623,Client,final_uav_1,nan,nan,2,12204.76,1100.93,1213.02,94.3,0.0,94.3,2.19,nan
2023/05/31 13:43:30.721,Client,final_uav_1,nan,nan,3,28291.81,5194.28,16086.94,94.33,0.03,94.33,1.33,nan
2023/05/31 13:43:31.339,Client,final_uav_1,nan,nan,4,13027.78,1806.47,607.27,97.39,0.0,97.39,1.84,nan
2023/05/31 13:43:38.704,Client,final_uav_1,nan,nan,5,20382.04,5168.75,7354.36,97.94,0.0,97.94,1.0,nan
2023/05/31 13:43:41.365,Client,final_uav_1,nan,nan,6,19676.09,6498.44,2655.7,101.06,0.0,101.06,1.31,nan
2023/05/31 13:43:44.135,Client,final_uav_1,nan,nan,7,14814.83,7933.33,2764.6,97.28,0.0,97.28,0.56,nan
2023/05/31 13:43:46.918,Client,final_uav_1,nan,nan,8,15549.94,9378.1,2771.49,98.98,0.0,98.98,1.0,nan
2023/05/31 13:43:47.571,Client,final_uav_1,nan,nan,9,16175.21,8030.22,644.24,98.98,0.0,98.98,1.06,nan
2023/05/31 13:43:47.906,Client,final_uav_1,nan,nan,10,13097.11,6366.08,329.89,101.88,0.0,101.88,1.27,nan
2023/05/31 13:43:48.339,Client,final_uav_1,nan,nan,11,13520.33,5463.49,429.82,101.88,0.0,101.88,0.71,nan
2023/05/31 13:43:48.749,Client,final_uav_1,nan,nan,12,13908.28,4532.73,395.72,101.72,0.0,101.72,2.38,nan
2023/05/31 13:43:50.092,Client,final_uav_1,nan,nan,13,12535.23,4541.37,1325.88,100.73,0.0,100.73,1.2,nan
2023/05/31 13:43:51.021,Client,final_uav_1,nan,nan,14,13450.45,465.77,917.92,101.22,0.0,101.22,1.68,nan
