asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:42:57.063,UAVFrameProducer,None,input,2,-1,-1,14.64,20.48,921.74,0.0,921.76,6887.08,12
2023/05/31 13:43:02.373,UAVFrameProducer,None,input,1,-1,-1,0.0,2.57,921.74,0.0,921.76,12218.83,12
2023/05/31 13:43:05.617,UAVFrameProducer,None,input,5,-1,-1,0.0,2.95,921.74,0.0,921.76,3222.16,15
2023/05/31 13:43:07.862,UAVFrameProducer,None,input,6,-1,-1,9.93,6.0,921.74,0.0,921.76,5455.34,16
2023/05/31 13:43:11.154,UAVFrameProducer,None,input,3,-1,-1,10.22,6.0,921.74,0.0,921.76,20960.97,13
2023/05/31 13:43:14.912,UAVFrameProducer,None,input,4,-1,-1,10.0,5.92,921.74,0.0,921.76,24705.99,15
2023/05/31 13:43:18.223,UAVFrameProducer,None,input,7,-1,-1,11.31,8.04,921.74,0.0,921.76,15798.73,17
2023/05/31 13:43:21.673,UAVFrameProducer,None,input,10,-1,-1,0.0,3.0,921.74,0.0,921.76,3392.16,17
2023/05/31 13:43:23.605,UAVFrameProducer,None,input,8,-1,-1,0.0,10.08,921.74,0.0,921.76,12424.61,20
2023/05/31 13:43:24.324,UAVFrameProducer,None,input,11,-1,-1,14.29,35.11,921.74,0.0,921.76,6017.9,18
2023/05/31 13:43:28.161,UAVFrameProducer,None,input,12,-1,-1,4.93,13.4,921.74,0.0,921.76,9844.35,20
2023/05/31 13:43:29.259,UAVFrameProducer,None,input,9,-1,-1,0.0,14.17,921.74,0.0,921.76,14323.96,23
2023/05/31 13:43:31.104,UAVFrameProducer,None,input,15,-1,-1,0.0,3.2,921.74,0.0,921.76,1785.56,24
2023/05/31 13:43:31.337,UAVFrameProducer,None,input,13,-1,-1,0.0,5.0,921.74,0.0,921.76,9647.24,26
2023/05/31 13:43:32.667,UAVFrameProducer,None,input,17,-1,-1,0.0,10.1,921.74,0.0,921.76,1304.27,27
2023/05/31 13:43:34.611,UAVFrameProducer,None,input,18,-1,-1,18.89,16.61,921.74,0.0,921.76,3219.19,31
2023/05/31 13:43:34.763,UAVFrameProducer,None,input,14,-1,-1,0.0,11.75,921.74,0.0,921.76,11141.38,30
2023/05/31 13:43:37.494,UAVFrameProducer,None,input,16,-1,-1,9.55,48.66,921.74,0.0,921.76,8152.12,33
2023/05/31 13:43:37.496,UAVFrameProducer,None,input,20,-1,-1,0.0,4.0,921.74,0.0,921.76,2689.13,38
2023/05/31 13:43:39.524,UAVFrameProducer,None,input,19,-1,-1,0.0,18.83,921.74,0.0,921.76,8107.77,36
2023/05/31 13:43:39.756,UAVFrameProducer,None,input,21,-1,-1,5.01,29.89,921.74,0.0,921.76,4938.23,42
2023/05/31 13:43:41.294,UAVFrameProducer,None,input,23,-1,-1,0.0,5.02,921.74,0.0,921.76,3742.09,45
2023/05/31 13:43:41.897,UAVFrameProducer,None,input,22,-1,-1,9.51,13.45,921.74,0.0,921.76,7060.52,40
2023/05/31 13:43:46.087,UAVFrameProducer,None,input,26,-1,-1,0.0,13.34,921.74,0.0,921.76,4162.85,52
2023/05/31 13:43:47.228,UAVFrameProducer,None,input,24,-1,-1,6.56,42.86,921.74,0.0,921.76,9661.49,50
2023/05/31 13:43:47.491,UAVFrameProducer,None,input,27,-1,-1,22.26,17.0,921.74,1.0,921.76,5532.44,55
2023/05/31 13:43:48.330,UAVFrameProducer,None,input,25,-1,-1,0.0,11.81,921.74,0.0,921.76,8772.77,53
2023/05/31 13:43:50.098,UAVFrameProducer,None,input,28,-1,-1,22.27,32.24,921.74,0.0,921.76,8104.0,57
2023/05/31 13:43:51.530,UAVFrameProducer,None,input,29,-1,-1,0.0,7.02,921.74,0.0,921.76,4284.88,60
2023/05/31 13:43:52.905,UAVFrameProducer,None,input,30,-1,-1,0.0,5.0,921.74,0.0,921.76,4557.92,64
2023/05/31 13:43:53.939,UAVFrameProducer,None,input,31,-1,-1,0.0,7.18,921.74,0.0,921.76,3815.93,66
2023/05/31 13:43:55.365,UAVFrameProducer,None,input,34,-1,-1,0.0,4.85,921.74,0.0,921.76,1383.03,67
2023/05/31 13:43:55.722,UAVFrameProducer,None,input,32,-1,-1,0.0,3.52,921.74,0.0,921.76,4139.66,71
2023/05/31 13:43:56.882,UAVFrameProducer,None,input,36,-1,-1,0.0,4.0,921.74,0.0,921.76,1144.44,71
2023/05/31 13:43:58.098,UAVFrameProducer,None,input,37,-1,-1,18.3,9.57,921.74,0.0,921.76,2327.15,73
2023/05/31 13:43:58.239,UAVFrameProducer,None,input,33,-1,-1,0.0,2.65,921.74,0.0,921.76,5294.8,76
2023/05/31 13:44:00.389,UAVFrameProducer,None,input,38,-1,-1,22.18,30.01,921.74,0.0,921.76,4584.57,77
2023/05/31 13:44:01.523,UAVFrameProducer,None,input,35,-1,-1,6.09,29.25,921.74,0.0,921.76,7524.88,82
2023/05/31 13:44:03.599,UAVFrameProducer,None,input,41,-1,-1,0.0,7.0,921.74,0.0,921.76,2057.69,83
2023/05/31 13:44:05.126,UAVFrameProducer,None,input,42,-1,-1,9.3,11.95,921.74,0.0,921.76,3567.07,88
2023/05/31 13:44:05.233,UAVFrameProducer,None,input,39,-1,-1,0.0,6.37,921.74,0.0,921.76,8330.58,88
2023/05/31 13:44:06.541,UAVFrameProducer,None,input,43,-1,-1,11.01,8.62,921.74,0.0,921.76,4964.45,92
2023/05/31 13:44:08.395,UAVFrameProducer,None,input,45,-1,-1,0.0,12.73,921.74,0.0,921.76,3134.94,97
2023/05/31 13:44:08.497,UAVFrameProducer,None,input,40,-1,-1,0.0,9.96,921.74,0.0,921.76,10234.12,92
2023/05/31 13:44:09.783,UAVFrameProducer,None,input,47,-1,-1,0.0,13.15,921.74,0.11,921.76,1254.72,102
2023/05/31 13:44:11.151,UAVFrameProducer,None,input,44,-1,-1,0.0,4.66,921.74,0.0,921.76,7537.23,94
2023/05/31 13:44:12.239,UAVFrameProducer,None,input,48,-1,-1,17.89,20.22,921.74,0.0,921.76,3675.93,106
2023/05/31 13:44:14.449,UAVFrameProducer,None,input,49,-1,-1,18.15,31.17,921.74,0.0,921.76,5859.65,110
2023/05/31 13:44:15.829,UAVFrameProducer,None,input,51,-1,-1,0.0,7.0,921.74,0.0,921.76,4663.56,113
2023/05/31 13:44:16.418,UAVFrameProducer,None,input,46,-1,-1,5.0,14.95,921.74,0.0,921.76,11145.81,102
2023/05/31 13:44:16.597,UAVFrameProducer,None,input,52,-1,-1,0.0,13.12,921.74,0.0,921.76,4329.65,115
2023/05/31 13:44:17.891,UAVFrameProducer,None,input,54,-1,-1,0.0,7.71,921.74,0.0,921.76,1451.23,117
2023/05/31 13:44:19.242,UAVFrameProducer,None,input,55,-1,-1,4.0,13.8,921.74,0.0,921.76,2791.0,120
2023/05/31 13:44:19.942,UAVFrameProducer,None,input,56,-1,-1,0.0,6.65,921.74,0.0,921.76,3317.98,121
2023/05/31 13:44:20.096,UAVFrameProducer,None,input,50,-1,-1,0.0,13.0,921.74,1.0,921.76,10286.17,108
2023/05/31 13:44:20.905,UAVFrameProducer,None,input,58,-1,-1,0.0,13.54,921.74,0.0,921.76,788.77,122
2023/05/31 13:44:23.186,UAVFrameProducer,None,input,53,-1,-1,0.0,16.98,921.74,0.0,921.76,8713.7,111
2023/05/31 13:44:24.939,UAVFrameProducer,None,input,57,-1,-1,0.0,4.0,921.74,0.0,921.76,7028.43,112
2023/05/31 13:44:28.082,UAVFrameProducer,None,input,61,-1,-1,0.0,13.99,921.74,0.0,921.76,3114.71,125
2023/05/31 13:44:31.199,UAVFrameProducer,None,input,62,-1,-1,6.68,18.9,921.74,0.0,921.76,6216.45,131
2023/05/31 13:44:31.969,UAVFrameProducer,None,input,63,-1,-1,14.63,16.23,921.74,0.0,921.76,6969.12,133
2023/05/31 13:44:32.605,UAVFrameProducer,None,input,59,-1,-1,6.09,13.9,921.74,0.0,921.76,12476.27,121
2023/05/31 13:44:34.122,UAVFrameProducer,None,input,60,-1,-1,0.0,10.31,921.74,0.0,921.76,10912.59,123
2023/05/31 13:44:35.019,UAVFrameProducer,None,input,64,-1,-1,0.0,2.78,921.74,0.0,921.76,6924.35,125
2023/05/31 13:44:35.852,UAVFrameProducer,None,input,67,-1,-1,1.0,4.31,921.74,0.0,921.76,812.58,142
2023/05/31 13:44:37.107,UAVFrameProducer,None,input,68,-1,-1,4.0,10.62,921.74,0.0,921.76,2063.16,145
