asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 06:42:36.048,CloudInferencer,preprocessed,result,2,302,9101.03,-2.29,328454.89,307.33,341.77,0.32,15.99,302
2023/05/31 06:42:36.186,CloudInferencer,preprocessed,result,5,303,9062.05,49.76,246.53,307.33,142.24,0.32,6.01,303
2023/05/31 06:42:36.415,CloudInferencer,preprocessed,result,6,304,9288.89,-66.39,355.62,307.33,131.83,0.32,4.96,304
2023/05/31 06:42:37.103,CloudInferencer,preprocessed,result,10,305,9016.04,-40.59,688.94,307.33,128.72,0.32,5.63,305
2023/05/31 06:42:37.451,CloudInferencer,preprocessed,result,11,306,9359.5,-66.13,342.29,307.33,127.29,0.32,12.27,306
2023/05/31 06:42:37.814,CloudInferencer,preprocessed,result,12,307,9700.03,-67.4,365.72,307.33,129.69,0.32,5.77,307
2023/05/31 06:42:38.033,CloudInferencer,preprocessed,result,15,308,9112.11,-67.43,217.11,307.33,130.03,0.32,5.98,308
2023/05/31 06:42:38.405,CloudInferencer,preprocessed,result,17,309,9049.92,-59.38,376.19,307.33,126.16,0.32,5.29,309
2023/05/31 06:42:38.753,CloudInferencer,preprocessed,result,18,310,9373.08,-64.61,337.93,307.33,129.67,0.32,11.11,310
2023/05/31 06:42:39.494,CloudInferencer,preprocessed,result,20,311,9825.02,-65.62,732.38,307.33,140.66,0.32,6.39,311
2023/05/31 06:42:42.837,CloudInferencer,preprocessed,result,21,312,12978.27,-60.35,3356.1,307.33,122.79,0.32,10.3,312
2023/05/31 06:42:49.480,CloudInferencer,preprocessed,result,23,313,19255.22,-66.1,6636.64,307.33,128.12,0.32,11.23,313
2023/05/31 06:42:56.717,CloudInferencer,preprocessed,result,2,314,6407.26,-65.57,7241.4,307.33,127.43,0.32,6.12,314
2023/05/31 06:42:56.901,CloudInferencer,preprocessed,result,26,315,20005.94,-67.83,187.69,307.33,123.07,0.32,5.9,315
2023/05/31 06:42:57.590,CloudInferencer,preprocessed,result,27,316,20665.73,-65.74,690.04,307.33,120.88,0.32,5.31,316
2023/05/31 06:43:05.348,CloudInferencer,preprocessed,result,5,317,2804.84,-58.79,7735.64,307.33,134.24,0.32,13.21,317
2023/05/31 06:43:07.581,CloudInferencer,preprocessed,result,6,318,5037.19,-56.52,2244.27,307.33,124.98,0.32,10.44,318
2023/05/31 06:43:21.390,CloudInferencer,preprocessed,result,10,319,2961.66,-64.02,13795.87,307.33,139.52,0.32,6.96,319
2023/05/31 06:43:24.057,CloudInferencer,preprocessed,result,11,320,5611.43,-59.78,2674.55,307.33,127.21,0.32,11.02,320
2023/05/31 06:43:25.361,CloudInferencer,preprocessed,result,34,321,9855.26,-58.75,1288.82,307.33,140.51,0.32,11.92,321
2023/05/31 06:43:27.910,CloudInferencer,preprocessed,result,12,322,9439.18,-58.99,2547.52,307.33,140.57,0.32,11.52,322
2023/05/31 06:43:29.055,CloudInferencer,preprocessed,result,36,323,10659.42,-64.26,1158.89,307.33,131.94,0.32,6.2,323
2023/05/31 06:43:29.680,CloudInferencer,preprocessed,result,37,324,11290.06,-58.62,629.92,307.33,121.86,0.32,11.2,324
2023/05/31 06:43:29.968,CloudInferencer,preprocessed,result,38,325,11546.19,-64.83,286.77,307.33,127.69,0.32,5.01,325
2023/05/31 06:43:30.692,CloudInferencer,preprocessed,result,15,326,1224.44,-64.95,706.21,307.33,143.39,0.32,5.56,326
2023/05/31 06:43:31.151,CloudInferencer,preprocessed,result,41,327,9190.4,-58.52,451.18,307.33,142.55,0.32,11.91,327
2023/05/31 06:43:31.810,CloudInferencer,preprocessed,result,42,328,9852.94,-67.35,677.14,307.33,130.86,0.32,5.47,328
2023/05/31 06:43:32.388,CloudInferencer,preprocessed,result,17,329,886.71,-62.03,575.66,307.33,127.91,0.32,9.92,329
2023/05/31 06:43:32.574,CloudInferencer,preprocessed,result,43,330,10606.64,-65.59,192.5,307.33,124.91,0.32,5.57,330
2023/05/31 06:43:33.188,CloudInferencer,preprocessed,result,45,331,10401.18,-67.45,609.03,307.33,128.98,0.32,5.17,331
2023/05/31 06:43:33.708,CloudInferencer,preprocessed,result,47,332,9342.0,-62.25,522.51,307.33,121.09,0.32,9.97,332
2023/05/31 06:43:34.289,CloudInferencer,preprocessed,result,18,333,2755.58,-66.32,569.9,307.33,132.33,0.32,8.6,333
2023/05/31 06:43:34.411,CloudInferencer,preprocessed,result,48,334,10033.6,-28.01,95.91,307.33,122.12,0.32,5.06,334
2023/05/31 06:43:34.981,CloudInferencer,preprocessed,result,49,335,10319.51,-41.57,597.85,307.33,127.36,0.32,9.77,335
2023/05/31 06:43:35.345,CloudInferencer,preprocessed,result,51,336,9837.64,-66.5,370.28,307.33,125.52,0.32,5.12,336
2023/05/31 06:43:35.818,CloudInferencer,preprocessed,result,52,337,9931.5,-66.93,469.56,307.33,127.44,0.32,5.46,337
2023/05/31 06:43:36.589,CloudInferencer,preprocessed,result,54,338,10002.89,-61.61,764.31,307.33,127.34,0.32,10.96,338
2023/05/31 06:43:37.113,CloudInferencer,preprocessed,result,55,339,10298.42,-67.5,530.28,307.33,123.79,0.32,7.26,339
2023/05/31 06:43:37.247,CloudInferencer,preprocessed,result,20,340,2301.0,-31.94,92.62,307.33,132.58,0.32,5.2,340
2023/05/31 06:43:37.948,CloudInferencer,preprocessed,result,56,341,10658.08,-61.94,735.99,307.33,126.35,0.32,9.37,341
2023/05/31 06:43:38.342,CloudInferencer,preprocessed,result,58,342,10097.64,-66.68,396.31,307.33,127.23,0.32,5.35,342
2023/05/31 06:43:39.315,CloudInferencer,preprocessed,result,61,343,9047.97,-61.0,927.53,307.33,162.38,0.38,12.57,343
2023/05/31 06:43:39.454,CloudInferencer,preprocessed,result,21,344,4486.53,-55.2,154.87,307.33,141.86,0.32,5.65,344
2023/05/31 06:43:39.931,CloudInferencer,preprocessed,result,62,345,9708.63,-66.37,504.11,307.33,126.0,0.38,4.94,345
2023/05/31 06:43:40.365,CloudInferencer,preprocessed,result,63,346,10117.51,-67.23,439.23,307.33,120.39,0.38,5.14,346
2023/05/31 06:43:41.010,CloudInferencer,preprocessed,result,23,347,3318.47,-59.27,626.36,307.33,131.5,0.32,10.7,347
2023/05/31 06:43:41.728,CloudInferencer,preprocessed,result,67,348,9079.82,-66.07,720.96,307.33,132.4,0.38,5.4,348
2023/05/31 06:43:42.129,CloudInferencer,preprocessed,result,68,349,9484.43,-67.46,403.88,307.33,129.5,0.38,5.22,349
2023/05/31 06:43:42.562,CloudInferencer,preprocessed,result,69,350,9879.99,-61.66,434.9,307.33,121.06,0.38,10.36,350
2023/05/31 06:43:42.975,CloudInferencer,preprocessed,result,72,351,8863.29,-65.25,408.41,307.33,129.77,0.32,5.18,351
2023/05/31 06:43:43.537,CloudInferencer,preprocessed,result,74,352,8959.76,-65.31,563.03,307.33,127.95,0.32,5.72,352
2023/05/31 06:43:44.573,CloudInferencer,preprocessed,result,76,353,9138.81,-61.78,1032.57,307.33,124.0,0.32,11.76,353
2023/05/31 06:43:45.781,CloudInferencer,preprocessed,result,26,354,3724.08,-61.66,1208.13,307.33,123.19,0.32,10.95,354
2023/05/31 06:43:46.498,CloudInferencer,preprocessed,result,82,355,8927.2,-67.44,717.18,307.33,127.29,0.32,5.54,355
2023/05/31 06:43:46.885,CloudInferencer,preprocessed,result,83,356,9298.03,-65.98,385.55,307.33,128.28,0.32,5.78,356
2023/05/31 06:43:47.150,CloudInferencer,preprocessed,result,27,357,5053.61,-62.11,260.96,307.33,126.82,0.32,10.58,357
2023/05/31 06:43:47.503,CloudInferencer,preprocessed,result,85,358,9073.02,-66.2,359.97,307.33,122.56,0.32,6.09,358
2023/05/31 06:43:47.994,CloudInferencer,preprocessed,result,86,359,9549.45,-68.97,493.43,307.33,121.27,0.32,4.67,359
2023/05/31 06:43:48.893,CloudInferencer,preprocessed,result,89,360,9080.87,-60.53,893.36,307.33,120.07,0.32,10.81,360
2023/05/31 06:43:49.479,CloudInferencer,preprocessed,result,91,361,8971.61,-66.86,584.86,307.33,126.04,0.32,5.15,361
2023/05/31 06:43:50.050,CloudInferencer,preprocessed,result,93,362,9007.19,-66.66,553.65,307.33,140.91,0.32,5.16,362
2023/05/31 06:43:50.558,CloudInferencer,preprocessed,result,94,363,9483.02,-60.25,490.19,307.33,145.43,0.32,16.89,363
2023/05/31 06:43:51.212,CloudInferencer,preprocessed,result,95,364,10147.11,-66.54,678.77,307.33,132.35,0.32,5.5,364
2023/05/31 06:43:51.697,CloudInferencer,preprocessed,result,98,365,8989.87,-66.63,482.92,307.33,132.19,0.32,6.11,365
2023/05/31 06:43:52.464,CloudInferencer,preprocessed,result,101,366,8953.89,-61.46,763.44,307.33,130.66,0.32,10.62,366
2023/05/31 06:43:53.075,CloudInferencer,preprocessed,result,103,367,9016.18,-65.02,604.99,307.33,140.02,0.32,5.32,367
2023/05/31 06:43:54.103,CloudInferencer,preprocessed,result,106,368,8932.56,-62.47,1022.49,307.33,139.95,0.32,10.36,368
2023/05/31 06:43:55.070,CloudInferencer,preprocessed,result,34,369,947.47,-64.04,977.04,307.33,134.09,0.32,5.16,369
2023/05/31 06:43:55.502,CloudInferencer,preprocessed,result,110,370,8984.63,-60.6,436.8,307.33,121.62,0.32,12.19,370
2023/05/31 06:43:55.926,CloudInferencer,preprocessed,result,111,371,9414.41,-64.82,428.92,307.33,122.07,0.32,5.41,371
2023/05/31 06:43:56.434,CloudInferencer,preprocessed,result,113,372,9274.27,-66.63,497.37,307.33,129.61,0.38,7.51,372
2023/05/31 06:43:56.565,CloudInferencer,preprocessed,result,36,373,699.84,-63.24,137.72,307.33,121.93,0.32,5.4,373
2023/05/31 06:43:57.373,CloudInferencer,preprocessed,result,116,374,9011.42,-60.72,800.29,307.33,126.68,0.38,10.29,374
2023/05/31 06:43:57.783,CloudInferencer,preprocessed,result,37,375,1891.2,-67.71,421.01,307.33,120.25,0.32,4.8,375
2023/05/31 06:43:58.269,CloudInferencer,preprocessed,result,118,376,9034.4,-65.66,456.52,307.33,145.72,0.38,5.7,376
2023/05/31 06:43:59.126,CloudInferencer,preprocessed,result,121,377,8959.57,-58.79,865.79,307.33,131.8,0.38,10.59,377
2023/05/31 06:43:59.606,CloudInferencer,preprocessed,result,122,378,9449.57,-66.72,489.18,307.33,127.38,0.38,5.09,378
2023/05/31 06:44:00.073,CloudInferencer,preprocessed,result,38,379,4134.7,-65.98,460.36,307.33,132.68,0.32,4.93,379
2023/05/31 06:44:00.285,CloudInferencer,preprocessed,result,124,380,9527.49,-67.3,214.24,307.33,129.78,0.38,5.71,380
2023/05/31 06:44:00.759,CloudInferencer,preprocessed,result,125,381,9979.17,-60.0,466.46,307.33,130.26,0.38,11.86,381
2023/05/31 06:44:01.863,CloudInferencer,preprocessed,result,129,382,8963.81,-65.68,1110.37,307.33,129.75,0.38,5.0,382
2023/05/31 06:44:02.284,CloudInferencer,preprocessed,result,130,383,9364.41,-62.29,412.32,307.33,131.26,0.38,11.32,383
2023/05/31 06:44:02.841,CloudInferencer,preprocessed,result,131,384,9901.29,-65.32,562.19,307.33,130.42,0.38,5.45,384
2023/05/31 06:44:03.165,CloudInferencer,preprocessed,result,41,385,1490.87,-66.54,326.77,307.33,125.05,0.38,7.54,385
2023/05/31 06:44:03.290,CloudInferencer,preprocessed,result,134,386,8934.15,-2.57,93.04,307.33,123.81,0.38,4.82,386
