asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:42:35.826,LocalForwarder,preprocessed,preprocessed,2,0,9102.51,13.63,149816.68,307.36,0.01,307.36,144.01,302
2023/05/31 13:42:36.081,LocalForwarder,preprocessed,preprocessed,5,1,9012.6,6.27,302.67,307.36,0.01,307.36,93.56,303
2023/05/31 13:42:36.439,LocalForwarder,preprocessed,preprocessed,6,2,9355.6,5.28,355.18,307.36,0.01,307.36,94.65,304
2023/05/31 13:42:37.116,LocalForwarder,preprocessed,preprocessed,10,3,9056.94,9.29,662.07,307.36,0.01,307.36,108.49,305
2023/05/31 13:42:37.470,LocalForwarder,preprocessed,preprocessed,11,4,9425.53,5.88,366.77,307.36,0.01,307.36,93.9,306
2023/05/31 13:42:37.837,LocalForwarder,preprocessed,preprocessed,12,5,9767.32,5.85,366.25,307.36,0.01,307.36,92.78,307
2023/05/31 13:42:38.055,LocalForwarder,preprocessed,preprocessed,15,6,9179.21,6.65,215.8,307.36,0.01,307.36,92.81,308
2023/05/31 13:42:38.430,LocalForwarder,preprocessed,preprocessed,17,7,9109.5,9.19,366.87,307.36,0.01,307.36,98.6,309
2023/05/31 13:42:38.770,LocalForwarder,preprocessed,preprocessed,18,8,9437.67,6.99,341.83,307.36,0.01,307.36,93.97,310
2023/05/31 13:42:39.504,LocalForwarder,preprocessed,preprocessed,20,9,9890.82,7.15,732.77,307.36,0.01,307.36,92.87,311
2023/05/31 13:42:42.863,LocalForwarder,preprocessed,preprocessed,21,10,13038.28,9.63,3349.55,307.36,0.01,307.36,100.32,312
2023/05/31 13:42:49.501,LocalForwarder,preprocessed,preprocessed,23,11,19321.34,10.01,6641.43,307.36,0.01,307.36,94.47,313
2023/05/31 13:42:56.742,LocalForwarder,preprocessed,preprocessed,2,12,6472.74,8.89,7239.89,307.36,0.01,307.36,94.19,314
2023/05/31 13:42:56.931,LocalForwarder,preprocessed,preprocessed,26,13,20073.49,5.68,188.94,307.36,0.01,307.36,93.03,315
2023/05/31 13:42:57.623,LocalForwarder,preprocessed,preprocessed,27,14,20731.24,7.75,687.09,307.36,0.01,307.36,95.15,316
2023/05/31 13:43:05.359,LocalForwarder,preprocessed,preprocessed,5,15,2863.65,5.95,7728.04,307.36,0.01,307.36,101.94,317
2023/05/31 13:43:07.603,LocalForwarder,preprocessed,preprocessed,6,16,5093.43,9.67,2240.86,307.36,0.01,307.36,102.99,318
2023/05/31 13:43:21.400,LocalForwarder,preprocessed,preprocessed,10,17,3025.7,5.96,13803.04,307.36,0.01,307.36,94.76,319
2023/05/31 13:43:24.076,LocalForwarder,preprocessed,preprocessed,11,18,5671.58,9.35,2669.27,307.36,0.01,307.36,99.16,320
2023/05/31 13:43:25.366,LocalForwarder,preprocessed,preprocessed,34,19,9913.89,9.85,1286.63,307.36,0.01,307.36,100.36,321
2023/05/31 13:43:27.916,LocalForwarder,preprocessed,preprocessed,12,20,9498.49,9.27,2547.7,307.36,0.01,307.36,100.68,322
2023/05/31 13:43:29.075,LocalForwarder,preprocessed,preprocessed,36,21,10723.51,5.79,1162.74,307.36,0.01,307.36,95.6,323
2023/05/31 13:43:29.706,LocalForwarder,preprocessed,preprocessed,37,22,11348.79,10.15,623.1,307.36,0.01,307.36,101.3,324
2023/05/31 13:43:29.994,LocalForwarder,preprocessed,preprocessed,38,23,11611.34,6.3,291.61,307.36,0.01,307.36,94.69,325
2023/05/31 13:43:30.701,LocalForwarder,preprocessed,preprocessed,15,24,1289.82,5.37,705.92,307.36,0.01,307.36,93.57,326
2023/05/31 13:43:31.152,LocalForwarder,preprocessed,preprocessed,41,25,9248.97,8.99,443.78,307.36,0.01,307.36,98.97,327
2023/05/31 13:43:31.833,LocalForwarder,preprocessed,preprocessed,42,26,9920.3,4.98,685.07,307.36,0.01,307.36,92.74,328
2023/05/31 13:43:32.410,LocalForwarder,preprocessed,preprocessed,17,27,948.3,11.58,568.45,307.36,0.01,307.36,99.37,329
2023/05/31 13:43:32.603,LocalForwarder,preprocessed,preprocessed,43,28,10672.69,5.42,195.64,307.36,0.01,307.36,95.06,330
2023/05/31 13:43:33.213,LocalForwarder,preprocessed,preprocessed,45,29,10468.37,5.7,609.47,307.36,0.01,307.36,93.31,331
2023/05/31 13:43:33.735,LocalForwarder,preprocessed,preprocessed,47,30,9404.06,9.8,515.77,307.36,0.01,307.36,97.59,332
2023/05/31 13:43:34.307,LocalForwarder,preprocessed,preprocessed,18,31,2821.77,4.84,573.06,307.36,0.01,307.36,94.57,333
2023/05/31 13:43:34.403,LocalForwarder,preprocessed,preprocessed,48,32,10061.91,6.27,96.81,307.36,0.01,307.36,92.49,334
2023/05/31 13:43:35.002,LocalForwarder,preprocessed,preprocessed,49,33,10361.38,9.3,571.09,307.36,0.01,307.36,117.82,335
2023/05/31 13:43:35.374,LocalForwarder,preprocessed,preprocessed,51,34,9904.41,7.33,393.43,307.36,0.01,307.36,93.46,336
2023/05/31 13:43:35.845,LocalForwarder,preprocessed,preprocessed,52,35,9998.17,5.74,468.15,307.36,0.01,307.36,94.92,337
2023/05/31 13:43:36.610,LocalForwarder,preprocessed,preprocessed,54,36,10064.35,8.82,758.17,307.36,0.01,307.36,99.65,338
2023/05/31 13:43:37.141,LocalForwarder,preprocessed,preprocessed,55,37,10365.84,5.88,535.25,307.36,0.01,307.36,93.91,339
2023/05/31 13:43:37.234,LocalForwarder,preprocessed,preprocessed,20,38,2332.83,5.87,89.86,307.36,0.01,307.36,94.24,340
2023/05/31 13:43:37.971,LocalForwarder,preprocessed,preprocessed,56,39,10720.3,9.25,731.37,307.36,0.01,307.36,98.19,341
2023/05/31 13:43:38.368,LocalForwarder,preprocessed,preprocessed,58,40,10164.44,5.08,399.64,307.36,0.01,307.36,93.33,342
2023/05/31 13:43:39.296,LocalForwarder,preprocessed,preprocessed,61,41,9109.23,16.22,922.35,307.36,0.01,307.36,96.85,343
2023/05/31 13:43:39.453,LocalForwarder,preprocessed,preprocessed,21,42,4542.12,5.35,159.18,307.36,0.01,307.36,93.17,344
2023/05/31 13:43:39.958,LocalForwarder,preprocessed,preprocessed,62,43,9774.69,5.65,502.29,307.36,0.01,307.36,93.42,345
2023/05/31 13:43:40.399,LocalForwarder,preprocessed,preprocessed,63,44,10185.23,5.48,439.79,307.36,0.01,307.36,92.54,346
2023/05/31 13:43:41.026,LocalForwarder,preprocessed,preprocessed,23,45,3377.82,10.02,617.62,307.36,0.01,307.36,99.79,347
2023/05/31 13:43:41.748,LocalForwarder,preprocessed,preprocessed,67,46,9145.76,5.82,726.56,307.36,0.01,307.36,93.68,348
2023/05/31 13:43:42.153,LocalForwarder,preprocessed,preprocessed,68,47,9551.7,4.76,404.05,307.36,0.03,307.36,92.45,349
2023/05/31 13:43:42.589,LocalForwarder,preprocessed,preprocessed,69,48,9941.91,8.27,428.43,307.36,0.01,307.36,97.97,350
2023/05/31 13:43:42.999,LocalForwarder,preprocessed,preprocessed,72,49,8928.91,8.38,411.03,307.36,0.01,307.36,94.66,351
2023/05/31 13:43:43.563,LocalForwarder,preprocessed,preprocessed,74,50,9025.62,5.54,562.07,307.36,0.01,307.36,95.02,352
2023/05/31 13:43:44.596,LocalForwarder,preprocessed,preprocessed,76,51,9200.22,53.56,1027.21,307.36,0.02,307.36,98.75,353
2023/05/31 13:43:45.804,LocalForwarder,preprocessed,preprocessed,26,52,3785.43,7.65,1207.25,307.36,0.01,307.36,97.83,354
2023/05/31 13:43:46.523,LocalForwarder,preprocessed,preprocessed,82,53,8994.38,4.7,722.29,307.36,0.01,307.36,92.98,355
2023/05/31 13:43:46.910,LocalForwarder,preprocessed,preprocessed,83,54,9363.51,12.52,382.12,307.36,0.02,307.36,94.45,356
2023/05/31 13:43:47.172,LocalForwarder,preprocessed,preprocessed,27,55,5115.76,9.05,255.58,307.36,0.01,307.36,98.22,357
2023/05/31 13:43:47.534,LocalForwarder,preprocessed,preprocessed,85,56,9139.8,5.54,363.39,307.36,0.01,307.36,94.39,358
2023/05/31 13:43:48.028,LocalForwarder,preprocessed,preprocessed,86,57,9618.22,5.79,494.35,307.36,0.01,307.36,92.65,359
2023/05/31 13:43:48.921,LocalForwarder,preprocessed,preprocessed,89,58,9142.04,7.61,885.04,307.36,0.01,307.36,98.53,360
2023/05/31 13:43:49.507,LocalForwarder,preprocessed,preprocessed,91,59,9038.94,5.44,589.73,307.36,0.01,307.36,92.98,361
2023/05/31 13:43:50.062,LocalForwarder,preprocessed,preprocessed,93,60,9074.12,5.18,552.96,307.36,0.01,307.36,93.09,362
2023/05/31 13:43:50.554,LocalForwarder,preprocessed,preprocessed,94,61,9543.95,8.63,483.74,307.36,0.01,307.36,99.2,363
2023/05/31 13:43:51.233,LocalForwarder,preprocessed,preprocessed,95,62,10214.19,5.52,684.13,307.36,0.01,307.36,93.09,364
2023/05/31 13:43:51.717,LocalForwarder,preprocessed,preprocessed,98,63,9056.23,5.73,481.22,307.36,0.01,307.36,93.9,365
2023/05/31 13:43:52.481,LocalForwarder,preprocessed,preprocessed,101,64,9015.39,13.02,756.97,307.36,0.01,307.36,98.29,366
2023/05/31 13:43:53.086,LocalForwarder,preprocessed,preprocessed,103,65,9081.36,5.11,607.82,307.36,0.01,307.36,93.13,367
2023/05/31 13:43:54.111,LocalForwarder,preprocessed,preprocessed,106,66,8995.09,8.02,1019.02,307.36,0.01,307.36,96.74,368
2023/05/31 13:43:55.089,LocalForwarder,preprocessed,preprocessed,34,67,1012.03,5.47,978.62,307.36,0.01,307.36,95.22,369
2023/05/31 13:43:55.528,LocalForwarder,preprocessed,preprocessed,110,68,9045.03,13.79,431.18,307.36,0.01,307.36,100.0,370
2023/05/31 13:43:55.957,LocalForwarder,preprocessed,preprocessed,111,69,9479.71,5.46,432.63,307.36,0.01,307.36,94.65,371
2023/05/31 13:43:56.455,LocalForwarder,preprocessed,preprocessed,113,70,9340.63,6.71,496.9,307.36,0.01,307.36,93.38,372
2023/05/31 13:43:56.593,LocalForwarder,preprocessed,preprocessed,36,71,762.82,5.72,136.17,307.36,0.01,307.36,93.35,373
2023/05/31 13:43:57.394,LocalForwarder,preprocessed,preprocessed,116,72,9071.89,8.72,794.2,307.36,0.01,307.36,99.07,374
2023/05/31 13:43:57.817,LocalForwarder,preprocessed,preprocessed,37,73,1958.57,5.65,426.98,307.36,0.01,307.36,92.43,375
2023/05/31 13:43:58.274,LocalForwarder,preprocessed,preprocessed,118,74,9100.15,5.04,454.61,307.36,0.01,307.36,93.3,376
2023/05/31 13:43:59.142,LocalForwarder,preprocessed,preprocessed,121,75,9018.17,10.76,857.82,307.36,0.01,307.36,101.61,377
2023/05/31 13:43:59.632,LocalForwarder,preprocessed,preprocessed,122,76,9516.6,5.18,496.49,307.36,0.01,307.36,93.21,378
2023/05/31 13:44:00.093,LocalForwarder,preprocessed,preprocessed,38,77,4200.58,4.88,458.82,307.36,0.01,307.36,93.27,379
2023/05/31 13:44:00.309,LocalForwarder,preprocessed,preprocessed,124,78,9594.84,8.05,214.23,307.36,0.01,307.36,92.87,380
2023/05/31 13:44:00.776,LocalForwarder,preprocessed,preprocessed,125,79,10039.07,22.94,457.95,307.36,0.01,307.36,99.95,381
2023/05/31 13:44:01.886,LocalForwarder,preprocessed,preprocessed,129,80,9030.08,5.57,1115.82,307.36,0.01,307.36,92.98,382
2023/05/31 13:44:02.300,LocalForwarder,preprocessed,preprocessed,130,81,9426.25,9.53,407.12,307.36,0.01,307.36,97.77,383
2023/05/31 13:44:02.864,LocalForwarder,preprocessed,preprocessed,131,82,9967.13,5.51,564.73,307.36,0.01,307.36,94.73,384
2023/05/31 13:44:03.191,LocalForwarder,preprocessed,preprocessed,41,83,1557.22,4.77,326.21,307.36,0.01,307.36,93.91,385
2023/05/31 13:44:03.285,LocalForwarder,preprocessed,preprocessed,134,84,8937.19,5.43,63.94,307.36,0.01,307.36,122.15,386
2023/05/31 13:44:03.670,LocalForwarder,preprocessed,preprocessed,135,85,9332.68,10.01,403.4,307.36,0.02,307.36,100.73,387
2023/05/31 13:44:04.099,LocalForwarder,preprocessed,preprocessed,136,86,9752.52,4.83,432.61,307.36,0.01,307.36,94.64,388
2023/05/31 13:44:04.443,LocalForwarder,preprocessed,preprocessed,137,87,9713.95,5.99,339.4,307.36,0.01,307.36,97.08,389
2023/05/31 13:44:04.848,LocalForwarder,preprocessed,preprocessed,42,88,3200.78,5.03,407.17,307.36,0.01,307.36,92.91,390
2023/05/31 13:44:04.947,LocalForwarder,preprocessed,preprocessed,138,89,9796.38,10.63,82.18,307.36,0.01,307.36,107.52,391
2023/05/31 13:44:05.203,LocalForwarder,preprocessed,preprocessed,139,90,9657.18,4.57,266.55,307.36,0.01,307.36,94.85,392
2023/05/31 13:44:05.683,LocalForwarder,preprocessed,preprocessed,140,91,9832.97,4.68,460.98,307.36,0.01,307.36,111.98,393
2023/05/31 13:44:06.118,LocalForwarder,preprocessed,preprocessed,43,92,4450.1,5.78,452.21,307.36,0.01,307.36,92.95,394
2023/05/31 13:44:06.315,LocalForwarder,preprocessed,preprocessed,144,93,9137.6,10.45,189.73,307.36,0.01,307.36,98.04,395
2023/05/31 13:44:06.828,LocalForwarder,preprocessed,preprocessed,145,94,9638.46,4.93,514.63,307.36,0.01,307.36,93.79,396
2023/05/31 13:44:07.220,LocalForwarder,preprocessed,preprocessed,146,95,10013.71,5.88,388.95,307.36,0.01,307.36,95.5,397
2023/05/31 13:44:07.829,LocalForwarder,preprocessed,preprocessed,147,96,10083.35,9.13,600.76,307.36,0.01,307.36,101.37,398
2023/05/31 13:44:07.974,LocalForwarder,preprocessed,preprocessed,45,97,2623.31,5.66,151.31,307.36,0.01,307.36,92.84,399
2023/05/31 13:44:08.239,LocalForwarder,preprocessed,preprocessed,148,98,10029.77,5.92,262.19,307.36,0.01,307.36,92.89,400
2023/05/31 13:44:08.594,LocalForwarder,preprocessed,preprocessed,149,99,9937.42,5.16,354.41,307.36,0.01,307.36,92.45,401
2023/05/31 13:44:08.965,LocalForwarder,preprocessed,preprocessed,150,100,9740.15,4.55,365.46,307.36,0.01,307.36,95.61,402
2023/05/31 13:44:09.381,LocalForwarder,preprocessed,preprocessed,151,101,9745.3,10.49,411.1,307.36,0.01,307.36,99.14,403
2023/05/31 13:44:09.494,LocalForwarder,preprocessed,preprocessed,47,102,877.39,5.17,116.64,307.36,0.01,307.36,93.01,404
2023/05/31 13:44:09.988,LocalForwarder,preprocessed,preprocessed,152,103,9943.07,5.54,492.3,307.36,0.01,307.36,92.73,405
2023/05/31 13:44:10.449,LocalForwarder,preprocessed,preprocessed,154,104,9974.68,5.58,460.23,307.36,0.01,307.36,92.19,406
2023/05/31 13:44:11.029,LocalForwarder,preprocessed,preprocessed,156,105,10235.15,7.97,570.53,307.36,0.01,307.36,99.63,407
2023/05/31 13:44:11.702,LocalForwarder,preprocessed,preprocessed,48,106,3048.78,5.41,675.5,307.36,0.02,307.36,94.85,408
2023/05/31 13:44:11.881,LocalForwarder,preprocessed,preprocessed,158,107,10324.3,6.27,178.43,307.36,0.01,307.36,93.4,409
2023/05/31 13:44:12.795,LocalForwarder,preprocessed,preprocessed,161,108,9234.61,7.42,907.47,307.36,0.01,307.36,98.26,410
2023/05/31 13:44:13.516,LocalForwarder,preprocessed,preprocessed,162,109,9959.65,5.47,723.23,307.36,0.01,307.36,93.57,411
2023/05/31 13:44:14.105,LocalForwarder,preprocessed,preprocessed,49,110,5423.29,8.07,582.83,307.36,0.01,307.36,98.08,412
2023/05/31 13:44:14.463,LocalForwarder,preprocessed,preprocessed,165,111,9154.89,5.6,360.84,307.36,0.02,307.36,93.26,413
2023/05/31 13:44:15.233,LocalForwarder,preprocessed,preprocessed,167,112,9077.92,5.15,768.85,307.36,0.01,307.36,93.02,414
2023/05/31 13:44:15.564,LocalForwarder,preprocessed,preprocessed,51,113,4299.56,7.31,323.31,307.36,0.01,307.36,98.8,415
2023/05/31 13:44:15.896,LocalForwarder,preprocessed,preprocessed,169,114,9033.5,5.5,335.07,307.36,0.01,307.36,93.3,416
2023/05/31 13:44:16.255,LocalForwarder,preprocessed,preprocessed,52,115,3896.63,5.15,356.23,307.36,0.01,307.36,93.28,417
2023/05/31 13:44:16.593,LocalForwarder,preprocessed,preprocessed,171,116,9056.79,5.32,337.21,307.36,0.01,307.36,93.16,418
2023/05/31 13:44:17.629,LocalForwarder,preprocessed,preprocessed,54,117,1091.09,7.31,1028.11,307.36,0.02,307.36,98.96,419
2023/05/31 13:44:18.002,LocalForwarder,preprocessed,preprocessed,175,118,9049.17,5.21,374.04,307.36,0.01,307.36,95.26,420
2023/05/31 13:44:18.812,LocalForwarder,preprocessed,preprocessed,176,119,9861.36,5.41,809.96,307.36,0.01,307.36,93.9,421
2023/05/31 13:44:18.925,LocalForwarder,preprocessed,preprocessed,55,120,2376.86,8.11,105.47,307.36,0.01,307.36,98.78,422
2023/05/31 13:44:19.676,LocalForwarder,preprocessed,preprocessed,56,121,2950.0,5.97,742.8,307.36,0.01,307.36,104.64,423
2023/05/31 13:44:20.648,LocalForwarder,preprocessed,preprocessed,58,122,432.15,7.52,975.65,307.36,0.01,307.36,99.79,424
2023/05/31 13:44:24.287,LocalForwarder,preprocessed,preprocessed,181,123,11033.06,7.72,3637.57,307.36,0.01,307.36,99.46,425
2023/05/31 13:44:26.181,LocalForwarder,preprocessed,preprocessed,182,124,12911.43,8.75,1892.19,307.36,0.01,307.36,98.93,426
2023/05/31 13:44:27.815,LocalForwarder,preprocessed,preprocessed,61,125,2749.39,9.23,1633.28,307.36,0.01,307.36,98.34,427
2023/05/31 13:44:28.322,LocalForwarder,preprocessed,preprocessed,185,126,9654.21,4.67,508.64,307.36,0.01,307.36,94.82,428
2023/05/31 13:44:28.755,LocalForwarder,preprocessed,preprocessed,186,127,10072.13,7.66,432.05,307.36,0.01,307.36,93.87,429
2023/05/31 13:44:29.531,LocalForwarder,preprocessed,preprocessed,189,128,9125.41,7.86,769.42,307.36,0.01,307.36,98.27,430
2023/05/31 13:44:29.926,LocalForwarder,preprocessed,preprocessed,190,129,9501.27,5.75,397.01,307.36,0.01,307.36,94.56,431
2023/05/31 13:44:30.352,LocalForwarder,preprocessed,preprocessed,192,130,9023.97,5.24,424.5,307.36,0.02,307.36,93.7,432
2023/05/31 13:44:30.915,LocalForwarder,preprocessed,preprocessed,62,131,5835.41,8.26,556.16,307.36,0.01,307.36,98.92,433
2023/05/31 13:44:31.427,LocalForwarder,preprocessed,preprocessed,195,132,9171.15,5.65,515.09,307.36,0.01,307.36,93.91,434
2023/05/31 13:44:31.718,LocalForwarder,preprocessed,preprocessed,63,133,6622.59,6.99,288.35,307.36,0.01,307.36,93.88,435
2023/05/31 13:44:32.028,LocalForwarder,preprocessed,preprocessed,196,134,9771.23,6.72,307.68,307.36,0.01,307.36,94.12,436
2023/05/31 13:44:32.502,LocalForwarder,preprocessed,preprocessed,198,135,9408.69,8.39,468.51,307.36,0.01,307.36,97.49,437
2023/05/31 13:44:32.906,LocalForwarder,preprocessed,preprocessed,199,136,9815.11,6.83,404.42,307.36,0.01,307.36,95.46,438
2023/05/31 13:44:33.517,LocalForwarder,preprocessed,preprocessed,200,137,10021.34,5.27,612.22,307.36,0.01,307.36,92.01,439
2023/05/31 13:44:34.026,LocalForwarder,preprocessed,preprocessed,201,138,10090.28,7.99,500.76,307.36,0.01,307.36,98.45,440
2023/05/31 13:44:34.427,LocalForwarder,preprocessed,preprocessed,202,139,10112.57,5.24,399.51,307.36,0.01,307.36,98.18,441
2023/05/31 13:44:34.792,LocalForwarder,preprocessed,preprocessed,203,140,9857.97,4.64,368.54,307.36,0.01,307.36,92.93,442
2023/05/31 13:44:35.244,LocalForwarder,preprocessed,preprocessed,204,141,9790.77,20.23,444.76,307.36,0.01,307.36,97.7,443
2023/05/31 13:44:35.585,LocalForwarder,preprocessed,preprocessed,67,142,454.34,4.88,343.85,307.36,0.01,307.36,93.26,444
2023/05/31 13:44:35.931,LocalForwarder,preprocessed,preprocessed,205,143,10097.07,8.38,341.18,307.36,0.01,307.36,94.86,445
2023/05/31 13:44:36.359,LocalForwarder,preprocessed,preprocessed,207,144,10121.6,5.98,426.51,307.36,0.01,307.36,92.88,446
2023/05/31 13:44:36.843,LocalForwarder,preprocessed,preprocessed,68,145,1701.22,8.76,477.87,307.36,0.01,307.36,98.06,447
2023/05/31 13:44:37.764,LocalForwarder,preprocessed,preprocessed,69,146,2613.88,6.42,922.93,307.36,0.01,307.36,94.48,448
2023/05/31 13:44:38.372,LocalForwarder,preprocessed,preprocessed,213,147,9084.23,7.93,601.7,307.36,0.01,307.36,98.06,449
2023/05/31 13:44:38.788,LocalForwarder,preprocessed,preprocessed,214,148,9495.2,4.87,419.18,307.36,0.01,307.36,93.19,450
2023/05/31 13:44:39.350,LocalForwarder,preprocessed,preprocessed,215,149,10035.31,4.86,560.27,307.36,0.01,307.36,93.14,451
2023/05/31 13:44:39.860,LocalForwarder,preprocessed,preprocessed,217,150,9864.8,9.28,502.53,307.36,0.01,307.36,98.63,452
2023/05/31 13:44:40.436,LocalForwarder,preprocessed,preprocessed,219,151,9535.2,4.81,579.72,307.36,0.01,307.36,93.18,453
2023/05/31 13:44:40.867,LocalForwarder,preprocessed,preprocessed,220,152,9942.16,6.27,428.59,307.36,0.01,307.36,93.51,454
2023/05/31 13:44:40.960,LocalForwarder,preprocessed,preprocessed,72,153,609.43,5.45,8.95,307.36,0.01,307.36,175.59,455
2023/05/31 13:44:41.357,LocalForwarder,preprocessed,preprocessed,221,154,9962.14,7.08,470.74,307.36,0.01,307.36,99.76,456
2023/05/31 13:44:41.827,LocalForwarder,preprocessed,preprocessed,222,155,9967.35,4.55,475.62,307.36,0.01,307.36,92.87,457
2023/05/31 13:44:42.638,LocalForwarder,preprocessed,preprocessed,226,156,9062.14,7.91,803.63,307.36,0.01,307.36,98.14,458
2023/05/31 13:44:43.140,LocalForwarder,preprocessed,preprocessed,227,157,9557.63,5.9,505.1,307.36,0.01,307.36,93.77,459
2023/05/31 13:44:43.234,LocalForwarder,preprocessed,preprocessed,74,158,944.75,6.99,26.99,307.36,0.02,307.36,158.11,460
2023/05/31 13:44:43.628,LocalForwarder,preprocessed,preprocessed,229,159,9076.99,5.14,456.03,307.36,0.01,307.36,93.09,461
2023/05/31 13:44:44.191,LocalForwarder,preprocessed,preprocessed,230,160,9632.49,7.71,556.62,307.36,0.01,307.36,97.49,462
2023/05/31 13:44:44.637,LocalForwarder,preprocessed,preprocessed,231,161,10046.2,5.72,447.87,307.36,0.01,307.36,93.45,463
2023/05/31 13:44:45.219,LocalForwarder,preprocessed,preprocessed,234,162,9025.25,4.99,580.33,307.36,0.01,307.36,93.18,464
2023/05/31 13:44:45.729,LocalForwarder,preprocessed,preprocessed,235,163,9513.12,9.52,501.51,307.36,0.01,307.36,100.29,465
2023/05/31 13:44:46.160,LocalForwarder,preprocessed,preprocessed,237,164,9267.93,5.53,434.94,307.36,0.01,307.36,92.95,466
2023/05/31 13:44:46.755,LocalForwarder,preprocessed,preprocessed,239,165,9124.78,5.6,593.25,307.36,0.01,307.36,93.52,467
