asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 06:24:06.552,LocalInferencer1,input,final_uav_2,1,1227,8896.47,8897.1,147005.1,921.74,267.85,120.08,8.2,413
2023/05/31 06:24:06.587,LocalInferencer1,input,final_uav_2,2,1228,9143.57,9143.65,226.82,921.74,34.45,93.11,5.42,424
2023/05/31 06:24:06.737,LocalInferencer1,input,final_uav_1,1,1229,348.04,348.73,204.62,921.74,25.88,110.37,4.45,190
2023/05/31 06:24:06.838,LocalInferencer1,input,final_uav_2,3,1230,9380.11,9088.18,101.04,921.74,24.68,113.48,3.54,414
2023/05/31 06:24:07.124,LocalInferencer1,input,final_uav_2,4,1231,9364.52,9100.97,285.07,921.74,24.84,118.88,3.42,415
2023/05/31 06:24:07.355,LocalInferencer1,input,final_uav_2,5,1232,9323.8,9056.26,231.67,921.74,23.81,119.97,4.1,425
2023/05/31 06:24:07.624,LocalInferencer1,input,final_uav_2,6,1233,9303.74,9037.29,263.16,921.74,27.23,119.66,5.14,426
2023/05/31 06:24:07.655,LocalInferencer1,input,final_uav_1,2,1234,1239.13,1238.58,25.66,921.74,28.04,110.31,3.66,200
2023/05/31 06:24:07.822,LocalInferencer1,input,final_uav_2,7,1235,9236.27,9032.98,172.47,921.74,23.96,104.83,7.48,416
2023/05/31 06:24:08.098,LocalInferencer1,input,final_uav_2,8,1236,9310.98,9037.65,277.17,921.74,24.53,117.3,3.39,417
2023/05/31 06:24:08.365,LocalInferencer1,input,final_uav_2,9,1237,9303.88,9091.16,266.1,921.74,25.2,119.74,3.48,418
2023/05/31 06:24:08.465,LocalInferencer1,input,final_uav_1,3,1238,2021.03,1319.56,96.59,921.74,24.84,97.85,6.61,191
2023/05/31 06:24:08.597,LocalInferencer1,input,final_uav_2,10,1239,9321.1,9040.41,131.71,921.74,23.82,119.74,6.34,427
2023/05/31 06:24:08.794,LocalInferencer1,input,final_uav_2,11,1240,9238.83,9002.78,198.88,921.74,24.12,104.87,3.81,428
2023/05/31 06:24:09.043,LocalInferencer1,input,final_uav_2,12,1241,9251.34,9032.42,247.97,921.74,24.54,116.6,3.82,429
2023/05/31 06:24:09.258,LocalInferencer1,input,final_uav_2,13,1242,9245.04,8990.72,212.52,921.74,23.82,119.48,6.08,419
2023/05/31 06:24:09.508,LocalInferencer1,input,final_uav_2,14,1243,9242.26,9040.83,251.27,921.74,24.47,121.05,3.75,420
2023/05/31 06:24:09.636,LocalInferencer1,input,final_uav_1,4,1244,2486.2,1605.07,126.46,921.74,24.83,110.69,3.45,192
2023/05/31 06:24:09.776,LocalInferencer1,input,final_uav_2,15,1245,9292.49,9088.59,138.97,921.74,24.99,120.53,3.9,430
