asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:42:35.678,LocalPreprocessor,input,preprocessed,2,0,9077.14,9077.99,146811.63,921.74,7.32,307.36,9.62,0
2023/05/31 13:42:35.986,LocalPreprocessor,input,preprocessed,5,1,9005.15,9005.82,325.61,921.74,0.93,307.36,5.04,1
2023/05/31 13:42:36.343,LocalPreprocessor,input,preprocessed,6,2,9349.21,9257.9,357.1,921.74,1.08,307.36,3.72,2
2023/05/31 13:42:37.007,LocalPreprocessor,input,preprocessed,10,3,9046.6,9046.95,658.97,921.74,0.91,307.36,7.83,3
2023/05/31 13:42:37.375,LocalPreprocessor,input,preprocessed,11,4,9418.64,9418.99,371.63,921.74,0.86,307.36,3.87,4
2023/05/31 13:42:37.744,LocalPreprocessor,input,preprocessed,12,5,9760.38,9347.91,367.01,921.74,1.08,307.36,4.18,5
2023/05/31 13:42:37.961,LocalPreprocessor,input,preprocessed,15,6,9170.9,9171.38,214.69,921.74,1.34,307.36,5.14,6
2023/05/31 13:42:38.331,LocalPreprocessor,input,preprocessed,17,7,9098.99,9099.71,366.27,921.74,1.24,307.36,7.86,7
2023/05/31 13:42:38.674,LocalPreprocessor,input,preprocessed,18,8,9429.48,9272.8,345.76,921.74,1.21,307.36,5.1,8
2023/05/31 13:42:39.410,LocalPreprocessor,input,preprocessed,20,9,9879.83,9676.18,730.28,921.74,2.64,307.36,6.24,9
2023/05/31 13:42:42.761,LocalPreprocessor,input,preprocessed,21,10,13027.72,12684.05,3351.78,921.74,1.03,307.36,7.87,10
2023/05/31 13:42:49.404,LocalPreprocessor,input,preprocessed,23,11,19309.02,18587.73,6639.83,921.74,1.26,307.36,8.75,11
2023/05/31 13:42:56.646,LocalPreprocessor,input,preprocessed,2,12,6462.81,6462.96,7243.92,921.74,1.3,307.36,6.92,12
2023/05/31 13:42:56.837,LocalPreprocessor,input,preprocessed,26,13,20066.71,20066.9,192.77,921.74,0.96,307.36,3.81,13
2023/05/31 13:42:57.526,LocalPreprocessor,input,preprocessed,27,14,20720.1,16733.66,681.84,921.74,1.84,307.36,6.25,14
2023/05/31 13:43:05.256,LocalPreprocessor,input,preprocessed,5,15,2856.56,2856.87,7734.82,921.74,1.09,307.36,4.1,15
2023/05/31 13:43:07.499,LocalPreprocessor,input,preprocessed,6,16,5082.25,5082.49,2237.55,921.74,0.92,307.36,8.26,16
2023/05/31 13:43:21.304,LocalPreprocessor,input,preprocessed,10,17,3018.44,3018.7,13808.1,921.74,0.92,307.36,4.0,17
2023/05/31 13:43:23.976,LocalPreprocessor,input,preprocessed,11,18,5660.94,5661.7,2666.89,921.74,0.97,307.36,7.85,18
2023/05/31 13:43:25.264,LocalPreprocessor,input,preprocessed,34,19,9902.78,9903.72,1287.41,921.74,1.09,307.36,8.05,19
2023/05/31 13:43:27.814,LocalPreprocessor,input,preprocessed,12,20,9488.5,6124.29,2549.47,921.74,1.01,307.36,7.38,20
