asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 06:40:21.355,MergerProducer,None,None,None,-1,-1,4000.97,4000.97,0.06,0.02,0.06,0.02,None
2023/05/31 06:40:25.359,MergerProducer,None,nan,nan,-1,-1,4001.06,4001.06,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:29.362,MergerProducer,None,nan,nan,-1,-1,4000.84,4000.84,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:33.366,MergerProducer,None,nan,nan,-1,-1,4000.28,4000.28,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:37.369,MergerProducer,None,nan,nan,-1,-1,4000.96,4000.96,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:41.373,MergerProducer,None,nan,nan,-1,-1,4000.33,4000.33,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:45.376,MergerProducer,None,nan,nan,-1,-1,4000.96,4000.96,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:49.381,MergerProducer,None,nan,nan,-1,-1,4001.41,4001.41,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:53.385,MergerProducer,None,nan,nan,-1,-1,4000.95,4000.95,0.06,0.01,0.06,0.01,nan
2023/05/31 06:40:57.389,MergerProducer,None,nan,nan,-1,-1,4002.17,4002.17,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:01.393,MergerProducer,None,nan,nan,-1,-1,4000.91,4000.91,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:05.397,MergerProducer,None,nan,nan,-1,-1,4000.67,4000.67,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:09.400,MergerProducer,None,nan,nan,-1,-1,4000.71,4000.71,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:13.405,MergerProducer,None,nan,nan,-1,-1,4002.26,4002.26,0.06,0.03,0.06,0.01,nan
2023/05/31 06:41:17.409,MergerProducer,None,nan,nan,-1,-1,4001.13,4001.13,0.06,0.03,0.06,0.03,nan
2023/05/31 06:41:21.413,MergerProducer,None,nan,nan,-1,-1,4000.68,4000.68,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:25.416,MergerProducer,None,nan,nan,-1,-1,4000.98,4000.98,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:29.421,MergerProducer,None,nan,nan,-1,-1,4001.24,4001.24,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:33.424,MergerProducer,None,nan,nan,-1,-1,4000.52,4000.52,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:37.427,MergerProducer,None,nan,nan,-1,-1,4000.92,4000.92,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:41.430,MergerProducer,None,nan,nan,-1,-1,4000.4,4000.4,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:45.434,MergerProducer,None,nan,nan,-1,-1,4000.81,4000.81,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:49.437,MergerProducer,None,nan,nan,-1,-1,4000.57,4000.57,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:53.441,MergerProducer,None,nan,nan,-1,-1,4001.52,4001.52,0.06,0.01,0.06,0.01,nan
2023/05/31 06:41:57.445,MergerProducer,None,nan,nan,-1,-1,4000.9,4000.9,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:01.449,MergerProducer,None,nan,nan,-1,-1,4001.37,4001.37,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:05.454,MergerProducer,None,nan,nan,-1,-1,4001.34,4001.34,0.06,0.01,0.06,0.02,nan
2023/05/31 06:42:09.458,MergerProducer,None,nan,nan,-1,-1,4001.12,4001.12,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:13.461,MergerProducer,None,nan,nan,-1,-1,4000.63,4000.63,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:17.464,MergerProducer,None,nan,nan,-1,-1,4000.91,4000.91,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:21.468,MergerProducer,None,nan,nan,-1,-1,4001.04,4001.04,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:25.472,MergerProducer,None,nan,nan,-1,-1,4000.97,4000.97,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:29.475,MergerProducer,None,nan,nan,-1,-1,4000.6,4000.6,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:33.480,MergerProducer,None,nan,nan,-1,-1,4001.33,4001.33,0.06,0.01,0.06,0.01,nan
2023/05/31 06:42:37.483,MergerProducer,None,nan,nan,-1,-1,4000.51,4000.51,0.23,0.08,0.06,0.01,nan
2023/05/31 06:42:41.487,MergerProducer,None,nan,nan,-1,-1,4001.0,4001.0,0.23,0.08,0.23,0.2,nan
2023/05/31 06:42:41.698,MergerProducer,nan,final_uav_2,1,nan,nan,nan,nan,nan,nan,nan,210.42,0
2023/05/31 06:42:41.892,MergerProducer,nan,final_uav_2,2,nan,nan,nan,nan,nan,nan,nan,404.83,1
2023/05/31 06:42:42.092,MergerProducer,nan,final_uav_2,3,nan,nan,nan,nan,nan,nan,nan,604.93,2
2023/05/31 06:42:42.292,MergerProducer,nan,final_uav_2,4,nan,nan,nan,nan,nan,nan,nan,804.52,3
2023/05/31 06:42:42.492,MergerProducer,nan,final_uav_2,5,nan,nan,nan,nan,nan,nan,nan,1004.63,4
2023/05/31 06:42:42.692,MergerProducer,nan,final_uav_2,6,nan,nan,nan,nan,nan,nan,nan,1204.81,5
2023/05/31 06:42:42.893,MergerProducer,nan,final_uav_2,7,nan,nan,nan,nan,nan,nan,nan,1406.16,6
2023/05/31 06:42:43.098,MergerProducer,nan,final_uav_2,8,nan,nan,nan,nan,nan,nan,nan,1610.22,7
2023/05/31 06:42:43.293,MergerProducer,nan,final_uav_2,9,nan,nan,nan,nan,nan,nan,nan,1805.21,8
2023/05/31 06:42:43.492,MergerProducer,nan,final_uav_2,10,nan,nan,nan,nan,nan,nan,nan,2005.12,9
2023/05/31 06:42:43.692,MergerProducer,nan,final_uav_2,11,nan,nan,nan,nan,nan,nan,nan,2204.55,10
2023/05/31 06:42:43.892,MergerProducer,nan,final_uav_2,12,nan,nan,nan,nan,nan,nan,nan,2405.14,11
2023/05/31 06:42:44.093,MergerProducer,nan,final_uav_2,13,nan,nan,nan,nan,nan,nan,nan,2605.28,12
2023/05/31 06:42:44.297,MergerProducer,nan,final_uav_2,14,nan,nan,nan,nan,nan,nan,nan,2809.38,13
2023/05/31 06:42:44.495,MergerProducer,nan,final_uav_2,15,nan,nan,nan,nan,nan,nan,nan,3007.61,14
2023/05/31 06:42:44.692,MergerProducer,nan,final_uav_2,16,nan,nan,nan,nan,nan,nan,nan,3204.52,15
2023/05/31 06:42:44.892,MergerProducer,nan,final_uav_2,17,nan,nan,nan,nan,nan,nan,nan,3404.44,16
2023/05/31 06:42:45.092,MergerProducer,nan,final_uav_2,18,nan,nan,nan,nan,nan,nan,nan,3605.33,17
2023/05/31 06:42:45.292,MergerProducer,nan,final_uav_2,19,nan,nan,nan,nan,nan,nan,nan,3804.82,18
2023/05/31 06:42:45.490,MergerProducer,None,nan,nan,-1,-1,4000.42,4000.42,0.23,0.02,0.23,0.06,nan
2023/05/31 06:42:45.495,MergerProducer,nan,final_uav_2,20,nan,nan,nan,nan,nan,nan,nan,4007.79,19
2023/05/31 06:42:47.500,MergerProducer,nan,final_uav_2,21,nan,nan,nan,nan,nan,nan,nan,2009.48,20
2023/05/31 06:42:49.493,MergerProducer,None,nan,nan,-1,-1,4000.24,4000.24,0.23,0.02,0.06,0.01,nan
2023/05/31 06:42:49.500,MergerProducer,nan,final_uav_2,22,nan,nan,nan,nan,nan,nan,nan,4009.3,21
2023/05/31 06:42:53.497,MergerProducer,None,nan,nan,-1,-1,4000.9,4000.9,0.23,0.02,0.23,0.06,nan
2023/05/31 06:42:57.500,MergerProducer,None,nan,nan,-1,-1,4000.35,4000.35,0.23,0.06,0.23,0.05,nan
2023/05/31 06:42:57.510,MergerProducer,nan,final_uav_2,23,nan,nan,nan,nan,nan,nan,nan,4012.32,22
2023/05/31 06:42:59.510,MergerProducer,nan,final_uav_2,24,nan,nan,nan,nan,nan,nan,nan,2010.24,23
2023/05/31 06:43:01.503,MergerProducer,None,nan,nan,-1,-1,4000.24,4000.24,0.23,0.09,0.23,0.07,nan
2023/05/31 06:43:01.510,MergerProducer,nan,final_uav_2,26,nan,nan,nan,nan,nan,nan,nan,4009.78,24
2023/05/31 06:43:05.506,MergerProducer,None,nan,nan,-1,-1,4000.66,4000.66,0.23,0.01,0.06,0.01,nan
2023/05/31 06:43:05.514,MergerProducer,nan,final_uav_2,27,nan,nan,nan,nan,nan,nan,nan,4010.12,25
2023/05/31 06:43:05.517,MergerProducer,nan,final_uav_1,2,nan,nan,nan,nan,nan,nan,nan,4014.16,0
2023/05/31 06:43:09.511,MergerProducer,None,nan,nan,-1,-1,4001.23,4001.23,0.23,0.02,0.23,0.13,nan
2023/05/31 06:43:11.517,MergerProducer,nan,final_uav_1,5,nan,nan,nan,nan,nan,nan,nan,2005.79,1
2023/05/31 06:43:13.514,MergerProducer,None,nan,nan,-1,-1,4000.69,4000.69,0.23,0.01,0.06,0.01,nan
2023/05/31 06:43:13.519,MergerProducer,nan,final_uav_1,6,nan,nan,nan,nan,nan,nan,nan,4007.76,2
2023/05/31 06:43:17.518,MergerProducer,None,nan,nan,-1,-1,4000.96,4000.96,0.23,0.02,0.23,0.06,nan
2023/05/31 06:43:21.521,MergerProducer,None,nan,nan,-1,-1,4000.2,4000.2,0.23,0.02,0.23,0.06,nan
2023/05/31 06:43:21.525,MergerProducer,nan,final_uav_2,28,nan,nan,nan,nan,nan,nan,nan,4006.28,26
2023/05/31 06:43:25.525,MergerProducer,None,nan,nan,-1,-1,4000.31,4000.31,0.23,0.03,0.23,0.09,nan
2023/05/31 06:43:25.531,MergerProducer,nan,final_uav_1,7,nan,nan,nan,nan,nan,nan,nan,4009.12,3
2023/05/31 06:43:26.874,MergerProducer,nan,final_uav_2,29,nan,nan,nan,nan,nan,nan,nan,1349.56,27
2023/05/31 06:43:28.201,MergerProducer,nan,final_uav_2,30,nan,nan,nan,nan,nan,nan,nan,2676.83,28
2023/05/31 06:43:29.528,MergerProducer,None,nan,nan,-1,-1,4000.86,4000.86,0.23,0.03,0.23,0.06,nan
2023/05/31 06:43:29.537,MergerProducer,nan,final_uav_1,11,nan,nan,nan,nan,nan,nan,nan,4012.6,4
2023/05/31 06:43:29.539,MergerProducer,nan,final_uav_2,31,nan,nan,nan,nan,nan,nan,nan,4014.77,29
2023/05/31 06:43:33.531,MergerProducer,None,nan,nan,-1,-1,4000.66,4000.66,0.23,0.03,0.23,0.17,nan
2023/05/31 06:43:33.543,MergerProducer,nan,final_uav_1,12,nan,nan,nan,nan,nan,nan,nan,4013.78,5
2023/05/31 06:43:33.545,MergerProducer,nan,final_uav_2,36,nan,nan,nan,nan,nan,nan,nan,4016.66,30
2023/05/31 06:43:34.036,MergerProducer,nan,final_uav_2,37,nan,nan,nan,nan,nan,nan,nan,504.35,31
2023/05/31 06:43:34.536,MergerProducer,nan,final_uav_2,38,nan,nan,nan,nan,nan,nan,nan,1004.97,32
2023/05/31 06:43:34.879,MergerProducer,nan,final_uav_1,13,nan,nan,nan,nan,nan,nan,nan,1347.08,6
2023/05/31 06:43:35.048,MergerProducer,nan,final_uav_2,39,nan,nan,nan,nan,nan,nan,nan,1516.04,33
2023/05/31 06:43:35.535,MergerProducer,nan,final_uav_2,40,nan,nan,nan,nan,nan,nan,nan,2003.73,34
2023/05/31 06:43:36.037,MergerProducer,nan,final_uav_2,41,nan,nan,nan,nan,nan,nan,nan,2504.78,35
2023/05/31 06:43:36.207,MergerProducer,nan,final_uav_1,15,nan,nan,nan,nan,nan,nan,nan,2675.85,7
2023/05/31 06:43:36.539,MergerProducer,nan,final_uav_2,42,nan,nan,nan,nan,nan,nan,nan,3007.97,36
2023/05/31 06:43:37.047,MergerProducer,nan,final_uav_2,43,nan,nan,nan,nan,nan,nan,nan,3514.99,37
2023/05/31 06:43:37.535,MergerProducer,None,nan,nan,-1,-1,4001.46,4001.46,0.23,0.04,0.23,0.13,nan
2023/05/31 06:43:37.541,MergerProducer,nan,final_uav_2,45,nan,nan,nan,nan,nan,nan,nan,4008.89,38
