asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 14:53:22.678,Client,final_uav_1,None,None,400,769.39,18.3,19.57,60.26,0.0,60.26,0.0,None
2023/06/26 14:53:22.726,Client,final_uav_1,nan,nan,401,776.78,14.67,37.82,60.31,0.0,60.31,0.0,nan
2023/06/26 14:53:22.813,Client,final_uav_1,nan,nan,402,824.56,20.45,73.68,60.12,0.0,60.12,0.03,nan
2023/06/26 14:53:22.907,Client,final_uav_1,nan,nan,403,865.05,29.82,74.93,60.15,0.0,60.15,2.06,nan
2023/06/26 14:53:23.005,Client,final_uav_1,nan,nan,404,834.56,22.48,88.35,59.02,0.0,59.02,1.01,nan
2023/06/26 14:53:23.051,Client,final_uav_1,nan,nan,405,840.54,9.09,39.6,59.23,0.0,59.23,1.0,nan
2023/06/26 14:53:23.079,Client,final_uav_1,nan,nan,406,687.3,5.09,25.0,59.75,0.0,59.75,0.0,nan
2023/06/26 14:53:23.125,Client,final_uav_1,nan,nan,407,692.98,6.85,42.77,59.76,0.0,59.76,0.0,nan
2023/06/26 14:53:23.183,Client,final_uav_1,nan,nan,408,683.88,6.59,53.74,59.9,0.0,59.9,0.0,nan
2023/06/26 14:53:23.235,Client,final_uav_1,nan,nan,409,658.3,4.13,48.54,60.15,0.0,60.15,0.0,nan
2023/06/26 14:53:23.274,Client,final_uav_1,nan,nan,410,640.77,5.37,35.23,60.07,0.0,60.07,0.0,nan
2023/06/26 14:53:23.338,Client,final_uav_1,nan,nan,411,651.96,3.88,60.52,60.01,0.0,60.01,0.0,nan
2023/06/26 14:53:23.386,Client,final_uav_1,nan,nan,412,660.84,5.29,44.41,60.16,0.0,60.16,1.0,nan
2023/06/26 14:53:23.463,Client,final_uav_1,nan,nan,413,665.97,8.53,74.19,60.04,0.0,60.04,0.53,nan
2023/06/26 14:53:23.516,Client,final_uav_1,nan,nan,414,680.82,7.55,48.92,59.87,0.0,59.87,0.0,nan
2023/06/26 14:53:23.594,Client,final_uav_1,nan,nan,415,698.0,5.22,74.67,59.94,0.0,59.94,0.0,nan
2023/06/26 14:53:23.626,Client,final_uav_1,nan,nan,416,662.45,5.22,28.0,59.85,0.0,59.85,1.0,nan
2023/06/26 14:53:23.669,Client,final_uav_1,nan,nan,417,652.36,4.29,39.07,60.16,0.0,60.16,0.0,nan
2023/06/26 14:53:23.742,Client,final_uav_1,nan,nan,418,662.26,3.94,70.65,60.16,0.0,60.16,0.0,nan
2023/06/26 14:53:23.784,Client,final_uav_1,nan,nan,419,667.17,5.61,38.67,59.18,0.0,59.18,0.0,nan
2023/06/26 14:53:23.833,Client,final_uav_1,nan,nan,420,667.58,6.62,42.0,59.49,0.0,59.49,1.0,nan
2023/06/26 14:53:23.878,Client,final_uav_1,nan,nan,421,636.99,5.01,38.4,59.79,0.0,59.79,0.0,nan
2023/06/26 14:53:23.925,Client,final_uav_1,nan,nan,422,642.92,4.52,43.98,59.99,0.0,59.99,0.0,nan
2023/06/26 14:53:23.992,Client,final_uav_1,nan,nan,423,654.4,4.96,63.44,60.08,0.0,60.08,0.0,nan
2023/06/26 14:53:24.042,Client,final_uav_1,nan,nan,424,659.61,4.48,46.52,60.12,0.0,60.12,0.0,nan
2023/06/26 14:53:24.122,Client,final_uav_1,nan,nan,425,699.5,5.14,75.66,60.27,0.0,60.27,1.01,nan
2023/06/26 14:53:24.165,Client,final_uav_1,nan,nan,426,667.51,5.3,39.17,60.18,0.0,60.18,0.0,nan
2023/06/26 14:53:24.209,Client,final_uav_1,nan,nan,427,676.18,4.81,41.99,60.38,0.0,60.38,0.0,nan
2023/06/26 14:53:24.290,Client,final_uav_1,nan,nan,428,670.42,8.4,76.49,60.65,0.0,60.65,0.64,nan
2023/06/26 14:53:24.328,Client,final_uav_1,nan,nan,429,668.58,5.57,32.89,60.42,0.0,60.42,0.0,nan
2023/06/26 14:53:24.374,Client,final_uav_1,nan,nan,430,664.1,5.98,41.42,60.42,0.0,60.42,0.0,nan
2023/06/26 14:53:24.428,Client,final_uav_1,nan,nan,431,651.46,5.13,51.1,60.58,0.0,60.58,0.53,nan
