time,battery_percentage
2023-06-27 01:28:17.777820,95
2023-06-27 01:28:18.778466,95
2023-06-27 01:28:19.779154,95
2023-06-27 01:28:20.780200,95
2023-06-27 01:28:21.781089,95
2023-06-27 01:28:22.799324,95
2023-06-27 01:28:23.801366,95
2023-06-27 01:28:24.801909,95
2023-06-27 01:28:25.802152,95
2023-06-27 01:28:26.802377,95
2023-06-27 01:28:27.803469,95
2023-06-27 01:28:28.804621,96
2023-06-27 01:28:29.805180,96
2023-06-27 01:28:30.806487,96
2023-06-27 01:28:31.807350,96
2023-06-27 01:28:32.807836,96
2023-06-27 01:28:33.808244,96
2023-06-27 01:28:34.809899,96
2023-06-27 01:28:35.810563,96
2023-06-27 01:28:36.811148,96
2023-06-27 01:28:37.813683,96
2023-06-27 01:28:38.818089,96
2023-06-27 01:28:39.818946,96
2023-06-27 01:28:40.819522,96
2023-06-27 01:28:41.820415,96
2023-06-27 01:28:42.820729,96
2023-06-27 01:28:43.821278,96
2023-06-27 01:28:44.822078,96
2023-06-27 01:28:45.822409,96
2023-06-27 01:28:46.824181,96
2023-06-27 01:28:47.824900,96
2023-06-27 01:28:48.828644,96
2023-06-27 01:28:49.841524,96
2023-06-27 01:28:50.850656,96
2023-06-27 01:28:51.851703,96
2023-06-27 01:28:52.853122,96
2023-06-27 01:28:53.853963,96
2023-06-27 01:28:54.854376,96
2023-06-27 01:28:55.854863,96
2023-06-27 01:28:56.855267,96
2023-06-27 01:28:57.856294,96
2023-06-27 01:28:58.857987,96
2023-06-27 01:28:59.858603,96
2023-06-27 01:29:00.859862,96
2023-06-27 01:29:01.861000,96
2023-06-27 01:29:02.861703,96
2023-06-27 01:29:03.862194,96
2023-06-27 01:29:04.862662,96
2023-06-27 01:29:05.864080,96
2023-06-27 01:29:06.864334,96
2023-06-27 01:29:07.900235,96
2023-06-27 01:29:08.903488,96
2023-06-27 01:29:09.904902,96
2023-06-27 01:29:10.917254,96
2023-06-27 01:29:11.918042,96
2023-06-27 01:29:12.918668,96
2023-06-27 01:29:13.923134,96
2023-06-27 01:29:14.927820,96
2023-06-27 01:29:15.928562,96
2023-06-27 01:29:16.929322,96
2023-06-27 01:29:17.929533,96
2023-06-27 01:29:18.935476,96
2023-06-27 01:29:19.937059,96
2023-06-27 01:29:20.940649,96
2023-06-27 01:29:21.941707,96
2023-06-27 01:29:22.944959,96
2023-06-27 01:29:23.946160,96
2023-06-27 01:29:24.947155,96
2023-06-27 01:29:25.947650,96
2023-06-27 01:29:26.949773,96
2023-06-27 01:29:27.950986,96
2023-06-27 01:29:28.952593,96
2023-06-27 01:29:29.954339,96
2023-06-27 01:29:30.955629,96
2023-06-27 01:29:31.956091,96
2023-06-27 01:29:32.956343,96
2023-06-27 01:29:33.958083,96
2023-06-27 01:29:34.959270,96
2023-06-27 01:29:35.959743,96
2023-06-27 01:29:36.960246,96
2023-06-27 01:29:37.963111,95
2023-06-27 01:29:38.964082,95
2023-06-27 01:29:39.967515,95
2023-06-27 01:29:40.980279,95
2023-06-27 01:29:41.981618,95
2023-06-27 01:29:42.986607,95
2023-06-27 01:29:43.988234,95
2023-06-27 01:29:44.990026,95
2023-06-27 01:29:45.994261,95
2023-06-27 01:29:47.003026,95
2023-06-27 01:29:48.005140,95
2023-06-27 01:29:49.005734,95
2023-06-27 01:29:50.007187,95
2023-06-27 01:29:51.007721,95
2023-06-27 01:29:52.009508,95
2023-06-27 01:29:53.011113,95
2023-06-27 01:29:54.011418,95
2023-06-27 01:29:55.013311,95
2023-06-27 01:29:56.015186,95
2023-06-27 01:29:57.015994,95
2023-06-27 01:29:58.017286,95
2023-06-27 01:29:59.020712,95
2023-06-27 01:30:00.027233,95
2023-06-27 01:30:01.028462,95
2023-06-27 01:30:02.031673,95
2023-06-27 01:30:03.059103,95
2023-06-27 01:30:04.061547,95
2023-06-27 01:30:05.065476,95
2023-06-27 01:30:06.066411,95
2023-06-27 01:30:07.073199,95
2023-06-27 01:30:08.074497,95
2023-06-27 01:30:09.077998,95
2023-06-27 01:30:10.078447,95
2023-06-27 01:30:11.080078,95
2023-06-27 01:30:12.081211,95
2023-06-27 01:30:13.082540,95
2023-06-27 01:30:14.087552,95
2023-06-27 01:30:15.090658,95
2023-06-27 01:30:16.092797,95
2023-06-27 01:30:17.096727,95
2023-06-27 01:30:18.102742,95
2023-06-27 01:30:19.106966,95
2023-06-27 01:30:20.107665,95
2023-06-27 01:30:21.107859,95
2023-06-27 01:30:22.108236,95
2023-06-27 01:30:23.111611,95
2023-06-27 01:30:24.113313,94
2023-06-27 01:30:25.116021,94
2023-06-27 01:30:26.124872,94
2023-06-27 01:30:27.125530,94
2023-06-27 01:30:28.126258,94
2023-06-27 01:30:29.126509,94
2023-06-27 01:30:30.127171,94
2023-06-27 01:30:31.127853,94
2023-06-27 01:30:32.136366,94
2023-06-27 01:30:33.138764,94
2023-06-27 01:30:34.140482,94
2023-06-27 01:30:35.141548,94
2023-06-27 01:30:36.142429,94
2023-06-27 01:30:37.143768,94
2023-06-27 01:30:38.144479,94
2023-06-27 01:30:39.147727,94
2023-06-27 01:30:40.149322,94
2023-06-27 01:30:41.157731,94
2023-06-27 01:30:42.159145,94
2023-06-27 01:30:43.160180,94
2023-06-27 01:30:44.163155,94
2023-06-27 01:30:45.164375,94
2023-06-27 01:30:46.170213,94
2023-06-27 01:30:47.171118,94
2023-06-27 01:30:48.173008,94
2023-06-27 01:30:49.174187,94
2023-06-27 01:30:50.175808,94
2023-06-27 01:30:51.181293,94
2023-06-27 01:30:52.182379,94
2023-06-27 01:30:53.182965,94
