asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 01:28:24.802,LocalExecutor1,input,final_uav_1,1,48132,943.93,945.22,1331930.27,18.81,629.98,69.04,4.96,61094
2023/06/27 01:28:25.132,LocalExecutor1,input,final_uav_1,19,48141,775.24,775.5,38.68,18.57,324.13,72.26,7.42,61095
2023/06/27 01:28:25.167,LocalExecutor1,input,final_uav_1,26,48973,841.67,842.13,26.26,18.39,28.41,67.62,8.29,61096
2023/06/27 01:28:25.194,LocalExecutor1,input,final_uav_1,27,48974,857.97,818.47,21.7,18.39,24.45,67.62,4.58,61097
2023/06/27 01:28:25.226,LocalExecutor1,input,final_uav_1,29,48146,804.87,805.11,48.18,18.49,19.1,67.68,3.91,61098
2023/06/27 01:28:25.271,LocalExecutor1,input,final_uav_1,30,48147,837.99,799.36,50.08,18.53,14.06,68.0,3.69,61099
2023/06/27 01:28:25.333,LocalExecutor1,input,final_uav_1,31,48148,852.65,798.97,59.08,18.57,16.08,68.16,3.18,61100
2023/06/27 01:28:25.381,LocalExecutor1,input,final_uav_1,32,48149,838.03,787.46,50.24,18.55,11.1,67.98,6.06,61101
2023/06/27 01:28:25.425,LocalExecutor1,input,final_uav_1,34,48975,755.0,755.7,32.37,18.69,14.6,68.76,8.97,61102
2023/06/27 01:28:25.451,LocalExecutor1,input,final_uav_1,33,48150,835.19,789.31,25.11,18.55,21.39,68.19,7.32,61103
2023/06/27 01:28:25.502,LocalExecutor1,input,final_uav_1,35,48151,820.11,795.27,56.93,18.69,17.66,68.76,5.93,61104
2023/06/27 01:28:25.529,LocalExecutor1,input,final_uav_1,36,48976,806.96,807.5,6.99,18.65,24.47,68.39,4.67,61105
2023/06/27 01:28:25.566,LocalExecutor1,input,final_uav_1,37,48977,820.26,795.76,57.05,18.65,19.51,68.39,3.69,61106
2023/06/27 01:28:25.606,LocalExecutor1,input,final_uav_1,39,48152,771.84,772.31,46.44,18.76,13.38,68.88,3.29,61107
2023/06/27 01:28:25.640,LocalExecutor1,input,final_uav_1,38,48978,860.83,810.53,28.07,18.71,19.01,68.66,3.47,61108
2023/06/27 01:28:25.686,LocalExecutor1,input,final_uav_1,40,48153,814.76,815.29,46.8,18.76,15.56,68.88,5.09,61109
2023/06/27 01:28:25.706,LocalExecutor1,input,final_uav_1,41,48979,811.96,801.12,2.81,18.75,18.82,69.0,3.61,61110
2023/06/27 01:28:25.761,LocalExecutor1,input,final_uav_1,42,48980,851.05,811.25,75.1,18.8,14.56,69.06,3.66,61111
2023/06/27 01:28:25.790,LocalExecutor1,input,final_uav_1,44,48154,746.75,747.03,23.89,18.71,19.21,68.69,4.28,61112
2023/06/27 01:28:25.824,LocalExecutor1,input,final_uav_1,43,48981,865.12,794.56,38.06,18.76,15.29,68.98,3.86,61113
2023/06/27 01:28:25.856,LocalExecutor1,input,final_uav_1,46,48155,745.74,746.13,27.21,18.73,19.09,68.98,4.35,61114
2023/06/27 01:28:25.918,LocalExecutor1,input,final_uav_1,45,48982,865.12,821.45,66.28,18.73,16.49,68.98,3.65,61115
2023/06/27 01:28:25.960,LocalExecutor1,input,final_uav_1,47,48983,829.51,777.86,41.87,18.68,14.89,68.8,4.31,61116
2023/06/27 01:28:26.023,LocalExecutor1,input,final_uav_1,48,48984,828.13,795.8,61.22,18.8,13.62,69.31,8.16,61117
2023/06/27 01:28:26.058,LocalExecutor1,input,final_uav_1,50,48156,752.05,752.3,30.45,18.47,19.82,67.6,5.0,61118
2023/06/27 01:28:26.088,LocalExecutor1,input,final_uav_1,49,48985,845.34,793.79,31.91,18.28,18.42,67.16,4.11,61119
2023/06/27 01:28:26.141,LocalExecutor1,input,final_uav_1,51,48986,822.89,793.2,60.41,18.48,12.34,67.67,3.09,61120
2023/06/27 01:28:26.208,LocalExecutor1,input,final_uav_1,53,48157,772.14,773.11,58.77,18.62,19.97,68.51,3.42,61121
2023/06/27 01:28:26.248,LocalExecutor1,input,final_uav_1,52,48987,878.28,822.62,32.88,18.54,22.43,67.99,7.38,61122
2023/06/27 01:28:26.290,LocalExecutor1,input,final_uav_1,54,48988,813.51,788.17,44.66,18.62,22.97,68.41,4.28,61123
2023/06/27 01:28:26.373,LocalExecutor1,input,final_uav_1,55,48989,867.92,830.46,88.13,18.6,18.91,68.24,3.97,61124
2023/06/27 01:28:26.414,LocalExecutor1,input,final_uav_1,57,48158,751.9,752.35,34.37,18.76,21.95,68.88,7.08,61125
2023/06/27 01:28:26.456,LocalExecutor1,input,final_uav_1,56,48990,893.32,809.9,39.96,18.66,25.19,68.63,3.64,61126
2023/06/27 01:28:26.490,LocalExecutor1,input,final_uav_1,59,48159,766.79,767.34,39.37,18.77,19.16,68.95,4.39,61127
2023/06/27 01:28:26.525,LocalExecutor1,input,final_uav_1,58,48991,846.22,806.64,32.56,18.76,20.74,68.88,4.91,61128
