asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 09:11:31.556,UAVFrameProducer,None,input,1,-1,-1,1.02,3.62,921.74,0.0,9.4,190.93,54711
2023/06/27 09:11:31.675,UAVFrameProducer,None,input,3,-1,-1,15.94,21.0,921.74,0.0,9.38,241.75,54713
2023/06/27 09:11:31.722,UAVFrameProducer,None,input,2,-1,-1,20.57,134.98,921.74,0.0,9.38,320.22,55816
2023/06/27 09:11:31.819,UAVFrameProducer,None,input,4,-1,-1,20.44,26.92,921.74,0.0,9.4,334.37,54716
2023/06/27 09:11:31.843,UAVFrameProducer,None,input,5,-1,-1,0.0,18.0,921.74,0.0,8.93,227.88,55818
2023/06/27 09:11:31.897,UAVFrameProducer,None,input,7,-1,-1,1.0,15.65,921.74,0.0,9.52,131.89,54719
2023/06/27 09:11:31.942,UAVFrameProducer,None,input,6,-1,-1,18.68,40.18,921.74,0.0,8.88,290.75,55822
2023/06/27 09:11:32.003,UAVFrameProducer,None,input,8,-1,-1,14.76,31.67,921.74,0.0,9.48,199.47,54722
2023/06/27 09:11:32.033,UAVFrameProducer,None,input,10,-1,-1,0.0,9.53,921.74,0.0,9.49,94.66,55825
2023/06/27 09:11:32.107,UAVFrameProducer,None,input,9,-1,-1,0.0,38.25,921.74,0.0,9.49,240.68,54724
2023/06/27 09:11:32.142,UAVFrameProducer,None,input,11,-1,-1,16.14,31.22,921.74,0.0,9.5,170.71,55826
2023/06/27 09:11:32.189,UAVFrameProducer,None,input,13,-1,-1,0.0,9.36,921.74,0.0,9.51,114.58,54728
2023/06/27 09:11:32.226,UAVFrameProducer,None,input,12,-1,-1,13.6,19.07,921.74,0.0,9.49,225.47,55827
2023/06/27 09:11:32.274,UAVFrameProducer,None,input,14,-1,-1,12.08,22.96,921.74,0.0,9.52,170.63,54731
2023/06/27 09:11:32.312,UAVFrameProducer,None,input,15,-1,-1,0.0,21.73,921.74,0.0,9.55,172.76,55829
2023/06/27 09:11:32.369,UAVFrameProducer,None,input,16,-1,-1,0.0,26.1,921.74,0.0,9.53,196.18,54733
2023/06/27 09:11:32.418,UAVFrameProducer,None,input,17,-1,-1,0.0,7.86,921.74,0.0,9.56,193.23,55832
2023/06/27 09:11:32.424,UAVFrameProducer,None,input,19,-1,-1,0.0,5.1,921.74,0.0,9.31,81.18,54735
2023/06/27 09:11:32.473,UAVFrameProducer,None,input,18,-1,-1,0.0,20.52,921.74,0.0,9.52,213.74,55833
2023/06/27 09:11:32.534,UAVFrameProducer,None,input,20,-1,-1,9.56,15.76,921.74,0.0,9.31,164.1,55835
2023/06/27 09:11:32.592,UAVFrameProducer,None,input,22,-1,-1,0.0,6.54,921.74,0.0,9.35,92.11,54737
2023/06/27 09:11:32.601,UAVFrameProducer,None,input,21,-1,-1,0.0,12.07,921.74,0.0,9.31,148.09,55837
2023/06/27 09:11:32.659,UAVFrameProducer,None,input,24,-1,-1,0.0,9.58,921.74,0.0,9.36,99.95,54739
2023/06/27 09:11:32.669,UAVFrameProducer,None,input,23,-1,-1,8.06,16.93,921.74,0.0,9.35,149.44,55839
2023/06/27 09:11:32.729,UAVFrameProducer,None,input,25,-1,-1,10.92,14.32,921.74,0.0,9.34,146.58,54741
2023/06/27 09:11:32.735,UAVFrameProducer,None,input,26,-1,-1,0.0,14.95,921.74,0.0,9.35,108.34,55842
2023/06/27 09:11:32.786,UAVFrameProducer,None,input,28,-1,-1,0.0,14.94,921.74,0.0,9.35,92.39,54742
2023/06/27 09:11:32.791,UAVFrameProducer,None,input,27,-1,-1,12.45,14.3,921.74,0.0,9.35,142.8,55844
2023/06/27 09:11:32.861,UAVFrameProducer,None,input,29,-1,-1,10.5,13.69,921.74,0.0,9.39,143.68,54744
2023/06/27 09:11:32.965,UAVFrameProducer,None,input,30,-1,-1,0.0,13.01,921.74,0.0,9.44,200.13,54745
2023/06/27 09:11:33.032,UAVFrameProducer,None,input,31,-1,-1,0.0,8.93,921.74,0.0,9.49,214.19,54747
2023/06/27 09:11:33.128,UAVFrameProducer,None,input,32,-1,-1,0.06,7.03,921.74,0.0,9.53,205.63,54748
2023/06/27 09:11:33.222,UAVFrameProducer,None,input,34,-1,-1,0.0,12.76,921.74,0.0,9.75,141.21,55850
2023/06/27 09:11:33.275,UAVFrameProducer,None,input,33,-1,-1,0.0,11.61,921.74,0.0,9.68,270.63,54749
2023/06/27 09:11:33.339,UAVFrameProducer,None,input,36,-1,-1,0.89,10.02,921.74,0.0,9.93,174.86,55852
2023/06/27 09:11:33.402,UAVFrameProducer,None,input,35,-1,-1,11.46,26.76,921.74,0.0,9.8,291.36,54751
2023/06/27 09:11:33.459,UAVFrameProducer,None,input,37,-1,-1,18.26,27.28,921.74,0.0,9.89,256.62,55854
2023/06/27 09:11:33.508,UAVFrameProducer,None,input,39,-1,-1,0.0,10.6,921.74,0.0,9.74,122.37,54754
2023/06/27 09:11:33.572,UAVFrameProducer,None,input,38,-1,-1,0.12,12.91,921.74,0.0,9.75,306.26,55857
2023/06/27 09:11:33.714,UAVFrameProducer,None,input,40,-1,-1,15.54,37.84,921.74,0.0,9.74,293.22,54755
2023/06/27 09:11:33.741,UAVFrameProducer,None,input,41,-1,-1,9.43,23.58,921.74,0.0,9.69,298.9,55859
2023/06/27 09:11:33.902,UAVFrameProducer,None,input,42,-1,-1,0.0,9.92,921.74,0.34,9.69,394.9,55861
2023/06/27 09:11:33.957,UAVFrameProducer,None,input,44,-1,-1,0.0,9.0,921.74,0.0,9.64,169.64,54757
2023/06/27 09:11:33.976,UAVFrameProducer,None,input,43,-1,-1,0.0,16.12,921.74,0.93,9.65,286.83,55863
2023/06/27 09:11:34.137,UAVFrameProducer,None,input,46,-1,-1,0.0,7.8,921.74,0.0,9.62,208.37,54760
2023/06/27 09:11:34.141,UAVFrameProducer,None,input,45,-1,-1,14.69,35.34,921.74,0.0,9.66,324.17,55864
2023/06/27 09:11:34.231,UAVFrameProducer,None,input,47,-1,-1,10.45,17.01,921.74,0.0,9.62,276.72,55866
2023/06/27 09:11:34.397,UAVFrameProducer,None,input,48,-1,-1,0.0,10.0,921.74,0.0,9.64,386.0,55868
2023/06/27 09:11:34.576,UAVFrameProducer,None,input,50,-1,-1,0.0,6.4,921.74,0.0,9.48,315.27,54762
2023/06/27 09:11:34.795,UAVFrameProducer,None,input,49,-1,-1,0.0,10.49,921.74,0.0,9.6,625.82,55870
2023/06/27 09:11:34.884,UAVFrameProducer,None,input,51,-1,-1,13.57,19.19,921.74,0.0,9.5,591.14,55873
2023/06/27 09:11:34.891,UAVFrameProducer,None,input,53,-1,-1,0.0,7.96,921.74,0.0,9.53,64.02,54767
2023/06/27 09:11:35.013,UAVFrameProducer,None,input,52,-1,-1,0.0,8.93,921.74,0.0,9.5,585.29,55874
2023/06/27 09:11:35.236,UAVFrameProducer,None,input,54,-1,-1,9.0,19.36,921.74,0.0,9.5,391.98,55875
2023/06/27 09:11:35.314,UAVFrameProducer,None,input,55,-1,-1,0.0,11.48,921.74,0.0,9.51,390.78,55877
2023/06/27 09:11:35.409,UAVFrameProducer,None,input,57,-1,-1,0.0,7.02,921.74,0.0,9.43,128.36,54773
2023/06/27 09:11:35.416,UAVFrameProducer,None,input,56,-1,-1,0.0,6.02,921.74,0.0,9.5,363.54,55879
2023/06/27 09:11:35.623,UAVFrameProducer,None,input,58,-1,-1,12.01,30.94,921.74,0.0,9.43,322.42,55881
2023/06/27 09:11:35.632,UAVFrameProducer,None,input,59,-1,-1,0.0,7.93,921.74,0.0,9.45,289.88,54775
2023/06/27 09:11:35.703,UAVFrameProducer,None,input,60,-1,-1,8.0,19.06,921.74,0.91,9.45,340.76,54778
2023/06/27 09:11:35.707,UAVFrameProducer,None,input,61,-1,-1,0.0,21.22,921.74,0.0,9.45,263.03,55884
2023/06/27 09:11:35.791,UAVFrameProducer,None,input,62,-1,-1,11.35,19.4,921.74,0.0,9.45,321.28,55886
2023/06/27 09:11:35.874,UAVFrameProducer,None,input,64,-1,-1,0.0,10.85,921.74,0.0,9.47,136.74,54780
2023/06/27 09:11:35.882,UAVFrameProducer,None,input,63,-1,-1,0.0,16.66,921.74,0.0,9.47,223.23,55888
2023/06/27 09:11:36.019,UAVFrameProducer,None,input,65,-1,-1,15.06,19.56,921.74,0.0,9.48,251.75,54782
2023/06/27 09:11:36.023,UAVFrameProducer,None,input,67,-1,-1,0.0,16.19,921.74,0.0,9.47,107.1,55891
2023/06/27 09:11:36.175,UAVFrameProducer,None,input,66,-1,-1,11.21,17.86,921.74,0.0,9.47,384.89,54785
2023/06/27 09:11:36.180,UAVFrameProducer,None,input,68,-1,-1,8.01,20.59,921.74,0.0,9.46,239.71,55893
2023/06/27 09:11:36.334,UAVFrameProducer,None,input,69,-1,-1,8.04,17.04,921.74,0.0,9.46,373.16,55895
2023/06/27 09:11:36.342,UAVFrameProducer,None,input,70,-1,-1,0.0,12.99,921.74,0.0,9.49,289.5,54788
2023/06/27 09:11:36.440,UAVFrameProducer,None,input,71,-1,-1,8.45,16.81,921.74,0.0,9.48,363.71,54789
2023/06/27 09:11:36.450,UAVFrameProducer,None,input,72,-1,-1,0.0,13.99,921.74,0.0,9.48,234.85,55897
2023/06/27 09:11:36.531,UAVFrameProducer,None,input,73,-1,-1,9.59,21.3,921.74,0.0,9.48,293.12,54791
2023/06/27 09:11:36.575,UAVFrameProducer,None,input,74,-1,-1,0.0,19.63,921.74,0.0,9.46,206.06,55899
2023/06/27 09:11:36.667,UAVFrameProducer,None,input,75,-1,-1,9.7,19.49,921.74,0.0,9.47,275.74,54793
2023/06/27 09:11:36.672,UAVFrameProducer,None,input,76,-1,-1,0.0,20.88,921.74,0.0,9.49,191.38,55900
2023/06/27 09:11:36.756,UAVFrameProducer,None,input,77,-1,-1,8.55,22.76,921.74,0.0,9.49,251.15,54794
2023/06/27 09:11:36.835,UAVFrameProducer,None,input,78,-1,-1,0.0,9.98,921.74,0.0,9.52,275.52,54795
2023/06/27 09:11:36.931,UAVFrameProducer,None,input,79,-1,-1,0.0,10.63,921.74,0.0,9.52,223.71,54796
2023/06/27 09:11:37.002,UAVFrameProducer,None,input,80,-1,-1,0.0,4.94,921.74,0.0,9.53,216.61,54798
2023/06/27 09:11:37.101,UAVFrameProducer,None,input,82,-1,-1,0.0,9.0,921.74,0.0,9.51,142.62,55901
2023/06/27 09:11:37.108,UAVFrameProducer,None,input,81,-1,-1,0.0,10.58,921.74,0.0,9.52,239.72,54799
2023/06/27 09:11:37.210,UAVFrameProducer,None,input,83,-1,-1,14.3,16.0,921.74,0.0,9.51,230.61,55902
2023/06/27 09:11:37.252,UAVFrameProducer,None,input,84,-1,-1,8.0,13.0,921.74,0.0,9.51,252.41,54800
2023/06/27 09:11:37.322,UAVFrameProducer,None,input,85,-1,-1,0.0,16.15,921.74,0.0,9.51,295.92,55904
2023/06/27 09:11:37.372,UAVFrameProducer,None,input,87,-1,-1,0.0,5.84,921.74,0.0,9.41,123.12,54802
2023/06/27 09:11:37.448,UAVFrameProducer,None,input,86,-1,-1,0.0,18.97,921.74,0.0,9.48,300.1,55905
2023/06/27 09:11:37.541,UAVFrameProducer,None,input,88,-1,-1,17.74,30.12,921.74,0.0,9.41,262.09,54804
