time,battery_percentage
2023-06-27 02:11:28.693622,70
2023-06-27 02:11:29.694097,70
2023-06-27 02:11:30.694694,70
2023-06-27 02:11:31.695526,70
2023-06-27 02:11:32.696086,70
2023-06-27 02:11:33.696944,70
2023-06-27 02:11:34.698980,70
2023-06-27 02:11:35.699383,70
2023-06-27 02:11:36.701561,70
2023-06-27 02:11:37.702730,70
2023-06-27 02:11:38.703104,70
2023-06-27 02:11:39.703711,70
2023-06-27 02:11:40.705468,70
2023-06-27 02:11:41.706942,70
2023-06-27 02:11:42.711422,70
2023-06-27 02:11:43.714084,70
2023-06-27 02:11:44.715641,70
2023-06-27 02:11:45.716578,70
2023-06-27 02:11:46.716951,70
2023-06-27 02:11:47.719610,70
2023-06-27 02:11:48.725380,70
2023-06-27 02:11:49.725796,70
2023-06-27 02:11:50.726600,70
2023-06-27 02:11:51.731513,70
2023-06-27 02:11:52.733418,70
2023-06-27 02:11:53.733814,70
2023-06-27 02:11:54.734558,70
2023-06-27 02:11:55.736698,70
2023-06-27 02:11:56.737202,69
2023-06-27 02:11:57.737468,69
2023-06-27 02:11:58.751632,69
2023-06-27 02:11:59.752397,69
2023-06-27 02:12:00.753708,69
2023-06-27 02:12:01.754884,69
2023-06-27 02:12:02.755873,69
2023-06-27 02:12:03.764809,69
2023-06-27 02:12:04.769600,69
2023-06-27 02:12:05.772046,69
2023-06-27 02:12:06.776635,69
2023-06-27 02:12:07.780560,69
2023-06-27 02:12:08.781053,69
2023-06-27 02:12:09.786016,69
2023-06-27 02:12:10.786761,69
2023-06-27 02:12:11.787445,69
2023-06-27 02:12:12.787674,69
2023-06-27 02:12:13.788931,69
2023-06-27 02:12:14.790714,69
2023-06-27 02:12:15.795733,69
2023-06-27 02:12:16.796745,69
2023-06-27 02:12:17.798359,69
2023-06-27 02:12:18.801612,69
2023-06-27 02:12:19.802184,69
2023-06-27 02:12:20.802871,69
2023-06-27 02:12:21.804771,69
2023-06-27 02:12:22.805781,69
2023-06-27 02:12:23.806413,69
2023-06-27 02:12:24.812615,69
2023-06-27 02:12:25.813222,69
2023-06-27 02:12:26.813698,69
2023-06-27 02:12:27.816087,69
2023-06-27 02:12:28.817186,69
2023-06-27 02:12:29.818566,69
2023-06-27 02:12:30.823195,69
2023-06-27 02:12:31.825113,69
2023-06-27 02:12:32.825626,69
2023-06-27 02:12:33.826187,69
2023-06-27 02:12:34.831869,69
2023-06-27 02:12:35.833076,69
2023-06-27 02:12:36.833826,69
2023-06-27 02:12:37.836739,68
2023-06-27 02:12:38.854697,68
2023-06-27 02:12:39.860215,68
2023-06-27 02:12:40.861154,68
2023-06-27 02:12:41.862662,68
2023-06-27 02:12:42.865866,68
2023-06-27 02:12:43.885292,68
2023-06-27 02:12:44.888257,68
2023-06-27 02:12:45.895232,68
2023-06-27 02:12:46.897647,68
2023-06-27 02:12:47.900043,68
2023-06-27 02:12:48.900599,68
2023-06-27 02:12:49.900727,68
2023-06-27 02:12:50.901545,68
2023-06-27 02:12:51.903983,68
2023-06-27 02:12:52.904611,68
2023-06-27 02:12:53.905877,68
2023-06-27 02:12:54.906506,68
2023-06-27 02:12:55.907725,68
2023-06-27 02:12:56.908594,68
2023-06-27 02:12:57.909284,68
2023-06-27 02:12:58.909654,68
2023-06-27 02:12:59.911898,68
2023-06-27 02:13:00.912707,68
2023-06-27 02:13:01.925166,68
2023-06-27 02:13:02.926229,68
2023-06-27 02:13:03.928189,68
2023-06-27 02:13:04.928510,68
2023-06-27 02:13:05.936628,68
2023-06-27 02:13:06.937516,68
2023-06-27 02:13:07.938312,68
2023-06-27 02:13:08.938619,68
2023-06-27 02:13:09.939234,68
2023-06-27 02:13:10.939741,68
2023-06-27 02:13:11.940672,68
2023-06-27 02:13:12.942921,68
2023-06-27 02:13:13.944246,68
2023-06-27 02:13:14.950564,68
2023-06-27 02:13:15.951884,68
2023-06-27 02:13:16.967864,67
2023-06-27 02:13:17.968395,67
2023-06-27 02:13:18.970900,67
2023-06-27 02:13:19.971721,67
2023-06-27 02:13:20.971940,67
2023-06-27 02:13:21.972596,67
2023-06-27 02:13:22.974899,67
2023-06-27 02:13:23.976111,67
2023-06-27 02:13:24.981229,67
2023-06-27 02:13:25.981643,67
2023-06-27 02:13:26.982885,67
2023-06-27 02:13:27.985523,67
2023-06-27 02:13:28.986587,67
2023-06-27 02:13:29.986925,67
2023-06-27 02:13:30.987510,67
2023-06-27 02:13:32.056935,67
2023-06-27 02:13:33.057328,67
2023-06-27 02:13:34.059847,67
