asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 09:11:35.302,Client,final_uav_1,None,None,66783,1207.88,14.64,121423.41,68.53,0.0,68.53,1.0,None
2023/06/27 09:11:35.347,Client,final_uav_1,nan,nan,66784,847.13,6.92,41.17,69.66,0.0,69.66,0.53,nan
2023/06/27 09:11:35.403,Client,final_uav_1,nan,nan,66785,846.11,6.98,51.62,69.61,0.0,69.61,0.56,nan
2023/06/27 09:11:35.446,Client,final_uav_1,nan,nan,66786,859.55,6.33,39.63,69.83,0.0,69.83,0.53,nan
2023/06/27 09:11:35.499,Client,final_uav_1,nan,nan,66787,868.81,7.03,49.0,69.89,0.0,69.89,0.53,nan
2023/06/27 09:11:35.592,Client,final_uav_2,nan,nan,3472,4115.38,12.25,88.97,28.82,0.0,28.82,0.54,nan
2023/06/27 09:11:36.004,Client,final_uav_1,nan,nan,66788,1196.62,7.29,407.28,75.0,0.0,75.0,1.0,nan
2023/06/27 09:11:36.042,Client,final_uav_2,nan,nan,3473,3940.0,6.78,34.76,29.91,0.0,29.91,0.0,nan
2023/06/27 09:11:36.093,Client,final_uav_1,nan,nan,66789,825.68,9.17,47.23,77.16,0.0,77.16,1.0,nan
2023/06/27 09:11:36.141,Client,final_uav_2,nan,nan,3474,3968.66,5.29,45.11,35.17,0.0,35.17,0.99,nan
2023/06/27 09:11:36.181,Client,final_uav_2,nan,nan,3475,3956.0,4.21,36.93,35.73,0.0,35.73,1.0,nan
2023/06/27 09:11:36.234,Client,final_uav_2,nan,nan,3476,3893.5,5.76,50.5,33.53,0.0,33.53,0.52,nan
2023/06/27 09:11:36.276,Client,final_uav_1,nan,nan,66790,867.12,6.27,38.0,72.9,0.0,72.9,1.0,nan
2023/06/27 09:11:36.315,Client,final_uav_2,nan,nan,3477,3947.96,5.78,35.45,33.53,0.0,33.53,0.52,nan
2023/06/27 09:11:36.366,Client,final_uav_2,nan,nan,3478,3866.58,4.96,48.62,33.51,0.0,33.51,0.0,nan
2023/06/27 09:11:36.400,Client,final_uav_1,nan,nan,66791,812.47,5.16,30.13,72.5,0.0,72.5,1.07,nan
2023/06/27 09:11:36.443,Client,final_uav_2,nan,nan,3479,3924.71,6.12,39.18,33.51,0.0,33.51,0.53,nan
2023/06/27 09:11:36.478,Client,final_uav_1,nan,nan,66792,930.64,5.96,32.63,72.55,0.0,72.55,0.0,nan
2023/06/27 09:11:36.515,Client,final_uav_2,nan,nan,3480,3890.15,5.64,33.64,33.37,0.0,33.37,0.52,nan
2023/06/27 09:11:36.556,Client,final_uav_1,nan,nan,66793,868.46,10.23,35.02,70.44,0.0,70.44,1.01,nan
2023/06/27 09:11:36.588,Client,final_uav_2,nan,nan,3481,3937.03,5.69,23.98,28.07,0.0,28.07,0.62,nan
2023/06/27 09:11:36.628,Client,final_uav_1,nan,nan,66794,800.84,9.33,35.43,76.0,0.0,76.0,0.0,nan
2023/06/27 09:11:36.660,Client,final_uav_1,nan,nan,66795,875.29,8.84,27.52,71.45,0.0,71.45,0.0,nan
2023/06/27 09:11:36.707,Client,final_uav_2,nan,nan,3482,3944.81,4.33,42.47,33.95,0.0,33.95,0.0,nan
2023/06/27 09:11:36.781,Client,final_uav_1,nan,nan,66796,936.1,8.04,70.55,76.0,0.0,76.0,0.54,nan
2023/06/27 09:11:36.816,Client,final_uav_2,nan,nan,3483,4000.06,9.64,32.63,28.71,0.0,28.71,0.0,nan
2023/06/27 09:11:36.858,Client,final_uav_1,nan,nan,66797,980.11,9.94,37.3,75.69,0.0,75.69,0.0,nan
2023/06/27 09:11:36.900,Client,final_uav_1,nan,nan,66798,931.55,4.6,37.15,75.18,0.0,75.18,0.54,nan
2023/06/27 09:11:36.942,Client,final_uav_2,nan,nan,3484,3865.13,8.4,37.62,30.2,0.0,30.2,1.01,nan
2023/06/27 09:11:36.972,Client,final_uav_2,nan,nan,3485,3967.47,5.55,26.15,29.86,0.5,29.86,0.52,nan
2023/06/27 09:11:37.010,Client,final_uav_1,nan,nan,66799,822.94,4.3,33.53,71.89,0.0,71.89,1.0,nan
2023/06/27 09:11:37.064,Client,final_uav_2,nan,nan,3486,3901.01,5.59,50.21,36.55,0.01,36.55,0.57,nan
2023/06/27 09:11:37.104,Client,final_uav_1,nan,nan,66800,987.13,6.84,35.0,68.43,0.0,68.43,1.0,nan
2023/06/27 09:11:37.138,Client,final_uav_1,nan,nan,66801,841.88,6.09,29.18,67.64,0.0,67.64,0.53,nan
2023/06/27 09:11:37.175,Client,final_uav_2,nan,nan,3487,3975.37,6.18,33.91,31.67,0.0,31.67,0.0,nan
2023/06/27 09:11:37.210,Client,final_uav_1,nan,nan,66802,898.97,7.53,32.35,72.11,0.0,72.11,1.0,nan
2023/06/27 09:11:37.239,Client,final_uav_2,nan,nan,3488,3853.25,4.53,26.0,31.58,0.0,31.58,0.0,nan
2023/06/27 09:11:37.292,Client,final_uav_1,nan,nan,66803,947.53,9.71,49.19,72.87,0.0,72.87,1.0,nan
2023/06/27 09:11:37.325,Client,final_uav_2,nan,nan,3489,4065.63,8.82,30.11,30.79,0.0,30.79,1.0,nan
2023/06/27 09:11:37.357,Client,final_uav_2,nan,nan,3490,3941.38,5.82,29.0,31.58,0.0,31.58,0.0,nan
2023/06/27 09:11:37.435,Client,final_uav_1,nan,nan,66804,999.2,7.0,73.18,75.5,0.0,75.5,1.0,nan
2023/06/27 09:11:37.470,Client,final_uav_2,nan,nan,3491,4030.28,5.89,29.89,30.98,0.0,30.98,1.0,nan
2023/06/27 09:11:37.506,Client,final_uav_1,nan,nan,66805,835.9,4.66,31.77,74.36,0.0,74.36,0.0,nan
2023/06/27 09:11:37.564,Client,final_uav_1,nan,nan,66806,1035.76,7.73,54.08,72.08,0.0,72.08,0.0,nan
2023/06/27 09:11:37.594,Client,final_uav_2,nan,nan,3492,4090.1,6.73,26.0,31.11,0.0,31.11,1.0,nan
2023/06/27 09:11:37.636,Client,final_uav_2,nan,nan,3493,3848.89,5.75,39.01,30.89,0.0,30.89,0.0,nan
2023/06/27 09:11:37.673,Client,final_uav_1,nan,nan,66807,984.42,6.67,32.93,74.75,0.0,74.75,0.99,nan
2023/06/27 09:11:37.727,Client,final_uav_1,nan,nan,66808,853.9,19.95,49.29,77.11,0.0,77.11,1.0,nan
2023/06/27 09:11:37.785,Client,final_uav_2,nan,nan,3494,4098.19,5.85,54.81,37.18,0.0,37.18,0.0,nan
2023/06/27 09:11:37.826,Client,final_uav_2,nan,nan,3495,4007.5,5.91,33.06,31.37,0.0,31.37,1.02,nan
2023/06/27 09:11:37.864,Client,final_uav_1,nan,nan,66809,958.37,12.91,33.01,72.55,0.0,72.55,0.99,nan
