asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 02:11:35.297,LocalExecutor1,input,final_uav_1,1,54705,852.33,852.67,167135.05,18.87,338.43,68.52,12.73,66783
2023/06/27 02:11:35.347,LocalExecutor1,input,final_uav_1,11,55812,789.33,790.24,3.72,19.07,48.49,69.65,6.37,66784
2023/06/27 02:11:35.403,LocalExecutor1,input,final_uav_1,13,54712,786.21,786.18,54.31,19.1,50.0,69.59,7.93,66785
2023/06/27 02:11:35.446,LocalExecutor1,input,final_uav_1,14,54714,810.89,810.73,24.93,19.14,40.62,69.81,6.45,66786
2023/06/27 02:11:35.500,LocalExecutor1,input,final_uav_1,16,54715,811.97,798.74,31.49,19.19,47.13,69.88,7.33,66787
2023/06/27 02:11:35.593,LocalExecutor1,input,final_uav_2,4,54716,4016.84,3916.77,25.85,9.4,84.35,28.8,12.7,3472
2023/06/27 02:11:36.003,LocalExecutor1,input,final_uav_1,22,54718,774.69,775.45,39.61,19.23,412.61,74.98,6.66,66788
2023/06/27 02:11:36.043,LocalExecutor1,input,final_uav_2,14,54731,3895.99,3875.85,1.62,9.52,35.62,29.9,7.04,3473
2023/06/27 02:11:36.093,LocalExecutor1,input,final_uav_1,36,55830,770.95,771.51,0.99,19.98,43.87,77.14,9.38,66789
2023/06/27 02:11:36.142,LocalExecutor1,input,final_uav_2,16,54733,3912.54,3875.25,14.96,9.53,48.87,35.16,5.6,3474
2023/06/27 02:11:36.181,LocalExecutor1,input,final_uav_2,17,55832,3914.01,3896.27,0.16,9.56,35.56,35.71,5.27,3475
2023/06/27 02:11:36.236,LocalExecutor1,input,final_uav_2,19,54735,3836.32,3836.63,0.12,9.31,49.63,33.52,6.64,3476
2023/06/27 02:11:36.276,LocalExecutor1,input,final_uav_1,40,54736,822.69,811.91,0.95,19.98,35.9,72.89,6.03,66790
2023/06/27 02:11:36.315,LocalExecutor1,input,final_uav_2,20,55835,3904.29,3834.2,37.6,9.31,36.74,33.52,5.33,3477
2023/06/27 02:11:36.366,LocalExecutor1,input,final_uav_2,22,54737,3813.06,3812.5,32.71,9.35,46.51,33.49,6.11,3478
2023/06/27 02:11:36.401,LocalExecutor1,input,final_uav_1,44,54738,775.02,775.77,6.01,19.98,28.51,72.48,7.11,66791
2023/06/27 02:11:36.443,LocalExecutor1,input,final_uav_2,23,55839,3879.05,3849.55,0.07,9.35,36.77,33.49,6.06,3479
2023/06/27 02:11:36.479,LocalExecutor1,input,final_uav_1,43,55840,891.35,862.74,8.78,19.99,31.5,72.53,5.64,66792
