time,battery_percentage
2023-06-26 09:25:23.920977,33
2023-06-26 09:25:24.923402,33
2023-06-26 09:25:25.924520,33
2023-06-26 09:25:26.934488,33
2023-06-26 09:25:27.935142,33
2023-06-26 09:25:28.939739,33
2023-06-26 09:25:29.940714,33
2023-06-26 09:25:30.941558,33
2023-06-26 09:25:31.953474,33
2023-06-26 09:25:32.954733,33
2023-06-26 09:25:33.955378,33
2023-06-26 09:25:34.956581,33
2023-06-26 09:25:35.963507,33
2023-06-26 09:25:36.963934,33
2023-06-26 09:25:37.965691,33
2023-06-26 09:25:38.968786,33
2023-06-26 09:25:39.976029,33
2023-06-26 09:25:40.977104,33
2023-06-26 09:25:41.978865,33
2023-06-26 09:25:42.979331,33
2023-06-26 09:25:44.024976,32
2023-06-26 09:25:45.025721,32
2023-06-26 09:25:46.028353,32
2023-06-26 09:25:47.032859,32
2023-06-26 09:25:48.034562,32
2023-06-26 09:25:49.035643,32
2023-06-26 09:25:50.035920,32
2023-06-26 09:25:51.036744,32
2023-06-26 09:25:52.038105,32
2023-06-26 09:25:53.039237,32
2023-06-26 09:25:54.040411,32
2023-06-26 09:25:55.044552,32
2023-06-26 09:25:56.045796,32
2023-06-26 09:25:57.046446,32
2023-06-26 09:25:58.047017,32
2023-06-26 09:25:59.047379,32
2023-06-26 09:26:00.048797,32
2023-06-26 09:26:01.053477,32
2023-06-26 09:26:02.054409,32
2023-06-26 09:26:03.054744,32
2023-06-26 09:26:04.055639,32
2023-06-26 09:26:05.056460,32
2023-06-26 09:26:06.059032,32
2023-06-26 09:26:07.059891,32
2023-06-26 09:26:08.061894,32
2023-06-26 09:26:09.067635,32
2023-06-26 09:26:10.068272,32
2023-06-26 09:26:11.068851,32
2023-06-26 09:26:12.073420,32
2023-06-26 09:26:13.074508,32
2023-06-26 09:26:14.078233,32
2023-06-26 09:26:15.081025,32
2023-06-26 09:26:16.083356,32
2023-06-26 09:26:17.083879,32
2023-06-26 09:26:18.085691,32
2023-06-26 09:26:19.086254,32
