asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 16:25:05.958,Client,final_uav_1,None,None,12771,4733.56,11.61,92646.51,44.64,0.0,44.64,1.0,None
2023/06/26 16:25:05.995,Client,final_uav_1,nan,nan,12772,4715.85,3.48,31.88,44.98,0.0,44.98,0.0,nan
2023/06/26 16:25:06.040,Client,final_uav_1,nan,nan,12773,4466.15,3.04,40.57,43.79,0.0,43.79,0.0,nan
2023/06/26 16:25:06.085,Client,final_uav_1,nan,nan,12774,4449.55,3.35,42.3,44.12,0.0,44.12,0.0,nan
2023/06/26 16:25:06.129,Client,final_uav_1,nan,nan,12775,4420.73,3.61,41.26,37.42,0.0,37.42,0.0,nan
2023/06/26 16:25:06.178,Client,final_uav_1,nan,nan,12776,4447.05,4.07,44.37,37.42,0.0,37.42,0.53,nan
2023/06/26 16:25:06.223,Client,final_uav_1,nan,nan,12777,4459.81,4.04,38.15,41.91,0.0,41.91,1.0,nan
2023/06/26 16:25:06.266,Client,final_uav_1,nan,nan,12778,4456.04,2.65,40.06,44.0,0.0,44.0,0.0,nan
2023/06/26 16:25:06.312,Client,final_uav_1,nan,nan,12779,4466.15,4.0,42.13,44.0,0.0,44.0,0.0,nan
2023/06/26 16:25:06.357,Client,final_uav_1,nan,nan,12780,4471.21,2.33,41.37,44.12,0.0,44.12,0.0,nan
2023/06/26 16:25:06.401,Client,final_uav_1,nan,nan,12781,4493.7,3.13,43.28,45.44,0.0,45.44,0.01,nan
2023/06/26 16:25:06.450,Client,final_uav_1,nan,nan,12782,4511.77,4.47,44.04,45.52,0.0,45.52,0.61,nan
2023/06/26 16:25:06.494,Client,final_uav_1,nan,nan,12783,4508.27,3.81,40.53,44.48,0.0,44.48,0.53,nan
2023/06/26 16:25:06.541,Client,final_uav_1,nan,nan,12784,4526.56,4.27,42.72,45.25,0.0,45.25,0.0,nan
2023/06/26 16:25:06.583,Client,final_uav_1,nan,nan,12785,4498.75,2.78,40.88,44.12,0.0,44.12,1.0,nan
2023/06/26 16:25:06.634,Client,final_uav_1,nan,nan,12786,4523.2,3.85,45.99,45.41,0.0,45.41,0.52,nan
2023/06/26 16:25:06.674,Client,final_uav_1,nan,nan,12787,4522.24,3.03,36.86,44.58,0.0,44.58,0.0,nan
2023/06/26 16:25:06.720,Client,final_uav_1,nan,nan,12788,4548.84,3.2,44.19,44.58,0.0,44.58,0.0,nan
2023/06/26 16:25:06.767,Client,final_uav_1,nan,nan,12789,4568.06,3.95,43.45,45.58,0.0,45.58,0.03,nan
2023/06/26 16:25:06.814,Client,final_uav_1,nan,nan,12790,4591.71,4.23,40.51,45.46,0.0,45.46,0.95,nan
2023/06/26 16:25:06.865,Client,final_uav_1,nan,nan,12791,4602.26,3.36,47.13,44.17,0.0,44.17,0.0,nan
2023/06/26 16:25:06.903,Client,final_uav_1,nan,nan,12792,4622.78,2.6,35.73,44.17,0.0,44.17,0.53,nan
2023/06/26 16:25:06.950,Client,final_uav_1,nan,nan,12793,4640.44,5.1,43.88,43.74,0.0,43.74,0.0,nan
2023/06/26 16:25:06.993,Client,final_uav_1,nan,nan,12794,4611.29,3.54,40.49,44.05,0.0,44.05,0.0,nan
