asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 09:25:02.297,CloudExecutor,preprocessed,result,2,2075,703.13,17.91,289733.54,307.33,295.38,0.32,15.54,1162
2023/06/26 09:25:02.410,CloudExecutor,preprocessed,result,10,2078,577.15,82.13,88.03,307.33,116.2,0.32,6.17,1163
2023/06/26 09:25:02.555,CloudExecutor,preprocessed,result,11,2079,676.53,109.11,98.23,307.33,135.69,0.32,11.81,1164
2023/06/26 09:25:02.666,CloudExecutor,preprocessed,result,12,2080,784.52,153.83,99.2,307.33,113.11,0.32,6.39,1165
2023/06/26 09:25:02.786,CloudExecutor,preprocessed,result,17,2082,754.16,73.69,84.84,307.33,115.76,0.32,6.22,1166
2023/06/26 09:25:02.912,CloudExecutor,preprocessed,result,18,2083,844.39,96.16,98.81,307.33,121.56,0.32,6.66,1167
2023/06/26 09:25:03.035,CloudExecutor,preprocessed,result,20,2084,893.81,124.61,89.26,307.33,120.23,0.32,6.57,1168
2023/06/26 09:25:03.186,CloudExecutor,preprocessed,result,23,2086,921.78,61.52,94.96,307.33,142.17,0.32,10.16,1169
2023/06/26 09:25:03.311,CloudExecutor,preprocessed,result,26,2087,978.53,108.51,93.36,307.33,123.74,0.32,8.35,1170
2023/06/26 09:25:03.449,CloudExecutor,preprocessed,result,27,2088,1084.33,140.94,103.15,307.33,132.55,0.32,10.12,1171
2023/06/26 09:25:03.569,CloudExecutor,preprocessed,result,36,2090,869.9,86.21,94.0,307.33,114.02,0.32,11.78,1172
2023/06/26 09:25:03.697,CloudExecutor,preprocessed,result,37,2091,956.13,105.99,99.43,307.33,127.75,0.32,8.69,1173
2023/06/26 09:25:03.816,CloudExecutor,preprocessed,result,38,2092,1065.41,139.54,89.01,307.33,117.36,0.32,7.55,1174
2023/06/26 09:25:03.957,CloudExecutor,preprocessed,result,42,2094,1085.82,65.57,98.85,307.33,134.6,0.32,9.34,1175
2023/06/26 09:25:04.078,CloudExecutor,preprocessed,result,43,2095,1198.28,108.91,88.55,307.33,115.39,0.32,10.45,1176
2023/06/26 09:25:04.206,CloudExecutor,preprocessed,result,45,2096,1226.64,134.2,91.94,307.33,121.22,0.32,13.06,1177
2023/06/26 09:25:04.316,CloudExecutor,preprocessed,result,47,2097,1300.34,161.23,100.1,307.33,114.14,0.32,6.92,1178
2023/06/26 09:25:04.457,CloudExecutor,preprocessed,result,49,2099,1350.63,80.08,84.88,307.33,133.81,0.32,9.51,1179
2023/06/26 09:25:04.581,CloudExecutor,preprocessed,result,51,2100,1426.88,122.68,98.0,307.33,115.53,0.32,13.68,1180
2023/06/26 09:25:04.700,CloudExecutor,preprocessed,result,52,2101,1515.39,148.47,90.82,307.33,121.99,0.32,7.94,1181
2023/06/26 09:25:04.830,CloudExecutor,preprocessed,result,55,2103,1514.71,79.29,86.74,307.33,118.57,0.32,13.84,1182
2023/06/26 09:25:04.954,CloudExecutor,preprocessed,result,56,2104,1603.1,107.76,97.03,307.33,123.92,0.32,10.42,1183
2023/06/26 09:25:05.074,CloudExecutor,preprocessed,result,58,2105,1659.55,142.5,91.39,307.33,118.22,0.32,8.21,1184
2023/06/26 09:25:05.215,CloudExecutor,preprocessed,result,62,2107,1662.22,72.59,95.35,307.33,135.08,0.32,6.52,1185
2023/06/26 09:25:05.345,CloudExecutor,preprocessed,result,63,2108,1768.07,116.56,85.89,307.33,126.65,0.32,10.39,1186
2023/06/26 09:25:05.475,CloudExecutor,preprocessed,result,68,2110,1761.16,54.98,91.12,307.33,129.31,0.32,7.57,1187
2023/06/26 09:25:05.597,CloudExecutor,preprocessed,result,69,2111,1877.12,95.0,95.89,307.33,115.5,0.32,9.9,1188
2023/06/26 09:25:05.733,CloudExecutor,preprocessed,result,72,2112,1885.62,117.45,92.49,307.33,134.37,0.32,7.38,1189
2023/06/26 09:25:05.862,CloudExecutor,preprocessed,result,76,2114,1949.44,67.6,92.65,307.33,122.65,0.32,9.65,1190
2023/06/26 09:25:06.001,CloudExecutor,preprocessed,result,82,2115,1849.52,98.95,98.76,307.33,135.37,0.32,10.14,1191
2023/06/26 09:25:06.120,CloudExecutor,preprocessed,result,83,2116,1969.7,142.12,96.1,307.33,113.95,0.32,10.98,1192
2023/06/26 09:25:06.245,CloudExecutor,preprocessed,result,86,2118,2018.94,58.74,95.46,307.33,124.84,0.32,7.88,1193
2023/06/26 09:25:06.371,CloudExecutor,preprocessed,result,89,2119,2049.67,92.46,92.01,307.33,119.64,0.32,9.9,1194
2023/06/26 09:25:06.510,CloudExecutor,preprocessed,result,91,2120,2110.47,120.93,92.02,307.33,132.35,0.32,12.37,1195
2023/06/26 09:25:06.623,CloudExecutor,preprocessed,result,94,2122,2144.39,69.07,94.21,307.33,115.26,0.32,7.36,1196
2023/06/26 09:25:06.761,CloudExecutor,preprocessed,result,95,2123,2238.44,84.19,103.3,307.33,133.37,0.32,7.87,1197
2023/06/26 09:25:06.887,CloudExecutor,preprocessed,result,98,2124,2278.52,123.51,99.53,307.33,118.28,0.32,10.98,1198
2023/06/26 09:25:07.021,CloudExecutor,preprocessed,result,101,2125,2306.72,150.58,92.01,307.33,131.99,0.32,9.87,1199
2023/06/26 09:25:07.133,CloudExecutor,preprocessed,result,106,2127,2296.75,86.27,92.75,307.33,112.03,0.32,6.51,1200
2023/06/26 09:25:07.266,CloudExecutor,preprocessed,result,110,2128,2231.49,106.02,88.58,307.33,123.97,0.32,11.25,1201
