asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 16:25:02.444,LocalForwarder2,result,result,2,1162,1157.84,156.54,152749.03,0.32,0.02,0.32,5.46,2039
2023/06/26 16:25:02.555,LocalForwarder2,result,result,10,1163,840.65,146.67,108.98,0.32,0.01,0.32,4.07,2041
2023/06/26 16:25:02.695,LocalForwarder2,result,result,11,1164,959.41,146.03,136.52,0.32,0.02,0.32,5.04,2044
2023/06/26 16:25:02.807,LocalForwarder2,result,result,12,1165,1043.32,144.63,112.26,0.32,0.01,0.32,2.42,2046
2023/06/26 16:25:02.927,LocalForwarder2,result,result,17,1166,1015.59,145.09,117.47,0.32,0.01,0.32,3.18,2050
2023/06/26 16:25:03.054,LocalForwarder2,result,result,18,1167,1113.1,146.9,124.63,0.32,0.01,0.32,3.19,2053
2023/06/26 16:25:03.180,LocalForwarder2,result,result,20,1168,1160.27,146.06,121.0,0.32,0.03,0.32,3.51,2057
2023/06/26 16:25:03.325,LocalForwarder2,result,result,23,1169,1210.81,146.55,143.62,0.32,0.01,0.32,4.54,2059
2023/06/26 16:25:03.462,LocalForwarder2,result,result,26,1170,1251.24,148.21,126.54,0.32,0.03,0.32,10.93,2062
2023/06/26 16:25:03.590,LocalForwarder2,result,result,27,1171,1364.23,146.86,131.53,0.32,0.01,0.32,4.44,2064
2023/06/26 16:25:03.708,LocalForwarder2,result,result,36,1172,1134.25,149.53,118.15,0.32,0.01,0.32,2.92,2066
2023/06/26 16:25:03.837,LocalForwarder2,result,result,37,1173,1229.71,145.55,124.88,0.32,0.01,0.32,4.01,2068
2023/06/26 16:25:03.959,LocalForwarder2,result,result,38,1174,1328.67,144.82,118.48,0.32,0.02,0.32,4.64,2071
2023/06/26 16:25:04.097,LocalForwarder2,result,result,42,1175,1366.67,145.45,135.36,0.32,0.01,0.32,4.27,2074
2023/06/26 16:25:04.219,LocalForwarder2,result,result,43,1176,1461.48,147.23,116.61,0.32,0.03,0.32,5.39,2078
2023/06/26 16:25:04.339,LocalForwarder2,result,result,45,1177,1494.24,145.76,120.29,0.32,0.01,0.32,2.52,2082
2023/06/26 16:25:04.459,LocalForwarder2,result,result,47,1178,1560.46,145.38,115.4,0.32,0.01,0.32,4.48,2085
2023/06/26 16:25:04.595,LocalForwarder2,result,result,49,1179,1630.64,145.1,135.09,0.32,0.01,0.32,3.32,2089
2023/06/26 16:25:04.724,LocalForwarder2,result,result,51,1180,1697.07,153.95,125.16,0.32,0.03,0.32,3.47,2092
2023/06/26 16:25:04.842,LocalForwarder2,result,result,52,1181,1784.46,146.5,116.03,0.32,0.01,0.32,3.33,2094
2023/06/26 16:25:04.969,LocalForwarder2,result,result,55,1182,1785.75,151.37,125.7,0.32,0.01,0.32,3.06,2097
2023/06/26 16:25:05.094,LocalForwarder2,result,result,56,1183,1873.99,146.67,119.59,0.32,0.02,0.32,5.36,2101
2023/06/26 16:25:05.215,LocalForwarder2,result,result,58,1184,1923.67,145.59,118.03,0.32,0.01,0.32,6.09,2104
2023/06/26 16:25:05.353,LocalForwarder2,result,result,62,1185,1944.33,146.68,137.72,0.32,0.01,0.32,3.41,2107
2023/06/26 16:25:05.487,LocalForwarder2,result,result,63,1186,2041.06,146.05,127.22,0.32,0.03,0.32,4.95,2111
2023/06/26 16:25:05.618,LocalForwarder2,result,result,68,1187,2039.02,147.85,129.34,0.32,0.01,0.32,3.39,2114
2023/06/26 16:25:05.737,LocalForwarder2,result,result,69,1188,2140.92,147.78,116.82,0.32,0.01,0.32,3.12,2117
2023/06/26 16:25:05.878,LocalForwarder2,result,result,72,1189,2166.7,146.52,134.59,0.32,0.01,0.32,6.96,2120
2023/06/26 16:25:06.002,LocalForwarder2,result,result,76,1190,2219.25,146.42,124.35,0.32,0.01,0.32,4.24,2123
2023/06/26 16:25:06.140,LocalForwarder2,result,result,82,1191,2130.57,144.96,135.04,0.32,0.01,0.32,3.93,2125
2023/06/26 16:25:06.261,LocalForwarder2,result,result,83,1192,2233.41,148.82,119.36,0.32,0.01,0.32,3.6,2128
2023/06/26 16:25:06.385,LocalForwarder2,result,result,86,1193,2290.86,146.64,123.52,0.32,0.01,0.32,2.9,2129
2023/06/26 16:25:06.517,LocalForwarder2,result,result,89,1194,2320.01,149.8,124.91,0.32,0.01,0.32,6.69,2130
2023/06/26 16:25:06.653,LocalForwarder2,result,result,91,1195,2390.04,146.53,130.04,0.32,0.01,0.32,10.0,2132
2023/06/26 16:25:06.768,LocalForwarder2,result,result,94,1196,2408.28,147.99,117.31,0.32,0.02,0.32,4.48,2134
2023/06/26 16:25:06.902,LocalForwarder2,result,result,95,1197,2518.23,145.97,131.84,0.32,0.01,0.32,3.4,2136
2023/06/26 16:25:07.026,LocalForwarder2,result,result,98,1198,2543.75,145.74,120.51,0.32,0.01,0.32,4.53,2137
2023/06/26 16:25:07.165,LocalForwarder2,result,result,101,1199,2584.76,145.61,132.42,0.32,0.01,0.32,9.56,2138
2023/06/26 16:25:07.277,LocalForwarder2,result,result,106,1200,2554.72,145.25,113.07,0.32,0.01,0.32,5.21,2140
2023/06/26 16:25:07.404,LocalForwarder2,result,result,110,1201,2501.69,145.24,124.77,0.32,0.01,0.32,3.87,2142
2023/06/26 16:25:07.529,LocalForwarder2,result,result,111,1202,2608.48,150.71,120.95,0.32,0.02,0.32,5.98,2144
2023/06/26 16:25:07.658,LocalForwarder2,result,result,116,1203,2621.54,145.26,127.04,0.32,0.01,0.32,4.18,2148
