asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 16:25:01.962,LocalPreprocessor,input,preprocessed,2,13472,631.19,631.47,149795.45,11.25,34.84,307.36,11.19,0
2023/06/26 16:25:01.993,LocalPreprocessor,input,preprocessed,5,13473,516.58,517.63,71.48,11.39,6.55,307.36,5.17,1
2023/06/26 16:25:02.075,LocalPreprocessor,input,preprocessed,6,13474,574.5,532.86,86.4,11.4,4.17,307.36,4.48,2
2023/06/26 16:25:02.188,LocalPreprocessor,input,preprocessed,10,13475,466.25,467.19,109.91,9.3,6.64,307.36,4.66,3
2023/06/26 16:25:02.253,LocalPreprocessor,input,preprocessed,11,13476,510.33,509.92,64.61,9.3,3.53,307.36,7.16,4
2023/06/26 16:25:02.323,LocalPreprocessor,input,preprocessed,12,13477,549.41,511.71,70.6,10.56,6.47,307.36,4.3,5
2023/06/26 16:25:02.385,LocalPreprocessor,input,preprocessed,15,13478,504.92,504.79,60.5,11.2,4.29,307.36,7.73,6
2023/06/26 16:25:02.431,LocalPreprocessor,input,preprocessed,17,13479,510.6,491.14,47.14,11.29,4.83,307.36,5.49,7
2023/06/26 16:25:02.494,LocalPreprocessor,input,preprocessed,18,13480,546.28,508.05,65.21,11.3,3.4,307.36,5.55,8
2023/06/26 16:25:02.530,LocalPreprocessor,input,preprocessed,20,13481,504.96,479.74,34.64,11.22,5.75,307.36,4.62,9
2023/06/26 16:25:02.603,LocalPreprocessor,input,preprocessed,21,13482,539.86,510.6,67.1,11.2,4.73,307.36,10.14,10
2023/06/26 16:25:02.661,LocalPreprocessor,input,preprocessed,23,13483,540.49,506.2,63.96,11.23,5.59,307.36,4.81,11
2023/06/26 16:25:02.705,LocalPreprocessor,input,preprocessed,26,13484,496.47,496.43,44.28,11.23,4.46,307.36,4.3,12
2023/06/26 16:25:02.797,LocalPreprocessor,input,preprocessed,27,13485,562.95,532.58,87.83,11.27,6.56,307.36,5.37,13
2023/06/26 16:25:03.005,LocalPreprocessor,input,preprocessed,34,13486,464.74,465.5,211.05,11.2,4.47,307.36,5.16,14
2023/06/26 16:25:03.076,LocalPreprocessor,input,preprocessed,36,13487,494.79,495.08,71.6,11.17,3.21,307.36,5.44,15
2023/06/26 16:25:03.096,LocalPreprocessor,input,preprocessed,37,13488,484.95,468.8,21.73,11.31,4.39,307.36,4.01,16
2023/06/26 16:25:03.154,LocalPreprocessor,input,preprocessed,38,13489,516.49,490.62,53.78,11.31,6.05,307.36,4.89,17
2023/06/26 16:25:03.196,LocalPreprocessor,input,preprocessed,41,13490,482.06,482.73,44.87,9.32,3.95,307.36,4.42,18
2023/06/26 16:25:03.258,LocalPreprocessor,input,preprocessed,42,13491,524.6,505.39,63.09,9.32,3.74,307.36,3.96,19
2023/06/26 16:25:03.321,LocalPreprocessor,input,preprocessed,43,13492,555.54,501.15,57.19,10.49,3.64,307.36,9.54,20
2023/06/26 16:25:03.370,LocalPreprocessor,input,preprocessed,45,13493,518.96,496.52,53.62,11.19,4.29,307.36,3.91,21
2023/06/26 16:25:03.403,LocalPreprocessor,input,preprocessed,47,13494,501.49,479.4,33.94,11.25,3.89,307.36,3.78,22
2023/06/26 16:25:03.456,LocalPreprocessor,input,preprocessed,48,13495,517.89,491.36,46.82,11.26,8.08,307.36,4.83,23
2023/06/26 16:25:03.498,LocalPreprocessor,input,preprocessed,49,13496,526.03,487.49,45.12,11.39,5.08,307.36,4.73,24
2023/06/26 16:25:03.561,LocalPreprocessor,input,preprocessed,51,13497,528.22,506.02,63.11,11.25,4.23,307.36,4.57,25
2023/06/26 16:25:03.621,LocalPreprocessor,input,preprocessed,52,13498,555.82,501.93,58.85,11.25,6.84,307.36,3.9,26
2023/06/26 16:25:03.661,LocalPreprocessor,input,preprocessed,54,13499,520.67,483.37,41.18,11.25,4.67,307.36,4.69,27
2023/06/26 16:25:03.705,LocalPreprocessor,input,preprocessed,55,13500,516.73,489.28,46.28,11.2,3.79,307.36,3.42,28
2023/06/26 16:25:03.772,LocalPreprocessor,input,preprocessed,56,13501,550.91,511.54,67.97,11.16,3.21,307.36,3.32,29
2023/06/26 16:25:03.838,LocalPreprocessor,input,preprocessed,58,13502,539.33,503.3,59.5,11.13,4.22,307.36,7.37,30
2023/06/26 16:25:03.881,LocalPreprocessor,input,preprocessed,61,13503,491.86,492.2,44.98,11.15,3.09,307.36,7.36,31
2023/06/26 16:25:03.930,LocalPreprocessor,input,preprocessed,62,13504,517.0,495.35,51.76,11.27,3.48,307.36,3.5,32
2023/06/26 16:25:03.993,LocalPreprocessor,input,preprocessed,63,13505,545.2,505.64,61.09,11.17,3.98,307.36,4.45,33
2023/06/26 16:25:04.040,LocalPreprocessor,input,preprocessed,67,13506,468.36,469.02,46.0,11.22,3.22,307.36,5.97,34
2023/06/26 16:25:04.102,LocalPreprocessor,input,preprocessed,68,13507,515.77,506.59,60.66,11.22,4.89,307.36,4.76,35
2023/06/26 16:25:04.154,LocalPreprocessor,input,preprocessed,69,13508,549.62,484.48,51.78,11.2,7.11,307.36,4.21,36
2023/06/26 16:25:04.201,LocalPreprocessor,input,preprocessed,72,13509,488.46,489.26,49.41,9.3,4.12,307.36,3.98,37
2023/06/26 16:25:04.253,LocalPreprocessor,input,preprocessed,74,13510,505.87,489.25,48.03,10.44,3.61,307.36,7.24,38
2023/06/26 16:25:04.292,LocalPreprocessor,input,preprocessed,76,13511,500.62,477.76,38.17,11.0,8.96,307.36,4.15,39
2023/06/26 16:25:04.492,LocalPreprocessor,input,preprocessed,82,13512,466.3,466.78,190.92,11.21,4.5,307.36,14.09,40
2023/06/26 16:25:04.532,LocalPreprocessor,input,preprocessed,83,13513,497.37,497.81,50.04,11.21,5.11,307.36,5.02,41
