asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 09:32:49.947,UAVFrameProducer,None,input,1,-1,-1,0.0,4.02,921.74,0.86,18.17,274.37,56180
2023/06/27 09:32:50.018,UAVFrameProducer,None,input,3,-1,-1,43.98,22.81,921.74,0.0,17.83,230.7,56181
2023/06/27 09:32:50.023,UAVFrameProducer,None,input,2,-1,-1,34.82,94.72,921.74,0.0,18.22,299.21,57339
2023/06/27 09:32:50.098,UAVFrameProducer,None,input,4,-1,-1,13.94,19.46,921.74,0.0,17.99,249.37,56182
2023/06/27 09:32:50.104,UAVFrameProducer,None,input,5,-1,-1,0.0,9.01,921.74,0.0,17.91,129.9,57340
2023/06/27 09:32:50.241,UAVFrameProducer,None,input,6,-1,-1,19.82,14.0,921.74,0.0,18.0,239.02,57341
2023/06/27 09:32:50.247,UAVFrameProducer,None,input,7,-1,-1,1.01,9.03,921.74,0.0,18.17,183.21,56183
2023/06/27 09:32:50.315,UAVFrameProducer,None,input,8,-1,-1,14.1,16.38,921.74,0.0,17.72,227.14,56184
2023/06/27 09:32:50.348,UAVFrameProducer,None,input,10,-1,-1,0.0,22.95,921.74,0.0,13.06,74.69,57342
2023/06/27 09:32:50.379,UAVFrameProducer,None,input,9,-1,-1,0.0,12.0,921.74,0.0,14.34,225.99,56185
2023/06/27 09:32:50.417,UAVFrameProducer,None,input,11,-1,-1,22.59,15.31,921.74,0.0,12.82,106.29,57343
2023/06/27 09:32:50.431,UAVFrameProducer,None,input,13,-1,-1,0.0,14.35,921.74,0.0,13.35,63.21,56186
2023/06/27 09:32:50.478,UAVFrameProducer,None,input,12,-1,-1,24.42,19.22,921.74,0.0,13.52,134.91,57344
2023/06/27 09:32:50.501,UAVFrameProducer,None,input,14,-1,-1,13.38,11.91,921.74,0.0,13.45,114.52,56187
2023/06/27 09:32:50.540,UAVFrameProducer,None,input,15,-1,-1,17.82,14.54,921.74,0.0,13.45,124.82,57345
2023/06/27 09:32:50.544,UAVFrameProducer,None,input,16,-1,-1,0.0,6.04,921.74,0.0,13.11,92.91,56188
2023/06/27 09:32:50.589,UAVFrameProducer,None,input,17,-1,-1,17.23,11.96,921.74,0.0,13.29,111.84,57346
2023/06/27 09:32:50.610,UAVFrameProducer,None,input,19,-1,-1,0.0,6.99,921.74,0.97,13.27,44.46,56189
2023/06/27 09:32:50.630,UAVFrameProducer,None,input,18,-1,-1,0.0,11.99,921.74,0.0,13.32,118.33,57347
2023/06/27 09:32:50.689,UAVFrameProducer,None,input,20,-1,-1,7.11,12.51,921.74,0.0,13.27,109.73,57348
2023/06/27 09:32:50.741,UAVFrameProducer,None,input,21,-1,-1,0.0,4.01,921.74,0.0,13.22,133.33,57349
2023/06/27 09:32:50.745,UAVFrameProducer,None,input,22,-1,-1,0.0,5.03,921.74,0.0,13.16,91.73,56190
2023/06/27 09:32:50.799,UAVFrameProducer,None,input,23,-1,-1,6.52,12.08,921.74,0.0,13.16,129.97,57350
2023/06/27 09:32:50.801,UAVFrameProducer,None,input,24,-1,-1,0.0,3.98,921.74,0.0,13.14,90.19,56191
2023/06/27 09:32:50.877,UAVFrameProducer,None,input,25,-1,-1,7.05,12.0,921.74,0.0,13.15,146.67,56192
2023/06/27 09:32:50.879,UAVFrameProducer,None,input,26,-1,-1,0.0,6.56,921.74,0.0,13.07,111.21,57351
2023/06/27 09:32:50.915,UAVFrameProducer,None,input,27,-1,-1,7.62,17.02,921.74,0.0,13.07,132.35,57352
2023/06/27 09:32:50.918,UAVFrameProducer,None,input,28,-1,-1,0.0,7.92,921.74,0.0,13.0,80.14,56193
2023/06/27 09:32:50.954,UAVFrameProducer,None,input,29,-1,-1,20.96,11.96,921.74,0.0,12.98,86.31,56194
2023/06/27 09:32:51.001,UAVFrameProducer,None,input,30,-1,-1,0.0,6.89,921.74,0.0,13.03,101.4,56195
2023/06/27 09:32:51.049,UAVFrameProducer,None,input,31,-1,-1,0.0,5.81,921.74,0.0,13.03,110.37,56196
