asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 02:32:51.872,LocalExecutor2,input,result,2,57339,991.64,991.98,125199.29,18.22,1129.4,70.41,21.0,70953
2023/06/27 02:32:51.945,LocalExecutor2,input,result,34,57353,783.08,782.22,200.34,12.99,79.07,43.34,10.37,70955
2023/06/27 02:32:51.993,LocalExecutor2,input,result,36,57354,817.66,817.76,57.83,13.03,43.51,43.44,7.48,70956
2023/06/27 02:32:52.046,LocalExecutor2,input,result,37,57355,847.91,831.38,62.98,13.0,47.02,42.95,10.51,70958
2023/06/27 02:32:52.097,LocalExecutor2,input,result,38,57356,876.38,837.93,68.19,13.04,45.95,43.44,9.06,70959
2023/06/27 02:32:52.148,LocalExecutor2,input,result,41,57357,829.19,809.44,46.91,13.02,50.44,43.49,6.57,70961
2023/06/27 02:32:52.183,LocalExecutor2,input,result,42,57358,854.95,820.11,42.57,13.06,31.51,43.92,7.17,70962
2023/06/27 02:32:52.222,LocalExecutor2,input,result,43,57359,844.49,810.79,65.91,13.09,30.41,44.1,10.26,70963
2023/06/27 02:32:52.275,LocalExecutor2,input,result,45,57360,823.98,787.99,49.11,13.05,48.76,43.77,7.14,70964
2023/06/27 02:32:52.317,LocalExecutor2,input,result,47,57361,814.73,787.99,47.05,12.71,39.39,42.18,5.64,70965
2023/06/27 02:32:52.355,LocalExecutor2,input,result,48,57362,823.05,787.87,39.86,12.78,33.69,42.84,5.81,70966
2023/06/27 02:32:52.390,LocalExecutor2,input,result,49,57363,817.44,773.53,48.69,12.72,31.41,46.7,3.85,70967
2023/06/27 02:32:52.432,LocalExecutor2,input,result,51,57364,791.99,781.13,44.28,12.54,24.75,45.05,7.67,70968
2023/06/27 02:32:52.479,LocalExecutor2,input,result,52,57365,825.05,790.75,51.68,12.54,22.36,45.05,4.11,70969
2023/06/27 02:32:52.519,LocalExecutor2,input,result,54,57366,795.71,771.04,38.79,12.36,26.87,44.43,3.07,70970
2023/06/27 02:32:52.577,LocalExecutor2,input,result,55,57367,806.32,773.44,42.19,12.42,38.32,44.47,5.46,70971
2023/06/27 02:32:52.610,LocalExecutor2,input,result,56,57368,808.98,780.18,44.72,12.43,29.39,44.53,3.51,70972
2023/06/27 02:32:52.666,LocalExecutor2,input,result,58,57369,806.43,786.14,57.21,12.69,22.81,42.21,6.73,70973
2023/06/27 02:32:52.746,LocalExecutor2,input,result,61,57370,803.56,803.71,65.43,12.75,25.05,42.34,14.3,70979
2023/06/27 02:32:52.786,LocalExecutor2,input,result,2,57371,371.5,372.0,39.37,19.21,39.72,80.18,6.17,70980
