asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 09:32:50.781,LocalForwarder,preprocessed,preprocessed,1,48490,973.65,11.6,164101.08,307.36,0.02,307.36,135.79,45951
2023/06/27 09:32:50.881,LocalForwarder,preprocessed,preprocessed,3,48491,922.04,7.68,59.94,307.36,0.01,307.36,172.2,45952
2023/06/27 09:32:50.975,LocalForwarder,preprocessed,preprocessed,4,48492,954.01,9.07,89.88,307.36,0.01,307.36,173.83,45953
2023/06/27 09:32:51.074,LocalForwarder,preprocessed,preprocessed,7,48493,835.8,9.02,95.55,307.36,0.01,307.36,175.36,45954
2023/06/27 09:32:51.169,LocalForwarder,preprocessed,preprocessed,8,48494,921.99,6.48,107.87,307.36,0.01,307.36,158.62,45955
2023/06/27 09:32:51.276,LocalForwarder,preprocessed,preprocessed,9,48495,937.14,4.76,77.71,307.36,0.01,307.36,185.72,45956
2023/06/27 09:32:51.399,LocalForwarder,preprocessed,preprocessed,13,48496,767.33,11.88,42.37,307.36,0.01,307.36,263.63,45957
2023/06/27 09:32:51.535,LocalForwarder,preprocessed,preprocessed,14,48497,797.0,6.34,6.56,307.36,0.01,307.36,350.31,45958
2023/06/27 09:32:51.632,LocalForwarder,preprocessed,preprocessed,16,48498,853.22,58.87,3.33,307.36,0.01,307.36,327.17,45959
2023/06/27 09:32:51.730,LocalForwarder,preprocessed,preprocessed,19,48499,856.5,101.61,2.4,307.36,0.01,307.36,308.45,45960
2023/06/27 09:32:51.831,LocalForwarder,preprocessed,preprocessed,22,48500,890.37,91.59,3.15,307.36,0.01,307.36,287.02,45961
2023/06/27 09:32:51.933,LocalForwarder,preprocessed,preprocessed,24,48501,926.47,135.0,1.18,307.36,0.01,307.36,293.84,45962
2023/06/27 09:32:52.030,LocalForwarder,preprocessed,preprocessed,25,48502,1013.37,173.5,4.73,307.36,0.01,307.36,287.4,45963
2023/06/27 09:32:52.126,LocalForwarder,preprocessed,preprocessed,28,48503,998.24,199.56,0.5,307.36,0.01,307.36,287.84,45964
2023/06/27 09:32:52.221,LocalForwarder,preprocessed,preprocessed,29,48504,1077.28,271.23,0.4,307.36,0.01,307.36,275.44,45965
2023/06/27 09:32:52.317,LocalForwarder,preprocessed,preprocessed,30,48505,1142.06,338.42,5.37,307.36,0.03,307.36,274.13,45966
2023/06/27 09:32:52.430,LocalForwarder,preprocessed,preprocessed,31,48506,1194.7,369.44,0.38,307.36,0.06,307.36,296.92,45967
2023/06/27 09:32:52.529,LocalForwarder,preprocessed,preprocessed,32,48507,1260.36,427.16,0.36,307.36,0.01,307.36,292.48,45968
2023/06/27 09:32:52.628,LocalForwarder,preprocessed,preprocessed,33,48508,1307.61,473.3,2.74,307.36,0.02,307.36,296.81,45969
2023/06/27 09:32:52.724,LocalForwarder,preprocessed,preprocessed,35,48509,1352.64,514.78,0.45,307.36,0.01,307.36,284.61,45970
2023/06/27 09:32:52.829,LocalForwarder,preprocessed,preprocessed,39,48510,1331.71,544.12,4.18,307.36,0.01,307.36,287.97,45971
2023/06/27 09:32:52.929,LocalForwarder,preprocessed,preprocessed,40,48511,1394.64,576.88,0.4,307.36,0.01,307.36,293.6,45972
2023/06/27 09:32:53.027,LocalForwarder,preprocessed,preprocessed,44,48512,1358.28,573.29,0.4,307.36,0.01,307.36,286.99,45973
2023/06/27 09:32:53.130,LocalForwarder,preprocessed,preprocessed,46,48513,1398.81,604.94,4.0,307.36,0.01,307.36,290.2,45974
2023/06/27 09:32:53.231,LocalForwarder,preprocessed,preprocessed,50,48514,1347.24,596.43,0.4,307.36,0.01,307.36,294.66,45975
2023/06/27 09:32:53.329,LocalForwarder,preprocessed,preprocessed,53,48515,1366.86,591.09,0.43,307.36,0.01,307.36,292.7,45976
2023/06/27 09:32:53.424,LocalForwarder,preprocessed,preprocessed,57,48516,1341.19,583.51,5.38,307.36,0.02,307.36,277.1,45977
2023/06/27 09:32:53.522,LocalForwarder,preprocessed,preprocessed,59,48517,1387.33,634.53,0.45,307.36,0.01,307.36,279.49,45978
2023/06/27 09:32:53.619,LocalForwarder,preprocessed,preprocessed,1,48518,1019.28,701.8,0.56,307.36,0.01,307.36,280.4,45979
2023/06/27 09:32:53.714,LocalForwarder,preprocessed,preprocessed,60,48519,1564.08,782.44,2.88,307.36,0.01,307.36,274.21,45980
2023/06/27 09:32:53.813,LocalForwarder,preprocessed,preprocessed,3,48520,1138.39,814.02,5.09,307.36,0.01,307.36,272.65,45981
2023/06/27 09:32:53.910,LocalForwarder,preprocessed,preprocessed,64,48521,1617.24,855.36,0.45,307.36,1.09,307.36,279.16,45982
2023/06/27 09:32:54.005,LocalForwarder,preprocessed,preprocessed,4,48522,1280.5,910.8,0.48,307.36,0.01,307.36,285.27,45983
2023/06/27 09:32:54.105,LocalForwarder,preprocessed,preprocessed,65,48523,1792.58,953.82,4.91,307.36,0.01,307.36,280.04,45984
2023/06/27 09:32:54.200,LocalForwarder,preprocessed,preprocessed,66,48524,1871.86,997.16,0.29,307.36,0.01,307.36,281.04,45985
2023/06/27 09:32:54.298,LocalForwarder,preprocessed,preprocessed,7,48525,1267.19,1068.09,0.38,307.36,0.01,307.36,285.05,45986
2023/06/27 09:32:54.397,LocalForwarder,preprocessed,preprocessed,70,48526,1879.46,1115.14,4.59,307.36,0.01,307.36,279.16,45987
2023/06/27 09:32:54.497,LocalForwarder,preprocessed,preprocessed,8,48527,1428.52,1168.01,0.47,307.36,0.01,307.36,289.05,45988
2023/06/27 09:32:54.593,LocalForwarder,preprocessed,preprocessed,71,48528,2050.48,1240.18,0.38,307.36,0.01,307.36,285.49,45989
2023/06/27 09:32:54.697,LocalForwarder,preprocessed,preprocessed,73,48529,2109.44,1292.56,2.35,307.36,0.01,307.36,289.35,45990
2023/06/27 09:32:54.799,LocalForwarder,preprocessed,preprocessed,9,48530,1702.69,1373.43,7.51,307.36,0.02,307.36,285.77,45991
2023/06/27 09:32:54.897,LocalForwarder,preprocessed,preprocessed,75,48531,2237.0,1426.12,0.41,307.36,0.01,307.36,296.45,45992
2023/06/27 09:32:54.996,LocalForwarder,preprocessed,preprocessed,77,48532,2290.16,1495.08,0.49,307.36,0.01,307.36,291.65,45993
2023/06/27 09:32:55.094,LocalForwarder,preprocessed,preprocessed,13,48533,1822.44,1573.37,10.46,307.36,0.01,307.36,271.3,45994
2023/06/27 09:32:55.196,LocalForwarder,preprocessed,preprocessed,78,48534,2461.11,1640.58,0.5,307.36,0.01,307.36,289.47,45995
2023/06/27 09:32:55.298,LocalForwarder,preprocessed,preprocessed,79,48535,2523.56,1705.66,0.43,307.36,0.01,307.36,292.3,45996
2023/06/27 09:32:55.396,LocalForwarder,preprocessed,preprocessed,14,48536,2076.48,1782.93,5.96,307.36,0.02,307.36,289.65,45997
2023/06/27 09:32:55.496,LocalForwarder,preprocessed,preprocessed,80,48537,2680.18,1857.57,0.73,307.36,0.01,307.36,290.2,45998
2023/06/27 09:32:55.597,LocalForwarder,preprocessed,preprocessed,81,48538,2735.15,1904.15,0.38,307.36,0.01,307.36,292.27,45999
2023/06/27 09:32:55.694,LocalForwarder,preprocessed,preprocessed,16,48539,2285.91,1992.52,2.5,307.36,0.01,307.36,285.62,46000
2023/06/27 09:32:55.798,LocalForwarder,preprocessed,preprocessed,84,48540,2860.89,2062.11,10.8,307.36,0.01,307.36,284.07,46001
2023/06/27 09:32:55.897,LocalForwarder,preprocessed,preprocessed,19,48541,2332.51,2113.18,0.42,307.36,0.02,307.36,293.57,46002
2023/06/27 09:32:55.997,LocalForwarder,preprocessed,preprocessed,87,48542,2952.01,2193.0,0.48,307.36,0.01,307.36,294.2,46003
2023/06/27 09:32:56.096,LocalForwarder,preprocessed,preprocessed,88,48543,3042.54,2243.11,4.28,307.36,0.01,307.36,285.44,46004
2023/06/27 09:32:56.197,LocalForwarder,preprocessed,preprocessed,22,48544,2503.66,2321.48,0.43,307.36,0.01,307.36,290.96,46005
2023/06/27 09:32:56.297,LocalForwarder,preprocessed,preprocessed,90,48545,3185.08,2385.52,0.47,307.36,0.01,307.36,292.41,46006
