asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 02:30:23.988,MergerSorterProducer,None,None,None,-1,-1,4001.04,4001.04,0.06,0.01,0.06,0.02,None
2023/06/27 02:30:27.996,MergerSorterProducer,None,nan,nan,-1,-1,4001.11,4001.11,0.06,0.02,0.06,0.02,nan
2023/06/27 02:30:32.000,MergerSorterProducer,None,nan,nan,-1,-1,4000.3,4000.3,0.06,0.01,0.06,0.01,nan
2023/06/27 02:30:36.005,MergerSorterProducer,None,nan,nan,-1,-1,4001.29,4001.29,0.06,0.01,0.06,0.01,nan
2023/06/27 02:30:40.009,MergerSorterProducer,None,nan,nan,-1,-1,4000.6,4000.6,0.06,0.02,0.06,0.03,nan
2023/06/27 02:30:44.014,MergerSorterProducer,None,nan,nan,-1,-1,4000.97,4000.97,0.06,0.01,0.06,0.01,nan
2023/06/27 02:30:48.018,MergerSorterProducer,None,nan,nan,-1,-1,4000.39,4000.39,0.06,0.01,0.06,0.01,nan
2023/06/27 02:30:52.023,MergerSorterProducer,None,nan,nan,-1,-1,4001.51,4001.51,0.06,0.01,0.06,0.02,nan
2023/06/27 02:30:56.032,MergerSorterProducer,None,nan,nan,-1,-1,4001.99,4001.99,0.06,0.01,0.06,0.01,nan
2023/06/27 02:31:00.037,MergerSorterProducer,None,nan,nan,-1,-1,4000.32,4000.32,0.06,0.02,0.06,0.02,nan
2023/06/27 02:31:04.045,MergerSorterProducer,None,nan,nan,-1,-1,4002.2,4002.2,0.06,0.02,0.06,0.02,nan
2023/06/27 02:31:08.054,MergerSorterProducer,None,nan,nan,-1,-1,4001.53,4001.53,0.06,0.02,0.06,0.02,nan
2023/06/27 02:31:12.059,MergerSorterProducer,None,nan,nan,-1,-1,4000.75,4000.75,0.06,0.01,0.06,0.01,nan
2023/06/27 02:31:16.063,MergerSorterProducer,None,nan,nan,-1,-1,4000.98,4000.98,0.06,0.01,0.06,0.02,nan
2023/06/27 02:31:20.070,MergerSorterProducer,None,nan,nan,-1,-1,4000.78,4000.78,0.06,0.02,0.06,0.02,nan
2023/06/27 02:31:24.076,MergerSorterProducer,None,nan,nan,-1,-1,4000.78,4000.78,0.06,0.01,0.06,0.01,nan
2023/06/27 02:31:28.078,MergerSorterProducer,None,nan,nan,-1,-1,4000.2,4000.2,0.06,0.01,0.06,0.01,nan
2023/06/27 02:31:32.082,MergerSorterProducer,None,nan,nan,-1,-1,4000.89,4000.89,0.06,0.01,0.06,0.01,nan
